gi|493613085|ref|WP_006565388.1|	MULTISPECIES: chromosomal replication initiator protein DnaA [Anaerostipes] 
gi|493613655|ref|WP_006565939.1|	sugar phosphate isomerase [Anaerostipes caccae] 
gi|493613656|ref|WP_006565940.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613657|ref|WP_006565941.1|	sugar phosphate isomerase [Anaerostipes caccae] 
gi|493613658|ref|WP_006565942.1|	transaldolase [Anaerostipes caccae] 
gi|493613659|ref|WP_006565943.1|	phosphoribosylformylglycinamidine synthase [Anaerostipes caccae] 
gi|493613660|ref|WP_006565944.1|	succinylglutamate desuccinylase [Anaerostipes caccae] 
gi|493613661|ref|WP_006565945.1|	succinylglutamate desuccinylase [Anaerostipes caccae] 
gi|493613662|ref|WP_006565946.1|	sodium:proton antiporter [Anaerostipes caccae] 
gi|493613663|ref|WP_006565947.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613664|ref|WP_006565948.1|	diguanylate phosphodiesterase [Anaerostipes caccae] 
gi|493613665|ref|WP_006565949.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613666|ref|WP_006565950.1|	septum formation inhibitor Maf [Anaerostipes caccae] 
gi|493613667|ref|WP_006565951.1|	glutamine amidotransferase [Anaerostipes caccae] 
gi|493613668|ref|WP_006565952.1|	pyridoxal biosynthesis lyase [Anaerostipes caccae] 
gi|493613669|ref|WP_006565953.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613670|ref|WP_006565954.1|	MULTISPECIES: transporter [Anaerostipes] 
gi|493613671|ref|WP_006565955.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613672|ref|WP_006565956.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613673|ref|WP_006565957.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613674|ref|WP_006565958.1|	phosphoesterase [Anaerostipes caccae] 
gi|493613675|ref|WP_006565959.1|	MULTISPECIES: cysteine desulfurase [Anaerostipes] 
gi|493613676|ref|WP_006565960.1|	response regulator SirA [Anaerostipes caccae] 
gi|493613677|ref|WP_006565961.1|	water dikinase [Anaerostipes caccae] 
gi|493613678|ref|WP_006565962.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613679|ref|WP_006565963.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613680|ref|WP_006565964.1|	endonuclease IV [Anaerostipes caccae] 
gi|493613681|ref|WP_006565965.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613682|ref|WP_006565966.1|	DNA-binding protein [Anaerostipes caccae] 
gi|493613683|ref|WP_006565967.1|	PTS sorbitol transporter subunit IIA [Anaerostipes caccae] 
gi|493613684|ref|WP_006565968.1|	protein iolH [Anaerostipes caccae] 
gi|493613685|ref|WP_006565969.1|	inosose dehydratase [Anaerostipes caccae] 
gi|493613686|ref|WP_006565970.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613687|ref|WP_006565971.1|	MULTISPECIES: xylose isomerase [Anaerostipes] 
gi|493613688|ref|WP_006565972.1|	MULTISPECIES: oxidoreductase [Anaerostipes] 
gi|493613689|ref|WP_006565973.1|	LacI family transcriptional regulator [Anaerostipes caccae] 
gi|493613690|ref|WP_006565974.1|	fructose-bisphosphate aldolase [Anaerostipes caccae] 
gi|493613691|ref|WP_006565975.1|	MFS transporter [Anaerostipes caccae] 
gi|493613692|ref|WP_006565976.1|	ATP-binding protein [Anaerostipes caccae] 
gi|493613693|ref|WP_006565977.1|	electron transfer flavoprotein subunit alpha [Anaerostipes caccae] 
gi|493613694|ref|WP_006565978.1|	electron transfer flavoprotein subunit beta [Anaerostipes caccae] 
gi|493613695|ref|WP_006565979.1|	MULTISPECIES: acyl-CoA dehydrogenase [Anaerostipes] 
gi|493613696|ref|WP_006565980.1|	LysR family transcriptional regulator [Anaerostipes caccae] 
gi|493613697|ref|WP_006565981.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613698|ref|WP_006565982.1|	AraC family transcriptional regulator [Anaerostipes caccae] 
gi|493613699|ref|WP_006565983.1|	thiamine biosynthesis protein ThiF [Anaerostipes caccae] 
gi|493613700|ref|WP_006565984.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613701|ref|WP_006565985.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613702|ref|WP_006565986.1|	resolvase [Anaerostipes caccae] 
gi|493613703|ref|WP_006565987.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613704|ref|WP_006565988.1|	3-dehydroquinate synthase [Anaerostipes caccae] 
gi|493613705|ref|WP_006565989.1|	PTS sugar transporter [Anaerostipes caccae] 
gi|493613707|ref|WP_006565990.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613708|ref|WP_006565991.1|	MULTISPECIES: deoxyribose-phosphate aldolase [Anaerostipes] 
gi|493613709|ref|WP_006565992.1|	PTS galactitol transporter subunit IIC [Anaerostipes caccae] 
gi|493613710|ref|WP_006565993.1|	oxidoreductase [Anaerostipes caccae] 
gi|493613711|ref|WP_006565994.1|	PTS galactitol transporter subunit IIB [Anaerostipes caccae] 
gi|493613712|ref|WP_006565995.1|	MULTISPECIES: DeoR family transcriptional regulator [Anaerostipes] 
gi|493613713|ref|WP_006565996.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613714|ref|WP_006565997.1|	GNAT family acetyltransferase [Anaerostipes caccae] 
gi|493613715|ref|WP_006565998.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613716|ref|WP_006565999.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613717|ref|WP_006566000.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613718|ref|WP_006566001.1|	MULTISPECIES: PadR family transcriptional regulator [Anaerostipes] 
gi|493613719|ref|WP_006566002.1|	MULTISPECIES: fructokinase [Anaerostipes] 
gi|493613720|ref|WP_006566003.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613721|ref|WP_006566004.1|	PTS sucrose transporter subunit IIBC [Anaerostipes caccae] 
gi|493613722|ref|WP_006566005.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613723|ref|WP_006566006.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613724|ref|WP_006566007.1|	LacI family transcriptional regulator [Anaerostipes caccae] 
gi|493613725|ref|WP_006566008.1|	MarR family transcripitonal regulator [Anaerostipes caccae] 
gi|493613726|ref|WP_006566009.1|	flavodoxin [Anaerostipes caccae] 
gi|493613727|ref|WP_006566010.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613728|ref|WP_006566011.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613729|ref|WP_006566012.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613730|ref|WP_006566013.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613731|ref|WP_006566014.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613732|ref|WP_006566015.1|	sodium transporter [Anaerostipes caccae] 
gi|493613733|ref|WP_006566016.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613734|ref|WP_006566017.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613735|ref|WP_006566018.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613736|ref|WP_006566019.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613737|ref|WP_006566020.1|	methyltransferase [Anaerostipes caccae] 
gi|493613738|ref|WP_006566021.1|	iron hydrogenase [Anaerostipes caccae] 
gi|493613739|ref|WP_006566022.1|	dehydrogenase [Anaerostipes caccae] 
gi|493613740|ref|WP_006566023.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613741|ref|WP_006566024.1|	DeoR family transcriptional regulator [Anaerostipes caccae] 
gi|493613742|ref|WP_006566025.1|	oxidoreductase [Anaerostipes caccae] 
gi|493613743|ref|WP_006566026.1|	deoxyribose-phosphate aldolase [Anaerostipes caccae] 
gi|493613744|ref|WP_006566027.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613745|ref|WP_006566028.1|	aldehyde oxidase [Anaerostipes caccae] 
gi|493613746|ref|WP_006566029.1|	(2Fe-2S)-binding protein [Anaerostipes caccae] 
gi|493613747|ref|WP_006566030.1|	molybdopterin dehydrogenase [Anaerostipes caccae] 
gi|493613749|ref|WP_006566031.1|	acyl-CoA dehydrogenase [Anaerostipes caccae] 
gi|493613750|ref|WP_006566032.1|	beta-lactamase [Anaerostipes caccae] 
gi|493613751|ref|WP_006566033.1|	MULTISPECIES: transcriptional regulator [Anaerostipes] 
gi|493613752|ref|WP_006566034.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613753|ref|WP_006566035.1|	chromosome segregation protein SMC [Anaerostipes caccae] 
gi|493613754|ref|WP_006566036.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613755|ref|WP_006566037.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613756|ref|WP_006566038.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613757|ref|WP_006566039.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613758|ref|WP_006566040.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613759|ref|WP_006566041.1|	iron transporter FeoB [Anaerostipes caccae] 
gi|493613760|ref|WP_006566042.1|	MULTISPECIES: iron transporter FeoA [Anaerostipes] 
gi|493613761|ref|WP_006566043.1|	iron transporter FeoA [Anaerostipes caccae] 
gi|493613762|ref|WP_006566044.1|	DNA-binding protein [Anaerostipes caccae] 
gi|493613763|ref|WP_006566045.1|	diguanylate cyclase [Anaerostipes caccae] 
gi|493613764|ref|WP_006566046.1|	thioredoxin reductase [Anaerostipes caccae] 
gi|493613765|ref|WP_006566047.1|	MULTISPECIES: peroxiredoxin [Anaerostipes] 
gi|493613766|ref|WP_006566048.1|	MULTISPECIES: enolase [Anaerostipes] 
gi|493613767|ref|WP_006566049.1|	MFS transporter [Anaerostipes caccae] 
gi|493613768|ref|WP_006566050.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613769|ref|WP_006566051.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613770|ref|WP_006566052.1|	pyruvate phosphate dikinase [Anaerostipes caccae] 
gi|493613771|ref|WP_006566053.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613772|ref|WP_006566054.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613773|ref|WP_006566055.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613774|ref|WP_006566056.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613775|ref|WP_006566057.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613776|ref|WP_006566058.1|	alpha/beta hydrolase [Anaerostipes caccae] 
gi|493613777|ref|WP_006566059.1|	iron transporter FeoB [Anaerostipes caccae] 
gi|493613778|ref|WP_006566060.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493613779|ref|WP_006566061.1|	putrescine/spermidine ABC transporter permease [Anaerostipes caccae] 
gi|493613780|ref|WP_006566062.1|	ABC transporter permease [Anaerostipes caccae] 
gi|493613781|ref|WP_006566063.1|	spermidine/putrescine ABC transporter ATP-binding protein [Anaerostipes caccae] 
gi|493613782|ref|WP_006566064.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613783|ref|WP_006566065.1|	MULTISPECIES: ABC transporter substrate-binding protein [Anaerostipes] 
gi|493613784|ref|WP_006566066.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613785|ref|WP_006566067.1|	haloacid dehalogenase [Anaerostipes caccae] 
gi|493613786|ref|WP_006566068.1|	MULTISPECIES: haloacid dehalogenase [Anaerostipes] 
gi|493613787|ref|WP_006566069.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613788|ref|WP_006566070.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613789|ref|WP_006566071.1|	PTS sugar transporter [Anaerostipes caccae] 
gi|493613790|ref|WP_006566072.1|	MULTISPECIES: transcriptional antiterminator [Anaerostipes] 
gi|493613791|ref|WP_006566073.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613792|ref|WP_006566074.1|	L-sorbose 1-phosphate reductase [Anaerostipes caccae] 
gi|493613793|ref|WP_006566075.1|	MULTISPECIES: PTS mannitol transporter subunit IIB [Anaerostipes] 
gi|493613794|ref|WP_006566076.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613795|ref|WP_006566077.1|	N-terminal cleavage protein [Anaerostipes caccae] 
gi|493613796|ref|WP_006566078.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613797|ref|WP_006566079.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613798|ref|WP_006566080.1|	MULTISPECIES: PTS sugar transporter [Anaerostipes] 
gi|493613799|ref|WP_006566081.1|	ketose-bisphosphate aldolase [Anaerostipes caccae] 
gi|493613800|ref|WP_006566082.1|	MULTISPECIES: PTS sugar transporter [Anaerostipes] 
gi|493613801|ref|WP_006566083.1|	3-phosphoglycerate dehydrogenase [Anaerostipes caccae] 
gi|493613802|ref|WP_006566084.1|	MULTISPECIES: homoserine O-succinyltransferase [Anaerostipes] 
gi|493613803|ref|WP_006566085.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613804|ref|WP_006566086.1|	DNA ligase [Anaerostipes caccae] 
gi|493613805|ref|WP_006566087.1|	MULTISPECIES: pseudouridylate synthase [Anaerostipes] 
gi|493613807|ref|WP_006566088.1|	potassium transporter KtrB [Anaerostipes caccae] 
gi|493613808|ref|WP_006566089.1|	MULTISPECIES: 6-phosphofructokinase [Clostridiales] 
gi|493613809|ref|WP_006566090.1|	DNA polymerase III subunit alpha [Anaerostipes caccae] 
gi|493613810|ref|WP_006566091.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613811|ref|WP_006566092.1|	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [Anaerostipes caccae] 
gi|493613812|ref|WP_006566093.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613813|ref|WP_006566094.1|	uracil permease [Anaerostipes caccae] 
gi|493613814|ref|WP_006566095.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613815|ref|WP_006566096.1|	MULTISPECIES: transporter [Anaerostipes] 
gi|493613816|ref|WP_006566097.1|	heat-shock protein Hsp90 [Anaerostipes caccae] 
gi|493613817|ref|WP_006566098.1|	PhoB family transcriptional regulator [Anaerostipes caccae] 
gi|493613818|ref|WP_006566099.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613819|ref|WP_006566100.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613820|ref|WP_006566101.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613821|ref|WP_006566102.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613822|ref|WP_006566103.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613823|ref|WP_006566104.1|	signal peptide protein [Anaerostipes caccae] 
gi|493613824|ref|WP_006566105.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613825|ref|WP_006566106.1|	holin [Anaerostipes caccae] 
gi|493613826|ref|WP_006566107.1|	CTP synthase [Anaerostipes caccae] 
gi|493613827|ref|WP_006566108.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613828|ref|WP_006566109.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613829|ref|WP_006566110.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613830|ref|WP_006566111.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613831|ref|WP_006566112.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613832|ref|WP_006566113.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613833|ref|WP_006566114.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613834|ref|WP_006566115.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613835|ref|WP_006566116.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613836|ref|WP_006566117.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613837|ref|WP_006566118.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613838|ref|WP_006566119.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613839|ref|WP_006566120.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613840|ref|WP_006566121.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613841|ref|WP_006566122.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613842|ref|WP_006566123.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613843|ref|WP_006566124.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613844|ref|WP_006566125.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613845|ref|WP_006566126.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613846|ref|WP_006566127.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613847|ref|WP_006566128.1|	serine/threonine protein kinase [Anaerostipes caccae] 
gi|493613848|ref|WP_006566129.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613849|ref|WP_006566130.1|	AraC family transcriptional regulator [Anaerostipes caccae] 
gi|493613850|ref|WP_006566131.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613851|ref|WP_006566132.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613852|ref|WP_006566133.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613853|ref|WP_006566134.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613854|ref|WP_006566135.1|	pirin [Anaerostipes caccae] 
gi|493613855|ref|WP_006566136.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613856|ref|WP_006566137.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613857|ref|WP_006566138.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613858|ref|WP_006566139.1|	HPr kinase [Anaerostipes caccae] 
gi|493613859|ref|WP_006566140.1|	sporulation protein [Anaerostipes caccae] 
gi|493613860|ref|WP_006566141.1|	glmZ(sRNA)-inactivating NTPase [Anaerostipes caccae] 
gi|493613861|ref|WP_006566142.1|	UDP-N-acetylenolpyruvoylglucosamine reductase [Anaerostipes caccae] 
gi|493613862|ref|WP_006566143.1|	glucokinase [Anaerostipes caccae] 
gi|493613863|ref|WP_006566144.1|	MULTISPECIES: HPr kinase [Anaerostipes] 
gi|493613864|ref|WP_006566145.1|	excinuclease ABC subunit C [Anaerostipes caccae] 
gi|493613865|ref|WP_006566146.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613866|ref|WP_006566147.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613867|ref|WP_006566148.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613868|ref|WP_006566149.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613869|ref|WP_006566150.1|	7-cyano-7-deazaguanine reductase [Anaerostipes caccae] 
gi|493613870|ref|WP_006566151.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613871|ref|WP_006566152.1|	hisitidine kinase [Anaerostipes caccae] 
gi|493613872|ref|WP_006566153.1|	heat-shock protein Hsp90 [Anaerostipes caccae] 
gi|493613873|ref|WP_006566154.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613874|ref|WP_006566155.1|	iron-only hydrogenase system regulator [Anaerostipes caccae] 
gi|493613875|ref|WP_006566156.1|	thiamine biosynthesis protein ThiH [Anaerostipes caccae] 
gi|493613876|ref|WP_006566157.1|	NUDIX hydrolase [Anaerostipes caccae] 
gi|493613877|ref|WP_006566158.1|	inorganic pyrophosphatase [Anaerostipes caccae] 
gi|493613878|ref|WP_006566159.1|	MULTISPECIES: histidine kinase [Anaerostipes] 
gi|493613879|ref|WP_006566160.1|	MULTISPECIES: PhoB family transcriptional regulator [Clostridiales] 
gi|493613880|ref|WP_006566161.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613881|ref|WP_006566162.1|	MULTISPECIES: phospholipase [Anaerostipes] 
gi|493613882|ref|WP_006566163.1|	phosphomethylpyrimidine synthase [Anaerostipes caccae] 
gi|493613883|ref|WP_006566164.1|	MULTISPECIES: sodium:calcium symporter [Anaerostipes] 
gi|493613884|ref|WP_006566165.1|	GntR family transcriptional regulator [Anaerostipes caccae] 
gi|493613885|ref|WP_006566166.1|	hisitidine kinase [Anaerostipes caccae] 
gi|493613886|ref|WP_006566167.1|	histidine kinase [Anaerostipes caccae] 
gi|493613887|ref|WP_006566168.1|	transaldolase [Anaerostipes caccae] 
gi|493613888|ref|WP_006566169.1|	glycyl radical-activating protein [Anaerostipes caccae] 
gi|493613889|ref|WP_006566170.1|	pyruvate formate-lyase [Anaerostipes caccae] 
gi|493613891|ref|WP_006566171.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613892|ref|WP_006566172.1|	MULTISPECIES: PTS fructose transporter subunit IIB [Anaerostipes] 
gi|493613893|ref|WP_006566173.1|	MULTISPECIES: PTS fructose transporter subunit IIC [Anaerostipes] 
gi|493613894|ref|WP_006566174.1|	MULTISPECIES: PTS sugar transporter [Anaerostipes] 
gi|493613895|ref|WP_006566175.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613896|ref|WP_006566176.1|	transcriptional regulator [Anaerostipes caccae] 
gi|493613897|ref|WP_006566177.1|	nicotinate-nucleotide pyrophosphorylase [Anaerostipes caccae] 
gi|493613898|ref|WP_006566178.1|	L-aspartate oxidase [Anaerostipes caccae] 
gi|493613899|ref|WP_006566179.1|	MULTISPECIES: quinolinate synthetase [Anaerostipes] 
gi|493613900|ref|WP_006566180.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613901|ref|WP_006566181.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613902|ref|WP_006566182.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613903|ref|WP_006566183.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613904|ref|WP_006566184.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613905|ref|WP_006566185.1|	alcohol dehydrogenase [Anaerostipes caccae] 
gi|493613906|ref|WP_006566186.1|	PTS mannose transporter subunit IIAB [Anaerostipes caccae] 
gi|493613907|ref|WP_006566187.1|	MULTISPECIES: PTS mannose transporter subunit IIA [Anaerostipes] 
gi|493613908|ref|WP_006566188.1|	MULTISPECIES: PTS mannose transporter subunit IID [Anaerostipes] 
gi|493613909|ref|WP_006566189.1|	MULTISPECIES: PTS mannose transporter subunit IIA [Anaerostipes] 
gi|493613910|ref|WP_006566190.1|	fructose-bisphosphate aldolase [Anaerostipes caccae] 
gi|493613911|ref|WP_006566191.1|	toxin Fic [Anaerostipes caccae] 
gi|493613912|ref|WP_006566192.1|	triosephosphate isomerase [Anaerostipes caccae] 
gi|493613913|ref|WP_006566193.1|	secondary thiamine-phosphate synthase enzyme [Anaerostipes caccae] 
gi|493613914|ref|WP_006566194.1|	ketose-bisphosphate aldolase [Anaerostipes caccae] 
gi|493613915|ref|WP_006566195.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613916|ref|WP_006566196.1|	PTS galactitol transporter subunit IIC [Anaerostipes caccae] 
gi|493613917|ref|WP_006566197.1|	PTS galactitol transporter subunit IIB [Anaerostipes caccae] 
gi|493613918|ref|WP_006566198.1|	PTS sugar transporter [Anaerostipes caccae] 
gi|493613919|ref|WP_006566199.1|	MULTISPECIES: transcriptional regulator [Anaerostipes] 
gi|493613920|ref|WP_006566200.1|	transcriptional antiterminator [Anaerostipes caccae] 
gi|493613921|ref|WP_006566201.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613922|ref|WP_006566202.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613923|ref|WP_006566203.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613924|ref|WP_006566204.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613925|ref|WP_006566205.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613926|ref|WP_006566206.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613927|ref|WP_006566207.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613928|ref|WP_006566208.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613929|ref|WP_006566209.1|	Rha family transcriptional regulator [Anaerostipes caccae] 
gi|493613930|ref|WP_006566210.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613931|ref|WP_006566211.1|	membrane protein [Anaerostipes caccae] 
gi|493613932|ref|WP_006566212.1|	CTP synthase [Anaerostipes caccae] 
gi|493613933|ref|WP_006566213.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613934|ref|WP_006566214.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613935|ref|WP_006566215.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613936|ref|WP_006566216.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613937|ref|WP_006566217.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613938|ref|WP_006566218.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613939|ref|WP_006566219.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613940|ref|WP_006566220.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613941|ref|WP_006566221.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613942|ref|WP_006566222.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613943|ref|WP_006566223.1|	MULTISPECIES: DNA-binding protein [Firmicutes] 
gi|493613944|ref|WP_006566224.1|	MULTISPECIES: recombinase [Firmicutes] 
gi|493613945|ref|WP_006566225.1|	MULTISPECIES: resolvase [Firmicutes] 
gi|493613946|ref|WP_006566226.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613947|ref|WP_006566227.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613948|ref|WP_006566228.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613949|ref|WP_006566229.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613950|ref|WP_006566230.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613951|ref|WP_006566231.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613952|ref|WP_006566232.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613953|ref|WP_006566233.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613954|ref|WP_006566234.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613955|ref|WP_006566235.1|	MULTISPECIES: phage tail tape measure protein [Firmicutes] 
gi|493613956|ref|WP_006566236.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613957|ref|WP_006566237.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613958|ref|WP_006566238.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613959|ref|WP_006566239.1|	MULTISPECIES: tail protein [Firmicutes] 
gi|493613960|ref|WP_006566240.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613961|ref|WP_006566241.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613962|ref|WP_006566242.1|	MULTISPECIES: head-tail adaptor protein [Firmicutes] 
gi|493613963|ref|WP_006566243.1|	AraC family transcriptional regulator [Anaerostipes caccae] 
gi|493613964|ref|WP_006566244.1|	MULTISPECIES: capsid protein [Firmicutes] 
gi|493613965|ref|WP_006566245.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613966|ref|WP_006566246.1|	MULTISPECIES: peptidase [Firmicutes] 
gi|493613967|ref|WP_006566247.1|	terminase [Anaerostipes caccae] 
gi|493613968|ref|WP_006566248.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493613969|ref|WP_006566249.1|	MULTISPECIES: virulence protein [Firmicutes] 
gi|493613970|ref|WP_006566250.1|	MULTISPECIES: methyltransferase [Firmicutes] 
gi|493613971|ref|WP_006566251.1|	MULTISPECIES: virulence protein [Firmicutes] 
gi|493613972|ref|WP_006566252.1|	MULTISPECIES: DNA-cytosine methyltransferase [Firmicutes] 
