WP_002322728.1	MULTISPECIES: excisionase [Firmicutes] 
WP_007285966.1	iron ABC transporter permease [Intestinibacter bartlettii] 
WP_007285968.1	ferrichrome ABC transporter substrate-binding protein [Intestinibacter bartlettii] 
WP_007285969.1	MATE family efflux transporter [Intestinibacter bartlettii] 
WP_007285970.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285972.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285974.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285975.1	peptidase T [Intestinibacter bartlettii] 
WP_007285976.1	glutamate racemase [Intestinibacter bartlettii] 
WP_007285978.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285981.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285982.1	ABC transporter [Intestinibacter bartlettii] 
WP_007285984.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285985.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285987.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285989.1	prephenate dehydrogenase [Intestinibacter bartlettii] 
WP_007285991.1	3-deoxy-7-phosphoheptulonate synthase [Intestinibacter bartlettii] 
WP_007285992.1	MULTISPECIES: bifunctional chorismate mutase/prephenate dehydratase [Clostridiales] 
WP_007285994.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285996.1	MULTISPECIES: membrane protein [Clostridiales] 
WP_007285997.1	RNA helicase [Intestinibacter bartlettii] 
WP_007285999.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286000.1	ABC transporter [Intestinibacter bartlettii] 
WP_007286003.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286004.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286007.1	molybdopterin oxidoreductase [Intestinibacter bartlettii] 
WP_007286008.1	NADH dehydrogenase [Intestinibacter bartlettii] 
WP_007286009.1	MULTISPECIES: NADH dehydrogenase subunit E [Clostridiales] 
WP_007286011.1	DNA processing protein DprA [Intestinibacter bartlettii] 
WP_007286012.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286013.1	MULTISPECIES: 6,7-dimethyl-8-ribityllumazine synthase [Clostridiales] 
WP_007286014.1	bifunctional 3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II [Intestinibacter bartlettii] 
WP_007286015.1	riboflavin synthase subunit alpha [Intestinibacter bartlettii] 
WP_007286016.1	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase [Intestinibacter bartlettii] 
WP_007286018.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286019.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286020.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286021.1	Trk system potassium transporter TrkH [Intestinibacter bartlettii] 
WP_007286022.1	Trk system potassium transport protein TrkA [Intestinibacter bartlettii] 
WP_007286023.1	aminotransferase [Intestinibacter bartlettii] 
WP_007286027.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286028.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286029.1	phage shock protein A [Intestinibacter bartlettii] 
WP_007286030.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286031.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286032.1	acetyltransferase [Intestinibacter bartlettii] 
WP_007286033.1	cardiolipin synthase [Intestinibacter bartlettii] 
WP_007286034.1	methyltransferase [Intestinibacter bartlettii] 
WP_007286035.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286038.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286039.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286041.1	pyruvate dikinase [Intestinibacter bartlettii] 
WP_007286042.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286043.1	GTP pyrophosphokinase [Intestinibacter bartlettii] 
WP_007286044.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286046.1	MULTISPECIES: MarR family transcriptional regulator [Clostridiales] 
WP_007286047.1	acetyl-CoA carboxylase carboxyltransferase subunit alpha [Intestinibacter bartlettii] 
WP_007286048.1	acetyl-CoA carboxylase subunit beta [Intestinibacter bartlettii] 
WP_007286049.1	acetyl-CoA carboxylase biotin carboxylase subunit [Intestinibacter bartlettii] 
WP_007286050.1	MULTISPECIES: beta-hydroxyacyl-ACP dehydratase [Clostridiales] 
WP_007286051.1	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit [Intestinibacter bartlettii] 
WP_007286052.1	beta-ketoacyl-[acyl-carrier-protein] synthase II [Intestinibacter bartlettii] 
WP_007286055.1	2-nitropropane dioxygenase [Intestinibacter bartlettii] 
WP_007286056.1	MULTISPECIES: acyl carrier protein [Clostridiales] 
WP_007286057.1	3-oxoacyl-ACP synthase [Intestinibacter bartlettii] 
WP_007286059.1	sodium-dependent tryptophan transporter [Intestinibacter bartlettii] 
WP_007286060.1	[FeFe] hydrogenase H-cluster radical SAM maturase HydG [Intestinibacter bartlettii] 
WP_007286061.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286062.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286064.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286065.1	MULTISPECIES: iron ABC transporter ATP-binding protein [Clostridiales] 
WP_007286068.1	MULTISPECIES: disulfide oxidoreductase [Clostridiales] 
WP_007286070.1	hydroxylamine reductase [Intestinibacter bartlettii] 
WP_007286071.1	sodium:dicarboxylate symporter [Intestinibacter bartlettii] 
WP_007286073.1	4Fe-4S ferredoxin [Intestinibacter bartlettii] 
WP_007286074.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286075.1	CidA/LrgA family protein [Intestinibacter bartlettii] 
WP_007286077.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286078.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286079.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286080.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286082.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286085.1	PTS sorbitol transporter subunit IIA [Intestinibacter bartlettii] 
WP_007286086.1	PTS sorbitol transporter subunit IIB [Intestinibacter bartlettii] 
WP_007286087.1	PTS sorbitol transporter subunit IIC [Intestinibacter bartlettii] 
WP_007286089.1	transcription antiterminator BglG [Intestinibacter bartlettii] 
WP_007286090.1	MULTISPECIES: sorbitol-6-phosphate 2-dehydrogenase [Clostridiales] 
WP_007286091.1	MULTISPECIES: membrane protein [Clostridiales] 
WP_007286092.1	MULTISPECIES: biotin transporter BioY [Clostridiales] 
WP_007286093.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286094.1	MULTISPECIES: phosphate transport system regulatory protein PhoU [Clostridiales] 
WP_007286095.1	phosphate ABC transporter ATP-binding protein [Intestinibacter bartlettii] 
WP_007286096.1	phosphate ABC transporter permease protein PstA [Intestinibacter bartlettii] 
WP_007286097.1	phosphate ABC transporter permease subunit PstC [Intestinibacter bartlettii] 
WP_007286098.1	phosphate ABC transporter substrate-binding protein [Intestinibacter bartlettii] 
WP_007286100.1	MULTISPECIES: DNA-binding response regulator [Clostridiales] 
WP_007286102.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286103.1	MULTISPECIES: methionine ABC transporter substrate-binding protein [Clostridiales] 
WP_007286104.1	MULTISPECIES: methionine ABC transporter permease [Clostridiales] 
WP_007286105.1	MULTISPECIES: methionine ABC transporter ATP-binding protein [Clostridiales] 
WP_007286106.1	molecular chaperone DnaK [Intestinibacter bartlettii] 
WP_007286107.1	molecular chaperone DnaJ [Intestinibacter bartlettii] 
WP_007286108.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286109.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286110.1	glycerol dehydrogenase [Intestinibacter bartlettii] 
WP_007286112.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286114.1	transcriptional regulator [Intestinibacter bartlettii] 
WP_007286115.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286116.1	endonuclease [Intestinibacter bartlettii] 
WP_007286118.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286119.1	DEAD/DEAH box helicase [Intestinibacter bartlettii] 
WP_007286123.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286124.1	DNA methyltransferase [Intestinibacter bartlettii] 
WP_007286126.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286127.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286128.1	calcium-transporting ATPase [Intestinibacter bartlettii] 
WP_007286129.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286130.1	membrane protein [Intestinibacter bartlettii] 
WP_007286131.1	transcriptional regulator [Intestinibacter bartlettii] 
WP_007286132.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286133.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286134.1	MATE family efflux transporter [Intestinibacter bartlettii] 
WP_007286135.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286137.1	ATPase P [Intestinibacter bartlettii] 
WP_007286138.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286140.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286141.1	MATE family efflux transporter [Intestinibacter bartlettii] 
WP_007286144.1	spermidine/putrescine ABC transporter substrate-binding protein [Intestinibacter bartlettii] 
WP_007286147.1	MULTISPECIES: spermidine/putrescine ABC transporter ATP-binding protein [Clostridiales] 
WP_007286148.1	MULTISPECIES: Cro/Cl family transcriptional regulator [Clostridiales] 
WP_007286149.1	FMN reductase [Intestinibacter bartlettii] 
WP_007286151.1	DNA-binding protein [Intestinibacter bartlettii] 
WP_007286152.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286154.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286155.1	malate dehydrogenase [Intestinibacter bartlettii] 
WP_007286156.1	MULTISPECIES: fumarate hydratase [Clostridiales] 
WP_007286157.1	MULTISPECIES: fumarate hydratase [Clostridiales] 
WP_007286158.1	MULTISPECIES: aminoacyl-tRNA deacylase [Clostridiales] 
WP_007286159.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286161.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286162.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286163.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286164.1	DNA-directed RNA polymerase sigma-70 factor [Intestinibacter bartlettii] 
WP_007286165.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286166.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286168.1	MULTISPECIES: nitroreductase [Clostridiales] 
WP_007286169.1	MarR family transcriptional regulator [Intestinibacter bartlettii] 
WP_007286170.1	MATE family efflux transporter [Intestinibacter bartlettii] 
WP_007286171.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286172.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286173.1	GNAT family N-acetyltransferase [Intestinibacter bartlettii] 
WP_007286174.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286175.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286176.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286178.1	aminotransferase [Intestinibacter bartlettii] 
WP_007286179.1	thioesterase [Intestinibacter bartlettii] 
WP_007286180.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286181.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286182.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286183.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286184.1	cell division protein FtsH [Intestinibacter bartlettii] 
WP_007286185.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286186.1	peptide deformylase [Intestinibacter bartlettii] 
WP_007286187.1	MULTISPECIES: oxidoreductase [Clostridiales] 
WP_007286188.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286189.1	MATE family efflux transporter [Intestinibacter bartlettii] 
WP_007286191.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286195.1	transcriptional regulator [Intestinibacter bartlettii] 
WP_007286197.1	histidine kinase [Intestinibacter bartlettii] 
WP_007286199.1	lantibiotic ABC transporter permease [Intestinibacter bartlettii] 
WP_007286202.1	MULTISPECIES: transcriptional regulator [Clostridiales] 
WP_007286203.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286204.1	membrane protein [Intestinibacter bartlettii] 
WP_007286205.1	ATP/GTP-binding protein [Intestinibacter bartlettii] 
WP_007286207.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286208.1	MULTISPECIES: PadR family transcriptional regulator [Clostridiales] 
WP_007286209.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286210.1	collagen-binding protein [Intestinibacter bartlettii] 
WP_007286211.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286212.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286213.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286215.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286217.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286218.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286219.1	MULTISPECIES: hydrolase [Clostridiales] 
WP_007286221.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286222.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286224.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286225.1	protein kinase [Intestinibacter bartlettii] 
WP_007286226.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286227.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286228.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286229.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286230.1	MATE family efflux transporter [Intestinibacter bartlettii] 
WP_007286231.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286232.1	3-isopropylmalate dehydrogenase [Intestinibacter bartlettii] 
WP_007286234.1	MULTISPECIES: 3-isopropylmalate dehydratase large subunit [Clostridiales] 
WP_007286235.1	2-isopropylmalate synthase [Intestinibacter bartlettii] 
WP_007286236.1	phosphatase [Intestinibacter bartlettii] 
WP_007286238.1	transcriptional regulator [Intestinibacter bartlettii] 
WP_007286240.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286241.1	MULTISPECIES: FAD-dependent oxidoreductase [Clostridiales] 
WP_007286242.1	serine/threonine protein phosphatase [Intestinibacter bartlettii] 
WP_007286243.1	NAD(FAD)-dependent dehydrogenase [Intestinibacter bartlettii] 
WP_007286244.1	pyridine nucleotide-disulfide oxidoreductase [Intestinibacter bartlettii] 
WP_007286245.1	FAD-dependent oxidoreductase [Intestinibacter bartlettii] 
WP_007286246.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286248.1	glycerol uptake operon antiterminator [Intestinibacter bartlettii] 
WP_007286249.1	MULTISPECIES: endonuclease IV [Clostridiales] 
WP_007286250.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286252.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286254.1	MULTISPECIES: histidine--tRNA ligase [Clostridiales] 
WP_007286255.1	coproporphyrinogen dehydrogenase HemZ [Intestinibacter bartlettii] 
WP_007286256.1	hydrolase [Intestinibacter bartlettii] 
WP_007286257.1	D-tyrosyl-tRNA(Tyr) deacylase [Intestinibacter bartlettii] 
WP_007286258.1	(p)ppGpp synthetase [Intestinibacter bartlettii] 
WP_007286259.1	adenine phosphoribosyltransferase [Intestinibacter bartlettii] 
WP_007286260.1	single-stranded-DNA-specific exonuclease RecJ [Intestinibacter bartlettii] 
WP_007286261.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286264.1	ABC transporter [Intestinibacter bartlettii] 
WP_007286265.1	molybdenum ABC transporter permease subunit [Intestinibacter bartlettii] 
WP_007286266.1	molybdate ABC transporter substrate-binding protein [Intestinibacter bartlettii] 
WP_007286269.1	membrane protein [Intestinibacter bartlettii] 
WP_007286270.1	preprotein translocase subunit YajC [Intestinibacter bartlettii] 
WP_007286271.1	MULTISPECIES: tRNA guanosine(34) transglycosylase Tgt [Clostridiales] 
WP_007286273.1	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA [Intestinibacter bartlettii] 
WP_007286274.1	MULTISPECIES: Holliday junction DNA helicase RuvB [Clostridiales] 
WP_007286275.1	Holliday junction ATP-dependent DNA helicase RuvA [Intestinibacter bartlettii] 
WP_007286276.1	crossover junction endodeoxyribonuclease RuvC [Intestinibacter bartlettii] 
WP_007286277.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286279.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286280.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286282.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286283.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286284.1	NAD(+) synthase [Intestinibacter bartlettii] 
WP_007286285.1	MULTISPECIES: butyrate kinase [Clostridiales] 
WP_007286286.1	MULTISPECIES: phosphate butyryltransferase [Clostridiales] 
WP_007286289.1	MULTISPECIES: 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [Clostridiales] 
WP_007286290.1	MULTISPECIES: MFS transporter [Clostridiales] 
WP_007286291.1	3-methyl-2-oxobutanoate dehydrogenase subunit VorB [Intestinibacter bartlettii] 
WP_007286292.1	MULTISPECIES: 2-oxoacid:acceptor oxidoreductase subunit delta [Clostridiales] 
WP_007286293.1	ATP-binding protein [Intestinibacter bartlettii] 
WP_007286294.1	aminotransferase [Intestinibacter bartlettii] 
WP_007286295.1	MATE family efflux transporter [Intestinibacter bartlettii] 
WP_007286296.1	DNA-binding protein [Intestinibacter bartlettii] 
WP_007286297.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286298.1	MarR family transcriptional regulator [Intestinibacter bartlettii] 
WP_007286300.1	methyltetrahydrofolate--corrinoid methyltransferase [Intestinibacter bartlettii] 
WP_007286301.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286302.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286304.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286305.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286306.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286307.1	transcriptional regulator [Intestinibacter bartlettii] 
WP_007286308.1	NAD(+) synthetase [Intestinibacter bartlettii] 
WP_007286309.1	MULTISPECIES: permease [Clostridiales] 
WP_007286310.1	permease [Intestinibacter bartlettii] 
WP_007286311.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286312.1	YigZ family protein [Intestinibacter bartlettii] 
WP_007286313.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286314.1	MULTISPECIES: GTPase HflX [Clostridiales] 
WP_007286315.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286316.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286318.1	membrane protein [Intestinibacter bartlettii] 
WP_007286319.1	MULTISPECIES: heme ABC transporter ATP-binding protein [Clostridiales] 
WP_007286320.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286322.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286324.1	penicillin-binding protein [Intestinibacter bartlettii] 
WP_007286326.1	stage V sporulation protein AD [Intestinibacter bartlettii] 
WP_007286327.1	MULTISPECIES: stage V sporulation protein AC [Clostridiales] 
WP_007286328.1	RNA polymerase sigma-F factor [Intestinibacter bartlettii] 
WP_007286329.1	MULTISPECIES: anti-sigma F factor [Clostridiales] 
WP_007286330.1	MULTISPECIES: anti-sigma F factor antagonist [Clostridiales] 
WP_007286331.1	MULTISPECIES: folate transporter FolT [Clostridiales] 
WP_007286332.1	RNA helicase [Intestinibacter bartlettii] 
WP_007286333.1	sodium:calcium antiporter [Intestinibacter bartlettii] 
WP_007286335.1	MULTISPECIES: formate acetyltransferase [Clostridiales] 
WP_007286336.1	MULTISPECIES: pyruvate formate-lyase 1-activating enzyme [Clostridiales] 
WP_007286337.1	MULTISPECIES: camphor resistance protein CrcB [Clostridiales] 
WP_007286339.1	cysteine desulfurase [Intestinibacter bartlettii] 
WP_007286340.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286342.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286343.1	L-asparaginase [Intestinibacter bartlettii] 
WP_007286344.1	MULTISPECIES: peptide ABC transporter ATP-binding protein [Clostridiales] 
WP_007286345.1	MULTISPECIES: amino acid ABC transporter permease [Clostridiales] 
WP_007286348.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286349.1	MULTISPECIES: methyltransferase [Clostridiales] 
WP_007286351.1	MULTISPECIES: branched-chain amino acid transporter [Clostridiales] 
WP_007286353.1	zinc transporter [Intestinibacter bartlettii] 
WP_007286354.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286355.1	MULTISPECIES: RNA-binding protein [Clostridiales] 
WP_007286356.1	ferredoxin [Intestinibacter bartlettii] 
WP_007286357.1	MULTISPECIES: glycine cleavage system protein H [Clostridiales] 
WP_007286359.1	carbon monoxide dehydrogenase [Intestinibacter bartlettii] 
WP_007286360.1	acetyl-CoA synthase subunit gamma [Intestinibacter bartlettii] 
WP_007286361.1	MULTISPECIES: acetyl-CoA synthase subunit delta [Clostridiales] 
WP_007286362.1	MULTISPECIES: carbon monoxide dehydrogenase [Clostridiales] 
WP_007286363.1	MULTISPECIES: dihydrolipoyl dehydrogenase [Clostridiales] 
WP_007286364.1	MULTISPECIES: 5,10-methylenetetrahydrofolate reductase [Clostridiales] 
WP_007286365.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286366.1	MULTISPECIES: bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/5,10-methylene-tetrahydrofolate cyclohydrolase [Clostridiales] 
WP_007286367.1	MULTISPECIES: sugar ABC transporter substrate-binding protein [Clostridiales] 
WP_007286372.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286374.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286375.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286376.1	arginine--tRNA ligase [Intestinibacter bartlettii] 
WP_007286377.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286378.1	DNA mismatch repair protein MutS [Intestinibacter bartlettii] 
WP_007286379.1	thiamine ABC transporter permease [Intestinibacter bartlettii] 
WP_007286380.1	aminoacyl-histidine dipeptidase [Intestinibacter bartlettii] 
WP_007286382.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286383.1	aspartate 4-decarboxylase [Intestinibacter bartlettii] 
WP_007286384.1	MULTISPECIES: DUF378 domain-containing protein [Clostridiales] 
WP_007286385.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286386.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286387.1	protease [Intestinibacter bartlettii] 
WP_007286388.1	M18 family aminopeptidase [Intestinibacter bartlettii] 
WP_007286389.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286390.1	phenylalanine--tRNA ligase subunit beta [Intestinibacter bartlettii] 
WP_007286391.1	MULTISPECIES: phenylalanine--tRNA ligase subunit alpha [Clostridiales] 
WP_007286392.1	RNA methyltransferase [Intestinibacter bartlettii] 
WP_007286393.1	potassium transporter Trk [Intestinibacter bartlettii] 
WP_007286394.1	Trk family potassium uptake protein [Intestinibacter bartlettii] 
WP_007286395.1	MULTISPECIES: 50S ribosomal protein L20 [Clostridiales] 
WP_007286396.1	MULTISPECIES: 50S ribosomal protein L35 [Clostridiales] 
WP_007286397.1	MULTISPECIES: translation initiation factor IF-3 partial [Clostridiales] 
WP_007286400.1	MATE family efflux transporter [Intestinibacter bartlettii] 
WP_007286404.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286405.1	threonine--tRNA ligase [Intestinibacter bartlettii] 
WP_007286406.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286407.1	MULTISPECIES: branched-chain amino acid ABC transporter permease [Clostridiales] 
WP_007286408.1	ABC transporter permease [Intestinibacter bartlettii] 
WP_007286409.1	MULTISPECIES: heme ABC transporter ATP-binding protein [Clostridiales] 
WP_007286410.1	BMP family ABC transporter substrate-binding protein [Intestinibacter bartlettii] 
WP_007286411.1	MULTISPECIES: BMP family ABC transporter substrate-binding protein [Clostridiales] 
WP_007286412.1	MULTISPECIES: 6-phosphogluconate dehydratase [Clostridiales] 
WP_007286413.1	MULTISPECIES: tRNA (cytidine(34)-2'-O)-methyltransferase [Clostridiales] 
WP_007286415.1	endonuclease III [Intestinibacter bartlettii] 
WP_007286416.1	ATP-binding protein [Intestinibacter bartlettii] 
WP_007286418.1	MULTISPECIES: endonuclease [Clostridiales] 
WP_007286419.1	aldo/keto reductase [Intestinibacter bartlettii] 
WP_007286420.1	MULTISPECIES: transcriptional regulator [Clostridiales] 
WP_007286421.1	ATPase AAA [Intestinibacter bartlettii] 
WP_007286424.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286425.1	peptidoglycan-binding protein [Intestinibacter bartlettii] 
WP_007286426.1	GTPase HflX [Intestinibacter bartlettii] 
WP_007286427.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(Q) [Intestinibacter bartlettii] 
WP_007286428.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286429.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286431.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286432.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286433.1	DNA-binding response regulator [Intestinibacter bartlettii] 
WP_007286434.1	membrane protein [Intestinibacter bartlettii] 
WP_007286436.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286437.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286438.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286439.1	glycine/betaine ABC transporter permease [Intestinibacter bartlettii] 
WP_007286440.1	corrinoid methyltransferase [Intestinibacter bartlettii] 
WP_007286441.1	methyltetrahydrofolate--corrinoid methyltransferase [Intestinibacter bartlettii] 
WP_007286442.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286443.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286444.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286445.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286447.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286448.1	membrane protein [Intestinibacter bartlettii] 
WP_007286449.1	acetyltransferase [Intestinibacter bartlettii] 
WP_007286450.1	amidotransferase [Intestinibacter bartlettii] 
WP_007286451.1	MATE family efflux transporter [Intestinibacter bartlettii] 
WP_007286453.1	dihydroxyacetone kinase [Intestinibacter bartlettii] 
WP_007286454.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286455.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286457.1	23S rRNA (uracil-5-)-methyltransferase RumA [Intestinibacter bartlettii] 
WP_007286459.1	MULTISPECIES: fructose-1,6-bisphosphate aldolase class II [Clostridiales] 
WP_007286460.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286461.1	MULTISPECIES: hydrolase [Clostridiales] 
WP_007286464.1	MULTISPECIES: GTP pyrophosphokinase [Clostridiales] 
WP_007286465.1	MULTISPECIES: MBL fold hydrolase [Clostridiales] 
WP_007286466.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286467.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007286468.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007286471.1	inorganic pyrophosphatase [Intestinibacter bartlettii] 
WP_007286472.1	MULTISPECIES: peptidyl-prolyl cis-trans isomerase [Clostridiales] 
