gi|491802668|ref|WP_005608258.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491804021|ref|WP_005609357.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804023|ref|WP_005609359.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804025|ref|WP_005609361.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804027|ref|WP_005609363.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804028|ref|WP_005609364.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804029|ref|WP_005609365.1|	multidrug transporter [Ruminococcus lactaris] 
gi|491804031|ref|WP_005609367.1|	ATP-dependent DNA helicase RecG [Ruminococcus lactaris] 
gi|491804032|ref|WP_005609368.1|	peptidase S8 [Ruminococcus lactaris] 
gi|491804034|ref|WP_005609370.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804035|ref|WP_005609371.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804036|ref|WP_005609372.1|	rubrerythrin [Ruminococcus lactaris] 
gi|491804037|ref|WP_005609373.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804038|ref|WP_005609374.1|	glycosyl transferase [Ruminococcus lactaris] 
gi|491804039|ref|WP_005609375.1|	6-phosphofructokinase [Ruminococcus lactaris] 
gi|491804040|ref|WP_005609376.1|	galactose mutarotase [Ruminococcus lactaris] 
gi|491804056|ref|WP_005609392.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804057|ref|WP_005609393.1|	galactose-1-phosphate uridylyltransferase [Ruminococcus lactaris] 
gi|491804058|ref|WP_005609394.1|	galactokinase [Ruminococcus lactaris] 
gi|491804060|ref|WP_005609396.1|	AraC family transcriptional reguator [Ruminococcus lactaris] 
gi|491804062|ref|WP_005609398.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804064|ref|WP_005609400.1|	ATPase AAA [Ruminococcus lactaris] 
gi|491804065|ref|WP_005609401.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804068|ref|WP_005609404.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804069|ref|WP_005609405.1|	malate dehydrogenase [Ruminococcus lactaris] 
gi|491804075|ref|WP_005609411.1|	transcriptional regulator [Ruminococcus lactaris] 
gi|491804077|ref|WP_005609413.1|	histidine kinase [Ruminococcus lactaris] 
gi|491804082|ref|WP_005609418.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491804084|ref|WP_005609420.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804086|ref|WP_005609422.1|	addiction module toxin RelE [Ruminococcus lactaris] 
gi|491804088|ref|WP_005609424.1|	XRE family transcriptional regulator [Ruminococcus lactaris] 
gi|491804090|ref|WP_005609426.1|	transposase IS116/IS110/IS902 family [Ruminococcus lactaris] 
gi|491804091|ref|WP_005609427.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804093|ref|WP_005609429.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804094|ref|WP_005609430.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804096|ref|WP_005609432.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804098|ref|WP_005609434.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804099|ref|WP_005609435.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804100|ref|WP_005609436.1|	methylase [Ruminococcus lactaris] 
gi|491804101|ref|WP_005609437.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804102|ref|WP_005609438.1|	serine recombinase [Ruminococcus lactaris] 
gi|491804103|ref|WP_005609439.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804104|ref|WP_005609440.1|	DNA-binding protein [Ruminococcus lactaris] 
gi|491804105|ref|WP_005609441.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804106|ref|WP_005609442.1|	FMN reductase [Ruminococcus lactaris] 
gi|491804107|ref|WP_005609443.1|	methionyl-tRNA synthetase [Ruminococcus lactaris] 
gi|491804108|ref|WP_005609444.1|	integrase [Ruminococcus lactaris] 
gi|491804109|ref|WP_005609445.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804112|ref|WP_005609446.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804115|ref|WP_005609448.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804119|ref|WP_005609451.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491804124|ref|WP_005609454.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804130|ref|WP_005609458.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804134|ref|WP_005609461.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804141|ref|WP_005609464.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491804144|ref|WP_005609466.1|	addiction module toxin RelE [Ruminococcus lactaris] 
gi|491804147|ref|WP_005609468.1|	XRE family transcriptional regulator [Ruminococcus lactaris] 
gi|491804150|ref|WP_005609470.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804153|ref|WP_005609472.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804155|ref|WP_005609473.1|	multidrug ABC transporter [Ruminococcus lactaris] 
gi|491473092|ref|WP_005330844.1|	MULTISPECIES: bacteriocin ABC transporter permease [Clostridiales] 
gi|490991665|ref|WP_004853398.1|	MULTISPECIES: bacteriocin ABC transporter permease [Clostridiales] 
gi|491804171|ref|WP_005609481.1|	MULTISPECIES: lantibiotic ABC transporter ATP-binding protein [Clostridiales] 
gi|491804174|ref|WP_005609483.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804177|ref|WP_005609484.1|	lysyl-tRNA synthetase [Ruminococcus lactaris] 
gi|491804179|ref|WP_005609485.1|	transcription elongation factor GreA [Ruminococcus lactaris] 
gi|491804181|ref|WP_005609486.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804183|ref|WP_005609487.1|	ATP-dependent protease [Ruminococcus lactaris] 
gi|491804186|ref|WP_005609488.1|	ferredoxin [Ruminococcus lactaris] 
gi|491804189|ref|WP_005609490.1|	NADH dehydrogenase [Ruminococcus lactaris] 
gi|491804192|ref|WP_005609492.1|	NADH dehydrogenase [Ruminococcus lactaris] 
gi|491804194|ref|WP_005609493.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804196|ref|WP_005609494.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804198|ref|WP_005609495.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804200|ref|WP_005609496.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804202|ref|WP_005609497.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804205|ref|WP_005609499.1|	alpha/beta hydrolase [Ruminococcus lactaris] 
gi|491804209|ref|WP_005609501.1|	citrate synthase [Ruminococcus lactaris] 
gi|491804211|ref|WP_005609502.1|	16S rRNA methyltransferase [Ruminococcus lactaris] 
gi|491804213|ref|WP_005609503.1|	hydrolase TatD [Ruminococcus lactaris] 
gi|491804215|ref|WP_005609504.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804217|ref|WP_005609505.1|	biotin--acetyl-CoA-carboxylase ligase [Ruminococcus lactaris] 
gi|491804219|ref|WP_005609506.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804221|ref|WP_005609507.1|	RNA methyltransferase [Ruminococcus lactaris] 
gi|491804223|ref|WP_005609508.1|	potassium transporter Trk [Ruminococcus lactaris] 
gi|491804225|ref|WP_005609509.1|	potassium transporter KtrB [Ruminococcus lactaris] 
gi|491804227|ref|WP_005609510.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804229|ref|WP_005609511.1|	aminotransferase [Ruminococcus lactaris] 
gi|491804231|ref|WP_005609512.1|	cystathionine beta-lyase [Ruminococcus lactaris] 
gi|491804233|ref|WP_005609513.1|	Rrf2 family transcriptional regulator [Ruminococcus lactaris] 
gi|491804235|ref|WP_005609514.1|	O-acetylhomoserine aminocarboxypropyltransferase [Ruminococcus lactaris] 
gi|491804237|ref|WP_005609515.1|	cysteine synthase [Ruminococcus lactaris] 
gi|491804239|ref|WP_005609516.1|	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Ruminococcus lactaris] 
gi|491804241|ref|WP_005609517.1|	shikimate kinase [Ruminococcus lactaris] 
gi|491804259|ref|WP_005609525.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491804263|ref|WP_005609527.1|	transcription termination factor Rho [Ruminococcus lactaris] 
gi|491804266|ref|WP_005609529.1|	MULTISPECIES: 50S ribosomal protein L31 [Clostridiales] 
gi|491804271|ref|WP_005609532.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804275|ref|WP_005609534.1|	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase [Ruminococcus lactaris] 
gi|491804278|ref|WP_005609536.1|	peptide chain release factor 1 [Ruminococcus lactaris] 
gi|491804281|ref|WP_005609537.1|	aspartate aminotransferase [Ruminococcus lactaris] 
gi|491804284|ref|WP_005609538.1|	histidinol-phosphate aminotransferase [Ruminococcus lactaris] 
gi|491804286|ref|WP_005609539.1|	small multi-drug export protein [Ruminococcus lactaris] 
gi|491804288|ref|WP_005609540.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804292|ref|WP_005609542.1|	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase [Ruminococcus lactaris] 
gi|491804294|ref|WP_005609543.1|	DNA polymerase III subunit alpha [Ruminococcus lactaris] 
gi|491804296|ref|WP_005609544.1|	serine hydroxymethyltransferase [Ruminococcus lactaris] 
gi|491804299|ref|WP_005609545.1|	exonuclease SbcD [Ruminococcus lactaris] 
gi|491804302|ref|WP_005609546.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804304|ref|WP_005609547.1|	phenylacetate-CoA ligase [Ruminococcus lactaris] 
gi|491804306|ref|WP_005609548.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804308|ref|WP_005609549.1|	indolepyruvate oxidoreductase [Ruminococcus lactaris] 
gi|491804310|ref|WP_005609550.1|	amino acid-binding protein [Ruminococcus lactaris] 
gi|491804313|ref|WP_005609552.1|	phenylacetate-CoA ligase [Ruminococcus lactaris] 
gi|491804315|ref|WP_005609553.1|	amino acid-binding protein [Ruminococcus lactaris] 
gi|491804319|ref|WP_005609554.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804321|ref|WP_005609555.1|	cold-shock protein [Ruminococcus lactaris] 
gi|491804323|ref|WP_005609556.1|	DeoR family transcriptional regulator [Ruminococcus lactaris] 
gi|491804325|ref|WP_005609557.1|	1-phosphofructokinase [Ruminococcus lactaris] 
gi|491804327|ref|WP_005609558.1|	PTS fructose transporter subunit IIC [Ruminococcus lactaris] 
gi|491804329|ref|WP_005609559.1|	PTS galactitol transporter subunit IIC [Ruminococcus lactaris] 
gi|491804332|ref|WP_005609561.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804336|ref|WP_005609563.1|	membrane protein [Ruminococcus lactaris] 
gi|491804339|ref|WP_005609565.1|	peptidase [Ruminococcus lactaris] 
gi|491804342|ref|WP_005609567.1|	helicase [Ruminococcus lactaris] 
gi|491804345|ref|WP_005609569.1|	LysR family transcriptional regulator [Ruminococcus lactaris] 
gi|491804348|ref|WP_005609571.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804351|ref|WP_005609573.1|	phosphoribosylformylglycinamidine synthase [Ruminococcus lactaris] 
gi|491804354|ref|WP_005609575.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804356|ref|WP_005609576.1|	ABC transporter permease [Ruminococcus lactaris] 
gi|491804359|ref|WP_005609578.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804362|ref|WP_005609580.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804365|ref|WP_005609582.1|	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Ruminococcus lactaris] 
gi|491804369|ref|WP_005609584.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804372|ref|WP_005609586.1|	serine O-acetyltransferase [Ruminococcus lactaris] 
gi|491804374|ref|WP_005609587.1|	cysteinyl-tRNA synthetase [Ruminococcus lactaris] 
gi|491804377|ref|WP_005609589.1|	ribonuclease III [Ruminococcus lactaris] 
gi|491804379|ref|WP_005609590.1|	RNA methyltransferase [Ruminococcus lactaris] 
gi|491804383|ref|WP_005609592.1|	RNA polymerase sigma 70 [Ruminococcus lactaris] 
gi|491804385|ref|WP_005609593.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804387|ref|WP_005609594.1|	D-tyrosyl-tRNA(Tyr) deacylase [Ruminococcus lactaris] 
gi|491804390|ref|WP_005609596.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804392|ref|WP_005609597.1|	AsnC family transcriptional regulator [Ruminococcus lactaris] 
gi|491804394|ref|WP_005609598.1|	multidrug transporter MatE [Ruminococcus lactaris] 
gi|491804397|ref|WP_005609600.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804399|ref|WP_005609601.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804403|ref|WP_005609603.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804405|ref|WP_005609604.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804407|ref|WP_005609605.1|	DNA mistmatch repair protein MutT [Ruminococcus lactaris] 
gi|491804409|ref|WP_005609606.1|	glutaminyl-tRNA synthetase [Ruminococcus lactaris] 
gi|491804411|ref|WP_005609607.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804413|ref|WP_005609608.1|	adenylosuccinate synthetase [Ruminococcus lactaris] 
gi|491804415|ref|WP_005609609.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804418|ref|WP_005609611.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804422|ref|WP_005609613.1|	preprotein translocase SecA [Ruminococcus lactaris] 
gi|491804425|ref|WP_005609615.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804428|ref|WP_005609617.1|	membrane protein [Ruminococcus lactaris] 
gi|491804432|ref|WP_005609619.1|	homoserine O-succinyltransferase [Ruminococcus lactaris] 
gi|491804435|ref|WP_005609621.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804438|ref|WP_005609623.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804865|ref|WP_005609625.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804869|ref|WP_005609628.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804872|ref|WP_005609630.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804878|ref|WP_005609633.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804881|ref|WP_005609635.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804884|ref|WP_005609637.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804887|ref|WP_005609639.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804890|ref|WP_005609641.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491804909|ref|WP_005609648.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804911|ref|WP_005609649.1|	membrane protein [Ruminococcus lactaris] 
gi|491804913|ref|WP_005609650.1|	carbamate kinase [Ruminococcus lactaris] 
gi|491804915|ref|WP_005609651.1|	hemolysin [Ruminococcus lactaris] 
gi|491804917|ref|WP_005609652.1|	asparagine synthase [Ruminococcus lactaris] 
gi|491804920|ref|WP_005609654.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804922|ref|WP_005609655.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804924|ref|WP_005609656.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804927|ref|WP_005609658.1|	DNA methylase [Ruminococcus lactaris] 
gi|491804929|ref|WP_005609659.1|	ankyrin [Ruminococcus lactaris] 
gi|491804932|ref|WP_005609660.1|	cytochrome C biogenesis protein [Ruminococcus lactaris] 
gi|491804935|ref|WP_005609662.1|	peptide deformylase [Ruminococcus lactaris] 
gi|491804937|ref|WP_005609663.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804939|ref|WP_005609664.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804942|ref|WP_005609666.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804944|ref|WP_005609667.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804947|ref|WP_005609669.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804949|ref|WP_005609670.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804951|ref|WP_005609671.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804953|ref|WP_005609672.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804956|ref|WP_005609674.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804958|ref|WP_005609675.1|	CRISPR-associated protein Cas2 [Ruminococcus lactaris] 
gi|491804960|ref|WP_005609676.1|	CRISPR-associated protein Cas1 [Ruminococcus lactaris] 
gi|491804962|ref|WP_005609677.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804965|ref|WP_005609679.1|	dihydrodipicolinate reductase [Ruminococcus lactaris] 
gi|491804969|ref|WP_005609681.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804974|ref|WP_005609685.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804977|ref|WP_005609687.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804980|ref|WP_005609689.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804983|ref|WP_005609690.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804985|ref|WP_005609691.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804987|ref|WP_005609692.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804990|ref|WP_005609693.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804992|ref|WP_005609694.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804994|ref|WP_005609695.1|	ABC transporter [Ruminococcus lactaris] 
gi|491804996|ref|WP_005609696.1|	adenine deaminase [Ruminococcus lactaris] 
gi|491804998|ref|WP_005609697.1|	adenine deaminase [Ruminococcus lactaris] 
gi|491805000|ref|WP_005609698.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805002|ref|WP_005609699.1|	ATP-binding protein [Ruminococcus lactaris] 
gi|491805004|ref|WP_005609700.1|	ATPase [Ruminococcus lactaris] 
gi|491805006|ref|WP_005609701.1|	thiamine biosynthesis protein ThiF [Ruminococcus lactaris] 
gi|491805008|ref|WP_005609702.1|	tRNA methyltransferase [Ruminococcus lactaris] 
gi|491805010|ref|WP_005609703.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805022|ref|WP_005609704.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805024|ref|WP_005609705.1|	histidinol-phosphate aminotransferase [Ruminococcus lactaris] 
gi|491805026|ref|WP_005609706.1|	sugar transporter [Ruminococcus lactaris] 
gi|491805028|ref|WP_005609707.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805032|ref|WP_005609709.1|	DEAD/DEAH box helicase [Ruminococcus lactaris] 
gi|491805034|ref|WP_005609710.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805036|ref|WP_005609711.1|	multidrug transporter MatE [Ruminococcus lactaris] 
gi|491805038|ref|WP_005609712.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805043|ref|WP_005609715.1|	signal peptidase [Ruminococcus lactaris] 
gi|491805045|ref|WP_005609716.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805048|ref|WP_005609718.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805051|ref|WP_005609719.1|	cytidylate kinase [Ruminococcus lactaris] 
gi|491805054|ref|WP_005609721.1|	amino acid ABC transporter ATPase [Ruminococcus lactaris] 
gi|491805056|ref|WP_005609722.1|	branched-chain amino acid ABC transporter ATP-binding protein [Ruminococcus lactaris] 
gi|491805058|ref|WP_005609723.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805060|ref|WP_005609724.1|	ABC transporter permease [Ruminococcus lactaris] 
gi|491805062|ref|WP_005609725.1|	C4-dicarboxylate ABC transporter [Ruminococcus lactaris] 
gi|491805064|ref|WP_005609726.1|	C4-dicarboxylate ABC transporter permease [Ruminococcus lactaris] 
gi|491805066|ref|WP_005609727.1|	C4-dicarboxylate ABC transporter substrate-binding protein [Ruminococcus lactaris] 
gi|491805068|ref|WP_005609728.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805070|ref|WP_005609729.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805072|ref|WP_005609730.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805075|ref|WP_005609732.1|	3-dehydroquinate dehydratase [Ruminococcus lactaris] 
gi|491805078|ref|WP_005609734.1|	MFS transporter [Ruminococcus lactaris] 
gi|491805081|ref|WP_005609736.1|	shikimate 5-dehydrogenase [Ruminococcus lactaris] 
gi|491805085|ref|WP_005609739.1|	LysR family transcriptional regulator [Ruminococcus lactaris] 
gi|491805088|ref|WP_005609741.1|	LysR family transcriptional regulator [Ruminococcus lactaris] 
gi|491805091|ref|WP_005609743.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805096|ref|WP_005609746.1|	2,4-dienoyl-CoA reductase [Ruminococcus lactaris] 
gi|491805099|ref|WP_005609748.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805103|ref|WP_005609750.1|	amino acid ABC transporter substrate-binding protein [Ruminococcus lactaris] 
gi|491805105|ref|WP_005609752.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805109|ref|WP_005609754.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491805124|ref|WP_005609759.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805127|ref|WP_005609760.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805129|ref|WP_005609761.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805132|ref|WP_005609762.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805134|ref|WP_005609763.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805136|ref|WP_005609764.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805139|ref|WP_005609766.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491804018|ref|WP_005609354.1|	transposase [Ruminococcus lactaris] 
gi|491804019|ref|WP_005609355.1|	integrase [Ruminococcus lactaris] 
gi|491805141|ref|WP_005609767.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805145|ref|WP_005609770.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805147|ref|WP_005609771.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805151|ref|WP_005609773.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805154|ref|WP_005609775.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805156|ref|WP_005609776.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805158|ref|WP_005609777.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805161|ref|WP_005609779.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805164|ref|WP_005609781.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805167|ref|WP_005609783.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805169|ref|WP_005609784.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805172|ref|WP_005609785.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805174|ref|WP_005609786.1|	transglutaminase [Ruminococcus lactaris] 
gi|491805176|ref|WP_005609787.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805179|ref|WP_005609788.1|	transcriptional regulator [Ruminococcus lactaris] 
gi|491805181|ref|WP_005609789.1|	histidine kinase [Ruminococcus lactaris] 
gi|491805183|ref|WP_005609790.1|	ABC transporter ATP-binding protein [Ruminococcus lactaris] 
gi|491805186|ref|WP_005609791.1|	cytochrome C [Ruminococcus lactaris] 
gi|491805188|ref|WP_005609792.1|	glycosyl transferase family 2 [Ruminococcus lactaris] 
gi|491805190|ref|WP_005609793.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805192|ref|WP_005609794.1|	diaminopimelate aminotransferase [Ruminococcus lactaris] 
gi|491805194|ref|WP_005609795.1|	deoxyuridine 5'-triphosphate nucleotidohydrolase [Ruminococcus lactaris] 
gi|491805196|ref|WP_005609796.1|	stage V sporulation protein AF [Ruminococcus lactaris] 
gi|491805200|ref|WP_005609798.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805203|ref|WP_005609800.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805206|ref|WP_005609801.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491805216|ref|WP_005609802.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491805219|ref|WP_005609804.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805221|ref|WP_005609805.1|	sodium:solute symporter [Ruminococcus lactaris] 
gi|491805224|ref|WP_005609806.1|	oxidoreductase [Ruminococcus lactaris] 
gi|491805226|ref|WP_005609807.1|	UDP-N-acetylglucosamine pyrophosphorylase [Ruminococcus lactaris] 
gi|491805228|ref|WP_005609808.1|	dehydrogenase [Ruminococcus lactaris] 
gi|491805230|ref|WP_005609809.1|	DNA topoisomerase III [Ruminococcus lactaris] 
gi|491805232|ref|WP_005609810.1|	aldose 1-epimerase [Ruminococcus lactaris] 
gi|491805234|ref|WP_005609811.1|	polyphosphate kinase [Ruminococcus lactaris] 
gi|491805236|ref|WP_005609812.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805239|ref|WP_005609814.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805241|ref|WP_005609815.1|	heme ABC transporter ATP-binding protein [Ruminococcus lactaris] 
gi|491805242|ref|WP_005609816.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491805259|ref|WP_005609820.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805257|ref|WP_005609819.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805261|ref|WP_005609821.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805263|ref|WP_005609822.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805265|ref|WP_005609823.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805268|ref|WP_005609824.1|	PucR family transcriptional regulator [Ruminococcus lactaris] 
gi|491805270|ref|WP_005609825.1|	sugar ABC transporter ATP-binding protein [Ruminococcus lactaris] 
gi|491805272|ref|WP_005609826.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805275|ref|WP_005609828.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805277|ref|WP_005609829.1|	phosphomethylpyrimidine synthase [Ruminococcus lactaris] 
gi|491805279|ref|WP_005609830.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805282|ref|WP_005609831.1|	peptidylprolyl isomerase [Ruminococcus lactaris] 
gi|491805285|ref|WP_005609832.1|	heat shock protein Hsp90 [Ruminococcus lactaris] 
gi|491805288|ref|WP_005609833.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805290|ref|WP_005609834.1|	uracil permease [Ruminococcus lactaris] 
gi|491805294|ref|WP_005609837.1|	phospholipase [Ruminococcus lactaris] 
gi|491805297|ref|WP_005609839.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805302|ref|WP_005609842.1|	alginate regulatory protein [Ruminococcus lactaris] 
gi|491805305|ref|WP_005609844.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805308|ref|WP_005609846.1|	pseudouridylate synthase [Ruminococcus lactaris] 
gi|491805312|ref|WP_005609848.1|	DNA ligase [Ruminococcus lactaris] 
gi|491805316|ref|WP_005609850.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491805319|ref|WP_005609852.1|	ATPase AAA [Ruminococcus lactaris] 
gi|491805322|ref|WP_005609853.1|	hypothetical protein [Ruminococcus lactaris] 
