gi|493773704|ref|WP_006722204.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774031|ref|WP_006722527.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774032|ref|WP_006722528.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774033|ref|WP_006722529.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774034|ref|WP_006722530.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774035|ref|WP_006722531.1|	30S ribosomal protein S15 [Collinsella intestinalis] 
gi|493774036|ref|WP_006722532.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774037|ref|WP_006722533.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774038|ref|WP_006722534.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774039|ref|WP_006722535.1|	3-dehydroquinate dehydratase [Collinsella intestinalis] 
gi|493774041|ref|WP_006722537.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774042|ref|WP_006722538.1|	chorismate synthase [Collinsella intestinalis] 
gi|493774043|ref|WP_006722539.1|	3-phosphoshikimate 1-carboxyvinyltransferase [Collinsella intestinalis] 
gi|493774044|ref|WP_006722540.1|	3-dehydroquinate synthase [Collinsella intestinalis] 
gi|493774045|ref|WP_006722541.1|	3-deoxy-7-phosphoheptulonate synthase [Collinsella intestinalis] 
gi|493774046|ref|WP_006722542.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774047|ref|WP_006722543.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774048|ref|WP_006722544.1|	DNA-binding protein [Collinsella intestinalis] 
gi|493774049|ref|WP_006722545.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774050|ref|WP_006722546.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774051|ref|WP_006722547.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774052|ref|WP_006722548.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774053|ref|WP_006722549.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774054|ref|WP_006722550.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774055|ref|WP_006722551.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774056|ref|WP_006722552.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774057|ref|WP_006722553.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774059|ref|WP_006722554.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774060|ref|WP_006722555.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774061|ref|WP_006722556.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774062|ref|WP_006722557.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774063|ref|WP_006722558.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774064|ref|WP_006722559.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774065|ref|WP_006722560.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774066|ref|WP_006722561.1|	single-stranded DNA-binding protein [Collinsella intestinalis] 
gi|493774067|ref|WP_006722562.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774068|ref|WP_006722563.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774069|ref|WP_006722564.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774070|ref|WP_006722565.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774071|ref|WP_006722566.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774072|ref|WP_006722567.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774073|ref|WP_006722568.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774074|ref|WP_006722569.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774075|ref|WP_006722570.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774076|ref|WP_006722571.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774077|ref|WP_006722572.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774078|ref|WP_006722573.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774079|ref|WP_006722574.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774080|ref|WP_006722575.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774081|ref|WP_006722576.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774082|ref|WP_006722577.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774083|ref|WP_006722578.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774084|ref|WP_006722579.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774085|ref|WP_006722580.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774086|ref|WP_006722581.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774087|ref|WP_006722582.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774088|ref|WP_006722583.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774089|ref|WP_006722584.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774090|ref|WP_006722585.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774091|ref|WP_006722586.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774092|ref|WP_006722587.1|	head protein [Collinsella intestinalis] 
gi|493774093|ref|WP_006722588.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774094|ref|WP_006722589.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774095|ref|WP_006722590.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774096|ref|WP_006722591.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774097|ref|WP_006722592.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774098|ref|WP_006722593.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774099|ref|WP_006722594.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774100|ref|WP_006722595.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774101|ref|WP_006722596.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774102|ref|WP_006722597.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774103|ref|WP_006722598.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774104|ref|WP_006722599.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774105|ref|WP_006722600.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774106|ref|WP_006722601.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774107|ref|WP_006722602.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774108|ref|WP_006722603.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774109|ref|WP_006722604.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774110|ref|WP_006722605.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774111|ref|WP_006722606.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774112|ref|WP_006722607.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774113|ref|WP_006722608.1|	haloacid dehalogenase [Collinsella intestinalis] 
gi|493774114|ref|WP_006722609.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774115|ref|WP_006722610.1|	peptidyl-prolyl cis-trans isomerase [Collinsella intestinalis] 
gi|493774116|ref|WP_006722611.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774117|ref|WP_006722612.1|	rod shape-determining protein Mbl [Collinsella intestinalis] 
gi|493774118|ref|WP_006722613.1|	rod shape-determining protein MreC [Collinsella intestinalis] 
gi|493774119|ref|WP_006722614.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774120|ref|WP_006722615.1|	penicillin-binding protein 2 [Collinsella intestinalis] 
gi|493774121|ref|WP_006722616.1|	rod shape-determining protein RodA [Collinsella intestinalis] 
gi|493774122|ref|WP_006722617.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774123|ref|WP_006722618.1|	radical SAM protein [Collinsella intestinalis] 
gi|493774124|ref|WP_006722619.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774126|ref|WP_006722621.1|	50S ribosomal protein L21 [Collinsella intestinalis] 
gi|493774127|ref|WP_006722622.1|	50S ribosomal protein L27 [Collinsella intestinalis] 
gi|493774128|ref|WP_006722623.1|	GTP-binding protein CgtA [Collinsella intestinalis] 
gi|493774129|ref|WP_006722624.1|	nicotinic acid mononucleotide adenylyltransferase [Collinsella intestinalis] 
gi|493774130|ref|WP_006722625.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774131|ref|WP_006722626.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774132|ref|WP_006722627.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774133|ref|WP_006722628.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774134|ref|WP_006722629.1|	DNA-directed DNA polymerase [Collinsella intestinalis] 
gi|493774135|ref|WP_006722630.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774136|ref|WP_006722631.1|	30S ribosomal protein S16 [Collinsella intestinalis] 
gi|493774138|ref|WP_006722632.1|	RNA-binding protein [Collinsella intestinalis] 
gi|493774139|ref|WP_006722633.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774140|ref|WP_006722634.1|	tRNA (guanine-N1)-methyltransferase [Collinsella intestinalis] 
gi|493774141|ref|WP_006722635.1|	signal peptidase I [Collinsella intestinalis] 
gi|493774142|ref|WP_006722636.1|	glycyl-tRNA synthetase subunit alpha [Collinsella intestinalis] 
gi|493774143|ref|WP_006722637.1|	glycyl-tRNA synthetase subunit beta [Collinsella intestinalis] 
gi|493774144|ref|WP_006722638.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774145|ref|WP_006722639.1|	pyruvate phosphate dikinase [Collinsella intestinalis] 
gi|493774146|ref|WP_006722640.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774147|ref|WP_006722641.1|	beta-lactamase [Collinsella intestinalis] 
gi|493774148|ref|WP_006722642.1|	cell division protein FtsK [Collinsella intestinalis] 
gi|493774149|ref|WP_006722643.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774150|ref|WP_006722644.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774151|ref|WP_006722645.1|	2-methylthioadenine synthetase [Collinsella intestinalis] 
gi|493774152|ref|WP_006722646.1|	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [Collinsella intestinalis] 
gi|493774153|ref|WP_006722647.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774154|ref|WP_006722648.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774155|ref|WP_006722649.1|	protein RecA [Collinsella intestinalis] 
gi|493774156|ref|WP_006722650.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774157|ref|WP_006722651.1|	ribonuclease [Collinsella intestinalis] 
gi|493774158|ref|WP_006722652.1|	ATPase [Collinsella intestinalis] 
gi|493774159|ref|WP_006722653.1|	stage V sporulation protein S [Collinsella intestinalis] 
gi|493774160|ref|WP_006722654.1|	2-methylthioadenine synthetase [Collinsella intestinalis] 
gi|493774161|ref|WP_006722655.1|	tRNA delta(2)-isopentenylpyrophosphate transferase [Collinsella intestinalis] 
gi|493774162|ref|WP_006722656.1|	GTP-binding proten HflX [Collinsella intestinalis] 
gi|493774163|ref|WP_006722657.1|	XRE family transcriptional regulator [Collinsella intestinalis] 
gi|493774164|ref|WP_006722658.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774165|ref|WP_006722659.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774166|ref|WP_006722660.1|	deoxyuridine 5'-triphosphate nucleotidohydrolase [Collinsella intestinalis] 
gi|493774167|ref|WP_006722661.1|	uracil permease [Collinsella intestinalis] 
gi|493774168|ref|WP_006722662.1|	glycosyl transferase [Collinsella intestinalis] 
gi|493774169|ref|WP_006722663.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [Collinsella intestinalis] 
gi|493774170|ref|WP_006722664.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774171|ref|WP_006722665.1|	adenine phosphoribosyltransferase [Collinsella intestinalis] 
gi|493774172|ref|WP_006722666.1|	MerR family transcripitonal regulator [Collinsella intestinalis] 
gi|493774173|ref|WP_006722667.1|	signal peptide protein [Collinsella intestinalis] 
gi|493774174|ref|WP_006722668.1|	CDP-alcohol phosphatidyltransferase [Collinsella intestinalis] 
gi|493774175|ref|WP_006722669.1|	phosphopantothenoylcysteine decarboxylase [Collinsella intestinalis] 
gi|493774176|ref|WP_006722670.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774177|ref|WP_006722671.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774178|ref|WP_006722672.1|	aminotransferase [Collinsella intestinalis] 
gi|493774179|ref|WP_006722673.1|	ribulose-phosphate 3-epimerase [Collinsella intestinalis] 
gi|493774180|ref|WP_006722674.1|	glycerol-3-phosphate dehydrogenase [Collinsella intestinalis] 
gi|493774181|ref|WP_006722675.1|	acyl-phosphate glycerol 3-phosphate acyltransferase [Collinsella intestinalis] 
gi|493774182|ref|WP_006722676.1|	GTP-binding protein Der [Collinsella intestinalis] 
gi|493774183|ref|WP_006722677.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774184|ref|WP_006722678.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774185|ref|WP_006722679.1|	hydroxymethylbutenyl pyrophosphate reductase [Collinsella intestinalis] 
gi|493774186|ref|WP_006722680.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774187|ref|WP_006722681.1|	cytidylate kinase [Collinsella intestinalis] 
gi|493774188|ref|WP_006722682.1|	pseudouridine synthase [Collinsella intestinalis] 
gi|493774189|ref|WP_006722683.1|	chromosome segregation and condensation protein ScpB [Collinsella intestinalis] 
gi|493774190|ref|WP_006722684.1|	chromosome segregation protein ScpA [Collinsella intestinalis] 
gi|493774191|ref|WP_006722685.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774192|ref|WP_006722686.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774193|ref|WP_006722687.1|	ABC transporter [Collinsella intestinalis] 
gi|493774194|ref|WP_006722688.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774195|ref|WP_006722689.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774196|ref|WP_006722690.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774197|ref|WP_006722691.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774198|ref|WP_006722692.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774199|ref|WP_006722693.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774200|ref|WP_006722694.1|	prolyl-tRNA synthetase [Collinsella intestinalis] 
gi|493774201|ref|WP_006722695.1|	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase [Collinsella intestinalis] 
gi|493774202|ref|WP_006722696.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774203|ref|WP_006722697.1|	1-deoxy-D-xylulose 5-phosphate reductoisomerase [Collinsella intestinalis] 
gi|493774204|ref|WP_006722698.1|	phosphatidate cytidylyltransferase [Collinsella intestinalis] 
gi|493774205|ref|WP_006722699.1|	UDP pyrophosphate synthase [Collinsella intestinalis] 
gi|493774206|ref|WP_006722700.1|	ribosome recycling factor [Collinsella intestinalis] 
gi|493774207|ref|WP_006722701.1|	uridylate kinase [Collinsella intestinalis] 
gi|493774208|ref|WP_006722702.1|	elongation factor Ts [Collinsella intestinalis] 
gi|493774209|ref|WP_006722703.1|	30S ribosomal protein S2 [Collinsella intestinalis] 
gi|493774210|ref|WP_006722704.1|	integrase [Collinsella intestinalis] 
gi|493774211|ref|WP_006722705.1|	tRNA methyltransferase [Collinsella intestinalis] 
gi|493774212|ref|WP_006722706.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774213|ref|WP_006722707.1|	magnesium chelatase subunit ChlI [Collinsella intestinalis] 
gi|493774214|ref|WP_006722708.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774215|ref|WP_006722709.1|	ribonuclease HII [Collinsella intestinalis] 
gi|493772737|ref|WP_006721252.1|	MULTISPECIES: 50S ribosomal protein L19 [Collinsella] 
gi|493774216|ref|WP_006722710.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774217|ref|WP_006722711.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774218|ref|WP_006722712.1|	cell division protein FtsH [Collinsella intestinalis] 
gi|493774219|ref|WP_006722713.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774220|ref|WP_006722714.1|	rRNA methyltransferase [Collinsella intestinalis] 
gi|493774221|ref|WP_006722715.1|	dihydrofolate reductase [Collinsella intestinalis] 
gi|493774222|ref|WP_006722716.1|	thymidylate synthase [Collinsella intestinalis] 
gi|493774223|ref|WP_006722717.1|	signal recognition particle protein Srp54 [Collinsella intestinalis] 
gi|493774224|ref|WP_006722718.1|	cell division protein FtsY [Collinsella intestinalis] 
gi|493774225|ref|WP_006722719.1|	chromosome segregation protein SMC [Collinsella intestinalis] 
gi|493774226|ref|WP_006722720.1|	ribonuclease III [Collinsella intestinalis] 
gi|493774227|ref|WP_006722721.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774228|ref|WP_006722722.1|	phosphate acyltransferase [Collinsella intestinalis] 
gi|493772755|ref|WP_006721270.1|	MULTISPECIES: 50S ribosomal protein L32 [Collinsella] 
gi|493774229|ref|WP_006722723.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774230|ref|WP_006722724.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774231|ref|WP_006722725.1|	phosphopantetheine adenylyltransferase [Collinsella intestinalis] 
gi|493774232|ref|WP_006722726.1|	rRNA methyltransferase [Collinsella intestinalis] 
gi|493774233|ref|WP_006722727.1|	helicase [Collinsella intestinalis] 
gi|493774234|ref|WP_006722728.1|	Dak phosphatase [Collinsella intestinalis] 
gi|493774235|ref|WP_006722729.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774236|ref|WP_006722730.1|	ABC transporter [Collinsella intestinalis] 
gi|493774237|ref|WP_006722731.1|	ABC transporter [Collinsella intestinalis] 
gi|493774238|ref|WP_006722732.1|	hypothetical protein [Collinsella intestinalis] 
gi|493772765|ref|WP_006721280.1|	MULTISPECIES: 50S ribosomal protein L28 [Collinsella] 
gi|493774239|ref|WP_006722733.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774240|ref|WP_006722734.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774241|ref|WP_006722735.1|	acetaldehyde dehydrogenase [Collinsella intestinalis] 
gi|493774242|ref|WP_006722736.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774243|ref|WP_006722737.1|	aminoglycoside phosphotransferase [Collinsella intestinalis] 
gi|493774244|ref|WP_006722738.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774245|ref|WP_006722739.1|	glycogen branching protein [Collinsella intestinalis] 
gi|493774246|ref|WP_006722740.1|	alpha-glucan phosphorylase [Collinsella intestinalis] 
gi|493774247|ref|WP_006722741.1|	glucose-1-phosphate adenylyltransferase [Collinsella intestinalis] 
gi|493774248|ref|WP_006722742.1|	glucose-1-phosphate adenylyltransferase [Collinsella intestinalis] 
gi|493774249|ref|WP_006722743.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774250|ref|WP_006722744.1|	4-alpha-glucanotransferase [Collinsella intestinalis] 
gi|493774251|ref|WP_006722745.1|	FmdB family transcriptional regulator [Collinsella intestinalis] 
gi|493774252|ref|WP_006722746.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774253|ref|WP_006722747.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774254|ref|WP_006722748.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774255|ref|WP_006722749.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774256|ref|WP_006722750.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774257|ref|WP_006722751.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774258|ref|WP_006722752.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774259|ref|WP_006722753.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774261|ref|WP_006722754.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774262|ref|WP_006722755.1|	transcriptional regulator [Collinsella intestinalis] 
gi|493774263|ref|WP_006722756.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774264|ref|WP_006722757.1|	methionyl-tRNA formyltransferase [Collinsella intestinalis] 
gi|493774265|ref|WP_006722758.1|	peptide deformylase [Collinsella intestinalis] 
gi|493774266|ref|WP_006722759.1|	primosomal protein N' [Collinsella intestinalis] 
gi|493774267|ref|WP_006722760.1|	S-adenosylmethionine synthetase [Collinsella intestinalis] 
gi|493774268|ref|WP_006722761.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774269|ref|WP_006722762.1|	glutamyl-tRNA synthetase [Collinsella intestinalis] 
gi|493774270|ref|WP_006722763.1|	serine dehydratase [Collinsella intestinalis] 
gi|493774271|ref|WP_006722764.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774272|ref|WP_006722765.1|	transcriptional regulator [Collinsella intestinalis] 
gi|493774273|ref|WP_006722766.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774274|ref|WP_006722767.1|	peptide ABC transporter ATP-binding protein [Collinsella intestinalis] 
gi|493774275|ref|WP_006722768.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774276|ref|WP_006722769.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774277|ref|WP_006722770.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774278|ref|WP_006722771.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774279|ref|WP_006722772.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774280|ref|WP_006722773.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774281|ref|WP_006722774.1|	peptide ABC transporter permease [Collinsella intestinalis] 
gi|493774282|ref|WP_006722775.1|	ABC transporter permease [Collinsella intestinalis] 
gi|493774283|ref|WP_006722776.1|	ABC transporter substrate-binding protein [Collinsella intestinalis] 
gi|493774284|ref|WP_006722777.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774285|ref|WP_006722778.1|	1-phosphofructokinase [Collinsella intestinalis] 
gi|493774286|ref|WP_006722779.1|	phosphoenolpyruvate-protein phosphotransferase [Collinsella intestinalis] 
gi|493774287|ref|WP_006722780.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774288|ref|WP_006722781.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774289|ref|WP_006722782.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774290|ref|WP_006722783.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774291|ref|WP_006722784.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774292|ref|WP_006722785.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774293|ref|WP_006722786.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774294|ref|WP_006722787.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774295|ref|WP_006722788.1|	glucose-1-phosphate thymidylyltransferase [Collinsella intestinalis] 
gi|493774296|ref|WP_006722789.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774297|ref|WP_006722790.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774298|ref|WP_006722791.1|	glycosyl transferase family 2 [Collinsella intestinalis] 
gi|493774299|ref|WP_006722792.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774300|ref|WP_006722793.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774301|ref|WP_006722794.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774302|ref|WP_006722795.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774303|ref|WP_006722796.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774304|ref|WP_006722797.1|	transposase [Collinsella intestinalis] 
gi|493774305|ref|WP_006722798.1|	integrase [Collinsella intestinalis] 
gi|493774306|ref|WP_006722799.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774307|ref|WP_006722800.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774308|ref|WP_006722801.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774309|ref|WP_006722802.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774310|ref|WP_006722803.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774311|ref|WP_006722804.1|	teichoic acid ABC transporter ATP-binding protein [Collinsella intestinalis] 
gi|493774312|ref|WP_006722805.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774313|ref|WP_006722806.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774314|ref|WP_006722807.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774315|ref|WP_006722808.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774316|ref|WP_006722809.1|	Rrf2 family transcriptional regulator [Collinsella intestinalis] 
gi|493774317|ref|WP_006722810.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774318|ref|WP_006722811.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493774319|ref|WP_006722812.1|	Fe-S cluster assembly protein SufB [Collinsella intestinalis] 
gi|493774320|ref|WP_006722813.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774321|ref|WP_006722814.1|	cysteine desulfurase [Collinsella intestinalis] 
gi|493774322|ref|WP_006722815.1|	nitrogen-fixing protein NifU [Collinsella intestinalis] 
gi|493774323|ref|WP_006722816.1|	glycine/betaine ABC transporter permease [Collinsella intestinalis] 
gi|493774324|ref|WP_006722817.1|	glycine/betaine ABC transporter substrate-binding protein [Collinsella intestinalis] 
gi|493774325|ref|WP_006722818.1|	glycine/betaine ABC transporter ATP-binding protein [Collinsella intestinalis] 
gi|493774326|ref|WP_006722819.1|	glycine/betaine ABC transporter permease [Collinsella intestinalis] 
gi|493774327|ref|WP_006722820.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774328|ref|WP_006722821.1|	nitrogen-fixing protein NifU [Collinsella intestinalis] 
gi|493774330|ref|WP_006722823.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774331|ref|WP_006722824.1|	D-lactate dehydrogenase [Collinsella intestinalis] 
gi|493774332|ref|WP_006722825.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774333|ref|WP_006722826.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774334|ref|WP_006722827.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774335|ref|WP_006722828.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774336|ref|WP_006722829.1|	short-chain dehydrogenase [Collinsella intestinalis] 
gi|493774337|ref|WP_006722830.1|	transcription termination factor Rho [Collinsella intestinalis] 
gi|493774338|ref|WP_006722831.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774339|ref|WP_006722832.1|	arginyl-tRNA synthetase [Collinsella intestinalis] 
gi|493774341|ref|WP_006722834.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774342|ref|WP_006722835.1|	HD family phosphohydrolase [Collinsella intestinalis] 
gi|493774344|ref|WP_006722836.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774345|ref|WP_006722837.1|	multidrug ABC transporter ATP-binding protein [Collinsella intestinalis] 
gi|493774346|ref|WP_006722838.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774347|ref|WP_006722839.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774348|ref|WP_006722840.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774349|ref|WP_006722841.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774350|ref|WP_006722842.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774351|ref|WP_006722843.1|	gamma-glutamyl phosphate reductase [Collinsella intestinalis] 
gi|493774352|ref|WP_006722844.1|	glutamate 5-kinase [Collinsella intestinalis] 
gi|493774353|ref|WP_006722845.1|	nicotinate phosphoribosyltransferase [Collinsella intestinalis] 
gi|493774354|ref|WP_006722846.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774355|ref|WP_006722847.1|	radical SAM protein [Collinsella intestinalis] 
