gi|490134337|ref|WP_004034698.1|	citramalate synthase [Methanobrevibacter smithii] 
gi|490134677|ref|WP_004035038.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134679|ref|WP_004035040.1|	hypothetical protein partial [Methanobrevibacter smithii] 
gi|490134680|ref|WP_004035041.1|	hypothetical protein partial [Methanobrevibacter smithii] 
gi|490133617|ref|WP_004033978.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134682|ref|WP_004035043.1|	DNA primase [Methanobrevibacter smithii] 
gi|490134684|ref|WP_004035045.1|	exonuclease SbcC [Methanobrevibacter smithii] 
gi|490133608|ref|WP_004033969.1|	methionyl-tRNA synthetase [Methanobrevibacter smithii] 
gi|490134686|ref|WP_004035047.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134688|ref|WP_004035049.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134690|ref|WP_004035051.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134691|ref|WP_004035052.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134692|ref|WP_004035053.1|	multidrug transporter [Methanobrevibacter smithii] 
gi|490134694|ref|WP_004035055.1|	5-amino-6-(5-phosphoribosylamino)uracil reductase [Methanobrevibacter smithii] 
gi|490134696|ref|WP_004035057.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490133587|ref|WP_004033948.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134698|ref|WP_004035059.1|	flavodoxin [Methanobrevibacter smithii] 
gi|490134700|ref|WP_004035061.1|	ATPase [Methanobrevibacter smithii] 
gi|490134702|ref|WP_004035063.1|	GHMP kinase [Methanobrevibacter smithii] 
gi|490134705|ref|WP_004035066.1|	SAM-dependent methyltransferase [Methanobrevibacter smithii] 
gi|490134707|ref|WP_004035068.1|	ATP-dependent DNA helicase [Methanobrevibacter smithii] 
gi|490133572|ref|WP_004033933.1|	MULTISPECIES: fructose-bisphosphate aldolase [Methanobrevibacter] 
gi|490134709|ref|WP_004035070.1|	MULTISPECIES: 3-dehydroquinate synthase [Methanobrevibacter] 
gi|490134711|ref|WP_004035072.1|	2'-5' RNA ligase [Methanobrevibacter smithii] 
gi|490134713|ref|WP_004035074.1|	tRNA CCA-pyrophosphorylase [Methanobrevibacter smithii] 
gi|490134716|ref|WP_004035077.1|	membrane protein [Methanobrevibacter smithii] 
gi|490134718|ref|WP_004035079.1|	adhesin [Methanobrevibacter smithii] 
gi|490134720|ref|WP_004035081.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134722|ref|WP_004035083.1|	MULTISPECIES: F420-dependent NADP reductase [Methanobrevibacter] 
gi|490134724|ref|WP_004035085.1|	chloramphenicol acetyltransferase [Methanobrevibacter smithii] 
gi|490134726|ref|WP_004035087.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [Methanobrevibacter smithii] 
gi|490134727|ref|WP_004035088.1|	ATPase [Methanobrevibacter smithii] 
gi|490134729|ref|WP_004035090.1|	cystathionine beta-lyase [Methanobrevibacter smithii] 
gi|490134731|ref|WP_004035092.1|	peptide methionine sulfoxide reductase [Methanobrevibacter smithii] 
gi|490134733|ref|WP_004035094.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134734|ref|WP_004035095.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134735|ref|WP_004035096.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134736|ref|WP_004035097.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134737|ref|WP_004035098.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134739|ref|WP_004035100.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134747|ref|WP_004035108.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134748|ref|WP_004035109.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134749|ref|WP_004035110.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134750|ref|WP_004035111.1|	2-dehydropantoate 2-reductase [Methanobrevibacter smithii] 
gi|490134751|ref|WP_004035112.1|	adhesin [Methanobrevibacter smithii] 
gi|490133505|ref|WP_004033866.1|	MULTISPECIES: membrane protein [Methanobrevibacter] 
gi|490133503|ref|WP_004033864.1|	calcium-binding protein [Methanobrevibacter smithii] 
gi|490133499|ref|WP_004033860.1|	SAM-dependent methyltransferase [Methanobrevibacter smithii] 
gi|490134752|ref|WP_004035113.1|	glutamate synthase [Methanobrevibacter smithii] 
gi|490133496|ref|WP_004033857.1|	DNA-binding protein [Methanobrevibacter smithii] 
gi|490134753|ref|WP_004035114.1|	AMP-binding protein [Methanobrevibacter smithii] 
gi|490133485|ref|WP_004033846.1|	CRISPR-associated protein Cas1 [Methanobrevibacter smithii] 
gi|490134754|ref|WP_004035115.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134757|ref|WP_004035118.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134759|ref|WP_004035120.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134760|ref|WP_004035121.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134761|ref|WP_004035122.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134762|ref|WP_004035123.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134763|ref|WP_004035124.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133471|ref|WP_004033832.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133472|ref|WP_004033833.1|	heat-shock protein [Methanobrevibacter smithii] 
gi|490134764|ref|WP_004035125.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133458|ref|WP_004033819.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134765|ref|WP_004035126.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134775|ref|WP_004035136.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133453|ref|WP_004033814.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134776|ref|WP_004035137.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134780|ref|WP_004035141.1|	iron-binding protein [Methanobrevibacter smithii] 
gi|490134782|ref|WP_004035143.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134784|ref|WP_004035145.1|	GNAT family acetyltransferase [Methanobrevibacter smithii] 
gi|490134786|ref|WP_004035147.1|	methyltransferase [Methanobrevibacter smithii] 
gi|490133447|ref|WP_004033808.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134788|ref|WP_004035149.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133445|ref|WP_004033806.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134790|ref|WP_004035150.1|	integrase [Methanobrevibacter smithii] 
gi|490134791|ref|WP_004035151.1|	DNA-binding protein [Methanobrevibacter smithii] 
gi|490134792|ref|WP_004035152.1|	exodeoxyribonuclease VII [Methanobrevibacter smithii] 
gi|490133438|ref|WP_004033799.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133437|ref|WP_004033798.1|	MULTISPECIES: transcription initiation factor IIB [Methanobrevibacter] 
gi|490134793|ref|WP_004035153.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133435|ref|WP_004033796.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134794|ref|WP_004035154.1|	nicotinate phosphoribosyltransferase [Methanobrevibacter smithii] 
gi|490133431|ref|WP_004033792.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134795|ref|WP_004035155.1|	ATPase AAA [Methanobrevibacter smithii] 
gi|490134796|ref|WP_004035156.1|	peptide transporter [Methanobrevibacter smithii] 
gi|490134797|ref|WP_004035157.1|	peptide transporter [Methanobrevibacter smithii] 
gi|490134798|ref|WP_004035158.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134799|ref|WP_004035159.1|	adhesin [Methanobrevibacter smithii] 
gi|490133370|ref|WP_004033731.1|	MULTISPECIES: transcriptional regulator [Methanobrevibacter] 
gi|490133369|ref|WP_004033730.1|	xanthine permease [Methanobrevibacter smithii] 
gi|490134800|ref|WP_004035160.1|	peptidase C1 [Methanobrevibacter smithii] 
gi|490133367|ref|WP_004033728.1|	MULTISPECIES: thymidylate synthase [Methanobrevibacter] 
gi|490133364|ref|WP_004033725.1|	MULTISPECIES: rubrerythrin [Methanobrevibacter] 
gi|490134801|ref|WP_004035161.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133356|ref|WP_004033717.1|	short-chain dehydrogenase [Methanobrevibacter smithii] 
gi|490134802|ref|WP_004035162.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134803|ref|WP_004035163.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134804|ref|WP_004035164.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133350|ref|WP_004033711.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134805|ref|WP_004035165.1|	MULTISPECIES: flavodoxin [Methanobrevibacter] 
gi|490134806|ref|WP_004035166.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133342|ref|WP_004033703.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133340|ref|WP_004033701.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134807|ref|WP_004035167.1|	MULTISPECIES: N(5),N(10)-methenyltetrahydromethanopterin cyclohydrolase [Methanobrevibacter] 
gi|490134808|ref|WP_004035168.1|	nitroreductase [Methanobrevibacter smithii] 
gi|490133334|ref|WP_004033695.1|	voltage-gated chloride channel [Methanobrevibacter smithii] 
gi|490134809|ref|WP_004035169.1|	MULTISPECIES: DNA-directed RNA polymerase subunit M [Methanobrevibacter] 
gi|490134810|ref|WP_004035170.1|	membrane protein [Methanobrevibacter smithii] 
gi|490134811|ref|WP_004035171.1|	flagellar motor protein MotA [Methanobrevibacter smithii] 
gi|490133325|ref|WP_004033686.1|	MULTISPECIES: transporter [Methanobrevibacter] 
gi|490134812|ref|WP_004035172.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134813|ref|WP_004035173.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134814|ref|WP_004035174.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134815|ref|WP_004035175.1|	phenylacetate-CoA ligase [Methanobrevibacter smithii] 
gi|490133317|ref|WP_004033678.1|	MULTISPECIES: amino acid-binding protein [Methanobrevibacter] 
gi|490133314|ref|WP_004033675.1|	ferritin [Methanobrevibacter smithii] 
gi|490134816|ref|WP_004035176.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133310|ref|WP_004033671.1|	MULTISPECIES: seryl-tRNA synthetase [Methanobrevibacter] 
gi|490134817|ref|WP_004035177.1|	adhesin [Methanobrevibacter smithii] 
gi|490133306|ref|WP_004033667.1|	nitrogenase iron protein [Methanobrevibacter smithii] 
gi|490134818|ref|WP_004035178.1|	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [Methanobrevibacter smithii] 
gi|490134819|ref|WP_004035179.1|	peptidase U32 [Methanobrevibacter smithii] 
gi|490134820|ref|WP_004035180.1|	amidophosphoribosyltransferase [Methanobrevibacter smithii] 
gi|490134821|ref|WP_004035181.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134822|ref|WP_004035182.1|	MULTISPECIES: UDP-glucose 4-epimerase [Methanobrevibacter] 
gi|490134823|ref|WP_004035183.1|	digeranylgeranylglycerophospholipid reductase [Methanobrevibacter smithii] 
gi|490133295|ref|WP_004033656.1|	MULTISPECIES: ferredoxin [Methanobrevibacter] 
gi|490134824|ref|WP_004035184.1|	universal stress protein UspA [Methanobrevibacter smithii] 
gi|490134825|ref|WP_004035185.1|	MULTISPECIES: ABC transporter ATP-binding protein [Methanobrevibacter] 
gi|490134826|ref|WP_004035186.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134827|ref|WP_004035187.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134828|ref|WP_004035188.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134829|ref|WP_004035189.1|	excinuclease ABC subunit C [Methanobrevibacter smithii] 
gi|490134830|ref|WP_004035190.1|	DNA helicase [Methanobrevibacter smithii] 
gi|490133288|ref|WP_004033649.1|	ribokinase [Methanobrevibacter smithii] 
gi|490133287|ref|WP_004033648.1|	MULTISPECIES: pyridoxal biosynthesis protein [Methanobrevibacter] 
gi|490134831|ref|WP_004035191.1|	metal transporter [Methanobrevibacter smithii] 
gi|490134832|ref|WP_004035192.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134833|ref|WP_004035193.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134834|ref|WP_004035194.1|	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [Methanobrevibacter smithii] 
gi|490133277|ref|WP_004033638.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490133275|ref|WP_004033636.1|	prefoldin subunit beta [Methanobrevibacter smithii] 
gi|490133273|ref|WP_004033634.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134835|ref|WP_004035195.1|	ribonucleotide-diphosphate reductase subunit beta [Methanobrevibacter smithii] 
gi|490133268|ref|WP_004033629.1|	MULTISPECIES: 50S ribosomal protein L37 [Methanobrevibacter] 
gi|490133266|ref|WP_004033627.1|	MULTISPECIES: inosine 5'-monophosphate dehydrogenase [Methanobrevibacter] 
gi|490133265|ref|WP_004033626.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134836|ref|WP_004035196.1|	glycosyl transferase family 2 [Methanobrevibacter smithii] 
gi|490134837|ref|WP_004035197.1|	(4Fe-4S)-binding protein [Methanobrevibacter smithii] 
gi|490134838|ref|WP_004035198.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134839|ref|WP_004035199.1|	thiol:fumarate reductase [Methanobrevibacter smithii] 
gi|490133261|ref|WP_004033622.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134840|ref|WP_004035200.1|	MULTISPECIES: dolichyl-phosphate mannose synthase [Methanobrevibacter] 
gi|490133254|ref|WP_004033615.1|	MULTISPECIES: riboflavin synthase [Methanobrevibacter] 
gi|490134841|ref|WP_004035201.1|	cobalt ABC transporter ATP-binding protein [Methanobrevibacter smithii] 
gi|490134842|ref|WP_004035202.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134843|ref|WP_004035203.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134844|ref|WP_004035204.1|	cobalt transporter CbiN [Methanobrevibacter smithii] 
gi|490134845|ref|WP_004035205.1|	cobalt transporter CbiM [Methanobrevibacter smithii] 
gi|490134846|ref|WP_004035206.1|	orotidine 5'-phosphate decarboxylase [Methanobrevibacter smithii] 
gi|490134847|ref|WP_004035207.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133239|ref|WP_004033600.1|	MULTISPECIES: deoxyhypusine synthase [Methanobrevibacter] 
gi|490134848|ref|WP_004035208.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134849|ref|WP_004035209.1|	cation transporter [Methanobrevibacter smithii] 
gi|490134850|ref|WP_004035210.1|	UDP-glucose 6-dehydrogenase [Methanobrevibacter smithii] 
gi|490134851|ref|WP_004035211.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134852|ref|WP_004035212.1|	ABC transporter [Methanobrevibacter smithii] 
gi|490133230|ref|WP_004033591.1|	MULTISPECIES: molybdate ABC transporter permease [Methanobrevibacter] 
gi|490133228|ref|WP_004033589.1|	MULTISPECIES: molybdenum ABC transporter substrate-binding protein [Methanobrevibacter] 
gi|490134853|ref|WP_004035213.1|	aldo/keto reductase [Methanobrevibacter smithii] 
gi|490134854|ref|WP_004035214.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134855|ref|WP_004035215.1|	radical SAM protein [Methanobrevibacter smithii] 
gi|490134856|ref|WP_004035216.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134858|ref|WP_004035218.1|	UTP--glucose-1-phosphate uridylyltransferase [Methanobrevibacter smithii] 
gi|490134865|ref|WP_004035225.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134867|ref|WP_004035227.1|	glycosyl transferase [Methanobrevibacter smithii] 
gi|490134869|ref|WP_004035229.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134872|ref|WP_004035232.1|	acetyltransferase [Methanobrevibacter smithii] 
gi|490134874|ref|WP_004035234.1|	glycosyl transferase [Methanobrevibacter smithii] 
gi|490134876|ref|WP_004035236.1|	ABC transporter [Methanobrevibacter smithii] 
gi|490134879|ref|WP_004035239.1|	phosphate ABC transporter ATPase [Methanobrevibacter smithii] 
gi|490134881|ref|WP_004035241.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490133191|ref|WP_004033552.1|	endonuclease [Methanobrevibacter smithii] 
gi|490134884|ref|WP_004035244.1|	DEAD/DEAH box helicase [Methanobrevibacter smithii] 
gi|490134885|ref|WP_004035245.1|	membrane protein [Methanobrevibacter smithii] 
gi|490134886|ref|WP_004035246.1|	excinuclease ABC subunit A [Methanobrevibacter smithii] 
gi|490134887|ref|WP_004035247.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134888|ref|WP_004035248.1|	MULTISPECIES: excinuclease ABC subunit B [Methanobrevibacter] 
gi|490134890|ref|WP_004035250.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133180|ref|WP_004033541.1|	MULTISPECIES: ribose-phosphate pyrophosphokinase [Methanobrevibacter] 
gi|490133177|ref|WP_004033538.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134892|ref|WP_004035252.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134894|ref|WP_004035254.1|	nitroreductase [Methanobrevibacter smithii] 
gi|490133166|ref|WP_004033527.1|	GNAT family acetyltransferase [Methanobrevibacter smithii] 
gi|490134896|ref|WP_004035256.1|	ADP-ribosylglycohydrolase [Methanobrevibacter smithii] 
gi|490134898|ref|WP_004035258.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134900|ref|WP_004035260.1|	UDP-N-acetylmuramyl peptide synthase [Methanobrevibacter smithii] 
gi|490133162|ref|WP_004033523.1|	ATPase AAA [Methanobrevibacter smithii] 
gi|490133159|ref|WP_004033520.1|	MULTISPECIES: transcriptional regulator [Methanobrevibacter] 
gi|490134902|ref|WP_004035262.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134904|ref|WP_004035264.1|	cobyric acid synthase [Methanobrevibacter smithii] 
gi|490134905|ref|WP_004035265.1|	SAM-dependent methyltransferase [Methanobrevibacter smithii] 
gi|490133155|ref|WP_004033516.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134907|ref|WP_004035267.1|	acetyl-CoA acetyltransferase [Methanobrevibacter smithii] 
gi|490134909|ref|WP_004035269.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490133152|ref|WP_004033513.1|	polysaccharide biosynthesis protein [Methanobrevibacter smithii] 
gi|490134911|ref|WP_004035271.1|	polysaccharide biosynthesis protein [Methanobrevibacter smithii] 
gi|490134913|ref|WP_004035273.1|	SAM-dependent methyltransferase [Methanobrevibacter smithii] 
gi|490133140|ref|WP_004033501.1|	MULTISPECIES: 7-cyano-7-deazaguanine tRNA-ribosyltransferase [Methanobrevibacter] 
gi|490134915|ref|WP_004035275.1|	MULTISPECIES: membrane protein [Methanobrevibacter] 
gi|490134917|ref|WP_004035277.1|	SAM-dependent methyltransferase [Methanobrevibacter smithii] 
gi|490134919|ref|WP_004035279.1|	adhesin [Methanobrevibacter smithii] 
gi|490133127|ref|WP_004033488.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133126|ref|WP_004033487.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133125|ref|WP_004033486.1|	glucosamine-fructose-6-phosphate aminotransferase [Methanobrevibacter smithii] 
gi|490133122|ref|WP_004033483.1|	uroporphyrin-III C-methyltransferase [Methanobrevibacter smithii] 
gi|490133121|ref|WP_004033482.1|	MULTISPECIES: phosphoribosylformylglycinamidine synthase [Methanobrevibacter] 
gi|490133120|ref|WP_004033481.1|	MULTISPECIES: phosphoribosylformylglycinamidine synthase [Methanobrevibacter] 
gi|490134922|ref|WP_004035282.1|	phosphoribosylaminoimidazole-succinocarboxamide synthase [Methanobrevibacter smithii] 
gi|490134924|ref|WP_004035284.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134926|ref|WP_004035286.1|	glycosyl transferase [Methanobrevibacter smithii] 
gi|490134928|ref|WP_004035288.1|	lipopolysaccharide cholinephosphotransferase [Methanobrevibacter smithii] 
gi|490134929|ref|WP_004035289.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134930|ref|WP_004035290.1|	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Methanobrevibacter smithii] 
gi|490134931|ref|WP_004035291.1|	glycerol-3-phosphate dehydrogenase [Methanobrevibacter smithii] 
gi|490134932|ref|WP_004035292.1|	N-acetylneuraminate synthase [Methanobrevibacter smithii] 
gi|490134933|ref|WP_004035293.1|	GNAT family acetyltransferase [Methanobrevibacter smithii] 
gi|490134934|ref|WP_004035294.1|	acylneuraminate cytidylyltransferase [Methanobrevibacter smithii] 
gi|490134936|ref|WP_004035296.1|	spore coat protein [Methanobrevibacter smithii] 
gi|490133098|ref|WP_004033459.1|	MULTISPECIES: UDP-N-acetylglucosamine 4,6-dehydratase [Methanobrevibacter] 
gi|490134939|ref|WP_004035299.1|	cell wall anchor protein [Methanobrevibacter smithii] 
gi|490134940|ref|WP_004035300.1|	sodium:calcium symporter [Methanobrevibacter smithii] 
gi|490134942|ref|WP_004035302.1|	MULTISPECIES: sodium:calcium symporter [Methanobrevibacter] 
gi|490134944|ref|WP_004035304.1|	ATPase [Methanobrevibacter smithii] 
gi|490134947|ref|WP_004035307.1|	membrane protein [Methanobrevibacter smithii] 
gi|490134949|ref|WP_004035309.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133079|ref|WP_004033440.1|	glycerol-3-phosphate dehydrogenase [Methanobrevibacter smithii] 
gi|490134951|ref|WP_004035311.1|	lipopolysaccharide cholinephosphotransferase [Methanobrevibacter smithii] 
gi|490134953|ref|WP_004035313.1|	glycerol-3-phosphate cytidiltransferase [Methanobrevibacter smithii] 
gi|490134955|ref|WP_004035315.1|	aspartate aminotransferase [Methanobrevibacter smithii] 
gi|490134957|ref|WP_004035317.1|	lipopolysaccharide cholinephosphotransferase [Methanobrevibacter smithii] 
gi|490134959|ref|WP_004035319.1|	methyltransferase [Methanobrevibacter smithii] 
gi|490134961|ref|WP_004035321.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134963|ref|WP_004035323.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134965|ref|WP_004035325.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134967|ref|WP_004035327.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134968|ref|WP_004035328.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134969|ref|WP_004035329.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134970|ref|WP_004035330.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134971|ref|WP_004035331.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134973|ref|WP_004035333.1|	glycosyl transferase [Methanobrevibacter smithii] 
gi|490134976|ref|WP_004035336.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134978|ref|WP_004035338.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134980|ref|WP_004035340.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134982|ref|WP_004035342.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134984|ref|WP_004035344.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133030|ref|WP_004033391.1|	uroporphyrinogen-III synthase [Methanobrevibacter smithii] 
gi|490134986|ref|WP_004035346.1|	glycosyl transferase [Methanobrevibacter smithii] 
gi|490134988|ref|WP_004035348.1|	MULTISPECIES: UDP-galactopyranose mutase [Methanobrevibacter] 
gi|490133027|ref|WP_004033388.1|	signal recognition particle [Methanobrevibacter smithii] 
gi|490134990|ref|WP_004035350.1|	single-stranded DNA-binding protein [Methanobrevibacter smithii] 
gi|490134991|ref|WP_004035351.1|	transcriptional regulator [Methanobrevibacter smithii] 
gi|490133024|ref|WP_004033385.1|	MULTISPECIES: RNA helicase [Methanobrevibacter] 
gi|490134994|ref|WP_004035354.1|	radical SAM protein [Methanobrevibacter smithii] 
gi|490134996|ref|WP_004035356.1|	CRISPR-associated protein Cas4 [Methanobrevibacter smithii] 
gi|490134998|ref|WP_004035358.1|	nuclease [Methanobrevibacter smithii] 
gi|490135000|ref|WP_004035360.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133019|ref|WP_004033380.1|	MULTISPECIES: RDD family protein [Methanobrevibacter] 
gi|490133018|ref|WP_004033379.1|	MULTISPECIES: hydrogenase expression protein [Methanobrevibacter] 
gi|490135002|ref|WP_004035362.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135004|ref|WP_004035364.1|	formylmethanofuran dehydrogenase subunit E [Methanobrevibacter smithii] 
gi|490135006|ref|WP_004035366.1|	cobalamin biosynthesis protein CobM [Methanobrevibacter smithii] 
gi|490135008|ref|WP_004035368.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133013|ref|WP_004033374.1|	MULTISPECIES: 30S ribosomal protein S8 [Methanobrevibacter] 
gi|490133012|ref|WP_004033373.1|	MULTISPECIES: adhesin [Methanobrevibacter] 
gi|490135010|ref|WP_004035370.1|	MULTISPECIES: multidrug ABC transporter permease [Methanobrevibacter] 
gi|490135011|ref|WP_004035371.1|	multidrug ABC transporter ATPase [Methanobrevibacter smithii] 
gi|490135013|ref|WP_004035373.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133004|ref|WP_004033365.1|	DNA-dependent DNA polymerase [Methanobrevibacter smithii] 
gi|490133002|ref|WP_004033363.1|	haloacid dehalogenase [Methanobrevibacter smithii] 
gi|490133000|ref|WP_004033361.1|	exodeoxyribonuclease III [Methanobrevibacter smithii] 
gi|490132998|ref|WP_004033359.1|	MULTISPECIES: phenylalanyl-tRNA synthetase subunit alpha [Methanobrevibacter] 
gi|490135015|ref|WP_004035375.1|	triphosphoribosyl-dephospho-CoA synthase [Methanobrevibacter smithii] 
gi|490135017|ref|WP_004035377.1|	delta-aminolevulinic acid dehydratase [Methanobrevibacter smithii] 
gi|490135021|ref|WP_004035381.1|	endonuclease III [Methanobrevibacter smithii] 
gi|490135023|ref|WP_004035383.1|	chorismate synthase [Methanobrevibacter smithii] 
gi|490135025|ref|WP_004035385.1|	beta-lactamase [Methanobrevibacter smithii] 
gi|490135027|ref|WP_004035387.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132984|ref|WP_004033345.1|	MULTISPECIES: acyl-CoA synthetase [Methanobrevibacter] 
gi|490132982|ref|WP_004033343.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135029|ref|WP_004035389.1|	nitrate ABC transporter substrate-binding protein [Methanobrevibacter smithii] 
gi|490135031|ref|WP_004035391.1|	adenylosuccinate synthetase [Methanobrevibacter smithii] 
gi|490135033|ref|WP_004035393.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135035|ref|WP_004035395.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135037|ref|WP_004035397.1|	hypothetical protein [Methanobrevibacter smithii] 
