gi|492677625|ref|WP_005920071.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492681964|ref|WP_005921778.1|	ribonucleotide-diphosphate reductase subunit alpha [Faecalibacterium prausnitzii] 
gi|492681966|ref|WP_005921779.1|	beta-lactamase [Faecalibacterium prausnitzii] 
gi|492681969|ref|WP_005921781.1|	acyl-CoA dehydrogenase [Faecalibacterium prausnitzii] 
gi|492681972|ref|WP_005921783.1|	Rrf2 family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492681974|ref|WP_005921784.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492681977|ref|WP_005921786.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492681980|ref|WP_005921788.1|	rubrerythrin [Faecalibacterium prausnitzii] 
gi|492681400|ref|WP_005921443.1|	transposase [Faecalibacterium prausnitzii] 
gi|492682005|ref|WP_005921800.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492682008|ref|WP_005921802.1|	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [Faecalibacterium prausnitzii] 
gi|492682010|ref|WP_005921803.1|	ribosomal protein S12 methylthiotransferase [Faecalibacterium prausnitzii] 
gi|492682013|ref|WP_005921805.1|	regulator [Faecalibacterium prausnitzii] 
gi|492682016|ref|WP_005921807.1|	protein RecA [Faecalibacterium prausnitzii] 
gi|492682019|ref|WP_005921809.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492682023|ref|WP_005921812.1|	protein-(glutamine-N5) methyltransferase [Faecalibacterium prausnitzii] 
gi|492682021|ref|WP_005921811.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492682026|ref|WP_005921814.1|	histidine kinase [Faecalibacterium prausnitzii] 
gi|492682029|ref|WP_005921816.1|	PhoP family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492682032|ref|WP_005921818.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492682034|ref|WP_005921819.1|	50S ribosomal protein L17 [Faecalibacterium prausnitzii] 
gi|492682037|ref|WP_005921821.1|	DNA-directed RNA polymerase subunit alpha [Faecalibacterium prausnitzii] 
gi|492682040|ref|WP_005921823.1|	30S ribosomal protein S4 [Faecalibacterium prausnitzii] 
gi|492682042|ref|WP_005921825.1|	30S ribosomal protein S11 [Faecalibacterium prausnitzii] 
gi|492682045|ref|WP_005921827.1|	30S ribosomal protein S13 [Faecalibacterium prausnitzii] 
gi|492682054|ref|WP_005921832.1|	50S ribosomal protein L36 [Faecalibacterium prausnitzii] 
gi|492682058|ref|WP_005921834.1|	translation initiation factor IF-1 [Faecalibacterium prausnitzii] 
gi|492682061|ref|WP_005921836.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492682065|ref|WP_005921838.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492682068|ref|WP_005921840.1|	methionine aminopeptidase [Faecalibacterium prausnitzii] 
gi|492682070|ref|WP_005921841.1|	adenylate kinase [Faecalibacterium prausnitzii] 
gi|492682076|ref|WP_005921845.1|	preprotein translocase subunit SecY [Faecalibacterium prausnitzii] 
gi|492682081|ref|WP_005921848.1|	50S ribosomal protein L15 [Faecalibacterium prausnitzii] 
gi|492682086|ref|WP_005921851.1|	50S ribosomal protein L30 [Faecalibacterium prausnitzii] 
gi|492682090|ref|WP_005921854.1|	30S ribosomal protein S5 [Faecalibacterium prausnitzii] 
gi|492682093|ref|WP_005921856.1|	50S ribosomal protein L18 [Faecalibacterium prausnitzii] 
gi|492682096|ref|WP_005921858.1|	50S ribosomal protein L6 [Faecalibacterium prausnitzii] 
gi|492682101|ref|WP_005921861.1|	30S ribosomal protein S8 [Faecalibacterium prausnitzii] 
gi|492682105|ref|WP_005921864.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492682109|ref|WP_005921866.1|	30S ribosomal protein S14 [Faecalibacterium prausnitzii] 
gi|492682114|ref|WP_005921869.1|	50S ribosomal protein L5 [Faecalibacterium prausnitzii] 
gi|492682119|ref|WP_005921872.1|	50S ribosomal protein L24 [Faecalibacterium prausnitzii] 
gi|492682124|ref|WP_005921875.1|	50S ribosomal protein L14 [Faecalibacterium prausnitzii] 
gi|492682127|ref|WP_005921877.1|	30S ribosomal protein S17 [Faecalibacterium prausnitzii] 
gi|492682131|ref|WP_005921879.1|	50S ribosomal protein L29 [Faecalibacterium prausnitzii] 
gi|492682133|ref|WP_005921880.1|	50S ribosomal protein L16 [Faecalibacterium prausnitzii] 
gi|492682135|ref|WP_005921881.1|	30S ribosomal protein S3 [Faecalibacterium prausnitzii] 
gi|492682137|ref|WP_005921882.1|	50S ribosomal protein L22 [Faecalibacterium prausnitzii] 
gi|492682139|ref|WP_005921883.1|	30S ribosomal protein S19 [Faecalibacterium prausnitzii] 
gi|492682141|ref|WP_005921884.1|	50S ribosomal protein L2 [Faecalibacterium prausnitzii] 
gi|492682143|ref|WP_005921885.1|	50S ribosomal protein L23 [Faecalibacterium prausnitzii] 
gi|492682145|ref|WP_005921886.1|	50S ribosomal protein L4 [Faecalibacterium prausnitzii] 
gi|492682147|ref|WP_005921887.1|	50S ribosomal protein L3 [Faecalibacterium prausnitzii] 
gi|492682148|ref|WP_005921888.1|	30S ribosomal protein S10 [Faecalibacterium prausnitzii] 
gi|492682150|ref|WP_005921889.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492682153|ref|WP_005921891.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492682156|ref|WP_005921893.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492682159|ref|WP_005921895.1|	methyltransferase [Faecalibacterium prausnitzii] 
gi|492682162|ref|WP_005921897.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492682169|ref|WP_005921901.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492682166|ref|WP_005921899.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492682171|ref|WP_005921902.1|	nitrogen regulatory protein P-II [Faecalibacterium prausnitzii] 
gi|492682174|ref|WP_005921904.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492682177|ref|WP_005921906.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492682180|ref|WP_005921908.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492682183|ref|WP_005921910.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492682186|ref|WP_005921912.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492682189|ref|WP_005921914.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492682192|ref|WP_005921916.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492682195|ref|WP_005921918.1|	conjugal transfer protein D [Faecalibacterium prausnitzii] 
gi|492682198|ref|WP_005921920.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492682200|ref|WP_005921921.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492682203|ref|WP_005921923.1|	phospholipase [Faecalibacterium prausnitzii] 
gi|492682206|ref|WP_005921925.1|	thiamine ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492682471|ref|WP_005921927.1|	pyridoxal phosphate biosynthesis protein [Faecalibacterium prausnitzii] 
gi|492682476|ref|WP_005921930.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492682480|ref|WP_005921933.1|	gluconolaconase [Faecalibacterium prausnitzii] 
gi|492682482|ref|WP_005921935.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492682487|ref|WP_005921938.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492682491|ref|WP_005921941.1|	PhoB family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492682494|ref|WP_005921943.1|	histidine kinase [Faecalibacterium prausnitzii] 
gi|492682500|ref|WP_005921947.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492683508|ref|WP_005921949.1|	pectinesterase [Faecalibacterium prausnitzii] 
gi|492683513|ref|WP_005921953.1|	stage II sporulation protein E [Faecalibacterium prausnitzii] 
gi|492683510|ref|WP_005921951.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492683518|ref|WP_005921956.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492683521|ref|WP_005921958.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492683523|ref|WP_005921960.1|	glutamyl-tRNA synthetase [Faecalibacterium prausnitzii] 
gi|492683527|ref|WP_005921962.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492683530|ref|WP_005921964.1|	Cro/Cl family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492683534|ref|WP_005921966.1|	endopeptidase [Faecalibacterium prausnitzii] 
gi|492683537|ref|WP_005921968.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492683544|ref|WP_005921974.1|	protein TolB [Faecalibacterium prausnitzii] 
gi|492683548|ref|WP_005921976.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492683551|ref|WP_005921978.1|	transporter [Faecalibacterium prausnitzii] 
gi|492683554|ref|WP_005921980.1|	cobalt ABC transporter ATP-binding protein [Faecalibacterium prausnitzii] 
gi|492683556|ref|WP_005921981.1|	cobalt ABC transporter ATP-binding protein [Faecalibacterium prausnitzii] 
gi|492683558|ref|WP_005921982.1|	SAM-dependent methyltransferase [Faecalibacterium prausnitzii] 
gi|492683559|ref|WP_005921983.1|	Holliday junction DNA helicase RuvB [Faecalibacterium prausnitzii] 
gi|492683561|ref|WP_005921985.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492683564|ref|WP_005921987.1|	Holliday junction resolvase [Faecalibacterium prausnitzii] 
gi|492683568|ref|WP_005921989.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492683571|ref|WP_005921991.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684574|ref|WP_005921993.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684577|ref|WP_005921996.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684578|ref|WP_005921997.1|	hypothetical protein partial [Faecalibacterium prausnitzii] 
gi|492680479|ref|WP_005920706.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680482|ref|WP_005920708.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680485|ref|WP_005920710.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680488|ref|WP_005920712.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684581|ref|WP_005922000.1|	recombinase [Faecalibacterium prausnitzii] 
gi|492684583|ref|WP_005922002.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684584|ref|WP_005922003.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684586|ref|WP_005922005.1|	6-phosphofructokinase [Faecalibacterium prausnitzii] 
gi|492684588|ref|WP_005922007.1|	6-phosphofructokinase [Faecalibacterium prausnitzii] 
gi|492684590|ref|WP_005922009.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684592|ref|WP_005922011.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684594|ref|WP_005922013.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684596|ref|WP_005922015.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684598|ref|WP_005922017.1|	ABC transporter [Faecalibacterium prausnitzii] 
gi|492684600|ref|WP_005922019.1|	GntR family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492684602|ref|WP_005922021.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684604|ref|WP_005922023.1|	aspartate aminotransferase [Faecalibacterium prausnitzii] 
gi|492684608|ref|WP_005922027.1|	diaminopimelate epimerase [Faecalibacterium prausnitzii] 
gi|492684610|ref|WP_005922029.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684612|ref|WP_005922031.1|	acyl carrier protein [Faecalibacterium prausnitzii] 
gi|492684614|ref|WP_005922033.1|	prolyl-tRNA synthetase [Faecalibacterium prausnitzii] 
gi|492684616|ref|WP_005922035.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684617|ref|WP_005922036.1|	aldose 1-epimerase [Faecalibacterium prausnitzii] 
gi|492684618|ref|WP_005922037.1|	histidine kinase [Faecalibacterium prausnitzii] 
gi|492684622|ref|WP_005922041.1|	chemotaxis protein CheY [Faecalibacterium prausnitzii] 
gi|492684620|ref|WP_005922039.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684624|ref|WP_005922043.1|	4Fe-4S ferredoxin [Faecalibacterium prausnitzii] 
gi|492684626|ref|WP_005922045.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684628|ref|WP_005922047.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684630|ref|WP_005922049.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684631|ref|WP_005922050.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684632|ref|WP_005922051.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684633|ref|WP_005922052.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684634|ref|WP_005922053.1|	NAD-dependent deacetylase [Faecalibacterium prausnitzii] 
gi|492684635|ref|WP_005922054.1|	6-O-methylguanine DNA methyltransferase [Faecalibacterium prausnitzii] 
gi|492684636|ref|WP_005922055.1|	hisitidine kinase [Faecalibacterium prausnitzii] 
gi|492684637|ref|WP_005922056.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684638|ref|WP_005922057.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684639|ref|WP_005922058.1|	PTS ascorbate transporter subunit IIC [Faecalibacterium prausnitzii] 
gi|492684640|ref|WP_005922059.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492684641|ref|WP_005922060.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684642|ref|WP_005922061.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684643|ref|WP_005922062.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684644|ref|WP_005922063.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684645|ref|WP_005922064.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684646|ref|WP_005922065.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684647|ref|WP_005922066.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684648|ref|WP_005922067.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684650|ref|WP_005922069.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684652|ref|WP_005922071.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684654|ref|WP_005922073.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684656|ref|WP_005922075.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684659|ref|WP_005922078.1|	competence protein ComF [Faecalibacterium prausnitzii] 
gi|492684661|ref|WP_005922080.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684663|ref|WP_005922082.1|	ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492684665|ref|WP_005922084.1|	peptide ABC transporter ATP-binding protein [Faecalibacterium prausnitzii] 
gi|492684667|ref|WP_005922086.1|	RND transporter [Faecalibacterium prausnitzii] 
gi|492684669|ref|WP_005922088.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684671|ref|WP_005922090.1|	flavocytochrome C [Faecalibacterium prausnitzii] 
gi|492684673|ref|WP_005922092.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684675|ref|WP_005922094.1|	nitrogen-fixing protein NifU [Faecalibacterium prausnitzii] 
gi|492684677|ref|WP_005922096.1|	MFS transporter [Faecalibacterium prausnitzii] 
gi|492684679|ref|WP_005922098.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684680|ref|WP_005922099.1|	histidyl-tRNA synthetase [Faecalibacterium prausnitzii] 
gi|492684682|ref|WP_005922101.1|	glycyl-tRNA synthetase [Faecalibacterium prausnitzii] 
gi|492684683|ref|WP_005922102.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684687|ref|WP_005922106.1|	ABC transporter substrate-binding protein [Faecalibacterium prausnitzii] 
gi|492684685|ref|WP_005922104.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684688|ref|WP_005922107.1|	50S rRNA methyltransferase [Faecalibacterium prausnitzii] 
gi|492684690|ref|WP_005922109.1|	topoisomerase IV [Faecalibacterium prausnitzii] 
gi|492684691|ref|WP_005922110.1|	DNA topoisomerase [Faecalibacterium prausnitzii] 
gi|492684695|ref|WP_005922114.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684693|ref|WP_005922112.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684697|ref|WP_005922116.1|	acetyltransferase [Faecalibacterium prausnitzii] 
gi|492684699|ref|WP_005922118.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684701|ref|WP_005922120.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684702|ref|WP_005922121.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684704|ref|WP_005922123.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684706|ref|WP_005922125.1|	D-Ala-D-Ala carboxypeptidase [Faecalibacterium prausnitzii] 
gi|492684707|ref|WP_005922126.1|	D-aminopeptidase [Faecalibacterium prausnitzii] 
gi|492684708|ref|WP_005922127.1|	multidrug transporter MatE [Faecalibacterium prausnitzii] 
gi|492684710|ref|WP_005922129.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684712|ref|WP_005922131.1|	ABC transporter substrate-binding protein [Faecalibacterium prausnitzii] 
gi|492684714|ref|WP_005922133.1|	heat-shock protein Hsp90 [Faecalibacterium prausnitzii] 
gi|492684716|ref|WP_005922135.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684719|ref|WP_005922138.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684720|ref|WP_005922139.1|	amino acid permease [Faecalibacterium prausnitzii] 
gi|492684722|ref|WP_005922141.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684723|ref|WP_005922142.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684725|ref|WP_005922144.1|	heat-shock protein [Faecalibacterium prausnitzii] 
gi|492684727|ref|WP_005922146.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684730|ref|WP_005922149.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684732|ref|WP_005922151.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684733|ref|WP_005922152.1|	hydrolase [Faecalibacterium prausnitzii] 
gi|492684735|ref|WP_005922154.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492684737|ref|WP_005922156.1|	ATPase [Faecalibacterium prausnitzii] 
gi|492684738|ref|WP_005922157.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684740|ref|WP_005922159.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684742|ref|WP_005922161.1|	ABC transporter [Faecalibacterium prausnitzii] 
gi|492684743|ref|WP_005922162.1|	rRNA methyltransferase [Faecalibacterium prausnitzii] 
gi|492684745|ref|WP_005922164.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684747|ref|WP_005922166.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684748|ref|WP_005922167.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684750|ref|WP_005922169.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684751|ref|WP_005922170.1|	toxin MazF [Faecalibacterium prausnitzii] 
gi|492684752|ref|WP_005922171.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684753|ref|WP_005922172.1|	RNA polymerase subunit sigma [Faecalibacterium prausnitzii] 
gi|492684755|ref|WP_005922174.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684756|ref|WP_005922175.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684757|ref|WP_005922176.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684758|ref|WP_005922177.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684759|ref|WP_005922178.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684760|ref|WP_005922179.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684761|ref|WP_005922180.1|	fumarate reductase [Faecalibacterium prausnitzii] 
gi|492684762|ref|WP_005922181.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684781|ref|WP_005922200.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684783|ref|WP_005922202.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684785|ref|WP_005922204.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684787|ref|WP_005922206.1|	recombinase [Faecalibacterium prausnitzii] 
gi|492684789|ref|WP_005922208.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684792|ref|WP_005922211.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684794|ref|WP_005922213.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684795|ref|WP_005922214.1|	excinuclease ABC subunit A [Faecalibacterium prausnitzii] 
gi|492684798|ref|WP_005922217.1|	excinuclease ABC subunit B [Faecalibacterium prausnitzii] 
gi|492684800|ref|WP_005922219.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684802|ref|WP_005922221.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684804|ref|WP_005922223.1|	pseudouridine synthase [Faecalibacterium prausnitzii] 
gi|492684806|ref|WP_005922225.1|	histidine kinase [Faecalibacterium prausnitzii] 
gi|492684808|ref|WP_005922227.1|	chemotaxis protein CheY [Faecalibacterium prausnitzii] 
gi|492684810|ref|WP_005922229.1|	bacitracin ABC transporter ATP-binding protein [Faecalibacterium prausnitzii] 
gi|492684812|ref|WP_005922231.1|	ABC transporter [Faecalibacterium prausnitzii] 
gi|492684814|ref|WP_005922233.1|	ABC transporter substrate-binding protein [Faecalibacterium prausnitzii] 
gi|492684816|ref|WP_005922235.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684819|ref|WP_005922238.1|	F0F1 ATP synthase subunit beta [Faecalibacterium prausnitzii] 
gi|492684822|ref|WP_005922241.1|	ATP synthase F1 subunit gamma [Faecalibacterium prausnitzii] 
gi|492684824|ref|WP_005922243.1|	ATP synthase F1 subunit alpha [Faecalibacterium prausnitzii] 
gi|492684825|ref|WP_005922244.1|	ATP-binding protein [Faecalibacterium prausnitzii] 
gi|492684826|ref|WP_005922245.1|	F0F1 ATP synthase subunit C [Faecalibacterium prausnitzii] 
gi|492684828|ref|WP_005922247.1|	F0F1 ATP synthase subunit A [Faecalibacterium prausnitzii] 
gi|492684829|ref|WP_005922248.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684830|ref|WP_005922249.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684832|ref|WP_005922251.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684833|ref|WP_005922252.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684835|ref|WP_005922254.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684837|ref|WP_005922256.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684839|ref|WP_005922258.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684841|ref|WP_005922260.1|	stress responsive protein [Faecalibacterium prausnitzii] 
gi|492684843|ref|WP_005922262.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684845|ref|WP_005922264.1|	hydrolase [Faecalibacterium prausnitzii] 
gi|492684847|ref|WP_005922266.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492684851|ref|WP_005922270.1|	methionyl-tRNA synthetase [Faecalibacterium prausnitzii] 
gi|492684849|ref|WP_005922268.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684853|ref|WP_005922272.1|	phosphoglucosamine mutase [Faecalibacterium prausnitzii] 
gi|492684854|ref|WP_005922273.1|	glyceraldehyde-3-phosphate dehydrogenase [Faecalibacterium prausnitzii] 
gi|492684855|ref|WP_005922274.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684856|ref|WP_005922275.1|	citrate synthase [Faecalibacterium prausnitzii] 
gi|492684857|ref|WP_005922276.1|	stage II sporulation protein D [Faecalibacterium prausnitzii] 
gi|492684859|ref|WP_005922278.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684861|ref|WP_005922280.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684863|ref|WP_005922282.1|	dimethyladenosine transferase [Faecalibacterium prausnitzii] 
gi|492684865|ref|WP_005922284.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684864|ref|WP_005922283.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684866|ref|WP_005922285.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684867|ref|WP_005922286.1|	peptidase M23 [Faecalibacterium prausnitzii] 
gi|492684868|ref|WP_005922287.1|	ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492684869|ref|WP_005922288.1|	cell division protein FtsE [Faecalibacterium prausnitzii] 
gi|492684870|ref|WP_005922289.1|	CdaR family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492684871|ref|WP_005922290.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684872|ref|WP_005922291.1|	RNA pseudouridine synthase [Faecalibacterium prausnitzii] 
gi|492684873|ref|WP_005922292.1|	adenylosuccinate lyase [Faecalibacterium prausnitzii] 
gi|492684874|ref|WP_005922293.1|	phosphoribosylformylglycinamidine synthase [Faecalibacterium prausnitzii] 
gi|492684875|ref|WP_005922294.1|	phosphoribosylamine--glycine ligase [Faecalibacterium prausnitzii] 
gi|492684876|ref|WP_005922295.1|	5-aminoimidazole-4-carboxamide ribonucleotide transformylase [Faecalibacterium prausnitzii] 
gi|492684877|ref|WP_005922296.1|	inosine monophosphate cyclohydrolase [Faecalibacterium prausnitzii] 
gi|492684878|ref|WP_005922297.1|	phosphoribosylglycinamide formyltransferase [Faecalibacterium prausnitzii] 
gi|492684879|ref|WP_005922298.1|	phosphoribosylaminoimidazole synthetase [Faecalibacterium prausnitzii] 
gi|492684880|ref|WP_005922299.1|	amidophosphoribosyltransferase [Faecalibacterium prausnitzii] 
gi|492684881|ref|WP_005922300.1|	N5-carboxyaminoimidazole ribonucleotide mutase [Faecalibacterium prausnitzii] 
gi|492684882|ref|WP_005922301.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684883|ref|WP_005922302.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684885|ref|WP_005922304.1|	prolyl-tRNA synthetase [Faecalibacterium prausnitzii] 
gi|492684886|ref|WP_005922305.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684888|ref|WP_005922307.1|	3-deoxy-7-phosphoheptulonate synthase [Faecalibacterium prausnitzii] 
gi|492684890|ref|WP_005922309.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684892|ref|WP_005922311.1|	thiamine biosynthesis lipoprotein ApbE [Faecalibacterium prausnitzii] 
gi|492684893|ref|WP_005922312.1|	phosphoglyceromutase [Faecalibacterium prausnitzii] 
gi|492684895|ref|WP_005922314.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684896|ref|WP_005922315.1|	triosephosphate isomerase [Faecalibacterium prausnitzii] 
gi|492684898|ref|WP_005922317.1|	phosphoglycerate kinase [Faecalibacterium prausnitzii] 
