gi|490423333|ref|WP_004295544.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424310|ref|WP_004296501.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424311|ref|WP_004296502.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424312|ref|WP_004296503.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424313|ref|WP_004296504.1|	ATPase [Bacteroides ovatus] 
gi|490424314|ref|WP_004296505.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424315|ref|WP_004296506.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424316|ref|WP_004296507.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424317|ref|WP_004296508.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424318|ref|WP_004296509.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424319|ref|WP_004296510.1|	pyridine nucleotide-disulfide oxidoreductase [Bacteroides ovatus] 
gi|490424320|ref|WP_004296511.1|	glycosyl hydrolase family 88 [Bacteroides ovatus] 
gi|490424321|ref|WP_004296512.1|	beta-glucosidase [Bacteroides ovatus] 
gi|490424322|ref|WP_004296513.1|	beta-glucosidase [Bacteroides ovatus] 
gi|490424323|ref|WP_004296514.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424324|ref|WP_004296515.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424325|ref|WP_004296516.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424326|ref|WP_004296517.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424327|ref|WP_004296518.1|	collagen-binding protein [Bacteroides ovatus] 
gi|490424328|ref|WP_004296519.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424329|ref|WP_004296520.1|	RNA polymerase sigma70 factor [Bacteroides ovatus] 
gi|490424330|ref|WP_004296521.1|	membrane protein [Bacteroides ovatus] 
gi|490424331|ref|WP_004296522.1|	MULTISPECIES: ribosome-binding factor A [Bacteroides] 
gi|490424332|ref|WP_004296523.1|	O-methyltransferase [Bacteroides ovatus] 
gi|490424333|ref|WP_004296524.1|	pyruvate kinase [Bacteroides ovatus] 
gi|490424334|ref|WP_004296525.1|	3-dehydroquinate dehydratase [Bacteroides ovatus] 
gi|490424335|ref|WP_004296526.1|	integrase [Bacteroides ovatus] 
gi|490424336|ref|WP_004296527.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424337|ref|WP_004296528.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424338|ref|WP_004296529.1|	magnesium chelatase [Bacteroides ovatus] 
gi|490424340|ref|WP_004296530.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424341|ref|WP_004296531.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424342|ref|WP_004296532.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424343|ref|WP_004296533.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424344|ref|WP_004296534.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424345|ref|WP_004296535.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424347|ref|WP_004296537.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424349|ref|WP_004296538.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424350|ref|WP_004296539.1|	tyrosine recombinase [Bacteroides ovatus] 
gi|490424351|ref|WP_004296540.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424352|ref|WP_004296541.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424353|ref|WP_004296542.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424354|ref|WP_004296543.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424355|ref|WP_004296544.1|	penicillin-binding protein 2B [Bacteroides ovatus] 
gi|490424356|ref|WP_004296545.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424357|ref|WP_004296546.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424358|ref|WP_004296547.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424359|ref|WP_004296548.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424360|ref|WP_004296549.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424361|ref|WP_004296550.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424362|ref|WP_004296551.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424363|ref|WP_004296552.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424364|ref|WP_004296553.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424365|ref|WP_004296554.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424366|ref|WP_004296555.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424367|ref|WP_004296556.1|	MULTISPECIES: resolvase [Bacteroides] 
gi|490424368|ref|WP_004296557.1|	magnesium chelatase [Bacteroides ovatus] 
gi|490424369|ref|WP_004296558.1|	sensor histidine kinase [Bacteroides ovatus] 
gi|490424370|ref|WP_004296559.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424371|ref|WP_004296560.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424372|ref|WP_004296561.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424373|ref|WP_004296562.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424374|ref|WP_004296563.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424375|ref|WP_004296564.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424376|ref|WP_004296565.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424377|ref|WP_004296566.1|	MULTISPECIES: glycoside hydrolase family 2 [Bacteroides] 
gi|490424378|ref|WP_004296567.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424379|ref|WP_004296568.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424380|ref|WP_004296569.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424381|ref|WP_004296570.1|	MULTISPECIES: starch-binding protein [Bacteroides] 
gi|490424382|ref|WP_004296571.1|	MULTISPECIES: collagen-binding protein [Bacteroides] 
gi|490424383|ref|WP_004296572.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424384|ref|WP_004296573.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424385|ref|WP_004296574.1|	MULTISPECIES: hydrolase [Bacteroides] 
gi|490424386|ref|WP_004296575.1|	MULTISPECIES: glycosyl hydrolase [Bacteroides] 
gi|490424387|ref|WP_004296576.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424388|ref|WP_004296577.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424389|ref|WP_004296578.1|	MULTISPECIES: starch-binding protein [Bacteroides] 
gi|490424390|ref|WP_004296579.1|	MULTISPECIES: collagen-binding protein [Bacteroides] 
gi|490424391|ref|WP_004296580.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424392|ref|WP_004296581.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424393|ref|WP_004296582.1|	MULTISPECIES: oxidoreductase [Bacteroides] 
gi|490424394|ref|WP_004296583.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424395|ref|WP_004296584.1|	oxidoreductase [Bacteroides ovatus] 
gi|490424396|ref|WP_004296585.1|	MULTISPECIES: arabinan endo-1,5-alpha-L-arabinosidase [Bacteroides] 
gi|490424397|ref|WP_004296586.1|	MULTISPECIES: sensor histidine kinase [Bacteroides] 
gi|490424398|ref|WP_004296587.1|	MULTISPECIES: CoA ligase [Bacteroides] 
gi|490424399|ref|WP_004296588.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424400|ref|WP_004296589.1|	MULTISPECIES: methionyl-tRNA synthetase [Bacteroides] 
gi|490424401|ref|WP_004296590.1|	MULTISPECIES: lipopolysaccharide biosynthesis protein [Bacteroides] 
gi|490424402|ref|WP_004296591.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424403|ref|WP_004296592.1|	MULTISPECIES: LICD [Bacteroides] 
gi|490424404|ref|WP_004296593.1|	hemolysin activation protein [Bacteroides ovatus] 
gi|490424405|ref|WP_004296594.1|	MULTISPECIES: glycosyl transferase [Bacteroides] 
gi|490424406|ref|WP_004296595.1|	MULTISPECIES: glycosyl transferase [Bacteroides] 
gi|490424407|ref|WP_004296596.1|	MULTISPECIES: glycosyl transferase family 2 [Bacteroides] 
gi|490424408|ref|WP_004296597.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424409|ref|WP_004296598.1|	MULTISPECIES: methyltransferase type 11 [Bacteroides] 
gi|490424410|ref|WP_004296599.1|	MULTISPECIES: AraC family transcriptional regulator [Bacteroides] 
gi|490424411|ref|WP_004296600.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424412|ref|WP_004296601.1|	MULTISPECIES: NAD-dependent protein deacylase [Bacteroides] 
gi|490424413|ref|WP_004296602.1|	MULTISPECIES: peptidylprolyl isomerase [Bacteroides] 
gi|490424414|ref|WP_004296603.1|	MULTISPECIES: peptidylprolyl isomerase [Bacteroides] 
gi|490424415|ref|WP_004296604.1|	transcriptional regulator [Bacteroides ovatus] 
gi|490424416|ref|WP_004296605.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490424417|ref|WP_004296606.1|	HAD family hydrolase [Bacteroides ovatus] 
gi|490424418|ref|WP_004296607.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424419|ref|WP_004296608.1|	MULTISPECIES: RNA polymerase sigma factor [Bacteroides] 
gi|490424420|ref|WP_004296609.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424421|ref|WP_004296610.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424422|ref|WP_004296611.1|	D-tyrosyl-tRNA(Tyr) deacylase [Bacteroides ovatus] 
gi|490424423|ref|WP_004296612.1|	D-alanyl-D-alanine dipeptidase [Bacteroides ovatus] 
gi|490424424|ref|WP_004296613.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424425|ref|WP_004296614.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424426|ref|WP_004296615.1|	hypothetical protein partial [Bacteroides ovatus] 
gi|490424427|ref|WP_004296616.1|	hypothetical protein partial [Bacteroides ovatus] 
gi|490424428|ref|WP_004296617.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424429|ref|WP_004296618.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424430|ref|WP_004296619.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424431|ref|WP_004296620.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424432|ref|WP_004296621.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424433|ref|WP_004296622.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424434|ref|WP_004296623.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424435|ref|WP_004296624.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424436|ref|WP_004296625.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424437|ref|WP_004296626.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424438|ref|WP_004296627.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424439|ref|WP_004296628.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424440|ref|WP_004296629.1|	MULTISPECIES: N-acetylmuramoyl-L-alanine amidase [Bacteroides] 
gi|490424441|ref|WP_004296630.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424442|ref|WP_004296631.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|490424443|ref|WP_004296632.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424444|ref|WP_004296633.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424445|ref|WP_004296634.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424446|ref|WP_004296635.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424447|ref|WP_004296636.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424449|ref|WP_004296637.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424450|ref|WP_004296638.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424451|ref|WP_004296639.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424452|ref|WP_004296640.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424453|ref|WP_004296641.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424454|ref|WP_004296642.1|	serine/threonine protein kinase [Bacteroides ovatus] 
gi|490424455|ref|WP_004296643.1|	endoribonuclease L-PSP [Bacteroides ovatus] 
gi|490424456|ref|WP_004296644.1|	dihydrofolate synthase [Bacteroides ovatus] 
gi|490424457|ref|WP_004296645.1|	MULTISPECIES: phosphate starvation protein PhoH [Bacteroides] 
gi|490424458|ref|WP_004296646.1|	MULTISPECIES: diguanylate cyclase [Bacteroides] 
gi|490424459|ref|WP_004296647.1|	MULTISPECIES: alanine racemase [Bacteroides] 
gi|490424460|ref|WP_004296648.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424461|ref|WP_004296649.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490424462|ref|WP_004296650.1|	MULTISPECIES: lipid hydroperoxide peroxidase [Bacteroides] 
gi|490424463|ref|WP_004296651.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424464|ref|WP_004296652.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490424465|ref|WP_004296653.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424466|ref|WP_004296654.1|	MULTISPECIES: glutaminyl-tRNA synthetase [Bacteroides] 
gi|490424467|ref|WP_004296655.1|	phosphate ABC transporter substrate-binding protein [Bacteroides ovatus] 
gi|490424468|ref|WP_004296656.1|	phosphate ABC transporter permease [Bacteroides ovatus] 
gi|490424469|ref|WP_004296657.1|	phosphate ABC transporter permease [Bacteroides ovatus] 
gi|490424470|ref|WP_004296658.1|	MULTISPECIES: phosphate ABC transporter ATP-binding protein [Bacteroides] 
gi|490424471|ref|WP_004296659.1|	MULTISPECIES: PhoU family transcriptional regulator [Bacteroides] 
gi|490424472|ref|WP_004296660.1|	riboflavin synthase subunit alpha [Bacteroides ovatus] 
gi|490424473|ref|WP_004296661.1|	NAD(P)H nitroreductase [Bacteroides ovatus] 
gi|490424474|ref|WP_004296662.1|	peptidase S41 [Bacteroides ovatus] 
gi|490424475|ref|WP_004296663.1|	MULTISPECIES: ribonuclease BN [Bacteroides] 
gi|490424476|ref|WP_004296664.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424477|ref|WP_004296665.1|	peptidase [Bacteroides ovatus] 
gi|490424478|ref|WP_004296666.1|	muconate cycloisomerase [Bacteroides ovatus] 
gi|490424479|ref|WP_004296667.1|	MULTISPECIES: type I deoxyribonuclease HsdR [Bacteroides] 
gi|488624878|ref|WP_002561589.1|	MULTISPECIES: RNA polymerase sigma factor rpoD [Bacteroides] 
gi|490424480|ref|WP_004296668.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424481|ref|WP_004296669.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424482|ref|WP_004296670.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424483|ref|WP_004296671.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424484|ref|WP_004296672.1|	regulator [Bacteroides ovatus] 
gi|490424485|ref|WP_004296673.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490424486|ref|WP_004296674.1|	membrane protein [Bacteroides ovatus] 
gi|490424487|ref|WP_004296675.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490424488|ref|WP_004296676.1|	membrane protein [Bacteroides ovatus] 
gi|490424489|ref|WP_004296677.1|	glycosyl hydrolase family 3 [Bacteroides ovatus] 
gi|490424490|ref|WP_004296678.1|	MULTISPECIES: purple acid phosphatase [Bacteroides] 
gi|490424491|ref|WP_004296679.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424492|ref|WP_004296680.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424493|ref|WP_004296681.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424494|ref|WP_004296682.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424495|ref|WP_004296683.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424496|ref|WP_004296684.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424497|ref|WP_004296685.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424498|ref|WP_004296686.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424499|ref|WP_004296687.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424500|ref|WP_004296688.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424501|ref|WP_004296689.1|	hypothetical protein partial [Bacteroides ovatus] 
gi|490424502|ref|WP_004296690.1|	transposase [Bacteroides ovatus] 
gi|490424503|ref|WP_004296691.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424504|ref|WP_004296692.1|	MULTISPECIES: XRE family transcriptional regulator [Bacteroides] 
gi|490424505|ref|WP_004296693.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424506|ref|WP_004296694.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424507|ref|WP_004296695.1|	MULTISPECIES: zinc ABC transporter ATP-binding protein [Bacteroides] 
gi|490424508|ref|WP_004296696.1|	zinc ABC transporter substrate-binding protein [Bacteroides ovatus] 
gi|490424509|ref|WP_004296697.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424510|ref|WP_004296698.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490424511|ref|WP_004296699.1|	membrane protein [Bacteroides ovatus] 
gi|490424512|ref|WP_004296700.1|	MULTISPECIES: phosphoribosylamine--glycine ligase [Bacteroides] 
gi|490424513|ref|WP_004296701.1|	prolyl tripeptidyl peptidase [Bacteroides ovatus] 
gi|490424514|ref|WP_004296702.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424515|ref|WP_004296703.1|	DNA methylase [Bacteroides ovatus] 
gi|490424516|ref|WP_004296704.1|	MULTISPECIES: serine acetyltransferase [Bacteroides] 
gi|490424517|ref|WP_004296705.1|	sensor histidine kinase [Bacteroides ovatus] 
gi|490424518|ref|WP_004296706.1|	chemotaxis protein CheY [Bacteroides ovatus] 
gi|490424519|ref|WP_004296707.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424520|ref|WP_004296708.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424521|ref|WP_004296709.1|	DNA polymerase I [Bacteroides ovatus] 
gi|490424522|ref|WP_004296710.1|	MULTISPECIES: octaprenyl-diphosphate synthase [Bacteroides] 
gi|490424523|ref|WP_004296711.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424524|ref|WP_004296712.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424525|ref|WP_004296713.1|	MULTISPECIES: deoxyribose-phosphate aldolase [Bacteroides] 
gi|490424526|ref|WP_004296714.1|	MULTISPECIES: pyrophosphatase [Bacteroides] 
gi|490424527|ref|WP_004296715.1|	D-tyrosyl-tRNA(Tyr) deacylase [Bacteroides ovatus] 
gi|490424528|ref|WP_004296716.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424529|ref|WP_004296717.1|	excinuclease ABC subunit C [Bacteroides ovatus] 
gi|490424530|ref|WP_004296718.1|	MULTISPECIES: adenine phosphoribosyltransferase [Bacteroides] 
gi|490424531|ref|WP_004296719.1|	MULTISPECIES: tRNA uridine 5-carboxymethylaminomethyl modification protein [Bacteroides] 
gi|490424532|ref|WP_004296720.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424533|ref|WP_004296721.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424534|ref|WP_004296722.1|	transposase [Bacteroides ovatus] 
gi|490424535|ref|WP_004296723.1|	MULTISPECIES: transposase [Bacteroides] 
gi|490424536|ref|WP_004296724.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424537|ref|WP_004296725.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424538|ref|WP_004296726.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424539|ref|WP_004296727.1|	membrane protein [Bacteroides ovatus] 
gi|490424540|ref|WP_004296728.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490424541|ref|WP_004296729.1|	MULTISPECIES: hemolysin D [Bacteroides] 
gi|490424542|ref|WP_004296730.1|	MULTISPECIES: transporter [Bacteroides] 
gi|490424543|ref|WP_004296731.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424544|ref|WP_004296732.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424545|ref|WP_004296733.1|	MULTISPECIES: multidrug transporter [Bacteroides] 
gi|490424546|ref|WP_004296734.1|	MULTISPECIES: TonB-dependent receptor [Bacteroides] 
gi|490424547|ref|WP_004296735.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424548|ref|WP_004296736.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424550|ref|WP_004296737.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490424551|ref|WP_004296738.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424552|ref|WP_004296739.1|	MULTISPECIES: AraC family transcriptional regulator [Bacteroides] 
gi|490424553|ref|WP_004296740.1|	MULTISPECIES: hemolysin D [Bacteroides] 
gi|490424554|ref|WP_004296741.1|	MULTISPECIES: multidrug transporter AcrB [Bacteroides] 
gi|490424555|ref|WP_004296742.1|	multidrug transporter [Bacteroides ovatus] 
gi|490424557|ref|WP_004296744.1|	TetR family transcriptional regulator [Bacteroides ovatus] 
gi|490424559|ref|WP_004296745.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424560|ref|WP_004296746.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424561|ref|WP_004296747.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424562|ref|WP_004296748.1|	MULTISPECIES: N-acetylmuramoyl-L-alanine amidase [Bacteroides] 
gi|490424563|ref|WP_004296749.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424564|ref|WP_004296750.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424565|ref|WP_004296751.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424566|ref|WP_004296752.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424567|ref|WP_004296753.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424568|ref|WP_004296754.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424569|ref|WP_004296755.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424570|ref|WP_004296756.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424571|ref|WP_004296757.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424572|ref|WP_004296758.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490424574|ref|WP_004296760.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424575|ref|WP_004296761.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424576|ref|WP_004296762.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424578|ref|WP_004296764.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424579|ref|WP_004296765.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424581|ref|WP_004296767.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424583|ref|WP_004296769.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424585|ref|WP_004296771.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424587|ref|WP_004296773.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424588|ref|WP_004296774.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424589|ref|WP_004296775.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424590|ref|WP_004296776.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|490424591|ref|WP_004296777.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424592|ref|WP_004296778.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424593|ref|WP_004296779.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424594|ref|WP_004296780.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424595|ref|WP_004296781.1|	MULTISPECIES: ribonucleoside triphosphate reductase [Bacteroides] 
gi|490424596|ref|WP_004296782.1|	MULTISPECIES: ribonucleoside-triphosphate reductase [Bacteroides] 
gi|490424598|ref|WP_004296784.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424600|ref|WP_004296786.1|	MULTISPECIES: MFS transporter [Bacteroides] 
gi|490424601|ref|WP_004296787.1|	2-aminoethylphosphonate:pyruvate aminotransferase [Bacteroides ovatus] 
gi|490424603|ref|WP_004296789.1|	phosphonoacetaldehyde hydrolase [Bacteroides ovatus] 
gi|490424604|ref|WP_004296790.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490424605|ref|WP_004296791.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424606|ref|WP_004296792.1|	MULTISPECIES: zinc metalloprotease [Bacteroides] 
gi|490424607|ref|WP_004296793.1|	MULTISPECIES: 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Bacteroides] 
gi|490424608|ref|WP_004296794.1|	MULTISPECIES: peptidase M23 [Bacteroides] 
gi|490424609|ref|WP_004296795.1|	MULTISPECIES: 16S rRNA-processing protein RimM [Bacteroides] 
gi|490424610|ref|WP_004296796.1|	MULTISPECIES: UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Bacteroides] 
gi|490424611|ref|WP_004296797.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424612|ref|WP_004296798.1|	glycoprotease [Bacteroides ovatus] 
gi|490424613|ref|WP_004296799.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424614|ref|WP_004296800.1|	guanylate kinase [Bacteroides ovatus] 
gi|490424615|ref|WP_004296801.1|	MULTISPECIES: nicotinate-nucleotide adenylyltransferase [Bacteroides] 
gi|490424616|ref|WP_004296802.1|	MULTISPECIES: ATPase [Bacteroides] 
gi|490424617|ref|WP_004296803.1|	phosphohydrolase [Bacteroides ovatus] 
gi|490424618|ref|WP_004296804.1|	MULTISPECIES: 1,4-dihydroxy-2-naphthoate prenyltransferase [Bacteroides] 
gi|490424619|ref|WP_004296805.1|	MULTISPECIES: dTDP-glucose 4,6-dehydratase [Bacteroides] 
gi|490424620|ref|WP_004296806.1|	MULTISPECIES: glucose-1-phosphate thymidylyltransferase [Bacteroides] 
gi|490424621|ref|WP_004296807.1|	MULTISPECIES: phosphoesterase [Bacteroides] 
gi|490424622|ref|WP_004296808.1|	MULTISPECIES: polyphosphate kinase [Bacteroides] 
gi|490424623|ref|WP_004296809.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424624|ref|WP_004296810.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424625|ref|WP_004296811.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424626|ref|WP_004296812.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424627|ref|WP_004296813.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490424628|ref|WP_004296814.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|490424629|ref|WP_004296815.1|	integrase [Bacteroides ovatus] 
gi|490424632|ref|WP_004296818.1|	hypothetical protein [Bacteroides ovatus] 
gi|490424633|ref|WP_004296819.1|	hypothetical protein [Bacteroides ovatus] 
