gi|491472322|ref|WP_005330076.1|	hypothetical protein partial [Dorea formicigenerans] 
gi|491473918|ref|WP_005331664.1|	chemotaxis protein CheY [Dorea formicigenerans] 
gi|491473920|ref|WP_005331666.1|	transcriptional regulator [Dorea formicigenerans] 
gi|491473921|ref|WP_005331667.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473922|ref|WP_005331668.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473923|ref|WP_005331669.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473924|ref|WP_005331670.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473925|ref|WP_005331671.1|	peptidase U32 [Dorea formicigenerans] 
gi|491473926|ref|WP_005331672.1|	O-methyltransferase [Dorea formicigenerans] 
gi|491473927|ref|WP_005331673.1|	beta-lactamase [Dorea formicigenerans] 
gi|491473928|ref|WP_005331674.1|	MULTISPECIES: Fur family transcriptional regulator [Dorea] 
gi|491473929|ref|WP_005331675.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491473932|ref|WP_005331678.1|	MULTISPECIES: Holliday junction resolvase [Dorea] 
gi|491473935|ref|WP_005331681.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491473937|ref|WP_005331683.1|	radical SAM protein [Dorea formicigenerans] 
gi|491473941|ref|WP_005331686.1|	MULTISPECIES: PTS sugar transporter [Dorea] 
gi|491473943|ref|WP_005331688.1|	thiamine biosynthesis protein ThiI [Dorea formicigenerans] 
gi|491473945|ref|WP_005331690.1|	cysteine desulfarase [Dorea formicigenerans] 
gi|491473947|ref|WP_005331692.1|	16S rRNA methyltransferase [Dorea formicigenerans] 
gi|491473949|ref|WP_005331694.1|	50S ribosomal protein L11 methyltransferase [Dorea formicigenerans] 
gi|491473951|ref|WP_005331696.1|	UDP-galactopyranose mutase [Dorea formicigenerans] 
gi|491473953|ref|WP_005331698.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473955|ref|WP_005331700.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473956|ref|WP_005331701.1|	glycosyl transferase family 2 [Dorea formicigenerans] 
gi|491473957|ref|WP_005331702.1|	transcriptional regulator [Dorea formicigenerans] 
gi|491473958|ref|WP_005331703.1|	UDP-phosphate glucose phosphotransferase [Dorea formicigenerans] 
gi|491473959|ref|WP_005331704.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473960|ref|WP_005331705.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473961|ref|WP_005331706.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473962|ref|WP_005331707.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473963|ref|WP_005331708.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473965|ref|WP_005331710.1|	O-acyltransferase [Dorea formicigenerans] 
gi|491473967|ref|WP_005331712.1|	dTDP-4-dehydrorhamnose 3,5-epimerase [Dorea formicigenerans] 
gi|491473969|ref|WP_005331714.1|	dTDP-4-dehydrorhamnose reductase [Dorea formicigenerans] 
gi|491473971|ref|WP_005331716.1|	MULTISPECIES: spore coat protein [Dorea] 
gi|491473973|ref|WP_005331718.1|	MULTISPECIES: glucose-1-phosphate thymidylyltransferase [Dorea] 
gi|491473975|ref|WP_005331720.1|	MerR family transcriptional regulator [Dorea formicigenerans] 
gi|491473976|ref|WP_005331721.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473977|ref|WP_005331722.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473978|ref|WP_005331723.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473979|ref|WP_005331724.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473980|ref|WP_005331725.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473981|ref|WP_005331726.1|	MULTISPECIES: teichoic acid ABC transporter ATP-binding protein [Dorea] 
gi|491473982|ref|WP_005331727.1|	ABC transporter [Dorea formicigenerans] 
gi|491473983|ref|WP_005331728.1|	glycosyltransferase [Dorea formicigenerans] 
gi|491473984|ref|WP_005331729.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473985|ref|WP_005331730.1|	glycosyltransferase [Dorea formicigenerans] 
gi|491473986|ref|WP_005331731.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473987|ref|WP_005331732.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473988|ref|WP_005331733.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473989|ref|WP_005331734.1|	glycosyl transferase family 2 [Dorea formicigenerans] 
gi|491473990|ref|WP_005331735.1|	glycosyl transferase family 2 [Dorea formicigenerans] 
gi|491473992|ref|WP_005331737.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473993|ref|WP_005331738.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473994|ref|WP_005331739.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473995|ref|WP_005331740.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473996|ref|WP_005331741.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473997|ref|WP_005331742.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473998|ref|WP_005331743.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473999|ref|WP_005331744.1|	choline kinase [Dorea formicigenerans] 
gi|491474000|ref|WP_005331745.1|	cholinephosphate cytidylyltransferase [Dorea formicigenerans] 
gi|491474001|ref|WP_005331746.1|	carnitine transporter [Dorea formicigenerans] 
gi|491474002|ref|WP_005331747.1|	polysaccharide biosynthesis protein GtrA [Dorea formicigenerans] 
gi|491474003|ref|WP_005331748.1|	phosphoglycerol transferase [Dorea formicigenerans] 
gi|491474006|ref|WP_005331751.1|	glucanase [Dorea formicigenerans] 
gi|491474008|ref|WP_005331753.1|	beta-carotene 15,15-monooxygenase [Dorea formicigenerans] 
gi|491474010|ref|WP_005331755.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474013|ref|WP_005331758.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474015|ref|WP_005331760.1|	aminopeptidase [Dorea formicigenerans] 
gi|491474016|ref|WP_005331761.1|	membrane protein [Dorea formicigenerans] 
gi|491474018|ref|WP_005331763.1|	serine dehydratase [Dorea formicigenerans] 
gi|491474020|ref|WP_005331765.1|	serine dehydratase [Dorea formicigenerans] 
gi|491474022|ref|WP_005331767.1|	membrane protein [Dorea formicigenerans] 
gi|491474023|ref|WP_005331768.1|	transposase [Dorea formicigenerans] 
gi|491474025|ref|WP_005331770.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474027|ref|WP_005331772.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474029|ref|WP_005331774.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474031|ref|WP_005331776.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474033|ref|WP_005331778.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474034|ref|WP_005331779.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474035|ref|WP_005331780.1|	ATPase [Dorea formicigenerans] 
gi|491474036|ref|WP_005331781.1|	membrane protein [Dorea formicigenerans] 
gi|491474037|ref|WP_005331782.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474038|ref|WP_005331783.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474039|ref|WP_005331784.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474040|ref|WP_005331785.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474041|ref|WP_005331786.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474042|ref|WP_005331787.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474043|ref|WP_005331788.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474051|ref|WP_005331796.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474053|ref|WP_005331798.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474054|ref|WP_005331799.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474056|ref|WP_005331801.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474058|ref|WP_005331803.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474060|ref|WP_005331805.1|	nucleoside recognition protein [Dorea formicigenerans] 
gi|491474061|ref|WP_005331806.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474063|ref|WP_005331808.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474065|ref|WP_005331810.1|	spore maturation protein [Dorea formicigenerans] 
gi|491474070|ref|WP_005331815.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474071|ref|WP_005331816.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474072|ref|WP_005331817.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474073|ref|WP_005331818.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474074|ref|WP_005331819.1|	molybdenum cofactor biosynthesis protein C [Dorea formicigenerans] 
gi|491474075|ref|WP_005331820.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474076|ref|WP_005331821.1|	molybdenum hydroxylase [Dorea formicigenerans] 
gi|491474077|ref|WP_005331822.1|	molybdopterin-binding protein [Dorea formicigenerans] 
gi|491474078|ref|WP_005331823.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474079|ref|WP_005331824.1|	molybdenum cofactor biosynthesis protein MoeA [Dorea formicigenerans] 
gi|491474080|ref|WP_005331825.1|	molybdenum cofactor biosynthesis protein [Dorea formicigenerans] 
gi|491474081|ref|WP_005331826.1|	molybdenum ABC transporter substrate-binding protein [Dorea formicigenerans] 
gi|491474083|ref|WP_005331828.1|	molybdate ABC transporter permease [Dorea formicigenerans] 
gi|491474085|ref|WP_005331830.1|	ABC transporter [Dorea formicigenerans] 
gi|491474086|ref|WP_005331831.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474087|ref|WP_005331832.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474088|ref|WP_005331833.1|	methionyl-tRNA synthetase [Dorea formicigenerans] 
gi|491474089|ref|WP_005331834.1|	cytochrome C2 [Dorea formicigenerans] 
gi|491474090|ref|WP_005331835.1|	hydrolase TatD [Dorea formicigenerans] 
gi|491474091|ref|WP_005331836.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474092|ref|WP_005331837.1|	MULTISPECIES: 16S rRNA methyltransferase [Dorea] 
gi|491474094|ref|WP_005331839.1|	citrate synthase [Dorea formicigenerans] 
gi|491474096|ref|WP_005331841.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474098|ref|WP_005331843.1|	MULTISPECIES: PhoB family transcriptional regulator [Dorea] 
gi|491474100|ref|WP_005331845.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474103|ref|WP_005331848.1|	SAM-dependent methyltransferase [Dorea formicigenerans] 
gi|491474104|ref|WP_005331849.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474106|ref|WP_005331851.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474108|ref|WP_005331853.1|	MULTISPECIES: transporter [Dorea] 
gi|491474110|ref|WP_005331855.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474112|ref|WP_005331857.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474114|ref|WP_005331859.1|	phosphopentomutase [Dorea formicigenerans] 
gi|491474115|ref|WP_005331860.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474118|ref|WP_005331863.1|	3-dehydroquinate synthase [Dorea formicigenerans] 
gi|491474119|ref|WP_005331864.1|	3-deoxy-7-phosphoheptulonate synthase [Dorea formicigenerans] 
gi|491474121|ref|WP_005331866.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474122|ref|WP_005331867.1|	deoxyguanosinetriphosphate triphosphohydrolase [Dorea formicigenerans] 
gi|491474123|ref|WP_005331868.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474124|ref|WP_005331869.1|	MULTISPECIES: adenosine deaminase [Dorea] 
gi|491474125|ref|WP_005331870.1|	radical SAM protein [Dorea formicigenerans] 
gi|491474126|ref|WP_005331871.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474127|ref|WP_005331872.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474129|ref|WP_005331874.1|	AsnC family transcriptional regulator [Dorea formicigenerans] 
gi|491474135|ref|WP_005331879.1|	aminotransferase [Dorea formicigenerans] 
gi|491474137|ref|WP_005331881.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474139|ref|WP_005331883.1|	MULTISPECIES: tRNA methyltransferase [Dorea] 
gi|491474141|ref|WP_005331885.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474143|ref|WP_005331887.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491474144|ref|WP_005331888.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491474145|ref|WP_005331889.1|	ATP synthase subunit A [Dorea formicigenerans] 
gi|491474146|ref|WP_005331890.1|	ATP synthase subunit B [Dorea formicigenerans] 
gi|491474147|ref|WP_005331891.1|	MULTISPECIES: ATP synthase subunit D [Dorea] 
gi|491474149|ref|WP_005331893.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474150|ref|WP_005331894.1|	MULTISPECIES: ATP synthase subunit K [Dorea] 
gi|491474152|ref|WP_005331896.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474154|ref|WP_005331898.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474157|ref|WP_005331901.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474159|ref|WP_005331903.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474161|ref|WP_005331905.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474162|ref|WP_005331906.1|	D-ribose transporter ATP binding protein [Dorea formicigenerans] 
gi|491474165|ref|WP_005331909.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474167|ref|WP_005331911.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474168|ref|WP_005331912.1|	aldolase [Dorea formicigenerans] 
gi|491474170|ref|WP_005331914.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474171|ref|WP_005331915.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474172|ref|WP_005331916.1|	shikimate kinase [Dorea formicigenerans] 
gi|491474173|ref|WP_005331917.1|	MULTISPECIES: UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Dorea] 
gi|491474174|ref|WP_005331918.1|	S-adenosylmethionine synthetase [Dorea formicigenerans] 
gi|491474175|ref|WP_005331919.1|	histidine kinase [Dorea formicigenerans] 
gi|491474176|ref|WP_005331920.1|	transcriptional regulator [Dorea formicigenerans] 
gi|491474178|ref|WP_005331922.1|	membrane protein [Dorea formicigenerans] 
gi|491474177|ref|WP_005331921.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474179|ref|WP_005331923.1|	MULTISPECIES: 30S ribosomal protein S12 [Dorea] 
gi|491474180|ref|WP_005331924.1|	MULTISPECIES: 30S ribosomal protein S7 [Dorea] 
gi|491474182|ref|WP_005331926.1|	elongation factor P [Dorea formicigenerans] 
gi|491474184|ref|WP_005331928.1|	elongation factor Tu [Dorea formicigenerans] 
gi|491474186|ref|WP_005331930.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474188|ref|WP_005331932.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474189|ref|WP_005331933.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474191|ref|WP_005331935.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474192|ref|WP_005331936.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474194|ref|WP_005331938.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474197|ref|WP_005331941.1|	LysR family transcriptional regulator [Dorea formicigenerans] 
gi|491474198|ref|WP_005331942.1|	aspartate ammonia-lyase [Dorea formicigenerans] 
gi|491474200|ref|WP_005331944.1|	exonuclease SbcD [Dorea formicigenerans] 
gi|491474202|ref|WP_005331946.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474204|ref|WP_005331948.1|	xylulokinase [Dorea formicigenerans] 
gi|491474206|ref|WP_005331950.1|	haloacid dehalogenase [Dorea formicigenerans] 
gi|491474208|ref|WP_005331952.1|	ribose 5-phosphate isomerase [Dorea formicigenerans] 
gi|491474210|ref|WP_005331954.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474211|ref|WP_005331955.1|	N-acetylmuramoyl-L-alanine amidase [Dorea formicigenerans] 
gi|491474213|ref|WP_005331957.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474214|ref|WP_005331958.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474216|ref|WP_005331960.1|	hemolysin [Dorea formicigenerans] 
gi|491474215|ref|WP_005331959.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474217|ref|WP_005331961.1|	UDP-N-acetylenolpyruvoylglucosamine reductase [Dorea formicigenerans] 
gi|491474218|ref|WP_005331962.1|	MULTISPECIES: glmZ(sRNA)-inactivating NTPase [Dorea] 
gi|491474219|ref|WP_005331963.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|491474220|ref|WP_005331964.1|	HPr kinase [Dorea formicigenerans] 
gi|491474221|ref|WP_005331965.1|	MULTISPECIES: diacylglycerol kinase [Firmicutes] 
gi|491474222|ref|WP_005331966.1|	transporter [Dorea formicigenerans] 
gi|491474223|ref|WP_005331967.1|	fructose-bisphosphate aldolase [Dorea formicigenerans] 
gi|491474224|ref|WP_005331968.1|	glutamine synthetase [Dorea formicigenerans] 
gi|491474225|ref|WP_005331969.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474227|ref|WP_005331971.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|491474229|ref|WP_005331973.1|	RNA methyltransferase [Dorea formicigenerans] 
gi|491474230|ref|WP_005331974.1|	MULTISPECIES: nucleoside-triphosphate diphosphatase [Firmicutes] 
gi|491474232|ref|WP_005331976.1|	phosphodiesterase [Dorea formicigenerans] 
gi|491474233|ref|WP_005331977.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474234|ref|WP_005331978.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474235|ref|WP_005331979.1|	MULTISPECIES: XRE family transcriptional regulator [Dorea] 
gi|491474236|ref|WP_005331980.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474237|ref|WP_005331981.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474238|ref|WP_005331982.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474240|ref|WP_005331984.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474241|ref|WP_005331985.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474244|ref|WP_005331988.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474246|ref|WP_005331990.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474248|ref|WP_005331992.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474249|ref|WP_005331993.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474251|ref|WP_005331995.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474252|ref|WP_005331996.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474253|ref|WP_005331997.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474254|ref|WP_005331998.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474255|ref|WP_005331999.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474256|ref|WP_005332000.1|	methyltransferase [Dorea formicigenerans] 
gi|491474257|ref|WP_005332001.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474258|ref|WP_005332002.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474260|ref|WP_005332004.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474261|ref|WP_005332005.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474262|ref|WP_005332006.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474263|ref|WP_005332007.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474264|ref|WP_005332008.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474265|ref|WP_005332009.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474266|ref|WP_005332010.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474267|ref|WP_005332011.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474268|ref|WP_005332012.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474269|ref|WP_005332013.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474270|ref|WP_005332014.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491474271|ref|WP_005332015.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474272|ref|WP_005332016.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474274|ref|WP_005332018.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474276|ref|WP_005332020.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474279|ref|WP_005332023.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474280|ref|WP_005332024.1|	terminase [Dorea formicigenerans] 
gi|491474281|ref|WP_005332025.1|	phage capsid protein [Dorea formicigenerans] 
gi|491474282|ref|WP_005332026.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474283|ref|WP_005332027.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474285|ref|WP_005332029.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474286|ref|WP_005332030.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474287|ref|WP_005332031.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474288|ref|WP_005332032.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474289|ref|WP_005332033.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474291|ref|WP_005332035.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474293|ref|WP_005332037.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474296|ref|WP_005332040.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474298|ref|WP_005332042.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474299|ref|WP_005332043.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474300|ref|WP_005332044.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474301|ref|WP_005332045.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474302|ref|WP_005332046.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474303|ref|WP_005332047.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474304|ref|WP_005332048.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474305|ref|WP_005332049.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474306|ref|WP_005332050.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474307|ref|WP_005332051.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474309|ref|WP_005332053.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474311|ref|WP_005332055.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474312|ref|WP_005332056.1|	holin [Dorea formicigenerans] 
gi|491474313|ref|WP_005332057.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474318|ref|WP_005332062.1|	XRE family transcriptional regulator [Dorea formicigenerans] 
gi|491474320|ref|WP_005332064.1|	hydroxymyristoyl-ACP dehydratase [Dorea formicigenerans] 
gi|491474321|ref|WP_005332065.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474322|ref|WP_005332066.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474323|ref|WP_005332067.1|	radical SAM protein [Dorea formicigenerans] 
gi|491474324|ref|WP_005332068.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474325|ref|WP_005332069.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474326|ref|WP_005332070.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474327|ref|WP_005332071.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474329|ref|WP_005332073.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474331|ref|WP_005332075.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|491474333|ref|WP_005332077.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474335|ref|WP_005332079.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474337|ref|WP_005332081.1|	aminotransferase [Dorea formicigenerans] 
gi|491474339|ref|WP_005332083.1|	addiction module antitoxin [Dorea formicigenerans] 
gi|491474340|ref|WP_005332084.1|	DNA-damage-inducible protein J [Dorea formicigenerans] 
gi|491474345|ref|WP_005332089.1|	50S ribosomal protein L33 [Dorea formicigenerans] 
gi|491474346|ref|WP_005332090.1|	preprotein translocase subunit SecE [Dorea formicigenerans] 
gi|491474347|ref|WP_005332091.1|	MULTISPECIES: antitermination factor NusG [Firmicutes] 
gi|491474351|ref|WP_005332095.1|	50S ribosomal protein L11 [Dorea formicigenerans] 
gi|491474352|ref|WP_005332096.1|	50S ribosomal protein L1 [Dorea formicigenerans] 
gi|491474354|ref|WP_005332098.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474357|ref|WP_005332101.1|	transposase [Dorea formicigenerans] 
gi|491474359|ref|WP_005332103.1|	transposase [Dorea formicigenerans] 
gi|491474361|ref|WP_005332105.1|	50S ribosomal protein L10 [Dorea formicigenerans] 
gi|491474363|ref|WP_005332107.1|	50S ribosomal protein L7/L12 [Dorea formicigenerans] 
gi|491474365|ref|WP_005332109.1|	hypothetical protein partial [Dorea formicigenerans] 
gi|491474381|ref|WP_005332125.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474382|ref|WP_005332126.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474385|ref|WP_005332129.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491474386|ref|WP_005332130.1|	MULTISPECIES: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Dorea] 
gi|491474387|ref|WP_005332131.1|	O-sialoglycoprotein endopeptidase [Dorea formicigenerans] 
gi|491474388|ref|WP_005332132.1|	MULTISPECIES: ribonuclease Z [Dorea] 
gi|491474389|ref|WP_005332133.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491474391|ref|WP_005332135.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474392|ref|WP_005332136.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474393|ref|WP_005332137.1|	amino acid lyase [Dorea formicigenerans] 
gi|491474394|ref|WP_005332138.1|	O-sialoglycoprotein endopeptidase [Dorea formicigenerans] 
gi|491474395|ref|WP_005332139.1|	ATP-binding protein [Dorea formicigenerans] 
gi|491474396|ref|WP_005332140.1|	MULTISPECIES: lactoylglutathione lyase [Dorea] 
gi|491474401|ref|WP_005332145.1|	ATPase AAA [Dorea formicigenerans] 
gi|491474402|ref|WP_005332146.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474403|ref|WP_005332147.1|	ABC transporter permease [Dorea formicigenerans] 
gi|491474404|ref|WP_005332148.1|	MULTISPECIES: ABC transporter ATP-binding protein [Dorea] 
gi|491474405|ref|WP_005332149.1|	hypothetical protein [Dorea formicigenerans] 
gi|491473522|ref|WP_005331271.1|	hypothetical protein [Dorea formicigenerans] 
gi|491474406|ref|WP_005332150.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491474408|ref|WP_005332152.1|	TetR family transcriptional regulator [Dorea formicigenerans] 
gi|491474412|ref|WP_005332156.1|	diacylglycerol kinase [Dorea formicigenerans] 
gi|491474415|ref|WP_005332159.1|	glycerophosphoryl diester phosphodiesterase [Dorea formicigenerans] 
gi|491474418|ref|WP_005332162.1|	phosphoesterase [Dorea formicigenerans] 
gi|491474427|ref|WP_005332170.1|	hemerythrin [Dorea formicigenerans] 
gi|491474428|ref|WP_005332171.1|	adenine glycosylase [Dorea formicigenerans] 
gi|491474429|ref|WP_005332172.1|	GTP pyrophosphokinase [Dorea formicigenerans] 
gi|491474430|ref|WP_005332173.1|	MULTISPECIES: cobinamide adenolsyltransferase [Dorea] 
gi|491474431|ref|WP_005332174.1|	hypothetical protein [Dorea formicigenerans] 
