gi|494108007|ref|WP_007048791.1|	hypothetical protein partial [Anaerofustis stercorihominis] 
gi|494108573|ref|WP_007049357.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108574|ref|WP_007049358.1|	N-acetyl-gamma-glutamyl-phosphate reductase [Anaerofustis stercorihominis] 
gi|494108575|ref|WP_007049359.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108576|ref|WP_007049360.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108577|ref|WP_007049361.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108578|ref|WP_007049362.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108579|ref|WP_007049363.1|	ABC transporter ATP-binding protein [Anaerofustis stercorihominis] 
gi|494108580|ref|WP_007049364.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108581|ref|WP_007049365.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108582|ref|WP_007049366.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108583|ref|WP_007049367.1|	glutamine ABC transporter permease [Anaerofustis stercorihominis] 
gi|494108584|ref|WP_007049368.1|	arginine ABC transporter ATP-binding protein [Anaerofustis stercorihominis] 
gi|494108585|ref|WP_007049369.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108586|ref|WP_007049370.1|	cell division protein FtsH [Anaerofustis stercorihominis] 
gi|494108587|ref|WP_007049371.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108588|ref|WP_007049372.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108589|ref|WP_007049373.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108590|ref|WP_007049374.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108591|ref|WP_007049375.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108592|ref|WP_007049376.1|	translation initiation factor IF-3 [Anaerofustis stercorihominis] 
gi|494108593|ref|WP_007049377.1|	50S ribosomal protein L35 [Anaerofustis stercorihominis] 
gi|494108594|ref|WP_007049378.1|	50S ribosomal protein L20 [Anaerofustis stercorihominis] 
gi|494108595|ref|WP_007049379.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108596|ref|WP_007049380.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108597|ref|WP_007049381.1|	GNAT family acetyltransferase [Anaerofustis stercorihominis] 
gi|494108598|ref|WP_007049382.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108599|ref|WP_007049383.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108600|ref|WP_007049384.1|	histidine kinase [Anaerofustis stercorihominis] 
gi|494108601|ref|WP_007049385.1|	threonyl-tRNA synthetase [Anaerofustis stercorihominis] 
gi|494108602|ref|WP_007049386.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108603|ref|WP_007049387.1|	hydrolase [Anaerofustis stercorihominis] 
gi|494108604|ref|WP_007049388.1|	tryptophanyl-tRNA synthetase [Anaerofustis stercorihominis] 
gi|494108605|ref|WP_007049389.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108606|ref|WP_007049390.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108607|ref|WP_007049391.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108608|ref|WP_007049392.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108609|ref|WP_007049393.1|	membrane protein [Anaerofustis stercorihominis] 
gi|494108610|ref|WP_007049394.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108611|ref|WP_007049395.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108612|ref|WP_007049396.1|	DNA topoisomerase I [Anaerofustis stercorihominis] 
gi|494108613|ref|WP_007049397.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108614|ref|WP_007049398.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108615|ref|WP_007049399.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108616|ref|WP_007049400.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108617|ref|WP_007049401.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108618|ref|WP_007049402.1|	disulfide oxidoreductase [Anaerofustis stercorihominis] 
gi|494108619|ref|WP_007049403.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108620|ref|WP_007049404.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108621|ref|WP_007049405.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108622|ref|WP_007049406.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108623|ref|WP_007049407.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108624|ref|WP_007049408.1|	trigger factor [Anaerofustis stercorihominis] 
gi|494108625|ref|WP_007049409.1|	ATP-dependent Clp protease proteolytic subunit [Anaerofustis stercorihominis] 
gi|494108626|ref|WP_007049410.1|	ATP-dependent protease [Anaerofustis stercorihominis] 
gi|494108627|ref|WP_007049411.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108628|ref|WP_007049412.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108629|ref|WP_007049413.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108630|ref|WP_007049414.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108631|ref|WP_007049415.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108632|ref|WP_007049416.1|	phenylalanyl-tRNA synthetase subunit alpha [Anaerofustis stercorihominis] 
gi|494108633|ref|WP_007049417.1|	malate dehydrogenase [Anaerofustis stercorihominis] 
gi|494108634|ref|WP_007049418.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108635|ref|WP_007049419.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108636|ref|WP_007049420.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108637|ref|WP_007049421.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108638|ref|WP_007049422.1|	peptidase [Anaerofustis stercorihominis] 
gi|494108639|ref|WP_007049423.1|	GTP-binding protein YsxC [Anaerofustis stercorihominis] 
gi|494108640|ref|WP_007049424.1|	hisitidine kinase [Anaerofustis stercorihominis] 
gi|494108641|ref|WP_007049425.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108642|ref|WP_007049426.1|	potassium transporter TrkH [Anaerofustis stercorihominis] 
gi|494108643|ref|WP_007049427.1|	potassium transporter TrkA [Anaerofustis stercorihominis] 
gi|494108644|ref|WP_007049428.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108645|ref|WP_007049429.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108646|ref|WP_007049430.1|	glmZ(sRNA)-inactivating NTPase [Anaerofustis stercorihominis] 
gi|494108647|ref|WP_007049431.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108648|ref|WP_007049432.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108649|ref|WP_007049433.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108650|ref|WP_007049434.1|	ArsR family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494108651|ref|WP_007049435.1|	chromate transporter [Anaerofustis stercorihominis] 
gi|494108652|ref|WP_007049436.1|	chromate transporter [Anaerofustis stercorihominis] 
gi|494108653|ref|WP_007049437.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108654|ref|WP_007049438.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108655|ref|WP_007049439.1|	PhoB family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494108656|ref|WP_007049440.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108657|ref|WP_007049441.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108658|ref|WP_007049442.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108659|ref|WP_007049443.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108660|ref|WP_007049444.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108661|ref|WP_007049445.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108662|ref|WP_007049446.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108663|ref|WP_007049447.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108664|ref|WP_007049448.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108665|ref|WP_007049449.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108666|ref|WP_007049450.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108667|ref|WP_007049451.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108668|ref|WP_007049452.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108669|ref|WP_007049453.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108670|ref|WP_007049454.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108671|ref|WP_007049455.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108672|ref|WP_007049456.1|	GTP-binding protein [Anaerofustis stercorihominis] 
gi|494108673|ref|WP_007049457.1|	rubredoxin [Anaerofustis stercorihominis] 
gi|494108674|ref|WP_007049458.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108675|ref|WP_007049459.1|	delta-lactam-biosynthetic de-N-acetylase [Anaerofustis stercorihominis] 
gi|494108676|ref|WP_007049460.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108677|ref|WP_007049461.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108678|ref|WP_007049462.1|	cell division protein FtsZ [Anaerofustis stercorihominis] 
gi|494108679|ref|WP_007049463.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108680|ref|WP_007049464.1|	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Anaerofustis stercorihominis] 
gi|494108681|ref|WP_007049465.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108682|ref|WP_007049466.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108683|ref|WP_007049467.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108684|ref|WP_007049468.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108685|ref|WP_007049469.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108686|ref|WP_007049470.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108687|ref|WP_007049471.1|	phospho-N-acetylmuramoyl-pentapeptide-transferase [Anaerofustis stercorihominis] 
gi|494108688|ref|WP_007049472.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108689|ref|WP_007049473.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108690|ref|WP_007049474.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108691|ref|WP_007049475.1|	16S rRNA methyltransferase [Anaerofustis stercorihominis] 
gi|494108692|ref|WP_007049476.1|	cell division protein MraZ [Anaerofustis stercorihominis] 
gi|494108693|ref|WP_007049477.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108694|ref|WP_007049478.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108695|ref|WP_007049479.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108696|ref|WP_007049480.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108697|ref|WP_007049481.1|	valyl-tRNA synthase [Anaerofustis stercorihominis] 
gi|494108698|ref|WP_007049482.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108699|ref|WP_007049483.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108700|ref|WP_007049484.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108701|ref|WP_007049485.1|	iron-sulfur protein [Anaerofustis stercorihominis] 
gi|494108702|ref|WP_007049486.1|	prolyl-tRNA synthetase [Anaerofustis stercorihominis] 
gi|494108703|ref|WP_007049487.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108704|ref|WP_007049488.1|	transcriptional regulator [Anaerofustis stercorihominis] 
gi|494108705|ref|WP_007049489.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108706|ref|WP_007049490.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108707|ref|WP_007049491.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108708|ref|WP_007049492.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108709|ref|WP_007049493.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108710|ref|WP_007049494.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108711|ref|WP_007049495.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108712|ref|WP_007049496.1|	biotin synthase [Anaerofustis stercorihominis] 
gi|494108713|ref|WP_007049497.1|	thiamine biosynthesis protein ThiH [Anaerofustis stercorihominis] 
gi|494108714|ref|WP_007049498.1|	ATP-binding protein [Anaerofustis stercorihominis] 
gi|494108715|ref|WP_007049499.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108716|ref|WP_007049500.1|	phosphoribosylglycinamide formyltransferase [Anaerofustis stercorihominis] 
gi|494108717|ref|WP_007049501.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108718|ref|WP_007049502.1|	chloramphenicol acetyltransferase [Anaerofustis stercorihominis] 
gi|494108719|ref|WP_007049503.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108720|ref|WP_007049504.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108721|ref|WP_007049505.1|	leucyl-tRNA synthetase [Anaerofustis stercorihominis] 
gi|494108722|ref|WP_007049506.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108723|ref|WP_007049507.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108724|ref|WP_007049508.1|	ribulose bisphosphate carboxylase [Anaerofustis stercorihominis] 
gi|494108725|ref|WP_007049509.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108726|ref|WP_007049510.1|	threonine dehydratase [Anaerofustis stercorihominis] 
gi|494108727|ref|WP_007049511.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108728|ref|WP_007049512.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108729|ref|WP_007049513.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108730|ref|WP_007049514.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108731|ref|WP_007049515.1|	peptide deformylase [Anaerofustis stercorihominis] 
gi|494108732|ref|WP_007049516.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108733|ref|WP_007049517.1|	zinc metallopeptidase [Anaerofustis stercorihominis] 
gi|494108734|ref|WP_007049518.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108735|ref|WP_007049519.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108736|ref|WP_007049520.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108737|ref|WP_007049521.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108738|ref|WP_007049522.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108739|ref|WP_007049523.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108740|ref|WP_007049524.1|	50S ribosomal protein L28 partial [Anaerofustis stercorihominis] 
gi|494108741|ref|WP_007049525.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108742|ref|WP_007049526.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108743|ref|WP_007049527.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108744|ref|WP_007049528.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108745|ref|WP_007049529.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108746|ref|WP_007049530.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108747|ref|WP_007049531.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108748|ref|WP_007049532.1|	glutamate dehydrogenase [Anaerofustis stercorihominis] 
gi|494108749|ref|WP_007049533.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108750|ref|WP_007049534.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108751|ref|WP_007049535.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108752|ref|WP_007049536.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108753|ref|WP_007049537.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108754|ref|WP_007049538.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108755|ref|WP_007049539.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108756|ref|WP_007049540.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108757|ref|WP_007049541.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108758|ref|WP_007049542.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108759|ref|WP_007049543.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108760|ref|WP_007049544.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108761|ref|WP_007049545.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108762|ref|WP_007049546.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108763|ref|WP_007049547.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108764|ref|WP_007049548.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108765|ref|WP_007049549.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108766|ref|WP_007049550.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108767|ref|WP_007049551.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108768|ref|WP_007049552.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108769|ref|WP_007049553.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108770|ref|WP_007049554.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108771|ref|WP_007049555.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108772|ref|WP_007049556.1|	TetR family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494108773|ref|WP_007049557.1|	permease [Anaerofustis stercorihominis] 
gi|494108774|ref|WP_007049558.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108775|ref|WP_007049559.1|	nitroreductase [Anaerofustis stercorihominis] 
gi|494108776|ref|WP_007049560.1|	2,5-diketo-D-gluconic acid reductase [Anaerofustis stercorihominis] 
gi|494108777|ref|WP_007049561.1|	MerR family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494108778|ref|WP_007049562.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108779|ref|WP_007049563.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108780|ref|WP_007049564.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108781|ref|WP_007049565.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108782|ref|WP_007049566.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108783|ref|WP_007049567.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108784|ref|WP_007049568.1|	acyl-CoA dehydrogenase [Anaerofustis stercorihominis] 
gi|494108785|ref|WP_007049569.1|	beta-lactamase [Anaerofustis stercorihominis] 
gi|494108786|ref|WP_007049570.1|	acyl-CoA dehydrogenase [Anaerofustis stercorihominis] 
gi|494108787|ref|WP_007049571.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108788|ref|WP_007049572.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108789|ref|WP_007049573.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108790|ref|WP_007049574.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108791|ref|WP_007049575.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108792|ref|WP_007049576.1|	glutamyl-tRNA(Gln) amidotransferase [Anaerofustis stercorihominis] 
gi|494108793|ref|WP_007049577.1|	aspartyl/glutamyl-tRNA amidotransferase subunit B [Anaerofustis stercorihominis] 
gi|494108794|ref|WP_007049578.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108795|ref|WP_007049579.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108796|ref|WP_007049580.1|	FAD-dependent oxidoreductase [Anaerofustis stercorihominis] 
gi|494108797|ref|WP_007049581.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108798|ref|WP_007049582.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108799|ref|WP_007049583.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108800|ref|WP_007049584.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108801|ref|WP_007049585.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108802|ref|WP_007049586.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108803|ref|WP_007049587.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108804|ref|WP_007049588.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108805|ref|WP_007049589.1|	cation diffusion facilitator family transporter [Anaerofustis stercorihominis] 
gi|494108806|ref|WP_007049590.1|	PTS galactitol transporter subunit IIC [Anaerofustis stercorihominis] 
gi|494108807|ref|WP_007049591.1|	transaldolase [Anaerofustis stercorihominis] 
gi|494108808|ref|WP_007049592.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108809|ref|WP_007049593.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108810|ref|WP_007049594.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108811|ref|WP_007049595.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108812|ref|WP_007049596.1|	50S ribosomal protein L33 [Anaerofustis stercorihominis] 
gi|494108813|ref|WP_007049597.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108814|ref|WP_007049598.1|	antitermination factor NusG [Anaerofustis stercorihominis] 
gi|494108815|ref|WP_007049599.1|	50S ribosomal protein L11 [Anaerofustis stercorihominis] 
gi|494108816|ref|WP_007049600.1|	50S ribosomal protein L1 [Anaerofustis stercorihominis] 
gi|494108817|ref|WP_007049601.1|	50S ribosomal protein L10 [Anaerofustis stercorihominis] 
gi|494108818|ref|WP_007049602.1|	50S ribosomal protein L7/L12 [Anaerofustis stercorihominis] 
gi|494108819|ref|WP_007049603.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108820|ref|WP_007049604.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108821|ref|WP_007049605.1|	TetR family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494108822|ref|WP_007049606.1|	ABC transporter ATP-binding protein [Anaerofustis stercorihominis] 
gi|494108823|ref|WP_007049607.1|	membrane protein [Anaerofustis stercorihominis] 
gi|494108824|ref|WP_007049608.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108825|ref|WP_007049609.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108826|ref|WP_007049610.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108827|ref|WP_007049611.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108828|ref|WP_007049612.1|	5,10-methylenetetrahydrofolate reductase [Anaerofustis stercorihominis] 
gi|494108829|ref|WP_007049613.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108830|ref|WP_007049614.1|	multidrug transporter MatE [Anaerofustis stercorihominis] 
gi|494108831|ref|WP_007049615.1|	homocysteine methyltransferase [Anaerofustis stercorihominis] 
gi|494108832|ref|WP_007049616.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108833|ref|WP_007049617.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108834|ref|WP_007049618.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108835|ref|WP_007049619.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108836|ref|WP_007049620.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108837|ref|WP_007049621.1|	magnesium transporter [Anaerofustis stercorihominis] 
gi|494108838|ref|WP_007049622.1|	magnesium transporter [Anaerofustis stercorihominis] 
gi|494108839|ref|WP_007049623.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108840|ref|WP_007049624.1|	recombinase RecU [Anaerofustis stercorihominis] 
gi|494108841|ref|WP_007049625.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108842|ref|WP_007049626.1|	hypothetical protein partial [Anaerofustis stercorihominis] 
gi|494108843|ref|WP_007049627.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108844|ref|WP_007049628.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108845|ref|WP_007049629.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108846|ref|WP_007049630.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108847|ref|WP_007049631.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108848|ref|WP_007049632.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108849|ref|WP_007049633.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108850|ref|WP_007049634.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108851|ref|WP_007049635.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108852|ref|WP_007049636.1|	capsular polysaccharide biosynthesis protein [Anaerofustis stercorihominis] 
gi|494108853|ref|WP_007049637.1|	histidine kinase [Anaerofustis stercorihominis] 
gi|494108854|ref|WP_007049638.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108855|ref|WP_007049639.1|	single-stranded DNA-binding protein [Anaerofustis stercorihominis] 
gi|494108856|ref|WP_007049640.1|	membrane protein [Anaerofustis stercorihominis] 
gi|494108857|ref|WP_007049641.1|	farnesyl-diphosphate synthase [Anaerofustis stercorihominis] 
gi|494108858|ref|WP_007049642.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108859|ref|WP_007049643.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108860|ref|WP_007049644.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108861|ref|WP_007049645.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108862|ref|WP_007049646.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108863|ref|WP_007049647.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108864|ref|WP_007049648.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108865|ref|WP_007049649.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108866|ref|WP_007049650.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108867|ref|WP_007049651.1|	XRE family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494108868|ref|WP_007049652.1|	camphor resistance protein CrcB [Anaerofustis stercorihominis] 
gi|494108869|ref|WP_007049653.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108870|ref|WP_007049654.1|	iron hydrogenase [Anaerofustis stercorihominis] 
gi|494108871|ref|WP_007049655.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108872|ref|WP_007049656.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108873|ref|WP_007049657.1|	acetyltransferase [Anaerofustis stercorihominis] 
gi|494108874|ref|WP_007049658.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108875|ref|WP_007049659.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108876|ref|WP_007049660.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108877|ref|WP_007049661.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108878|ref|WP_007049662.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108879|ref|WP_007049663.1|	MoeB [Anaerofustis stercorihominis] 
