gi|493470989|ref|WP_006426059.1|	hypothetical protein partial [Dorea longicatena] 
gi|493471647|ref|WP_006426703.1|	hypothetical protein [Dorea longicatena] 
gi|493471648|ref|WP_006426704.1|	MULTISPECIES: guanylate kinase [Dorea] 
gi|493471649|ref|WP_006426705.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471650|ref|WP_006426706.1|	MULTISPECIES: fibronectin-binding protein [Dorea] 
gi|493471651|ref|WP_006426707.1|	multidrug transporter MatE [Dorea longicatena] 
gi|493471652|ref|WP_006426708.1|	MULTISPECIES: ATPase AAA [Dorea] 
gi|493471653|ref|WP_006426709.1|	prephenate dehydratase [Dorea longicatena] 
gi|493471654|ref|WP_006426710.1|	nitroreductase [Dorea longicatena] 
gi|493471655|ref|WP_006426711.1|	MULTISPECIES: aspartate carbamoyltransferase [Dorea] 
gi|493471656|ref|WP_006426712.1|	hypothetical protein [Dorea longicatena] 
gi|493471657|ref|WP_006426713.1|	aspartate carbamoyltransferase [Dorea longicatena] 
gi|493471658|ref|WP_006426714.1|	hypothetical protein [Dorea longicatena] 
gi|493471659|ref|WP_006426715.1|	hypothetical protein [Dorea longicatena] 
gi|493471660|ref|WP_006426716.1|	metal dependent hydrolase [Dorea longicatena] 
gi|493471663|ref|WP_006426718.1|	molybdenum cofactor biosynthesis protein B [Dorea longicatena] 
gi|493471664|ref|WP_006426719.1|	alcohol dehydrogenase [Dorea longicatena] 
gi|493471665|ref|WP_006426720.1|	stage IV sporulation protein A [Dorea longicatena] 
gi|493471666|ref|WP_006426721.1|	MULTISPECIES: shikimate 5-dehydrogenase [Dorea] 
gi|493471667|ref|WP_006426722.1|	3-dehydroquinate dehydratase [Dorea longicatena] 
gi|493471668|ref|WP_006426723.1|	membrane protein [Dorea longicatena] 
gi|493471669|ref|WP_006426724.1|	MFS transporter [Dorea longicatena] 
gi|493471670|ref|WP_006426725.1|	MULTISPECIES: shikimate 5-dehydrogenase [Dorea] 
gi|493471671|ref|WP_006426726.1|	NADH oxidase [Dorea longicatena] 
gi|493471672|ref|WP_006426727.1|	hypothetical protein [Dorea longicatena] 
gi|493471673|ref|WP_006426728.1|	MULTISPECIES: LysR family transcriptional regulator [Dorea] 
gi|493471674|ref|WP_006426729.1|	MULTISPECIES: glycerol-3-phosphate dehydrogenase [Dorea] 
gi|493471675|ref|WP_006426730.1|	acyl-phosphate glycerol 3-phosphate acyltransferase [Dorea longicatena] 
gi|493471676|ref|WP_006426731.1|	MULTISPECIES: GTP-binding protein Der [Dorea] 
gi|493471677|ref|WP_006426732.1|	MULTISPECIES: phosphoribosylpyrophosphate synthetase [Dorea] 
gi|493471678|ref|WP_006426733.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471679|ref|WP_006426734.1|	MULTISPECIES: 3-phosphoglycerate dehydrogenase [Dorea] 
gi|493471680|ref|WP_006426735.1|	MFS transporter [Dorea longicatena] 
gi|493471681|ref|WP_006426736.1|	acetolactate synthase [Dorea longicatena] 
gi|493471682|ref|WP_006426737.1|	dihydroxy-acid dehydratase [Dorea longicatena] 
gi|493471683|ref|WP_006426738.1|	3-isopropylmalate dehydrogenase [Dorea longicatena] 
gi|493471684|ref|WP_006426739.1|	hypothetical protein [Dorea longicatena] 
gi|493471685|ref|WP_006426740.1|	hypothetical protein [Dorea longicatena] 
gi|493471686|ref|WP_006426741.1|	hypothetical protein [Dorea longicatena] 
gi|493471687|ref|WP_006426742.1|	formate acetyltransferase [Dorea longicatena] 
gi|493471688|ref|WP_006426743.1|	preprotein translocase subunit YajC [Dorea longicatena] 
gi|493471689|ref|WP_006426744.1|	MULTISPECIES: queuine tRNA-ribosyltransferase [Dorea] 
gi|493471690|ref|WP_006426745.1|	hypothetical protein [Dorea longicatena] 
gi|493471691|ref|WP_006426746.1|	MULTISPECIES: chorismate synthase [Dorea] 
gi|493471692|ref|WP_006426747.1|	phosphoribulokinase [Dorea longicatena] 
gi|493471693|ref|WP_006426748.1|	hypothetical protein [Dorea longicatena] 
gi|493471694|ref|WP_006426749.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471695|ref|WP_006426750.1|	hypothetical protein [Dorea longicatena] 
gi|493471696|ref|WP_006426751.1|	MULTISPECIES: RNA polymerase sigma factor RpoD [Dorea] 
gi|493471697|ref|WP_006426752.1|	DNA primase [Dorea longicatena] 
gi|493471698|ref|WP_006426753.1|	hypothetical protein [Dorea longicatena] 
gi|493471699|ref|WP_006426754.1|	glycogen debranching enzyme GlgX [Dorea longicatena] 
gi|493471700|ref|WP_006426755.1|	LacI family transcriptional regulator [Dorea longicatena] 
gi|493471701|ref|WP_006426756.1|	hypothetical protein [Dorea longicatena] 
gi|493471702|ref|WP_006426757.1|	ATPase AAA [Dorea longicatena] 
gi|493471703|ref|WP_006426758.1|	glutamyl-tRNA synthetase [Dorea longicatena] 
gi|493471705|ref|WP_006426760.1|	MULTISPECIES: membrane protein [Dorea] 
gi|493471707|ref|WP_006426761.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471708|ref|WP_006426762.1|	hypothetical protein [Dorea longicatena] 
gi|493471709|ref|WP_006426763.1|	adenylosuccinate lyase [Dorea longicatena] 
gi|493471710|ref|WP_006426764.1|	amidophosphoribosyltransferase [Dorea longicatena] 
gi|493471711|ref|WP_006426765.1|	hypothetical protein [Dorea longicatena] 
gi|493471712|ref|WP_006426766.1|	MULTISPECIES: arginine ABC transporter ATP-binding protein [Dorea] 
gi|493471714|ref|WP_006426767.1|	MULTISPECIES: polar amino acid ABC transporter permease [Dorea] 
gi|493471715|ref|WP_006426768.1|	ABC transporter substrate-binding protein [Dorea longicatena] 
gi|493471716|ref|WP_006426769.1|	hypothetical protein [Dorea longicatena] 
gi|493471717|ref|WP_006426770.1|	hypothetical protein [Dorea longicatena] 
gi|493471718|ref|WP_006426771.1|	hypothetical protein [Dorea longicatena] 
gi|493471719|ref|WP_006426772.1|	histidinol-phosphate aminotransferase [Dorea longicatena] 
gi|493471720|ref|WP_006426773.1|	cupin [Dorea longicatena] 
gi|493471721|ref|WP_006426774.1|	cell division protein FtsX [Dorea longicatena] 
gi|493471722|ref|WP_006426775.1|	ABC transporter ATP-binding protein [Dorea longicatena] 
gi|493471723|ref|WP_006426776.1|	membrane protein [Dorea longicatena] 
gi|493471724|ref|WP_006426777.1|	PhoB family transcriptional regulator [Dorea longicatena] 
gi|493471725|ref|WP_006426778.1|	hypothetical protein [Dorea longicatena] 
gi|493471726|ref|WP_006426779.1|	hypothetical protein [Dorea longicatena] 
gi|493471727|ref|WP_006426780.1|	MULTISPECIES: carbamoyl phosphate synthase large subunit [Dorea] 
gi|493471728|ref|WP_006426781.1|	MULTISPECIES: carbamoyl phosphate synthase [Dorea] 
gi|493471729|ref|WP_006426782.1|	hypothetical protein [Dorea longicatena] 
gi|493471730|ref|WP_006426783.1|	hypothetical protein [Dorea longicatena] 
gi|493471731|ref|WP_006426784.1|	hypothetical protein [Dorea longicatena] 
gi|493471732|ref|WP_006426785.1|	hypothetical protein [Dorea longicatena] 
gi|493471733|ref|WP_006426786.1|	holin [Dorea longicatena] 
gi|493471734|ref|WP_006426787.1|	hypothetical protein [Dorea longicatena] 
gi|493471735|ref|WP_006426788.1|	hypothetical protein [Dorea longicatena] 
gi|493471736|ref|WP_006426789.1|	antitoxin [Dorea longicatena] 
gi|493471737|ref|WP_006426790.1|	hypothetical protein [Dorea longicatena] 
gi|493471738|ref|WP_006426791.1|	hypothetical protein [Dorea longicatena] 
gi|493471739|ref|WP_006426792.1|	hypothetical protein [Dorea longicatena] 
gi|493471740|ref|WP_006426793.1|	hypothetical protein [Dorea longicatena] 
gi|493471741|ref|WP_006426794.1|	hypothetical protein [Dorea longicatena] 
gi|493471742|ref|WP_006426795.1|	hypothetical protein [Dorea longicatena] 
gi|493471743|ref|WP_006426796.1|	hypothetical protein [Dorea longicatena] 
gi|493471744|ref|WP_006426797.1|	hypothetical protein [Dorea longicatena] 
gi|493471745|ref|WP_006426798.1|	hypothetical protein [Dorea longicatena] 
gi|493471746|ref|WP_006426799.1|	hypothetical protein [Dorea longicatena] 
gi|493471747|ref|WP_006426800.1|	hypothetical protein [Dorea longicatena] 
gi|493471748|ref|WP_006426801.1|	hypothetical protein [Dorea longicatena] 
gi|493471749|ref|WP_006426802.1|	hypothetical protein [Dorea longicatena] 
gi|493471750|ref|WP_006426803.1|	hypothetical protein [Dorea longicatena] 
gi|493471751|ref|WP_006426804.1|	hypothetical protein [Dorea longicatena] 
gi|493471752|ref|WP_006426805.1|	hypothetical protein [Dorea longicatena] 
gi|493471753|ref|WP_006426806.1|	hypothetical protein [Dorea longicatena] 
gi|493471754|ref|WP_006426807.1|	hypothetical protein [Dorea longicatena] 
gi|493471755|ref|WP_006426808.1|	hypothetical protein [Dorea longicatena] 
gi|493471756|ref|WP_006426809.1|	hypothetical protein [Dorea longicatena] 
gi|493471757|ref|WP_006426810.1|	hypothetical protein [Dorea longicatena] 
gi|493471758|ref|WP_006426811.1|	hypothetical protein [Dorea longicatena] 
gi|493471759|ref|WP_006426812.1|	hypothetical protein [Dorea longicatena] 
gi|493471760|ref|WP_006426813.1|	hypothetical protein [Dorea longicatena] 
gi|493471761|ref|WP_006426814.1|	hypothetical protein [Dorea longicatena] 
gi|493471762|ref|WP_006426815.1|	hypothetical protein [Dorea longicatena] 
gi|493471763|ref|WP_006426816.1|	hypothetical protein [Dorea longicatena] 
gi|493471764|ref|WP_006426817.1|	DNA-binding protein [Dorea longicatena] 
gi|493471765|ref|WP_006426818.1|	hypothetical protein [Dorea longicatena] 
gi|493471766|ref|WP_006426819.1|	hypothetical protein [Dorea longicatena] 
gi|493471767|ref|WP_006426820.1|	hypothetical protein [Dorea longicatena] 
gi|493471768|ref|WP_006426821.1|	hypothetical protein [Dorea longicatena] 
gi|493471769|ref|WP_006426822.1|	hypothetical protein [Dorea longicatena] 
gi|493471770|ref|WP_006426823.1|	hypothetical protein [Dorea longicatena] 
gi|493471771|ref|WP_006426824.1|	hypothetical protein [Dorea longicatena] 
gi|493471772|ref|WP_006426825.1|	hypothetical protein [Dorea longicatena] 
gi|493471773|ref|WP_006426826.1|	endodeoxyribonuclease RusA [Dorea longicatena] 
gi|493471774|ref|WP_006426827.1|	hypothetical protein [Dorea longicatena] 
gi|493471775|ref|WP_006426828.1|	hypothetical protein [Dorea longicatena] 
gi|493471776|ref|WP_006426829.1|	DEAD/DEAH box helicase [Dorea longicatena] 
gi|493471777|ref|WP_006426830.1|	hypothetical protein [Dorea longicatena] 
gi|493471778|ref|WP_006426831.1|	hypothetical protein [Dorea longicatena] 
gi|493471779|ref|WP_006426832.1|	chromosome segregation protein SMC [Dorea longicatena] 
gi|493471781|ref|WP_006426834.1|	hypothetical protein [Dorea longicatena] 
gi|493471783|ref|WP_006426835.1|	hypothetical protein [Dorea longicatena] 
gi|493471784|ref|WP_006426836.1|	hypothetical protein [Dorea longicatena] 
gi|493471785|ref|WP_006426837.1|	hypothetical protein [Dorea longicatena] 
gi|493471786|ref|WP_006426838.1|	hypothetical protein [Dorea longicatena] 
gi|493471787|ref|WP_006426839.1|	hypothetical protein [Dorea longicatena] 
gi|493471788|ref|WP_006426840.1|	hypothetical protein [Dorea longicatena] 
gi|493471789|ref|WP_006426841.1|	hypothetical protein [Dorea longicatena] 
gi|493471790|ref|WP_006426842.1|	endonuclease [Dorea longicatena] 
gi|493471791|ref|WP_006426843.1|	membrane protein [Dorea longicatena] 
gi|493471792|ref|WP_006426844.1|	recombinase [Dorea longicatena] 
gi|493471793|ref|WP_006426845.1|	hypothetical protein [Dorea longicatena] 
gi|493471794|ref|WP_006426846.1|	MULTISPECIES: membrane protein [Dorea] 
gi|493471795|ref|WP_006426847.1|	zinc metalloprotease [Dorea longicatena] 
gi|493471796|ref|WP_006426848.1|	1-deoxy-D-xylulose 5-phosphate reductoisomerase [Dorea longicatena] 
gi|493471797|ref|WP_006426849.1|	MULTISPECIES: CDP-diglyceride synthetase [Dorea] 
gi|493471798|ref|WP_006426850.1|	UDP pyrophosphate synthase [Dorea longicatena] 
gi|493471799|ref|WP_006426851.1|	MULTISPECIES: ribosome recycling factor [Dorea] 
gi|493471800|ref|WP_006426852.1|	MULTISPECIES: uridylate kinase [Dorea] 
gi|493471801|ref|WP_006426853.1|	MULTISPECIES: xanthine phosphoribosyltransferase [Dorea] 
gi|493471802|ref|WP_006426854.1|	aldehyde oxidase [Dorea longicatena] 
gi|493471803|ref|WP_006426855.1|	MULTISPECIES: (2Fe-2S)-binding protein [Dorea] 
gi|493471804|ref|WP_006426856.1|	molybdopterin dehydrogenase [Dorea longicatena] 
gi|493471805|ref|WP_006426857.1|	hypothetical protein [Dorea longicatena] 
gi|493471806|ref|WP_006426858.1|	hypothetical protein [Dorea longicatena] 
gi|493471807|ref|WP_006426859.1|	multidrug transporter MatE [Dorea longicatena] 
gi|493471808|ref|WP_006426860.1|	signal peptidase [Dorea longicatena] 
gi|493471809|ref|WP_006426861.1|	hypothetical protein [Dorea longicatena] 
gi|493471810|ref|WP_006426862.1|	hypothetical protein [Dorea longicatena] 
gi|493471811|ref|WP_006426863.1|	hypothetical protein [Dorea longicatena] 
gi|493471812|ref|WP_006426864.1|	phosphomethylpyrimidine synthase [Dorea longicatena] 
gi|493471813|ref|WP_006426865.1|	hypothetical protein [Dorea longicatena] 
gi|493471814|ref|WP_006426866.1|	transposase [Dorea longicatena] 
gi|493471815|ref|WP_006426867.1|	hypothetical protein [Dorea longicatena] 
gi|493471816|ref|WP_006426868.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471817|ref|WP_006426869.1|	nucleotide pyrophosphohydrolase [Dorea longicatena] 
gi|493471818|ref|WP_006426870.1|	hypothetical protein [Dorea longicatena] 
gi|493471819|ref|WP_006426871.1|	hypothetical protein [Dorea longicatena] 
gi|493471820|ref|WP_006426872.1|	hypothetical protein [Dorea longicatena] 
gi|493471821|ref|WP_006426873.1|	dithiobiotin synthetase [Dorea longicatena] 
gi|493471822|ref|WP_006426874.1|	MULTISPECIES: biotin biosynthesis protein BioY [Dorea] 
gi|493471823|ref|WP_006426875.1|	hypothetical protein [Dorea longicatena] 
gi|493471824|ref|WP_006426876.1|	hypothetical protein [Dorea longicatena] 
gi|493471825|ref|WP_006426877.1|	hypothetical protein [Dorea longicatena] 
gi|493471826|ref|WP_006426878.1|	hypothetical protein [Dorea longicatena] 
gi|493471827|ref|WP_006426879.1|	hypothetical protein [Dorea longicatena] 
gi|493471828|ref|WP_006426880.1|	hypothetical protein [Dorea longicatena] 
gi|493471829|ref|WP_006426881.1|	aldo/keto reductase [Dorea longicatena] 
gi|493471830|ref|WP_006426882.1|	deaminase [Dorea longicatena] 
gi|493471831|ref|WP_006426883.1|	hypothetical protein [Dorea longicatena] 
gi|493471832|ref|WP_006426884.1|	hypothetical protein [Dorea longicatena] 
gi|493471833|ref|WP_006426885.1|	hypothetical protein [Dorea longicatena] 
gi|493471834|ref|WP_006426886.1|	hypothetical protein [Dorea longicatena] 
gi|493471835|ref|WP_006426887.1|	hypothetical protein [Dorea longicatena] 
gi|493471836|ref|WP_006426888.1|	hypothetical protein [Dorea longicatena] 
gi|493471837|ref|WP_006426889.1|	hypothetical protein [Dorea longicatena] 
gi|493471838|ref|WP_006426890.1|	hypothetical protein [Dorea longicatena] 
gi|493471839|ref|WP_006426891.1|	hypothetical protein [Dorea longicatena] 
gi|493471840|ref|WP_006426892.1|	hypothetical protein [Dorea longicatena] 
gi|493471841|ref|WP_006426893.1|	hypothetical protein [Dorea longicatena] 
gi|493471842|ref|WP_006426894.1|	GMP synthase [Dorea longicatena] 
gi|493471843|ref|WP_006426895.1|	multidrug transporter MatE [Dorea longicatena] 
gi|493471844|ref|WP_006426896.1|	hypothetical protein [Dorea longicatena] 
gi|493471846|ref|WP_006426898.1|	hypothetical protein [Dorea longicatena] 
gi|493471848|ref|WP_006426900.1|	hypothetical protein [Dorea longicatena] 
gi|493471850|ref|WP_006426902.1|	hypothetical protein [Dorea longicatena] 
gi|493471852|ref|WP_006426904.1|	hypothetical protein [Dorea longicatena] 
gi|493471854|ref|WP_006426905.1|	membrane protein [Dorea longicatena] 
gi|493471855|ref|WP_006426906.1|	MULTISPECIES: stage III sporulation protein D [Dorea] 
gi|493471856|ref|WP_006426907.1|	hypothetical protein [Dorea longicatena] 
gi|493471857|ref|WP_006426908.1|	XRE family transcriptional regulator [Dorea longicatena] 
gi|493471858|ref|WP_006426909.1|	membrane protein [Dorea longicatena] 
gi|493471859|ref|WP_006426910.1|	hypothetical protein [Dorea longicatena] 
gi|493471860|ref|WP_006426911.1|	hypothetical protein [Dorea longicatena] 
gi|493471861|ref|WP_006426912.1|	hypothetical protein [Dorea longicatena] 
gi|493471862|ref|WP_006426913.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471863|ref|WP_006426914.1|	glutamate racemase [Dorea longicatena] 
gi|493471864|ref|WP_006426915.1|	6-phosphofructokinase [Dorea longicatena] 
gi|493471865|ref|WP_006426916.1|	DNA polymerase III subunit alpha [Dorea longicatena] 
gi|493471866|ref|WP_006426917.1|	polyA polymerase [Dorea longicatena] 
gi|493471867|ref|WP_006426918.1|	RNA-binding protein [Dorea longicatena] 
gi|493471868|ref|WP_006426919.1|	acyl-ACP thioesterase [Dorea longicatena] 
gi|493471869|ref|WP_006426920.1|	hypothetical protein [Dorea longicatena] 
gi|493471870|ref|WP_006426921.1|	MULTISPECIES: GntR family transcriptional regulator [Dorea] 
gi|493471871|ref|WP_006426922.1|	MULTISPECIES: 4-diphosphocytidyl-2C-methyl-D-erythritol kinase [Dorea] 
gi|493471872|ref|WP_006426923.1|	peptidoglycan-binding protein [Dorea longicatena] 
gi|493471873|ref|WP_006426924.1|	hypothetical protein [Dorea longicatena] 
gi|493471874|ref|WP_006426925.1|	1-acyl-sn-glycerol-3-phosphate acyltransferase [Dorea longicatena] 
gi|493471875|ref|WP_006426926.1|	nicotinate phosphoribosyltransferase [Dorea longicatena] 
gi|493471876|ref|WP_006426927.1|	MULTISPECIES: D-alanine--D-alanine ligase [Dorea] 
gi|493471877|ref|WP_006426928.1|	UDP-N-acetylmuramoylalanyl-D-glutamyl-2 6-diaminopimelate--D-alanyl-D-alanine ligase [Dorea longicatena] 
gi|493471878|ref|WP_006426929.1|	MULTISPECIES: HAD family hydrolase [Dorea] 
gi|493470999|ref|WP_006426069.1|	hypothetical protein [Dorea longicatena] 
gi|493471879|ref|WP_006426930.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471880|ref|WP_006426931.1|	dihydroxyacetone kinase [Dorea longicatena] 
gi|493471881|ref|WP_006426932.1|	transcriptional regulator [Dorea longicatena] 
gi|493470991|ref|WP_006426061.1|	hypothetical protein [Dorea longicatena] 
gi|493471882|ref|WP_006426933.1|	MULTISPECIES: transposase [Lachnospiraceae] 
gi|493471883|ref|WP_006426934.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471884|ref|WP_006426935.1|	hypothetical protein [Dorea longicatena] 
gi|493471885|ref|WP_006426936.1|	hypothetical protein [Dorea longicatena] 
gi|493471886|ref|WP_006426937.1|	MULTISPECIES: peptide ABC transporter ATP-binding protein [Dorea] 
gi|493471887|ref|WP_006426938.1|	MULTISPECIES: amino acid ABC transporter permease [Dorea] 
gi|493471888|ref|WP_006426939.1|	ABC transporter substrate-binding protein [Dorea longicatena] 
gi|493471889|ref|WP_006426940.1|	hypothetical protein [Dorea longicatena] 
gi|493471890|ref|WP_006426941.1|	hypothetical protein [Dorea longicatena] 
gi|493471891|ref|WP_006426942.1|	hypothetical protein [Dorea longicatena] 
gi|493471892|ref|WP_006426943.1|	hypothetical protein [Dorea longicatena] 
gi|493471893|ref|WP_006426944.1|	hypothetical protein [Dorea longicatena] 
gi|493471894|ref|WP_006426945.1|	hypothetical protein [Dorea longicatena] 
gi|493471897|ref|WP_006426948.1|	MULTISPECIES: flavin oxidoreductase [Lachnospiraceae] 
gi|493471898|ref|WP_006426949.1|	flavodoxin [Dorea longicatena] 
gi|493471899|ref|WP_006426950.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|493471901|ref|WP_006426951.1|	MULTISPECIES: aldehyde oxidase [Lachnospiraceae] 
gi|493471902|ref|WP_006426952.1|	hypothetical protein [Dorea longicatena] 
gi|493471903|ref|WP_006426953.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493471904|ref|WP_006426954.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|493471905|ref|WP_006426955.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493471906|ref|WP_006426956.1|	hypothetical protein [Dorea longicatena] 
gi|493471907|ref|WP_006426957.1|	MULTISPECIES: recombinase [Clostridiales] 
gi|493471908|ref|WP_006426958.1|	hypothetical protein [Dorea longicatena] 
gi|493471909|ref|WP_006426959.1|	hypothetical protein [Dorea longicatena] 
gi|493471910|ref|WP_006426960.1|	hypothetical protein [Dorea longicatena] 
gi|493471911|ref|WP_006426961.1|	hypothetical protein [Dorea longicatena] 
gi|493471912|ref|WP_006426962.1|	hypothetical protein [Dorea longicatena] 
gi|493471913|ref|WP_006426963.1|	hypothetical protein [Dorea longicatena] 
gi|493471914|ref|WP_006426964.1|	hypothetical protein [Dorea longicatena] 
gi|493471915|ref|WP_006426965.1|	hypothetical protein [Dorea longicatena] 
gi|493471916|ref|WP_006426966.1|	hypothetical protein [Dorea longicatena] 
gi|493471917|ref|WP_006426967.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|493471918|ref|WP_006426968.1|	hypothetical protein [Dorea longicatena] 
gi|493471919|ref|WP_006426969.1|	MULTISPECIES: lytic transglycosylase [Lachnospiraceae] 
gi|493471920|ref|WP_006426970.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|493471921|ref|WP_006426971.1|	hypothetical protein [Dorea longicatena] 
gi|493471922|ref|WP_006426972.1|	hypothetical protein [Dorea longicatena] 
gi|493471923|ref|WP_006426973.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|493471924|ref|WP_006426974.1|	hypothetical protein [Dorea longicatena] 
gi|493471925|ref|WP_006426975.1|	hypothetical protein [Dorea longicatena] 
gi|493471926|ref|WP_006426976.1|	hypothetical protein [Dorea longicatena] 
gi|493471927|ref|WP_006426977.1|	conjugal transfer protein TraG [Dorea longicatena] 
gi|490752200|ref|WP_004614508.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490752201|ref|WP_004614509.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|493471928|ref|WP_006426978.1|	hypothetical protein [Dorea longicatena] 
gi|493471929|ref|WP_006426979.1|	hypothetical protein [Dorea longicatena] 
gi|493471930|ref|WP_006426980.1|	hypothetical protein [Dorea longicatena] 
gi|493471931|ref|WP_006426981.1|	hypothetical protein [Dorea longicatena] 
gi|490752206|ref|WP_004614514.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|493471932|ref|WP_006426982.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|493471933|ref|WP_006426983.1|	DNA methyltransferase [Dorea longicatena] 
gi|493471934|ref|WP_006426984.1|	hypothetical protein [Dorea longicatena] 
gi|493471935|ref|WP_006426985.1|	hypothetical protein [Dorea longicatena] 
gi|493471936|ref|WP_006426986.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|493471937|ref|WP_006426987.1|	MULTISPECIES: S-adenosylmethionine synthetase [Lachnospiraceae] 
gi|493471938|ref|WP_006426988.1|	collagen-binding protein [Dorea longicatena] 
gi|493471939|ref|WP_006426989.1|	MULTISPECIES: gamma-glutamyl cyclotransferase [Lachnospiraceae] 
gi|493471940|ref|WP_006426990.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|493471941|ref|WP_006426991.1|	DNA-cytosine methyltransferase [Dorea longicatena] 
gi|493471942|ref|WP_006426992.1|	hypothetical protein [Dorea longicatena] 
gi|493471943|ref|WP_006426993.1|	hypothetical protein [Dorea longicatena] 
gi|493471944|ref|WP_006426994.1|	hypothetical protein [Dorea longicatena] 
gi|493471945|ref|WP_006426995.1|	hypothetical protein [Dorea longicatena] 
gi|493471946|ref|WP_006426996.1|	hypothetical protein [Dorea longicatena] 
gi|493471947|ref|WP_006426997.1|	hypothetical protein [Dorea longicatena] 
gi|491483628|ref|WP_005341369.1|	MULTISPECIES: XRE family transcriptional regulator [Clostridiales] 
gi|493471950|ref|WP_006426999.1|	hypothetical protein [Dorea longicatena] 
gi|493471951|ref|WP_006427000.1|	MULTISPECIES: NADPH-dependent FMN reductase [Lachnospiraceae] 
gi|493471952|ref|WP_006427001.1|	2,5-diketo-D-gluconic acid reductase [Dorea longicatena] 
gi|493471953|ref|WP_006427002.1|	hypothetical protein [Dorea longicatena] 
gi|493471954|ref|WP_006427003.1|	transcriptional regulator [Dorea longicatena] 
gi|493471955|ref|WP_006427004.1|	hypothetical protein [Dorea longicatena] 
gi|493471956|ref|WP_006427005.1|	hypothetical protein [Dorea longicatena] 
gi|493471957|ref|WP_006427006.1|	hypothetical protein [Dorea longicatena] 
gi|493471958|ref|WP_006427007.1|	XRE family transcriptional regulator [Dorea longicatena] 
gi|493471959|ref|WP_006427008.1|	histidine kinase [Dorea longicatena] 
gi|493471960|ref|WP_006427009.1|	hypothetical protein [Dorea longicatena] 
gi|493471961|ref|WP_006427010.1|	potassium transporter TrkA [Dorea longicatena] 
gi|493471962|ref|WP_006427011.1|	potassium transporter TrkH [Dorea longicatena] 
gi|493471963|ref|WP_006427012.1|	hypothetical protein [Dorea longicatena] 
gi|493471964|ref|WP_006427013.1|	hypothetical protein [Dorea longicatena] 
gi|493471965|ref|WP_006427014.1|	RNA methyltransferase [Dorea longicatena] 
gi|493471966|ref|WP_006427015.1|	hydrolase [Dorea longicatena] 
gi|493471967|ref|WP_006427016.1|	hypothetical protein [Dorea longicatena] 
gi|493471968|ref|WP_006427017.1|	hypothetical protein [Dorea longicatena] 
gi|493471969|ref|WP_006427018.1|	DNA mismatch repair protein MutS [Dorea longicatena] 
gi|493471970|ref|WP_006427019.1|	MULTISPECIES: PhoP family transcriptional regulator [Dorea] 
gi|493471971|ref|WP_006427020.1|	histidine kinase [Dorea longicatena] 
gi|493471972|ref|WP_006427021.1|	sugar ABC transporter substrate-binding protein [Dorea longicatena] 
gi|493471973|ref|WP_006427022.1|	MULTISPECIES: ferredoxin [Dorea] 
gi|493471974|ref|WP_006427023.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471975|ref|WP_006427024.1|	replicative DNA helicase [Dorea longicatena] 
gi|493471976|ref|WP_006427025.1|	50S ribosomal protein L9 [Dorea longicatena] 
gi|493471977|ref|WP_006427026.1|	MULTISPECIES: DHH family phosphoesterase [Dorea] 
gi|493471979|ref|WP_006427027.1|	hypothetical protein partial [Dorea longicatena] 
gi|493471980|ref|WP_006427028.1|	MULTISPECIES: peptidase M20 [Dorea] 
gi|493471981|ref|WP_006427029.1|	metal-dependent protein hydrolase [Dorea longicatena] 
gi|493471982|ref|WP_006427030.1|	hypothetical protein [Dorea longicatena] 
gi|493471983|ref|WP_006427031.1|	serine hydroxymethyltransferase [Dorea longicatena] 
gi|493471984|ref|WP_006427032.1|	MULTISPECIES: molecular chaperone DnaJ [Dorea] 
gi|493471985|ref|WP_006427033.1|	MULTISPECIES: molecular chaperone DnaK [Dorea] 
gi|493471986|ref|WP_006427034.1|	molecular chaperone GrpE [Dorea longicatena] 
gi|493471987|ref|WP_006427035.1|	HrcA family transcriptional regulator [Dorea longicatena] 
gi|493471988|ref|WP_006427036.1|	beta-glucosidase [Dorea longicatena] 
