gi|493396717|ref|WP_006352832.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493397660|ref|WP_006353771.1|	flavodoxin [[Clostridium] methylpentosum] 
gi|493397661|ref|WP_006353772.1|	NADH-dependent butanol dehydrogenase [[Clostridium] methylpentosum] 
gi|493397662|ref|WP_006353773.1|	esterase [[Clostridium] methylpentosum] 
gi|493397663|ref|WP_006353774.1|	transcriptional regulator [[Clostridium] methylpentosum] 
gi|493397664|ref|WP_006353775.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397665|ref|WP_006353776.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397666|ref|WP_006353777.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397667|ref|WP_006353778.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397668|ref|WP_006353779.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397669|ref|WP_006353780.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397670|ref|WP_006353781.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397671|ref|WP_006353782.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397672|ref|WP_006353783.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397673|ref|WP_006353784.1|	stage V sporulation protein AEB [[Clostridium] methylpentosum] 
gi|493397674|ref|WP_006353785.1|	stage V sporulation protein AD [[Clostridium] methylpentosum] 
gi|493397675|ref|WP_006353786.1|	stage V sporulation protein AC [[Clostridium] methylpentosum] 
gi|493397676|ref|WP_006353787.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397677|ref|WP_006353788.1|	adenylosuccinate synthetase [[Clostridium] methylpentosum] 
gi|493397678|ref|WP_006353789.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397679|ref|WP_006353790.1|	RNA methyltransferase [[Clostridium] methylpentosum] 
gi|493397680|ref|WP_006353791.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397681|ref|WP_006353792.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397682|ref|WP_006353793.1|	phosphoglycerate kinase [[Clostridium] methylpentosum] 
gi|493397683|ref|WP_006353794.1|	triosephosphate isomerase [[Clostridium] methylpentosum] 
gi|493397684|ref|WP_006353795.1|	phosphoglyceromutase [[Clostridium] methylpentosum] 
gi|493397685|ref|WP_006353796.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397686|ref|WP_006353797.1|	DNA-binding protein [[Clostridium] methylpentosum] 
gi|493397687|ref|WP_006353798.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397688|ref|WP_006353799.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397689|ref|WP_006353800.1|	cysteine desulfurase [[Clostridium] methylpentosum] 
gi|493397690|ref|WP_006353801.1|	ribonuclease H [[Clostridium] methylpentosum] 
gi|493397691|ref|WP_006353802.1|	GTPase HflX [[Clostridium] methylpentosum] 
gi|493397692|ref|WP_006353803.1|	fumarate reductase [[Clostridium] methylpentosum] 
gi|493397693|ref|WP_006353804.1|	nicotinate-nucleotide pyrophosphorylase [[Clostridium] methylpentosum] 
gi|493397694|ref|WP_006353805.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397695|ref|WP_006353806.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397696|ref|WP_006353807.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397697|ref|WP_006353808.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397698|ref|WP_006353809.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397699|ref|WP_006353810.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397700|ref|WP_006353811.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397701|ref|WP_006353812.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397702|ref|WP_006353813.1|	CTP synthetase [[Clostridium] methylpentosum] 
gi|493397703|ref|WP_006353814.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397704|ref|WP_006353815.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397705|ref|WP_006353816.1|	glyceraldehyde-3-phosphate dehydrogenase [[Clostridium] methylpentosum] 
gi|493397706|ref|WP_006353817.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397707|ref|WP_006353818.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397708|ref|WP_006353819.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397709|ref|WP_006353820.1|	PadR family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493397710|ref|WP_006353821.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397711|ref|WP_006353822.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397712|ref|WP_006353823.1|	heme ABC transporter ATP-binding protein [[Clostridium] methylpentosum] 
gi|493397713|ref|WP_006353824.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397714|ref|WP_006353825.1|	O-acetylhomoserine aminocarboxypropyltransferase [[Clostridium] methylpentosum] 
gi|493397715|ref|WP_006353826.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397716|ref|WP_006353827.1|	sugar kinase [[Clostridium] methylpentosum] 
gi|493397717|ref|WP_006353828.1|	glycerate dehydrogenase [[Clostridium] methylpentosum] 
gi|493397718|ref|WP_006353829.1|	glutamyl-tRNA synthetase [[Clostridium] methylpentosum] 
gi|493397719|ref|WP_006353830.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397720|ref|WP_006353831.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397721|ref|WP_006353832.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397722|ref|WP_006353833.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397723|ref|WP_006353834.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493397724|ref|WP_006353835.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397725|ref|WP_006353836.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397726|ref|WP_006353837.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397727|ref|WP_006353838.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397728|ref|WP_006353839.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397729|ref|WP_006353840.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397730|ref|WP_006353841.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397731|ref|WP_006353842.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397732|ref|WP_006353843.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397733|ref|WP_006353844.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397734|ref|WP_006353845.1|	transcriptional regulator [[Clostridium] methylpentosum] 
gi|493397735|ref|WP_006353846.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397736|ref|WP_006353847.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397737|ref|WP_006353848.1|	cysteine desulfurase [[Clostridium] methylpentosum] 
gi|493397738|ref|WP_006353849.1|	thiamine biosynthesis protein ThiI [[Clostridium] methylpentosum] 
gi|493397739|ref|WP_006353850.1|	damage-inducible protein CinA [[Clostridium] methylpentosum] 
gi|493397740|ref|WP_006353851.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397741|ref|WP_006353852.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397742|ref|WP_006353853.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397743|ref|WP_006353854.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493397744|ref|WP_006353855.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397745|ref|WP_006353856.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397746|ref|WP_006353857.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397747|ref|WP_006353858.1|	RNA methyltransferase [[Clostridium] methylpentosum] 
gi|493397748|ref|WP_006353859.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397749|ref|WP_006353860.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397750|ref|WP_006353861.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397751|ref|WP_006353862.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397752|ref|WP_006353863.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397753|ref|WP_006353864.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397754|ref|WP_006353865.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397755|ref|WP_006353866.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397756|ref|WP_006353867.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397757|ref|WP_006353868.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397758|ref|WP_006353869.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397759|ref|WP_006353870.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397760|ref|WP_006353871.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397761|ref|WP_006353872.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397762|ref|WP_006353873.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397763|ref|WP_006353874.1|	elongation factor G [[Clostridium] methylpentosum] 
gi|493397764|ref|WP_006353875.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397765|ref|WP_006353876.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397766|ref|WP_006353877.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397767|ref|WP_006353878.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397768|ref|WP_006353879.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397769|ref|WP_006353880.1|	RNA pseudouridine synthase [[Clostridium] methylpentosum] 
gi|493397770|ref|WP_006353881.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397771|ref|WP_006353882.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397772|ref|WP_006353883.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397773|ref|WP_006353884.1|	CdaR family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493397774|ref|WP_006353885.1|	cell division protein FtsE [[Clostridium] methylpentosum] 
gi|493397775|ref|WP_006353886.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397776|ref|WP_006353887.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397777|ref|WP_006353888.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397778|ref|WP_006353889.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397779|ref|WP_006353890.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397780|ref|WP_006353891.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397781|ref|WP_006353892.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397782|ref|WP_006353893.1|	uracil-DNA glycosylase [[Clostridium] methylpentosum] 
gi|493397783|ref|WP_006353894.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397784|ref|WP_006353895.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397785|ref|WP_006353896.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397786|ref|WP_006353897.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397787|ref|WP_006353898.1|	ferredoxin [[Clostridium] methylpentosum] 
gi|493397788|ref|WP_006353899.1|	2-ketoisovalerate ferredoxin reductase [[Clostridium] methylpentosum] 
gi|493397789|ref|WP_006353900.1|	2-oxoglutarate oxidoreductase [[Clostridium] methylpentosum] 
gi|493397790|ref|WP_006353901.1|	pyruvate ferredoxin oxidoreductase [[Clostridium] methylpentosum] 
gi|493397791|ref|WP_006353902.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397792|ref|WP_006353903.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397793|ref|WP_006353904.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397794|ref|WP_006353905.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397795|ref|WP_006353906.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397796|ref|WP_006353907.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397797|ref|WP_006353908.1|	repressor [[Clostridium] methylpentosum] 
gi|493397798|ref|WP_006353909.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397799|ref|WP_006353910.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397800|ref|WP_006353911.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397801|ref|WP_006353912.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397802|ref|WP_006353913.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397803|ref|WP_006353914.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397804|ref|WP_006353915.1|	glycyl-tRNA synthetase [[Clostridium] methylpentosum] 
gi|493397805|ref|WP_006353916.1|	transposase [[Clostridium] methylpentosum] 
gi|493397806|ref|WP_006353917.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397807|ref|WP_006353918.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397808|ref|WP_006353919.1|	CTP:phosphocholine cytidylyltransferase [[Clostridium] methylpentosum] 
gi|493397809|ref|WP_006353920.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397810|ref|WP_006353921.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397811|ref|WP_006353922.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397812|ref|WP_006353923.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397813|ref|WP_006353924.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397814|ref|WP_006353925.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397815|ref|WP_006353926.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397816|ref|WP_006353927.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397817|ref|WP_006353928.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397818|ref|WP_006353929.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397819|ref|WP_006353930.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397820|ref|WP_006353931.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397821|ref|WP_006353932.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397822|ref|WP_006353933.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397823|ref|WP_006353934.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397824|ref|WP_006353935.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397825|ref|WP_006353936.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397826|ref|WP_006353937.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397827|ref|WP_006353938.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397828|ref|WP_006353939.1|	septation protein spoVG [[Clostridium] methylpentosum] 
gi|493397829|ref|WP_006353940.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397830|ref|WP_006353941.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397831|ref|WP_006353942.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397832|ref|WP_006353943.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397833|ref|WP_006353944.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397834|ref|WP_006353945.1|	growth inhibitor PemK [[Clostridium] methylpentosum] 
gi|493397835|ref|WP_006353946.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397836|ref|WP_006353947.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397837|ref|WP_006353948.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397838|ref|WP_006353949.1|	ferredoxin [[Clostridium] methylpentosum] 
gi|493397839|ref|WP_006353950.1|	stage 0 sporulation protein [[Clostridium] methylpentosum] 
gi|493397840|ref|WP_006353951.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397841|ref|WP_006353952.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397842|ref|WP_006353953.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397843|ref|WP_006353954.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397844|ref|WP_006353955.1|	arginyl-tRNA synthetase [[Clostridium] methylpentosum] 
gi|493397845|ref|WP_006353956.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397846|ref|WP_006353957.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397847|ref|WP_006353958.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397848|ref|WP_006353959.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397849|ref|WP_006353960.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397850|ref|WP_006353961.1|	DNA-binding protein [[Clostridium] methylpentosum] 
gi|493397851|ref|WP_006353962.1|	DNA-binding protein [[Clostridium] methylpentosum] 
gi|493397852|ref|WP_006353963.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397853|ref|WP_006353964.1|	50S ribosomal protein L33 [[Clostridium] methylpentosum] 
gi|493397854|ref|WP_006353965.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397855|ref|WP_006353966.1|	antitermination factor NusG [[Clostridium] methylpentosum] 
gi|493397856|ref|WP_006353967.1|	50S ribosomal protein L11 [[Clostridium] methylpentosum] 
gi|493397857|ref|WP_006353968.1|	50S ribosomal protein L1 [[Clostridium] methylpentosum] 
gi|493397858|ref|WP_006353969.1|	50S ribosomal protein L10 [[Clostridium] methylpentosum] 
gi|493397859|ref|WP_006353970.1|	50S ribosomal protein L7/L12 [[Clostridium] methylpentosum] 
gi|493397860|ref|WP_006353971.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397861|ref|WP_006353972.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397862|ref|WP_006353973.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397863|ref|WP_006353974.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397864|ref|WP_006353975.1|	phosphoenolpyruvate carboxykinase [[Clostridium] methylpentosum] 
gi|493397865|ref|WP_006353976.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397866|ref|WP_006353977.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397867|ref|WP_006353978.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397868|ref|WP_006353979.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397869|ref|WP_006353980.1|	(p)ppGpp synthetase [[Clostridium] methylpentosum] 
gi|493397870|ref|WP_006353981.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397871|ref|WP_006353982.1|	D-tyrosyl-tRNA(Tyr) deacylase [[Clostridium] methylpentosum] 
gi|493397872|ref|WP_006353983.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397873|ref|WP_006353984.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397874|ref|WP_006353985.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397875|ref|WP_006353986.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397876|ref|WP_006353987.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397877|ref|WP_006353988.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397878|ref|WP_006353989.1|	nucleotide pyrophosphohydrolase [[Clostridium] methylpentosum] 
gi|493397879|ref|WP_006353990.1|	transcriptional regulator [[Clostridium] methylpentosum] 
gi|493397880|ref|WP_006353991.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397881|ref|WP_006353992.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397882|ref|WP_006353993.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397883|ref|WP_006353994.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397884|ref|WP_006353995.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397885|ref|WP_006353996.1|	transposase [[Clostridium] methylpentosum] 
gi|493397886|ref|WP_006353997.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397887|ref|WP_006353998.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493397888|ref|WP_006353999.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397889|ref|WP_006354000.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397890|ref|WP_006354001.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397891|ref|WP_006354002.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397892|ref|WP_006354003.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397893|ref|WP_006354004.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397894|ref|WP_006354005.1|	XRE family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493397895|ref|WP_006354006.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397896|ref|WP_006354007.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397897|ref|WP_006354008.1|	gamma-glutamyl kinase [[Clostridium] methylpentosum] 
gi|493397898|ref|WP_006354009.1|	gamma-glutamyl phosphate reductase [[Clostridium] methylpentosum] 
gi|493397899|ref|WP_006354010.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397900|ref|WP_006354011.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397901|ref|WP_006354012.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397902|ref|WP_006354013.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397903|ref|WP_006354014.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397904|ref|WP_006354015.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397905|ref|WP_006354016.1|	glycogen branching protein [[Clostridium] methylpentosum] 
gi|493397906|ref|WP_006354017.1|	glucose-1-phosphate adenylyltransferase [[Clostridium] methylpentosum] 
gi|493397907|ref|WP_006354018.1|	glucose-1-phosphate adenylyltransferase [[Clostridium] methylpentosum] 
gi|493397908|ref|WP_006354019.1|	glycogen synthase [[Clostridium] methylpentosum] 
gi|493397909|ref|WP_006354020.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397910|ref|WP_006354021.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397911|ref|WP_006354022.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397912|ref|WP_006354023.1|	membrane protein [[Clostridium] methylpentosum] 
gi|493397913|ref|WP_006354024.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397914|ref|WP_006354025.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397915|ref|WP_006354026.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397916|ref|WP_006354027.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397917|ref|WP_006354028.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397918|ref|WP_006354029.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397919|ref|WP_006354030.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397920|ref|WP_006354031.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397921|ref|WP_006354032.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397922|ref|WP_006354033.1|	terminase [[Clostridium] methylpentosum] 
gi|493397923|ref|WP_006354034.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397924|ref|WP_006354035.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397925|ref|WP_006354036.1|	cell surface protein [[Clostridium] methylpentosum] 
gi|493397926|ref|WP_006354037.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397927|ref|WP_006354038.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397928|ref|WP_006354039.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397929|ref|WP_006354040.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397930|ref|WP_006354041.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397931|ref|WP_006354042.1|	PhoP family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493397932|ref|WP_006354043.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397933|ref|WP_006354044.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397934|ref|WP_006354045.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397935|ref|WP_006354046.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397936|ref|WP_006354047.1|	phosphate ABC transporter permease [[Clostridium] methylpentosum] 
gi|493397937|ref|WP_006354048.1|	phosphate ABC transporter permease [[Clostridium] methylpentosum] 
gi|493397938|ref|WP_006354049.1|	phosphate ABC transporter ATP-binding protein [[Clostridium] methylpentosum] 
gi|493397939|ref|WP_006354050.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397940|ref|WP_006354051.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397941|ref|WP_006354052.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397942|ref|WP_006354053.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397943|ref|WP_006354054.1|	MerR family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493397944|ref|WP_006354055.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397945|ref|WP_006354056.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397946|ref|WP_006354057.1|	fructose-1,6-bisphosphatase [[Clostridium] methylpentosum] 
gi|493397947|ref|WP_006354058.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397948|ref|WP_006354059.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397949|ref|WP_006354060.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397950|ref|WP_006354061.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397951|ref|WP_006354062.1|	pyruvate formate-lyase [[Clostridium] methylpentosum] 
gi|493397953|ref|WP_006354063.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397954|ref|WP_006354064.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397955|ref|WP_006354065.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397956|ref|WP_006354066.1|	transposase [[Clostridium] methylpentosum] 
gi|493397957|ref|WP_006354067.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397958|ref|WP_006354068.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397959|ref|WP_006354069.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397960|ref|WP_006354070.1|	preprotein translocase subunit SecA [[Clostridium] methylpentosum] 
gi|493397961|ref|WP_006354071.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397962|ref|WP_006354072.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397963|ref|WP_006354073.1|	transposase [[Clostridium] methylpentosum] 
gi|493397964|ref|WP_006354074.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397965|ref|WP_006354075.1|	transcriptional regulator [[Clostridium] methylpentosum] 
gi|493397966|ref|WP_006354076.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397967|ref|WP_006354077.1|	ATPase [[Clostridium] methylpentosum] 
gi|493397968|ref|WP_006354078.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397969|ref|WP_006354079.1|	hypothetical protein [[Clostridium] methylpentosum] 
