gi|493770745|ref|WP_006719278.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771717|ref|WP_006720238.1|	hypothetical protein [Collinsella stercoris] 
gi|493771718|ref|WP_006720239.1|	methylated-DNA--protein-cysteine methyltransferase [Collinsella stercoris] 
gi|493771719|ref|WP_006720240.1|	hypothetical protein [Collinsella stercoris] 
gi|493771720|ref|WP_006720241.1|	hypothetical protein [Collinsella stercoris] 
gi|493771721|ref|WP_006720242.1|	hypothetical protein [Collinsella stercoris] 
gi|493771722|ref|WP_006720243.1|	hypothetical protein [Collinsella stercoris] 
gi|493771723|ref|WP_006720244.1|	DEAD/DEAH box helicase [Collinsella stercoris] 
gi|493771724|ref|WP_006720245.1|	hypothetical protein [Collinsella stercoris] 
gi|493771725|ref|WP_006720246.1|	methyltransferase [Collinsella stercoris] 
gi|493771726|ref|WP_006720247.1|	hypothetical protein [Collinsella stercoris] 
gi|493771727|ref|WP_006720248.1|	histone acetyltransferase [Collinsella stercoris] 
gi|493771728|ref|WP_006720249.1|	hypothetical protein [Collinsella stercoris] 
gi|493771729|ref|WP_006720250.1|	ATP-dependent helicase [Collinsella stercoris] 
gi|493771730|ref|WP_006720251.1|	biotin carboxylase [Collinsella stercoris] 
gi|493771731|ref|WP_006720252.1|	hypothetical protein [Collinsella stercoris] 
gi|493771732|ref|WP_006720253.1|	hypothetical protein [Collinsella stercoris] 
gi|493771733|ref|WP_006720254.1|	arabinose transporter [Collinsella stercoris] 
gi|493771734|ref|WP_006720255.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771735|ref|WP_006720256.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771736|ref|WP_006720257.1|	hypothetical protein [Collinsella stercoris] 
gi|493771737|ref|WP_006720258.1|	hypothetical protein [Collinsella stercoris] 
gi|493771738|ref|WP_006720259.1|	hypothetical protein [Collinsella stercoris] 
gi|493771739|ref|WP_006720260.1|	nucleotidyltransferase [Collinsella stercoris] 
gi|493771740|ref|WP_006720261.1|	hypothetical protein [Collinsella stercoris] 
gi|493771741|ref|WP_006720262.1|	DNA-directed RNA polymerase subunit beta [Collinsella stercoris] 
gi|493771742|ref|WP_006720263.1|	DNA-directed RNA polymerase subunit beta [Collinsella stercoris] 
gi|493771743|ref|WP_006720264.1|	lacto-N-biosidase [Collinsella stercoris] 
gi|493771744|ref|WP_006720265.1|	MULTISPECIES: 30S ribosomal protein S12 [Collinsella] 
gi|493771745|ref|WP_006720266.1|	30S ribosomal protein S7 [Collinsella stercoris] 
gi|493771746|ref|WP_006720267.1|	elongation factor P [Collinsella stercoris] 
gi|493771747|ref|WP_006720268.1|	30S ribosomal protein S10 [Collinsella stercoris] 
gi|493771748|ref|WP_006720269.1|	cation diffusion facilitator family transporter [Collinsella stercoris] 
gi|493771749|ref|WP_006720270.1|	glutaredoxin [Collinsella stercoris] 
gi|493771750|ref|WP_006720271.1|	hypothetical protein [Collinsella stercoris] 
gi|493771751|ref|WP_006720272.1|	hypothetical protein [Collinsella stercoris] 
gi|493771752|ref|WP_006720273.1|	hypothetical protein [Collinsella stercoris] 
gi|493771753|ref|WP_006720274.1|	hypothetical protein [Collinsella stercoris] 
gi|493771754|ref|WP_006720275.1|	phosphoribosylformylglycinamidine synthase [Collinsella stercoris] 
gi|493771755|ref|WP_006720276.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771756|ref|WP_006720277.1|	hypothetical protein [Collinsella stercoris] 
gi|493771757|ref|WP_006720278.1|	O-acyltransferase [Collinsella stercoris] 
gi|493771758|ref|WP_006720279.1|	cytochrome C552 [Collinsella stercoris] 
gi|493771760|ref|WP_006720280.1|	hypothetical protein [Collinsella stercoris] 
gi|493771761|ref|WP_006720281.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771762|ref|WP_006720282.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771763|ref|WP_006720283.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771764|ref|WP_006720284.1|	hypothetical protein [Collinsella stercoris] 
gi|493771765|ref|WP_006720285.1|	50S ribosomal protein L3 [Collinsella stercoris] 
gi|493771766|ref|WP_006720286.1|	50S ribosomal protein L4 [Collinsella stercoris] 
gi|493771767|ref|WP_006720287.1|	50S ribosomal protein L23 [Collinsella stercoris] 
gi|493771768|ref|WP_006720288.1|	50S ribosomal protein L2 [Collinsella stercoris] 
gi|493771769|ref|WP_006720289.1|	30S ribosomal protein S19 [Collinsella stercoris] 
gi|493771770|ref|WP_006720290.1|	50S ribosomal protein L22 [Collinsella stercoris] 
gi|493771771|ref|WP_006720291.1|	30S ribosomal protein S3 [Collinsella stercoris] 
gi|493771772|ref|WP_006720292.1|	MULTISPECIES: 50S ribosomal protein L16 [Collinsella] 
gi|493771773|ref|WP_006720293.1|	50S ribosomal protein L29 [Collinsella stercoris] 
gi|493771774|ref|WP_006720294.1|	30S ribosomal protein S17 [Collinsella stercoris] 
gi|493771775|ref|WP_006720295.1|	MULTISPECIES: 50S ribosomal protein L14 [Collinsella] 
gi|493771776|ref|WP_006720296.1|	50S ribosomal protein L24 [Collinsella stercoris] 
gi|493771777|ref|WP_006720297.1|	XRE family transcriptional regulator [Collinsella stercoris] 
gi|493771778|ref|WP_006720298.1|	phosphatidylinositol kinase [Collinsella stercoris] 
gi|493771779|ref|WP_006720299.1|	oxidoreductase [Collinsella stercoris] 
gi|493771780|ref|WP_006720300.1|	hypothetical protein [Collinsella stercoris] 
gi|493771781|ref|WP_006720301.1|	peptidase U32 [Collinsella stercoris] 
gi|493771782|ref|WP_006720302.1|	hypothetical protein [Collinsella stercoris] 
gi|493771783|ref|WP_006720303.1|	hypothetical protein [Collinsella stercoris] 
gi|493771784|ref|WP_006720304.1|	hypothetical protein [Collinsella stercoris] 
gi|493771785|ref|WP_006720305.1|	hypothetical protein [Collinsella stercoris] 
gi|493771786|ref|WP_006720306.1|	hypothetical protein [Collinsella stercoris] 
gi|493771787|ref|WP_006720307.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771788|ref|WP_006720308.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771789|ref|WP_006720309.1|	type VII secretion protein [Collinsella stercoris] 
gi|493771790|ref|WP_006720310.1|	hypothetical protein [Collinsella stercoris] 
gi|493771791|ref|WP_006720311.1|	hypothetical protein [Collinsella stercoris] 
gi|493771792|ref|WP_006720312.1|	hypothetical protein [Collinsella stercoris] 
gi|493771793|ref|WP_006720313.1|	hypothetical protein [Collinsella stercoris] 
gi|493771794|ref|WP_006720314.1|	hypothetical protein [Collinsella stercoris] 
gi|493771795|ref|WP_006720315.1|	hypothetical protein [Collinsella stercoris] 
gi|493771796|ref|WP_006720316.1|	hypothetical protein [Collinsella stercoris] 
gi|493771797|ref|WP_006720317.1|	hypothetical protein [Collinsella stercoris] 
gi|493771798|ref|WP_006720318.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771799|ref|WP_006720319.1|	hypothetical protein [Collinsella stercoris] 
gi|493771800|ref|WP_006720320.1|	hypothetical protein [Collinsella stercoris] 
gi|493771801|ref|WP_006720321.1|	hypothetical protein [Collinsella stercoris] 
gi|493771802|ref|WP_006720322.1|	hypothetical protein [Collinsella stercoris] 
gi|493771803|ref|WP_006720323.1|	50S ribosomal protein L5 [Collinsella stercoris] 
gi|493771804|ref|WP_006720324.1|	MULTISPECIES: 30S ribosomal protein S14 [Collinsella] 
gi|493771805|ref|WP_006720325.1|	30S ribosomal protein S8 [Collinsella stercoris] 
gi|493771806|ref|WP_006720326.1|	50S ribosomal protein L6 [Collinsella stercoris] 
gi|493771807|ref|WP_006720327.1|	50S ribosomal protein L18 [Collinsella stercoris] 
gi|493771808|ref|WP_006720328.1|	30S ribosomal protein S5 [Collinsella stercoris] 
gi|493771809|ref|WP_006720329.1|	50S ribosomal protein L30 [Collinsella stercoris] 
gi|493771810|ref|WP_006720330.1|	50S ribosomal protein L15 [Collinsella stercoris] 
gi|493771811|ref|WP_006720331.1|	preprotein translocase subunit SecY [Collinsella stercoris] 
gi|493771812|ref|WP_006720332.1|	adenylate kinase [Collinsella stercoris] 
gi|493771813|ref|WP_006720333.1|	methionine aminopeptidase [Collinsella stercoris] 
gi|493771814|ref|WP_006720334.1|	translation initiation factor IF-1 [Collinsella stercoris] 
gi|493771815|ref|WP_006720335.1|	30S ribosomal protein S13 [Collinsella stercoris] 
gi|493771816|ref|WP_006720336.1|	30S ribosomal protein S11 [Collinsella stercoris] 
gi|493771817|ref|WP_006720337.1|	30S ribosomal protein S4 [Collinsella stercoris] 
gi|493771818|ref|WP_006720338.1|	DNA-directed RNA polymerase subunit alpha [Collinsella stercoris] 
gi|493771819|ref|WP_006720339.1|	50S ribosomal protein L17 [Collinsella stercoris] 
gi|493771820|ref|WP_006720340.1|	hypothetical protein [Collinsella stercoris] 
gi|493771821|ref|WP_006720341.1|	hypothetical protein [Collinsella stercoris] 
gi|493771822|ref|WP_006720342.1|	tRNA pseudouridine synthase A [Collinsella stercoris] 
gi|493771823|ref|WP_006720343.1|	hypothetical protein [Collinsella stercoris] 
gi|493771824|ref|WP_006720344.1|	ArgR family transcriptional regulator [Collinsella stercoris] 
gi|493771825|ref|WP_006720345.1|	hypothetical protein [Collinsella stercoris] 
gi|493771826|ref|WP_006720346.1|	hypothetical protein [Collinsella stercoris] 
gi|493771827|ref|WP_006720347.1|	penicillin-binding protein [Collinsella stercoris] 
gi|493771828|ref|WP_006720348.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771829|ref|WP_006720349.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771830|ref|WP_006720350.1|	tyrosyl-tRNA synthetase [Collinsella stercoris] 
gi|493771831|ref|WP_006720351.1|	hypothetical protein [Collinsella stercoris] 
gi|493771832|ref|WP_006720352.1|	hypothetical protein [Collinsella stercoris] 
gi|493771833|ref|WP_006720353.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771834|ref|WP_006720354.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771835|ref|WP_006720355.1|	COF family hydrolase [Collinsella stercoris] 
gi|493771836|ref|WP_006720356.1|	hypothetical protein [Collinsella stercoris] 
gi|493771837|ref|WP_006720357.1|	hypothetical protein [Collinsella stercoris] 
gi|493771838|ref|WP_006720358.1|	citrate synthase [Collinsella stercoris] 
gi|493771839|ref|WP_006720359.1|	50S ribosomal protein L31 [Collinsella stercoris] 
gi|493771840|ref|WP_006720360.1|	hypothetical protein [Collinsella stercoris] 
gi|493771841|ref|WP_006720361.1|	preprotein translocase subunit SecA [Collinsella stercoris] 
gi|493771842|ref|WP_006720362.1|	peptide chain release factor 2 [Collinsella stercoris] 
gi|493771843|ref|WP_006720363.1|	hypothetical protein [Collinsella stercoris] 
gi|493771844|ref|WP_006720364.1|	hypothetical protein [Collinsella stercoris] 
gi|493771845|ref|WP_006720365.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771846|ref|WP_006720366.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771847|ref|WP_006720367.1|	cell division protein [Collinsella stercoris] 
gi|493771848|ref|WP_006720368.1|	hypothetical protein [Collinsella stercoris] 
gi|493771849|ref|WP_006720369.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771850|ref|WP_006720370.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771851|ref|WP_006720371.1|	single-stranded DNA-binding protein [Collinsella stercoris] 
gi|493771852|ref|WP_006720372.1|	flavin reductase [Collinsella stercoris] 
gi|493771853|ref|WP_006720373.1|	rubredoxin [Collinsella stercoris] 
gi|493771854|ref|WP_006720374.1|	hypothetical protein [Collinsella stercoris] 
gi|493771855|ref|WP_006720375.1|	hypothetical protein [Collinsella stercoris] 
gi|493771856|ref|WP_006720376.1|	hypothetical protein [Collinsella stercoris] 
gi|493771857|ref|WP_006720377.1|	hypothetical protein [Collinsella stercoris] 
gi|493771858|ref|WP_006720378.1|	hypothetical protein [Collinsella stercoris] 
gi|493771859|ref|WP_006720379.1|	uracil-xanthine permease [Collinsella stercoris] 
gi|493771860|ref|WP_006720380.1|	hypothetical protein [Collinsella stercoris] 
gi|493771861|ref|WP_006720381.1|	peptidylprolyl isomerase [Collinsella stercoris] 
gi|493771862|ref|WP_006720382.1|	hypothetical protein [Collinsella stercoris] 
gi|493771863|ref|WP_006720383.1|	hypothetical protein [Collinsella stercoris] 
gi|493771864|ref|WP_006720384.1|	hypothetical protein [Collinsella stercoris] 
gi|493771865|ref|WP_006720385.1|	short-chain dehydrogenase [Collinsella stercoris] 
gi|493771866|ref|WP_006720386.1|	hypothetical protein [Collinsella stercoris] 
gi|493771867|ref|WP_006720387.1|	hypothetical protein [Collinsella stercoris] 
gi|493771868|ref|WP_006720388.1|	queuine tRNA-ribosyltransferase [Collinsella stercoris] 
gi|493771869|ref|WP_006720389.1|	peptidase [Collinsella stercoris] 
gi|493771870|ref|WP_006720390.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771871|ref|WP_006720391.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771872|ref|WP_006720392.1|	hypothetical protein [Collinsella stercoris] 
gi|493771873|ref|WP_006720393.1|	HIT family hydrolase [Collinsella stercoris] 
gi|493771874|ref|WP_006720394.1|	acetate kinase [Collinsella stercoris] 
gi|493771875|ref|WP_006720395.1|	hypothetical protein [Collinsella stercoris] 
gi|493771876|ref|WP_006720396.1|	phosphotransacetylase [Collinsella stercoris] 
gi|493771877|ref|WP_006720397.1|	UDP-galactopyranose mutase [Collinsella stercoris] 
gi|493771878|ref|WP_006720398.1|	glycosyl transferase [Collinsella stercoris] 
gi|493771879|ref|WP_006720399.1|	DNA polymerase I [Collinsella stercoris] 
gi|493771880|ref|WP_006720400.1|	hypothetical protein [Collinsella stercoris] 
gi|493771881|ref|WP_006720401.1|	hypothetical protein [Collinsella stercoris] 
gi|493771882|ref|WP_006720402.1|	hypothetical protein [Collinsella stercoris] 
gi|493771883|ref|WP_006720403.1|	amino acid ABC transporter permease [Collinsella stercoris] 
gi|493771884|ref|WP_006720404.1|	ABC transporter [Collinsella stercoris] 
gi|493771885|ref|WP_006720405.1|	hypothetical protein [Collinsella stercoris] 
gi|493771886|ref|WP_006720406.1|	argininosuccinate synthase [Collinsella stercoris] 
gi|493771887|ref|WP_006720407.1|	hypothetical protein [Collinsella stercoris] 
gi|493771888|ref|WP_006720408.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771889|ref|WP_006720409.1|	hypothetical protein [Collinsella stercoris] 
gi|493771890|ref|WP_006720410.1|	nucleoside diphosphate kinase [Collinsella stercoris] 
gi|493771891|ref|WP_006720411.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771893|ref|WP_006720412.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771894|ref|WP_006720413.1|	hypothetical protein [Collinsella stercoris] 
gi|493771895|ref|WP_006720414.1|	hypothetical protein [Collinsella stercoris] 
gi|493771896|ref|WP_006720415.1|	hypothetical protein [Collinsella stercoris] 
gi|493771897|ref|WP_006720416.1|	hypothetical protein [Collinsella stercoris] 
gi|493771898|ref|WP_006720417.1|	PTS lactose transporter subunit IIB [Collinsella stercoris] 
gi|493771899|ref|WP_006720418.1|	PTS cellobiose transporter subunit IIC [Collinsella stercoris] 
gi|493771900|ref|WP_006720419.1|	hypothetical protein [Collinsella stercoris] 
gi|493771901|ref|WP_006720420.1|	6-phospho-beta-glucosidase [Collinsella stercoris] 
gi|493771902|ref|WP_006720421.1|	hypothetical protein [Collinsella stercoris] 
gi|493771903|ref|WP_006720422.1|	PTS cellobiose transporter subunit IIA [Collinsella stercoris] 
gi|493771904|ref|WP_006720423.1|	hypothetical protein [Collinsella stercoris] 
gi|493771905|ref|WP_006720424.1|	30S ribosomal protein S1 [Collinsella stercoris] 
gi|493771906|ref|WP_006720425.1|	hypothetical protein [Collinsella stercoris] 
gi|493771907|ref|WP_006720426.1|	dipeptidase [Collinsella stercoris] 
gi|493771908|ref|WP_006720427.1|	hypothetical protein [Collinsella stercoris] 
gi|493771909|ref|WP_006720428.1|	hypothetical protein [Collinsella stercoris] 
gi|493771910|ref|WP_006720429.1|	hypothetical protein [Collinsella stercoris] 
gi|493771911|ref|WP_006720430.1|	hypothetical protein [Collinsella stercoris] 
gi|493771912|ref|WP_006720431.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771913|ref|WP_006720432.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771914|ref|WP_006720433.1|	phosphate ABC transporter permease [Collinsella stercoris] 
gi|493771915|ref|WP_006720434.1|	phosphate ABC transporter permease [Collinsella stercoris] 
gi|493771916|ref|WP_006720435.1|	phosphate ABC transporter ATP-binding protein [Collinsella stercoris] 
gi|493771917|ref|WP_006720436.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771918|ref|WP_006720437.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771919|ref|WP_006720438.1|	phosphoglycerate mutase [Collinsella stercoris] 
gi|493771920|ref|WP_006720439.1|	hypothetical protein [Collinsella stercoris] 
gi|493771921|ref|WP_006720440.1|	hypothetical protein [Collinsella stercoris] 
gi|493771922|ref|WP_006720441.1|	radical SAM protein [Collinsella stercoris] 
gi|493771923|ref|WP_006720442.1|	hypothetical protein [Collinsella stercoris] 
gi|493771924|ref|WP_006720443.1|	3-phosphoglycerate dehydrogenase [Collinsella stercoris] 
gi|493771925|ref|WP_006720444.1|	MFS transporter [Collinsella stercoris] 
gi|493771926|ref|WP_006720445.1|	hypothetical protein [Collinsella stercoris] 
gi|493771927|ref|WP_006720446.1|	hypothetical protein [Collinsella stercoris] 
gi|493771928|ref|WP_006720447.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771929|ref|WP_006720448.1|	hypothetical protein [Collinsella stercoris] 
gi|493771930|ref|WP_006720449.1|	hypothetical protein [Collinsella stercoris] 
gi|493771931|ref|WP_006720450.1|	hypothetical protein [Collinsella stercoris] 
gi|493771932|ref|WP_006720451.1|	PTS lactose transporter subunit IIA [Collinsella stercoris] 
gi|493771933|ref|WP_006720452.1|	PTS lactose transporter subunit IIB [Collinsella stercoris] 
gi|493771934|ref|WP_006720453.1|	hypothetical protein [Collinsella stercoris] 
gi|493771935|ref|WP_006720454.1|	6-phospho-beta-glucosidase [Collinsella stercoris] 
gi|493771936|ref|WP_006720455.1|	hypothetical protein [Collinsella stercoris] 
gi|493771937|ref|WP_006720456.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771938|ref|WP_006720457.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771939|ref|WP_006720458.1|	thiamine biosynthesis protein ThiF [Collinsella stercoris] 
gi|493771940|ref|WP_006720459.1|	hypothetical protein [Collinsella stercoris] 
gi|493771941|ref|WP_006720460.1|	hypothetical protein [Collinsella stercoris] 
gi|493771942|ref|WP_006720461.1|	PTS lactose transporter subunit IIC [Collinsella stercoris] 
gi|493771943|ref|WP_006720462.1|	hydrolase [Collinsella stercoris] 
gi|493771944|ref|WP_006720463.1|	hypothetical protein [Collinsella stercoris] 
gi|493771945|ref|WP_006720464.1|	hypothetical protein [Collinsella stercoris] 
gi|493771946|ref|WP_006720465.1|	N-acetylmannosamine-6-phosphate 2-epimerase [Collinsella stercoris] 
gi|493771947|ref|WP_006720466.1|	transposase [Collinsella stercoris] 
gi|493771948|ref|WP_006720467.1|	hypothetical protein [Collinsella stercoris] 
gi|493771949|ref|WP_006720468.1|	transposase [Collinsella stercoris] 
gi|493771950|ref|WP_006720469.1|	polysaccharide biosynthesis protein [Collinsella stercoris] 
gi|493771951|ref|WP_006720470.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771952|ref|WP_006720471.1|	lactate permease [Collinsella stercoris] 
gi|493771953|ref|WP_006720472.1|	phosphoenolpyruvate carboxykinase [Collinsella stercoris] 
gi|493771954|ref|WP_006720473.1|	hypothetical protein [Collinsella stercoris] 
gi|493771955|ref|WP_006720474.1|	amidohydrolase [Collinsella stercoris] 
gi|493771956|ref|WP_006720475.1|	hypothetical protein [Collinsella stercoris] 
gi|493771957|ref|WP_006720476.1|	hypothetical protein [Collinsella stercoris] 
gi|493771958|ref|WP_006720477.1|	hypothetical protein [Collinsella stercoris] 
gi|493771959|ref|WP_006720478.1|	heavy metal transporter [Collinsella stercoris] 
gi|493771960|ref|WP_006720479.1|	hypothetical protein [Collinsella stercoris] 
gi|493771961|ref|WP_006720480.1|	hypothetical protein [Collinsella stercoris] 
gi|493771962|ref|WP_006720481.1|	hypothetical protein [Collinsella stercoris] 
gi|493771963|ref|WP_006720482.1|	DNA-binding protein [Collinsella stercoris] 
gi|493771964|ref|WP_006720483.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771965|ref|WP_006720484.1|	hypothetical protein [Collinsella stercoris] 
gi|493771966|ref|WP_006720485.1|	hypothetical protein [Collinsella stercoris] 
gi|493771967|ref|WP_006720486.1|	hypothetical protein [Collinsella stercoris] 
gi|493771968|ref|WP_006720487.1|	hypothetical protein [Collinsella stercoris] 
gi|493771969|ref|WP_006720488.1|	glucose-6-phosphate isomerase [Collinsella stercoris] 
gi|493771970|ref|WP_006720489.1|	hypothetical protein [Collinsella stercoris] 
gi|493771971|ref|WP_006720490.1|	sugar isomerase [Collinsella stercoris] 
gi|493771972|ref|WP_006720491.1|	PTS fructose transporter subunit IIA [Collinsella stercoris] 
gi|493771973|ref|WP_006720492.1|	PTS mannose transporter subunit IIA [Collinsella stercoris] 
gi|493771974|ref|WP_006720493.1|	PTS sugar transporter [Collinsella stercoris] 
gi|493771975|ref|WP_006720494.1|	PTS mannose transporter subunit IID [Collinsella stercoris] 
gi|493771976|ref|WP_006720495.1|	hypothetical protein [Collinsella stercoris] 
gi|493771977|ref|WP_006720496.1|	hypothetical protein [Collinsella stercoris] 
gi|493771978|ref|WP_006720497.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771979|ref|WP_006720498.1|	hypothetical protein [Collinsella stercoris] 
gi|493771980|ref|WP_006720499.1|	hypothetical protein [Collinsella stercoris] 
gi|493771981|ref|WP_006720500.1|	hypothetical protein [Collinsella stercoris] 
gi|493771982|ref|WP_006720501.1|	thiamine biosynthesis protein ThiF [Collinsella stercoris] 
gi|493771983|ref|WP_006720502.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771984|ref|WP_006720503.1|	hypothetical protein [Collinsella stercoris] 
gi|493771985|ref|WP_006720504.1|	hypothetical protein [Collinsella stercoris] 
gi|493771986|ref|WP_006720505.1|	hypothetical protein [Collinsella stercoris] 
gi|493771987|ref|WP_006720506.1|	hypothetical protein [Collinsella stercoris] 
gi|493771988|ref|WP_006720507.1|	ABC transporter ATPase [Collinsella stercoris] 
gi|493771989|ref|WP_006720508.1|	hypothetical protein [Collinsella stercoris] 
gi|493771990|ref|WP_006720509.1|	polyphosphate kinase [Collinsella stercoris] 
gi|493771991|ref|WP_006720510.1|	6-phosphofructokinase [Collinsella stercoris] 
gi|493771992|ref|WP_006720511.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771993|ref|WP_006720512.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771994|ref|WP_006720513.1|	hypothetical protein [Collinsella stercoris] 
gi|493771995|ref|WP_006720514.1|	hypothetical protein [Collinsella stercoris] 
gi|493771996|ref|WP_006720515.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771997|ref|WP_006720516.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771998|ref|WP_006720517.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771999|ref|WP_006720518.1|	carbohydrate kinase [Collinsella stercoris] 
gi|493772000|ref|WP_006720519.1|	alanine racemase [Collinsella stercoris] 
gi|493772001|ref|WP_006720520.1|	DNA polymerase [Collinsella stercoris] 
gi|493772002|ref|WP_006720521.1|	hypothetical protein [Collinsella stercoris] 
gi|493772003|ref|WP_006720522.1|	glycoprotease [Collinsella stercoris] 
gi|493772004|ref|WP_006720523.1|	hypothetical protein [Collinsella stercoris] 
gi|493772005|ref|WP_006720524.1|	carbon starvation protein CstA [Collinsella stercoris] 
gi|493772006|ref|WP_006720525.1|	hydrogenase assembly protein HupF [Collinsella stercoris] 
gi|493772007|ref|WP_006720526.1|	hydrogenase formation protein HypD [Collinsella stercoris] 
gi|493772008|ref|WP_006720527.1|	hypothetical protein [Collinsella stercoris] 
gi|493772009|ref|WP_006720528.1|	hypothetical protein [Collinsella stercoris] 
gi|493772010|ref|WP_006720529.1|	hypothetical protein [Collinsella stercoris] 
gi|493772011|ref|WP_006720530.1|	FAD-dependent oxidoreductase [Collinsella stercoris] 
gi|493772012|ref|WP_006720531.1|	hypothetical protein [Collinsella stercoris] 
gi|493772013|ref|WP_006720532.1|	hypothetical protein [Collinsella stercoris] 
gi|493772014|ref|WP_006720533.1|	NAD+ synthetase [Collinsella stercoris] 
gi|493772015|ref|WP_006720534.1|	hypothetical protein [Collinsella stercoris] 
gi|493772016|ref|WP_006720535.1|	hypothetical protein [Collinsella stercoris] 
gi|493772017|ref|WP_006720536.1|	transcriptional regulator [Collinsella stercoris] 
gi|493772018|ref|WP_006720537.1|	hypothetical protein [Collinsella stercoris] 
gi|493772019|ref|WP_006720538.1|	polyprenyl synthetase [Collinsella stercoris] 
gi|493772020|ref|WP_006720539.1|	UDP-galactose-4-epimerase [Collinsella stercoris] 
gi|493772021|ref|WP_006720540.1|	hypothetical protein [Collinsella stercoris] 
gi|493772022|ref|WP_006720541.1|	hypothetical protein [Collinsella stercoris] 
gi|493772023|ref|WP_006720542.1|	cobalt transporter [Collinsella stercoris] 
gi|493772024|ref|WP_006720543.1|	ABC transporter [Collinsella stercoris] 
gi|493772025|ref|WP_006720544.1|	membrane protein [Collinsella stercoris] 
gi|493772026|ref|WP_006720545.1|	hypothetical protein [Collinsella stercoris] 
gi|493772027|ref|WP_006720546.1|	UDP-N-acetylenolpyruvoylglucosamine reductase [Collinsella stercoris] 
gi|493772028|ref|WP_006720547.1|	hypothetical protein [Collinsella stercoris] 
gi|493772029|ref|WP_006720548.1|	hypothetical protein [Collinsella stercoris] 
gi|493772030|ref|WP_006720549.1|	ArsC family transcriptional regulator [Collinsella stercoris] 
gi|493772031|ref|WP_006720550.1|	hypothetical protein [Collinsella stercoris] 
gi|493772032|ref|WP_006720551.1|	glucosamine-6-phosphate isomerase [Collinsella stercoris] 
gi|493772033|ref|WP_006720552.1|	aliphatic sulfonate ABC transporter substrate-binding protein [Collinsella stercoris] 
gi|493772034|ref|WP_006720553.1|	ATP-binding protein [Collinsella stercoris] 
gi|493772035|ref|WP_006720554.1|	nitrate ABC transporter permease [Collinsella stercoris] 
gi|493772036|ref|WP_006720555.1|	hypothetical protein [Collinsella stercoris] 
gi|493772037|ref|WP_006720556.1|	hypothetical protein [Collinsella stercoris] 
gi|493772038|ref|WP_006720557.1|	fructose-bisphosphate aldolase [Collinsella stercoris] 
gi|493772039|ref|WP_006720558.1|	6-phosphofructokinase [Collinsella stercoris] 
gi|493772040|ref|WP_006720559.1|	triosephosphate isomerase [Collinsella stercoris] 
gi|493772041|ref|WP_006720560.1|	hypothetical protein [Collinsella stercoris] 
gi|493772042|ref|WP_006720561.1|	hypothetical protein [Collinsella stercoris] 
gi|493772043|ref|WP_006720562.1|	hypothetical protein [Collinsella stercoris] 
gi|493772044|ref|WP_006720563.1|	1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate carboxylase [Collinsella stercoris] 
gi|493772045|ref|WP_006720564.1|	hypothetical protein [Collinsella stercoris] 
gi|493772046|ref|WP_006720565.1|	DNA methyltransferase [Collinsella stercoris] 
gi|493772047|ref|WP_006720566.1|	hypothetical protein [Collinsella stercoris] 
gi|493772048|ref|WP_006720567.1|	phosphodiesterase [Collinsella stercoris] 
