gi|490978215|ref|WP_004839979.1|	beta-galactosidase [[Ruminococcus] gnavus] 
gi|490979002|ref|WP_004840765.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490979003|ref|WP_004840766.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979007|ref|WP_004840770.1|	isocitrate dehydrogenase [[Ruminococcus] gnavus] 
gi|490979008|ref|WP_004840771.1|	MULTISPECIES: GntR family transcriptional regulator [Clostridiales] 
gi|490979009|ref|WP_004840772.1|	MULTISPECIES: 2-isopropylmalate synthase [Clostridiales] 
gi|490979010|ref|WP_004840773.1|	3-phosphoglycerate dehydrogenase [[Ruminococcus] gnavus] 
gi|490979012|ref|WP_004840775.1|	MFS transporter [[Ruminococcus] gnavus] 
gi|490979013|ref|WP_004840776.1|	MULTISPECIES: acetolactate synthase [Clostridiales] 
gi|490979014|ref|WP_004840777.1|	MULTISPECIES: dihydroxy-acid dehydratase [Clostridiales] 
gi|490979015|ref|WP_004840778.1|	3-isopropylmalate dehydrogenase [[Ruminococcus] gnavus] 
gi|490979016|ref|WP_004840779.1|	MULTISPECIES: preprotein translocase subunit YajC [Clostridiales] 
gi|490979017|ref|WP_004840780.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979019|ref|WP_004840782.1|	queuine tRNA-ribosyltransferase [[Ruminococcus] gnavus] 
gi|490979021|ref|WP_004840784.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490979024|ref|WP_004840787.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979023|ref|WP_004840786.1|	chorismate synthase [[Ruminococcus] gnavus] 
gi|490979026|ref|WP_004840789.1|	spermidine/putrescine ABC transporter ATP-binding protein [[Ruminococcus] gnavus] 
gi|490979027|ref|WP_004840790.1|	ABC transporter permease [[Ruminococcus] gnavus] 
gi|490979029|ref|WP_004840792.1|	ornithine carbamoyltransferase [[Ruminococcus] gnavus] 
gi|490979030|ref|WP_004840793.1|	membrane protein [[Ruminococcus] gnavus] 
gi|490979032|ref|WP_004840795.1|	MULTISPECIES: ATPase AAA [Lachnospiraceae] 
gi|490979033|ref|WP_004840796.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490979035|ref|WP_004840798.1|	SAM-dependent methyltransferase [[Ruminococcus] gnavus] 
gi|490979036|ref|WP_004840799.1|	MULTISPECIES: RNA polymerase sigma factor RpoD [Clostridiales] 
gi|490979038|ref|WP_004840801.1|	MULTISPECIES: DNA primase [Lachnospiraceae] 
gi|490979040|ref|WP_004840803.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979043|ref|WP_004840806.1|	multidrug transporter MatE [[Ruminococcus] gnavus] 
gi|490979045|ref|WP_004840808.1|	MULTISPECIES: MarR family transcriptional regulator [Clostridiales] 
gi|490979047|ref|WP_004840810.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979048|ref|WP_004840811.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979051|ref|WP_004840814.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979052|ref|WP_004840815.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979054|ref|WP_004840817.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979055|ref|WP_004840818.1|	MULTISPECIES: 50S ribosomal protein L20 [Clostridiales] 
gi|490979057|ref|WP_004840820.1|	MULTISPECIES: 50S ribosomal protein L35 [Clostridiales] 
gi|490979059|ref|WP_004840822.1|	MULTISPECIES: translation initiation factor IF-3 [Clostridiales] 
gi|490979060|ref|WP_004840823.1|	MULTISPECIES: sodium:calcium symporter [Lachnospiraceae] 
gi|490979062|ref|WP_004840825.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979063|ref|WP_004840826.1|	MULTISPECIES: stage V sporulation protein AF [Lachnospiraceae] 
gi|490979066|ref|WP_004840829.1|	MULTISPECIES: glycosyl transferase [Clostridiales] 
gi|490979067|ref|WP_004840830.1|	MULTISPECIES: deoxyuridine 5'-triphosphate nucleotidohydrolase [Clostridiales] 
gi|490979069|ref|WP_004840832.1|	MULTISPECIES: radical SAM protein [Lachnospiraceae] 
gi|490979070|ref|WP_004840833.1|	MULTISPECIES: ribonucleoside-triphosphate reductase [Lachnospiraceae] 
gi|490979071|ref|WP_004840834.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490979073|ref|WP_004840836.1|	MULTISPECIES: diaminopimelate aminotransferase [Lachnospiraceae] 
gi|490979074|ref|WP_004840837.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979077|ref|WP_004840840.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979078|ref|WP_004840841.1|	MULTISPECIES: homoserine O-succinyltransferase [Lachnospiraceae] 
gi|490979080|ref|WP_004840843.1|	membrane protein [[Ruminococcus] gnavus] 
gi|490979082|ref|WP_004840845.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490979084|ref|WP_004840847.1|	threonyl-tRNA synthetase [[Ruminococcus] gnavus] 
gi|490979085|ref|WP_004840848.1|	MULTISPECIES: 2,5-diketo-D-gluconic acid reductase [Lachnospiraceae] 
gi|490979087|ref|WP_004840850.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979088|ref|WP_004840851.1|	MULTISPECIES: preprotein translocase SecA [Clostridiales] 
gi|490979091|ref|WP_004840854.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979089|ref|WP_004840852.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490979093|ref|WP_004840856.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490979094|ref|WP_004840857.1|	MULTISPECIES: adenylosuccinate synthetase [Lachnospiraceae] 
gi|490979096|ref|WP_004840859.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979098|ref|WP_004840861.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490979099|ref|WP_004840862.1|	MULTISPECIES: DeoR family transcriptional regulator [Lachnospiraceae] 
gi|490979101|ref|WP_004840864.1|	glutaminyl-tRNA synthetase [[Ruminococcus] gnavus] 
gi|490979103|ref|WP_004840866.1|	transporter [[Ruminococcus] gnavus] 
gi|490979105|ref|WP_004840868.1|	MULTISPECIES: DNA mistmatch repair protein MutT [Clostridiales] 
gi|490979107|ref|WP_004840870.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979108|ref|WP_004840871.1|	MULTISPECIES: RNA polymerase sigma 70 [Clostridiales] 
gi|490979110|ref|WP_004840873.1|	MULTISPECIES: membrane protein [Lachnospiraceae] 
gi|490979112|ref|WP_004840875.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979114|ref|WP_004840877.1|	MULTISPECIES: nitroreductase [Lachnospiraceae] 
gi|490979115|ref|WP_004840878.1|	MULTISPECIES: D-tyrosyl-tRNA(Tyr) deacylase [Lachnospiraceae] 
gi|490979118|ref|WP_004840881.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979119|ref|WP_004840882.1|	MULTISPECIES: XRE family transcriptional regulator [Clostridiales] 
gi|490979121|ref|WP_004840884.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979123|ref|WP_004840886.1|	RNA polymerase sigma 70 [[Ruminococcus] gnavus] 
gi|490979125|ref|WP_004840888.1|	MULTISPECIES: RNA methyltransferase [Clostridiales] 
gi|490979128|ref|WP_004840891.1|	MULTISPECIES: ribonuclease III [Lachnospiraceae] 
gi|490979130|ref|WP_004840893.1|	MULTISPECIES: cysteinyl-tRNA synthetase [Clostridiales] 
gi|490979132|ref|WP_004840895.1|	serine O-acetyltransferase [[Ruminococcus] gnavus] 
gi|490979134|ref|WP_004840897.1|	acetyltransferase [[Ruminococcus] gnavus] 
gi|490979135|ref|WP_004840898.1|	MULTISPECIES: 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Lachnospiraceae] 
gi|490979138|ref|WP_004840901.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979139|ref|WP_004840902.1|	peptidase M29 [[Ruminococcus] gnavus] 
gi|490979140|ref|WP_004840903.1|	potassium transporter [[Ruminococcus] gnavus] 
gi|490979161|ref|WP_004840924.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979162|ref|WP_004840925.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490979164|ref|WP_004840927.1|	RNA polymerase sigma 70 [[Ruminococcus] gnavus] 
gi|490979165|ref|WP_004840928.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490979166|ref|WP_004840929.1|	MULTISPECIES: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Clostridiales] 
gi|490979168|ref|WP_004840931.1|	MULTISPECIES: O-sialoglycoprotein endopeptidase [Lachnospiraceae] 
gi|490979169|ref|WP_004840932.1|	MULTISPECIES: ribonuclease Z [Lachnospiraceae] 
gi|490979171|ref|WP_004840934.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490979172|ref|WP_004840935.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979175|ref|WP_004840938.1|	MULTISPECIES: ATP-binding protein [Lachnospiraceae] 
gi|490979173|ref|WP_004840936.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979177|ref|WP_004840940.1|	5-aminoimidazole-4-carboxamide ribonucleotide transformylase [[Ruminococcus] gnavus] 
gi|490979179|ref|WP_004840942.1|	MULTISPECIES: inosine monophosphate cyclohydrolase [Lachnospiraceae] 
gi|490979180|ref|WP_004840943.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979183|ref|WP_004840946.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979185|ref|WP_004840948.1|	GntR family transcriptional regulator [[Ruminococcus] gnavus] 
gi|490979188|ref|WP_004840951.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979189|ref|WP_004840952.1|	asparaginase [[Ruminococcus] gnavus] 
gi|490979192|ref|WP_004840955.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979193|ref|WP_004840956.1|	biotin synthase [[Ruminococcus] gnavus] 
gi|490979196|ref|WP_004840959.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979195|ref|WP_004840958.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979199|ref|WP_004840962.1|	transcriptional regulator [[Ruminococcus] gnavus] 
gi|490979200|ref|WP_004840963.1|	MFS transporter [[Ruminococcus] gnavus] 
gi|490979201|ref|WP_004840964.1|	oxidoreductase [[Ruminococcus] gnavus] 
gi|490979204|ref|WP_004840967.1|	AraC family transcriptional regulator [[Ruminococcus] gnavus] 
gi|490979206|ref|WP_004840969.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979208|ref|WP_004840971.1|	LysR family transcriptional regulator [[Ruminococcus] gnavus] 
gi|490979209|ref|WP_004840972.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979211|ref|WP_004840974.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979212|ref|WP_004840975.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979214|ref|WP_004840977.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979215|ref|WP_004840978.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979216|ref|WP_004840979.1|	integrase [[Ruminococcus] gnavus] 
gi|490979218|ref|WP_004840981.1|	integrase [[Ruminococcus] gnavus] 
gi|488634389|ref|WP_002571063.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490979221|ref|WP_004840984.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979223|ref|WP_004840986.1|	RNA polymerase subunit sigma-71 [[Ruminococcus] gnavus] 
gi|490979225|ref|WP_004840988.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979227|ref|WP_004840990.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979229|ref|WP_004840992.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979232|ref|WP_004840995.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979233|ref|WP_004840996.1|	ABC transporter [[Ruminococcus] gnavus] 
gi|490979235|ref|WP_004840998.1|	multidrug ABC transporter ATP-binding protein [[Ruminococcus] gnavus] 
gi|490979237|ref|WP_004841000.1|	histidine kinase [[Ruminococcus] gnavus] 
gi|490979238|ref|WP_004841001.1|	transcriptional regulator [[Ruminococcus] gnavus] 
gi|488642258|ref|WP_002578900.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490979242|ref|WP_004841005.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490979243|ref|WP_004841006.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979244|ref|WP_004841007.1|	MULTISPECIES: PadR family transcriptional regulator [Bacteria] 
gi|490979246|ref|WP_004841009.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979247|ref|WP_004841010.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|489597497|ref|WP_003501940.1|	MULTISPECIES: ABC transporter ATP-binding protein [Bacteria] 
gi|490979248|ref|WP_004841011.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979249|ref|WP_004841012.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979250|ref|WP_004841013.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979252|ref|WP_004841015.1|	histidine kinase [[Ruminococcus] gnavus] 
gi|490979254|ref|WP_004841017.1|	transcriptional regulator [[Ruminococcus] gnavus] 
gi|490979255|ref|WP_004841018.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979257|ref|WP_004841020.1|	XRE family transcriptional regulator [[Ruminococcus] gnavus] 
gi|490979258|ref|WP_004841021.1|	relaxase [[Ruminococcus] gnavus] 
gi|490979260|ref|WP_004841023.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|488634303|ref|WP_002570978.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490979262|ref|WP_004841025.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979263|ref|WP_004841026.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979265|ref|WP_004841028.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|488634305|ref|WP_002570980.1|	MULTISPECIES: succinate dehydrogenase cytochrome b556 subunit [Lachnospiraceae] 
gi|490979266|ref|WP_004841029.1|	P-aminobenzoate synthetase [[Ruminococcus] gnavus] 
gi|490979268|ref|WP_004841031.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979270|ref|WP_004841033.1|	mobilization protein [[Ruminococcus] gnavus] 
gi|490979272|ref|WP_004841035.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979273|ref|WP_004841036.1|	helicase [[Ruminococcus] gnavus] 
gi|490979274|ref|WP_004841037.1|	maturase [[Ruminococcus] gnavus] 
gi|490979276|ref|WP_004841039.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979277|ref|WP_004841040.1|	CAAX amino terminal protease [[Ruminococcus] gnavus] 
gi|488634321|ref|WP_002570996.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490979279|ref|WP_004841042.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|488634323|ref|WP_002570998.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490979281|ref|WP_004841044.1|	DNA topoisomerase III [[Ruminococcus] gnavus] 
gi|490979282|ref|WP_004841045.1|	conjugal transfer protein TraG [[Ruminococcus] gnavus] 
gi|488634326|ref|WP_002571001.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490979284|ref|WP_004841047.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979286|ref|WP_004841049.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979288|ref|WP_004841051.1|	conjugal transfer protein [[Ruminococcus] gnavus] 
gi|490979290|ref|WP_004841053.1|	pseudouridine synthase [[Ruminococcus] gnavus] 
gi|490979292|ref|WP_004841055.1|	conjugal transfer protein TraE [[Ruminococcus] gnavus] 
gi|490979295|ref|WP_004841058.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|488664011|ref|WP_002592890.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|489110471|ref|WP_003020327.1|	MULTISPECIES: recombinase RecB [Blautia] 
gi|489110468|ref|WP_003020324.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936238|ref|WP_004798075.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|489110461|ref|WP_003020317.1|	MULTISPECIES: virulence-associated protein E [Blautia] 
gi|490979303|ref|WP_004841066.1|	DNA primase [[Ruminococcus] gnavus] 
gi|489110455|ref|WP_003020311.1|	MULTISPECIES: conjugal transfer protein [Blautia] 
gi|490979304|ref|WP_004841067.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979306|ref|WP_004841069.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|489110451|ref|WP_003020307.1|	MULTISPECIES: GatB/Yqey domain protein [Blautia] 
gi|489110449|ref|WP_003020305.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|489110446|ref|WP_003020302.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490979309|ref|WP_004841072.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|489110443|ref|WP_003020299.1|	MULTISPECIES: XRE family transcriptional regulator [Blautia] 
gi|489110439|ref|WP_003020295.1|	MULTISPECIES: RNA-directed DNA polymerase [Blautia] 
gi|489110436|ref|WP_003020292.1|	MULTISPECIES: hypothetical protein [Blautia] 
gi|489110433|ref|WP_003020289.1|	MULTISPECIES: multidrug transporter MatE [Firmicutes] 
gi|489110430|ref|WP_003020286.1|	MULTISPECIES: MarR family transcriptional regulator [Clostridiales] 
gi|489110427|ref|WP_003020283.1|	MULTISPECIES: TnpV protein [Firmicutes] 
gi|489110424|ref|WP_003020280.1|	MULTISPECIES: hypothetical protein [Blautia] 
gi|490936249|ref|WP_004798086.1|	MULTISPECIES: membrane protein [Firmicutes] 
gi|490979315|ref|WP_004841078.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979316|ref|WP_004841079.1|	conjugal transfer protein TraG [[Ruminococcus] gnavus] 
gi|490979318|ref|WP_004841081.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979320|ref|WP_004841083.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979322|ref|WP_004841085.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979324|ref|WP_004841087.1|	toxin Bro [[Ruminococcus] gnavus] 
gi|490979326|ref|WP_004841089.1|	transcriptional regulator [[Ruminococcus] gnavus] 
gi|490979328|ref|WP_004841091.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979331|ref|WP_004841094.1|	diguanylate cyclase [[Ruminococcus] gnavus] 
gi|490979332|ref|WP_004841095.1|	plasmid stablization protein ParB [[Ruminococcus] gnavus] 
gi|490979335|ref|WP_004841098.1|	chromosome partitioning protein ParA [[Ruminococcus] gnavus] 
gi|490979334|ref|WP_004841097.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979337|ref|WP_004841100.1|	30S ribosomal protein S9 [[Ruminococcus] gnavus] 
gi|490979339|ref|WP_004841102.1|	50S ribosomal protein L13 [[Ruminococcus] gnavus] 
gi|490979341|ref|WP_004841104.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979342|ref|WP_004841105.1|	diaminopimelate epimerase [[Ruminococcus] gnavus] 
gi|490979344|ref|WP_004841107.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979346|ref|WP_004841109.1|	sugar kinase [[Ruminococcus] gnavus] 
gi|490979349|ref|WP_004841112.1|	GTPase [[Ruminococcus] gnavus] 
gi|490979351|ref|WP_004841114.1|	cobalamin biosynthesis protein CobW [[Ruminococcus] gnavus] 
gi|490979353|ref|WP_004841116.1|	exodeoxyribonuclease III [[Ruminococcus] gnavus] 
gi|490979355|ref|WP_004841118.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979356|ref|WP_004841119.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979358|ref|WP_004841121.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979360|ref|WP_004841123.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979362|ref|WP_004841125.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979364|ref|WP_004841127.1|	ABC transporter [[Ruminococcus] gnavus] 
gi|490979365|ref|WP_004841128.1|	ABC transporter ATP-binding protein [[Ruminococcus] gnavus] 
gi|490979366|ref|WP_004841129.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979368|ref|WP_004841131.1|	sugar ABC transporter ATP-binding protein [[Ruminococcus] gnavus] 
gi|490979370|ref|WP_004841133.1|	multidrug ABC transporter ATP-binding protein [[Ruminococcus] gnavus] 
gi|490979372|ref|WP_004841135.1|	membrane protein [[Ruminococcus] gnavus] 
gi|490979374|ref|WP_004841137.1|	carbamate kinase [[Ruminococcus] gnavus] 
gi|490979376|ref|WP_004841139.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979378|ref|WP_004841141.1|	hypothetical protein partial [[Ruminococcus] gnavus] 
gi|490979392|ref|WP_004841155.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979395|ref|WP_004841158.1|	MULTISPECIES: integrase [Blautia] 
gi|490979399|ref|WP_004841162.1|	MULTISPECIES: XRE family transcriptional regulator [Lachnospiraceae] 
gi|488641651|ref|WP_002578307.1|	MULTISPECIES: MerR family transcripitonal regulator [Clostridiales] 
gi|490979406|ref|WP_004841169.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490979408|ref|WP_004841171.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490979409|ref|WP_004841172.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979411|ref|WP_004841174.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979412|ref|WP_004841175.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490979416|ref|WP_004841179.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490979418|ref|WP_004841181.1|	ABC transporter permease [[Ruminococcus] gnavus] 
gi|490979420|ref|WP_004841183.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979421|ref|WP_004841184.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979423|ref|WP_004841186.1|	glycosyl hydrolase family 3 [[Ruminococcus] gnavus] 
gi|490979425|ref|WP_004841188.1|	PTS sugar transporter subunit IIA [[Ruminococcus] gnavus] 
gi|490979427|ref|WP_004841190.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979429|ref|WP_004841192.1|	beta-galactosidase [[Ruminococcus] gnavus] 
gi|490979430|ref|WP_004841193.1|	xylulokinase [[Ruminococcus] gnavus] 
gi|490979432|ref|WP_004841195.1|	fucose isomerase [[Ruminococcus] gnavus] 
gi|490979433|ref|WP_004841196.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979436|ref|WP_004841199.1|	MULTISPECIES: AraC family transcriptional regulator [Lachnospiraceae] 
gi|490979439|ref|WP_004841202.1|	3-isopropylmalate dehydrogenase [[Ruminococcus] gnavus] 
gi|490979438|ref|WP_004841201.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979441|ref|WP_004841204.1|	haloacid dehalogenase [[Ruminococcus] gnavus] 
gi|490979443|ref|WP_004841206.1|	MULTISPECIES: single-stranded DNA-binding protein [Clostridiales] 
gi|490979445|ref|WP_004841208.1|	ribonuclease R [[Ruminococcus] gnavus] 
gi|490979448|ref|WP_004841211.1|	MULTISPECIES: preprotein translocase subunit SecG [Clostridiales] 
gi|490979449|ref|WP_004841212.1|	fibronectin [[Ruminococcus] gnavus] 
gi|490979451|ref|WP_004841214.1|	MULTISPECIES: 6-phospho-beta-glucosidase [Clostridiales] 
gi|490979453|ref|WP_004841216.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979455|ref|WP_004841218.1|	MULTISPECIES: transcription antiterminator LicT [Clostridiales] 
gi|490979457|ref|WP_004841220.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490979459|ref|WP_004841222.1|	MULTISPECIES: ABC transporter [Lachnospiraceae] 
gi|490979461|ref|WP_004841224.1|	MULTISPECIES: GntR family transcriptional regulator [Clostridiales] 
gi|490979463|ref|WP_004841226.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979465|ref|WP_004841228.1|	MULTISPECIES: enolase [Clostridiales] 
gi|490979467|ref|WP_004841230.1|	membrane protein [[Ruminococcus] gnavus] 
gi|490979469|ref|WP_004841232.1|	DNA topoisomerase III [[Ruminococcus] gnavus] 
gi|490979470|ref|WP_004841233.1|	MULTISPECIES: spore cortex-lytic enzyme [Lachnospiraceae] 
gi|490979474|ref|WP_004841237.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979472|ref|WP_004841235.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490979476|ref|WP_004841239.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490979484|ref|WP_004841247.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979485|ref|WP_004841248.1|	MULTISPECIES: ABC transporter substrate-binding protein [Lachnospiraceae] 
gi|490979487|ref|WP_004841250.1|	methionine ABC transporter permease [[Ruminococcus] gnavus] 
gi|490979489|ref|WP_004841252.1|	MULTISPECIES: ABC transporter [Lachnospiraceae] 
gi|490979490|ref|WP_004841253.1|	MULTISPECIES: LysR family transcriptional regulator [Lachnospiraceae] 
gi|490979492|ref|WP_004841255.1|	MULTISPECIES: 1-acyl-sn-glycerol-3-phosphate acyltransferase [Clostridiales] 
gi|490979493|ref|WP_004841256.1|	MULTISPECIES: fumarate hydratase [Lachnospiraceae] 
gi|490979495|ref|WP_004841258.1|	MULTISPECIES: fumarate hydratase [Clostridiales] 
gi|490979497|ref|WP_004841260.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490979498|ref|WP_004841261.1|	MULTISPECIES: DNA gyrase subunit A [Clostridiales] 
gi|490979499|ref|WP_004841262.1|	MULTISPECIES: DNA gyrase subunit B [Clostridiales] 
gi|490979500|ref|WP_004841263.1|	DNA replication protein RecF [[Ruminococcus] gnavus] 
gi|490979502|ref|WP_004841265.1|	MULTISPECIES: RNA-binding protein [Clostridiales] 
gi|490979504|ref|WP_004841267.1|	MULTISPECIES: DNA polymerase III subunit beta [Clostridiales] 
gi|490979506|ref|WP_004841269.1|	MULTISPECIES: chromosomal replication initiator protein DnaA [Clostridiales] 
gi|490979508|ref|WP_004841271.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490979509|ref|WP_004841272.1|	MULTISPECIES: 50S ribosomal protein L34 [Clostridiales] 
gi|490979511|ref|WP_004841274.1|	MULTISPECIES: ribonuclease P [Clostridiales] 
gi|490979513|ref|WP_004841276.1|	MULTISPECIES: membrane protein insertion efficiency factor [Clostridiales] 
gi|490979515|ref|WP_004841278.1|	MULTISPECIES: stage III sporulation protein J [Clostridiales] 
gi|490979516|ref|WP_004841279.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490979518|ref|WP_004841281.1|	tRNA modification GTPase [[Ruminococcus] gnavus] 
gi|490979519|ref|WP_004841282.1|	MULTISPECIES: tRNA uridine 5-carboxymethylaminomethyl modification protein [Lachnospiraceae] 
gi|490979521|ref|WP_004841284.1|	MULTISPECIES: 16S rRNA methyltransferase [Clostridiales] 
gi|490979523|ref|WP_004841286.1|	hypothetical protein [[Ruminococcus] gnavus] 
