gi|490373514|ref|WP_004253117.1|	membrane protein [Providencia rettgeri] 
gi|490376135|ref|WP_004255735.1|	transcriptional activator FlhD [Providencia rettgeri] 
gi|490376139|ref|WP_004255739.1|	hypothetical protein [Providencia rettgeri] 
gi|490376143|ref|WP_004255743.1|	antitoxin HicB [Providencia rettgeri] 
gi|490376146|ref|WP_004255746.1|	acetyltransferase [Providencia rettgeri] 
gi|490376148|ref|WP_004255748.1|	alanine glycine permease [Providencia rettgeri] 
gi|490376151|ref|WP_004255751.1|	proline:sodium symporter [Providencia rettgeri] 
gi|490376155|ref|WP_004255755.1|	bifunctional proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase [Providencia rettgeri] 
gi|490376157|ref|WP_004255757.1|	flagellar biosynthesis protein FliZ [Providencia rettgeri] 
gi|490376160|ref|WP_004255760.1|	hypothetical protein [Providencia rettgeri] 
gi|490376164|ref|WP_004255764.1|	magnesium-importing ATPase partial [Providencia rettgeri] 
gi|490376168|ref|WP_004255768.1|	magnesium-importing ATPase partial [Providencia rettgeri] 
gi|490376189|ref|WP_004255789.1|	magnesium transporter [Providencia rettgeri] 
gi|490376192|ref|WP_004255792.1|	hypothetical protein [Providencia rettgeri] 
gi|490376195|ref|WP_004255795.1|	cold-shock protein [Providencia rettgeri] 
gi|490376199|ref|WP_004255799.1|	transcriptional regulator LysR family [Providencia rettgeri] 
gi|490376201|ref|WP_004255801.1|	dihydroorotase [Providencia rettgeri] 
gi|490376204|ref|WP_004255804.1|	biofilm formation regulatory protein BssS [Providencia rettgeri] 
gi|490376206|ref|WP_004255806.1|	LuxR family transcriptional regulator [Providencia rettgeri] 
gi|490376208|ref|WP_004255808.1|	heat shick protein [Providencia rettgeri] 
gi|490376239|ref|WP_004255839.1|	sulfurtransferase [Providencia rettgeri] 
gi|490376242|ref|WP_004255842.1|	hypothetical protein [Providencia rettgeri] 
gi|490376246|ref|WP_004255846.1|	transporter [Providencia rettgeri] 
gi|490376249|ref|WP_004255849.1|	tetrathionate reductase subunit A [Providencia rettgeri] 
gi|490376253|ref|WP_004255853.1|	tetrathionate reductase subunit C [Providencia rettgeri] 
gi|490376256|ref|WP_004255856.1|	tetrathionate reductase subunit B [Providencia rettgeri] 
gi|490376259|ref|WP_004255859.1|	histidine kinase [Providencia rettgeri] 
gi|490376263|ref|WP_004255863.1|	DNA-binding response regulator FixJ [Providencia rettgeri] 
gi|490376266|ref|WP_004255866.1|	lipid A biosynthesis lauroyl acyltransferase [Providencia rettgeri] 
gi|490376269|ref|WP_004255869.1|	multidrug transporter [Providencia rettgeri] 
gi|490376271|ref|WP_004255871.1|	amino acid transporter [Providencia rettgeri] 
gi|490376274|ref|WP_004255874.1|	phenazine biosynthesis protein PhzF family [Providencia rettgeri] 
gi|490376276|ref|WP_004255876.1|	FAD-dependent oxidoreductase [Providencia rettgeri] 
gi|490376279|ref|WP_004255879.1|	hypothetical protein [Providencia rettgeri] 
gi|490376281|ref|WP_004255881.1|	cytochrome C oxidase subunit II [Providencia rettgeri] 
gi|490376283|ref|WP_004255883.1|	hypothetical protein [Providencia rettgeri] 
gi|490376285|ref|WP_004255885.1|	hypothetical protein [Providencia rettgeri] 
gi|490376287|ref|WP_004255887.1|	universal stress protein F [Providencia rettgeri] 
gi|490376290|ref|WP_004255890.1|	GCN5 family acetyltransferase [Providencia rettgeri] 
gi|490376292|ref|WP_004255892.1|	glucose-1-phosphatase/inositol phosphatase [Providencia rettgeri] 
gi|490376295|ref|WP_004255895.1|	toxin-antitoxin system toxin component GNAT family [Providencia rettgeri] 
gi|490376298|ref|WP_004255898.1|	acetyltransferase [Providencia rettgeri] 
gi|490376303|ref|WP_004255903.1|	formate dehydrogenase-N subunit gamma [Providencia rettgeri] 
gi|490376307|ref|WP_004255907.1|	formate dehydrogenase-N subunit beta [Providencia rettgeri] 
gi|490376310|ref|WP_004255910.1|	formate dehydrogenase subunit alpha [Providencia rettgeri] 
gi|490376313|ref|WP_004255913.1|	sulfate ABC transporter substrate-binding protein [Providencia rettgeri] 
gi|490376356|ref|WP_004255956.1|	membrane protein [Providencia rettgeri] 
gi|490376363|ref|WP_004255963.1|	hypothetical protein [Providencia rettgeri] 
gi|490376366|ref|WP_004255966.1|	contact-regulated protein A [Providencia rettgeri] 
gi|490376368|ref|WP_004255968.1|	modulator protein [Providencia rettgeri] 
gi|490376370|ref|WP_004255970.1|	antibiotic biosynthesis monooxygenase [Providencia rettgeri] 
gi|490376372|ref|WP_004255972.1|	adenosine deaminase [Providencia rettgeri] 
gi|490376374|ref|WP_004255974.1|	putative cyclic nucleotide-binding domain protein [Providencia rettgeri] 
gi|490376376|ref|WP_004255976.1|	transporter [Providencia rettgeri] 
gi|490376378|ref|WP_004255978.1|	methyltransferase [Providencia rettgeri] 
gi|490376380|ref|WP_004255980.1|	quercetin 2,3-dioxygenase [Providencia rettgeri] 
gi|490376382|ref|WP_004255982.1|	hypothetical protein [Providencia rettgeri] 
gi|490376384|ref|WP_004255984.1|	hypothetical protein [Providencia rettgeri] 
gi|490376385|ref|WP_004255985.1|	hypothetical protein [Providencia rettgeri] 
gi|490376387|ref|WP_004255987.1|	type VI secretion protein [Providencia rettgeri] 
gi|490376389|ref|WP_004255989.1|	type VI secretion protein [Providencia rettgeri] 
gi|490376390|ref|WP_004255990.1|	lysozyme [Providencia rettgeri] 
gi|490376392|ref|WP_004255992.1|	type VI secretion protein [Providencia rettgeri] 
gi|490376394|ref|WP_004255994.1|	type VI secretion protein [Providencia rettgeri] 
gi|490376397|ref|WP_004255997.1|	type VI secretion system FHA domain protein [Providencia rettgeri] 
gi|490376399|ref|WP_004255999.1|	hypothetical protein [Providencia rettgeri] 
gi|490376401|ref|WP_004256001.1|	hypothetical protein [Providencia rettgeri] 
gi|490376404|ref|WP_004256004.1|	chemotaxis protein MotB [Providencia rettgeri] 
gi|490376406|ref|WP_004256006.1|	ATP-dependent Clp protease ClpV [Providencia rettgeri] 
gi|490376408|ref|WP_004256008.1|	Fis family transcriptional regulator [Providencia rettgeri] 
gi|490376411|ref|WP_004256010.1|	type VI secretion protein [Providencia rettgeri] 
gi|490376416|ref|WP_004256015.1|	type VI secretion protein [Providencia rettgeri] 
gi|490376420|ref|WP_004256019.1|	type VI secretion protein IcmF [Providencia rettgeri] 
gi|490376423|ref|WP_004256022.1|	membrane protein [Providencia rettgeri] 
gi|490376426|ref|WP_004256025.1|	type VI secretion protein [Providencia rettgeri] 
gi|490376427|ref|WP_004256026.1|	hypothetical protein [Providencia rettgeri] 
gi|490376429|ref|WP_004256028.1|	hypothetical protein [Providencia rettgeri] 
gi|490376430|ref|WP_004256029.1|	hypothetical protein [Providencia rettgeri] 
gi|490376432|ref|WP_004256031.1|	hypothetical protein [Providencia rettgeri] 
gi|490376434|ref|WP_004256033.1|	hypothetical protein [Providencia rettgeri] 
gi|490376436|ref|WP_004256035.1|	hypothetical protein [Providencia rettgeri] 
gi|490376437|ref|WP_004256036.1|	hypothetical protein [Providencia rettgeri] 
gi|490376439|ref|WP_004256038.1|	hypothetical protein [Providencia rettgeri] 
gi|490376441|ref|WP_004256040.1|	endoribonuclease SymE [Providencia rettgeri] 
gi|490376443|ref|WP_004256042.1|	hypothetical protein [Providencia rettgeri] 
gi|490376445|ref|WP_004256044.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490376447|ref|WP_004256046.1|	YD repeat-containing domain protein partial [Providencia rettgeri] 
gi|490376449|ref|WP_004256048.1|	hypothetical protein [Providencia rettgeri] 
gi|490376452|ref|WP_004256051.1|	type VI secretion protein [Providencia rettgeri] 
gi|490370399|ref|WP_004250011.1|	MULTISPECIES: hypothetical protein [Enterobacteriaceae] 
gi|490376455|ref|WP_004256054.1|	hypothetical protein [Providencia rettgeri] 
gi|490376456|ref|WP_004256055.1|	camphor resistance protein CrcB [Providencia rettgeri] 
gi|490376458|ref|WP_004256057.1|	chromosome condensation protein CrcB [Providencia rettgeri] 
gi|490376459|ref|WP_004256058.1|	nickel ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490376460|ref|WP_004256059.1|	transporter [Providencia rettgeri] 
gi|490376461|ref|WP_004256060.1|	potassium channel protein [Providencia rettgeri] 
gi|490376462|ref|WP_004256061.1|	urea transporter [Providencia rettgeri] 
gi|490376463|ref|WP_004256062.1|	urease accessory protein UreD [Providencia rettgeri] 
gi|490376464|ref|WP_004256063.1|	urease accessory protein UreG [Providencia rettgeri] 
gi|490376467|ref|WP_004256066.1|	urease accessory protein UreF [Providencia rettgeri] 
gi|490376468|ref|WP_004256067.1|	urease accessory protein UreE [Providencia rettgeri] 
gi|490376470|ref|WP_004256069.1|	urease subunit alpha [Providencia rettgeri] 
gi|490376473|ref|WP_004256072.1|	urease subunit beta [Providencia rettgeri] 
gi|490376480|ref|WP_004256079.1|	urease subunit gamma [Providencia rettgeri] 
gi|490376481|ref|WP_004256080.1|	peptide ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490376482|ref|WP_004256081.1|	peptide ABC transporter permease [Providencia rettgeri] 
gi|490376484|ref|WP_004256083.1|	peptide ABC transporter permease [Providencia rettgeri] 
gi|490376486|ref|WP_004256085.1|	nickel ABC transporter substrate-binding protein [Providencia rettgeri] 
gi|490376488|ref|WP_004256087.1|	ammonium transporter [Providencia rettgeri] 
gi|490376489|ref|WP_004256088.1|	ISPsy11 transposase OrfB [Providencia rettgeri] 
gi|490376491|ref|WP_004256090.1|	sulfur transfer protein TusE [Providencia rettgeri] 
gi|490376494|ref|WP_004256093.1|	acylphosphatase [Providencia rettgeri] 
gi|490376496|ref|WP_004256095.1|	heat shock protein HspQ [Providencia rettgeri] 
gi|490376500|ref|WP_004256099.1|	hypothetical protein [Providencia rettgeri] 
gi|490376503|ref|WP_004256102.1|	methylglyoxal synthase [Providencia rettgeri] 
gi|490376506|ref|WP_004256105.1|	DNA helicase IV [Providencia rettgeri] 
gi|490376508|ref|WP_004256107.1|	membrane protein [Providencia rettgeri] 
gi|490376510|ref|WP_004256109.1|	regulator of competence-specific [Providencia rettgeri] 
gi|490376512|ref|WP_004256111.1|	phosphatidate cytidylyltransferase [Providencia rettgeri] 
gi|490376514|ref|WP_004256113.1|	membrane protein [Providencia rettgeri] 
gi|490376524|ref|WP_004256123.1|	putative dehydrogenase [Providencia rettgeri] 
gi|490376526|ref|WP_004256125.1|	membrane protein [Providencia rettgeri] 
gi|490376528|ref|WP_004256127.1|	ATP-dependent protease [Providencia rettgeri] 
gi|490376530|ref|WP_004256129.1|	3-hydroxydecanoyl-ACP dehydratase [Providencia rettgeri] 
gi|490376532|ref|WP_004256131.1|	ribosome modulation factor [Providencia rettgeri] 
gi|490376534|ref|WP_004256133.1|	membrane protein [Providencia rettgeri] 
gi|490376536|ref|WP_004256135.1|	paraquat-inducible protein B [Providencia rettgeri] 
gi|490376538|ref|WP_004256137.1|	paraquat-inducible protein A [Providencia rettgeri] 
gi|490376540|ref|WP_004256139.1|	heme ABC transporter ATPase [Providencia rettgeri] 
gi|490376542|ref|WP_004256141.1|	23S rRNA methyltransferase [Providencia rettgeri] 
gi|490376544|ref|WP_004256143.1|	hypothetical protein [Providencia rettgeri] 
gi|490376546|ref|WP_004256145.1|	cell division protein ZapC [Providencia rettgeri] 
gi|490376548|ref|WP_004256147.1|	dihydroorotate dehydrogenase [Providencia rettgeri] 
gi|490376549|ref|WP_004256148.1|	hypothetical protein [Providencia rettgeri] 
gi|490376550|ref|WP_004256149.1|	aminopeptidase N [Providencia rettgeri] 
gi|490376551|ref|WP_004256150.1|	f0F1-type ATP synthase a subunit [Providencia rettgeri] 
gi|490376552|ref|WP_004256151.1|	nicotinate phosphoribosyltransferase [Providencia rettgeri] 
gi|490376555|ref|WP_004256154.1|	hypothetical protein [Providencia rettgeri] 
gi|490376557|ref|WP_004256156.1|	asparaginyl-tRNA synthetase [Providencia rettgeri] 
gi|490376560|ref|WP_004256159.1|	hypothetical protein [Providencia rettgeri] 
gi|490376568|ref|WP_004256167.1|	outer membrane porin protein C [Providencia rettgeri] 
gi|490376570|ref|WP_004256169.1|	aromatic amino acid aminotransferase [Providencia rettgeri] 
gi|490376572|ref|WP_004256171.1|	hypothetical protein [Providencia rettgeri] 
gi|490376574|ref|WP_004256173.1|	nonpeptidase peptidase M15 family [Providencia rettgeri] 
gi|490376576|ref|WP_004256175.1|	murein L,D-transpeptidase [Providencia rettgeri] 
gi|490376582|ref|WP_004256181.1|	hypothetical protein [Providencia rettgeri] 
gi|490376585|ref|WP_004256184.1|	cell division protein MukB [Providencia rettgeri] 
gi|490376588|ref|WP_004256187.1|	condesin subunit E [Providencia rettgeri] 
gi|490376591|ref|WP_004256190.1|	condesin subunit F [Providencia rettgeri] 
gi|490376592|ref|WP_004256191.1|	S-adenosyl-L-methionine-dependent methyltransferase [Providencia rettgeri] 
gi|490376594|ref|WP_004256193.1|	hypothetical protein [Providencia rettgeri] 
gi|490376597|ref|WP_004256196.1|	membrane protein [Providencia rettgeri] 
gi|490376601|ref|WP_004256200.1|	3-deoxy-manno-octulosonate cytidylyltransferase [Providencia rettgeri] 
gi|490376604|ref|WP_004256203.1|	hypothetical protein [Providencia rettgeri] 
gi|490376607|ref|WP_004256206.1|	cold-shock protein [Providencia rettgeri] 
gi|490376611|ref|WP_004256210.1|	tetraacyldisaccharide 4'-kinase [Providencia rettgeri] 
gi|490376614|ref|WP_004256213.1|	ATP-binding protein [Providencia rettgeri] 
gi|490376617|ref|WP_004256216.1|	competence protein ComEC [Providencia rettgeri] 
gi|490376620|ref|WP_004256219.1|	hypothetical protein [Providencia rettgeri] 
gi|490376622|ref|WP_004256221.1|	integration host factor subunit beta [Providencia rettgeri] 
gi|490376624|ref|WP_004256223.1|	30S ribosomal protein S1 [Providencia rettgeri] 
gi|490376626|ref|WP_004256225.1|	cytidylate kinase [Providencia rettgeri] 
gi|490376628|ref|WP_004256227.1|	3-phosphoshikimate 1-carboxyvinyltransferase [Providencia rettgeri] 
gi|490376631|ref|WP_004256230.1|	hypothetical protein [Providencia rettgeri] 
gi|490376635|ref|WP_004256234.1|	3-phosphoserine/phosphohydroxythreonine aminotransferase [Providencia rettgeri] 
gi|490376637|ref|WP_004256236.1|	phosphoglucomutase [Providencia rettgeri] 
gi|490376639|ref|WP_004256238.1|	replication initiation regulator SeqA [Providencia rettgeri] 
gi|490376642|ref|WP_004256241.1|	hypothetical protein [Providencia rettgeri] 
gi|490376644|ref|WP_004256243.1|	acyl-CoA esterase [Providencia rettgeri] 
gi|490376646|ref|WP_004256245.1|	RTX toxin transporter [Providencia rettgeri] 
gi|490376649|ref|WP_004256248.1|	RTX toxin transporter [Providencia rettgeri] 
gi|490376651|ref|WP_004256250.1|	hemolysin D [Providencia rettgeri] 
gi|490376653|ref|WP_004256252.1|	peptidase C39 [Providencia rettgeri] 
gi|490376657|ref|WP_004256256.1|	LexA regulated protein [Providencia rettgeri] 
gi|490376662|ref|WP_004256261.1|	flavodoxin [Providencia rettgeri] 
gi|490376686|ref|WP_004256285.1|	ferric uptake regulator [Providencia rettgeri] 
gi|490376689|ref|WP_004256288.1|	membrane protein [Providencia rettgeri] 
gi|490376691|ref|WP_004256290.1|	outer membrane porin OprD family [Providencia rettgeri] 
gi|490376692|ref|WP_004256291.1|	L-asparaginase [Providencia rettgeri] 
gi|490376693|ref|WP_004256292.1|	hypothetical protein [Providencia rettgeri] 
gi|490376694|ref|WP_004256293.1|	altronate hydrolase [Providencia rettgeri] 
gi|490376695|ref|WP_004256294.1|	MFS transporter [Providencia rettgeri] 
gi|490376697|ref|WP_004256296.1|	dihydrodipicolinate synthase [Providencia rettgeri] 
gi|490376698|ref|WP_004256297.1|	transcriptional regulator [Providencia rettgeri] 
gi|490376700|ref|WP_004256299.1|	formate transporter [Providencia rettgeri] 
gi|490376702|ref|WP_004256301.1|	keto-acid formate acetyltransferase [Providencia rettgeri] 
gi|490376704|ref|WP_004256303.1|	pyruvate formate lyase-activating protein [Providencia rettgeri] 
gi|490376706|ref|WP_004256305.1|	hypothetical protein [Providencia rettgeri] 
gi|490376708|ref|WP_004256307.1|	AsnC family transcriptional regulator [Providencia rettgeri] 
gi|490376710|ref|WP_004256309.1|	membrane protein [Providencia rettgeri] 
gi|490376718|ref|WP_004256317.1|	hypothetical protein [Providencia rettgeri] 
gi|490376724|ref|WP_004256323.1|	LysR family transcriptional regulator [Providencia rettgeri] 
gi|490376725|ref|WP_004256324.1|	membrane protein [Providencia rettgeri] 
gi|490376730|ref|WP_004256329.1|	seryl-tRNA synthetase [Providencia rettgeri] 
gi|490376731|ref|WP_004256330.1|	recombinase RarA [Providencia rettgeri] 
gi|490376732|ref|WP_004256331.1|	membrane protein [Providencia rettgeri] 
gi|490376733|ref|WP_004256332.1|	cell division protein FtsK [Providencia rettgeri] 
gi|490376735|ref|WP_004256334.1|	hypothetical protein [Providencia rettgeri] 
gi|490376739|ref|WP_004256338.1|	MULTISPECIES: AsnC family transcriptional regulator [Enterobacteriaceae] 
gi|490376740|ref|WP_004256339.1|	thioredoxin reductase [Providencia rettgeri] 
gi|490376741|ref|WP_004256340.1|	cation diffusion facilitator family transporter [Providencia rettgeri] 
gi|490376752|ref|WP_004256351.1|	glutathione ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490376753|ref|WP_004256352.1|	glutathione ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490376754|ref|WP_004256353.1|	leucyl/phenylalanyl-tRNA--protein transferase [Providencia rettgeri] 
gi|490364895|ref|WP_004244560.1|	MULTISPECIES: translation initiation factor IF-1 [Enterobacteriaceae] 
gi|490376755|ref|WP_004256354.1|	ATP-dependent Clp protease ATP-binding protein [Providencia rettgeri] 
gi|490376758|ref|WP_004256357.1|	ATP-dependent Clp protease ClpS [Providencia rettgeri] 
gi|490376760|ref|WP_004256359.1|	cold-shock protein [Providencia rettgeri] 
gi|490376762|ref|WP_004256361.1|	hypothetical protein [Providencia rettgeri] 
gi|490376763|ref|WP_004256362.1|	transcriptional regulator [Providencia rettgeri] 
gi|490376767|ref|WP_004256366.1|	delta-aminovaleramide aminohydrolase [Providencia rettgeri] 
gi|490376769|ref|WP_004256368.1|	allantoin permease [Providencia rettgeri] 
gi|490376779|ref|WP_004256378.1|	regulator protein GntR family [Providencia rettgeri] 
gi|490376787|ref|WP_004256386.1|	demethylmenaquinone methyltransferase [Providencia rettgeri] 
gi|490376790|ref|WP_004256389.1|	hexuronate transporter [Providencia rettgeri] 
gi|490376794|ref|WP_004256393.1|	putative mannonate dehydratase protein [Providencia rettgeri] 
gi|490376796|ref|WP_004256395.1|	macrolide ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490376798|ref|WP_004256397.1|	macrolide transporter [Providencia rettgeri] 
gi|490376801|ref|WP_004256400.1|	hypothetical protein [Providencia rettgeri] 
gi|490376803|ref|WP_004256402.1|	membrane protein [Providencia rettgeri] 
gi|490376804|ref|WP_004256403.1|	hypothetical protein [Providencia rettgeri] 
gi|490376805|ref|WP_004256404.1|	arginine ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490376806|ref|WP_004256405.1|	arginine ABC transporter substrate-binding protein [Providencia rettgeri] 
gi|490376807|ref|WP_004256406.1|	arginine transporter permease subunit ArtQ [Providencia rettgeri] 
gi|490376811|ref|WP_004256410.1|	arginine transporter permease subunit ArtM [Providencia rettgeri] 
gi|490376813|ref|WP_004256412.1|	hypothetical protein [Providencia rettgeri] 
gi|490376816|ref|WP_004256415.1|	23S rRNA methyltransferase [Providencia rettgeri] 
gi|490376819|ref|WP_004256418.1|	histidine kinase [Providencia rettgeri] 
gi|490376822|ref|WP_004256421.1|	membrane protein [Providencia rettgeri] 
gi|490376825|ref|WP_004256424.1|	glutaredoxin [Providencia rettgeri] 
gi|490376828|ref|WP_004256427.1|	TonB-dependent receptor [Providencia rettgeri] 
gi|490376831|ref|WP_004256430.1|	UDP pyrophosphate phosphatase [Providencia rettgeri] 
gi|490376833|ref|WP_004256432.1|	hypothetical protein [Providencia rettgeri] 
gi|490376835|ref|WP_004256434.1|	hypothetical protein [Providencia rettgeri] 
gi|490376838|ref|WP_004256437.1|	serine/threonine transporter [Providencia rettgeri] 
gi|490376841|ref|WP_004256440.1|	L-serine dehydratase [Providencia rettgeri] 
gi|490376846|ref|WP_004256445.1|	D-alanyl-D-alanine carboxypeptidase [Providencia rettgeri] 
gi|490376848|ref|WP_004256447.1|	glutathione S-transferase [Providencia rettgeri] 
gi|490376850|ref|WP_004256449.1|	hypothetical protein [Providencia rettgeri] 
gi|490376852|ref|WP_004256451.1|	ATP phosphoribosyltransferase [Providencia rettgeri] 
gi|490376854|ref|WP_004256453.1|	bifunctional histidinal dehydrogenase/ histidinol dehydrogenase [Providencia rettgeri] 
gi|490376857|ref|WP_004256456.1|	histidinol-phosphate aminotransferase [Providencia rettgeri] 
gi|490376860|ref|WP_004256459.1|	imidazoleglycerol-phosphate dehydratase [Providencia rettgeri] 
gi|490376864|ref|WP_004256463.1|	imidazole glycerol phosphate synthase [Providencia rettgeri] 
gi|490376865|ref|WP_004256464.1|	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase [Providencia rettgeri] 
gi|490376866|ref|WP_004256465.1|	imidazole glycerol phosphate synthase [Providencia rettgeri] 
gi|490376867|ref|WP_004256466.1|	phosphoribosyl-AMP cyclohydrolase [Providencia rettgeri] 
gi|490376868|ref|WP_004256467.1|	ABC transporter substrate-binding protein [Providencia rettgeri] 
gi|490376869|ref|WP_004256468.1|	fatty-acid--CoA ligase [Providencia rettgeri] 
gi|490376870|ref|WP_004256469.1|	hypothetical protein [Providencia rettgeri] 
gi|490376871|ref|WP_004256470.1|	hypothetical protein [Providencia rettgeri] 
gi|490376874|ref|WP_004256473.1|	antibiotic acetyltransferase [Providencia rettgeri] 
gi|490376876|ref|WP_004256475.1|	metalloprotease StcE [Providencia rettgeri] 
gi|490376879|ref|WP_004256478.1|	MFS transporter [Providencia rettgeri] 
gi|490376882|ref|WP_004256481.1|	6-phosphogluconate dehydrogenase [Providencia rettgeri] 
gi|490376885|ref|WP_004256484.1|	membrane protein [Providencia rettgeri] 
gi|490376887|ref|WP_004256486.1|	hypothetical protein [Providencia rettgeri] 
gi|490376891|ref|WP_004256490.1|	protein AsmA [Providencia rettgeri] 
gi|490376893|ref|WP_004256492.1|	deoxycytidine triphosphate deaminase [Providencia rettgeri] 
gi|490376896|ref|WP_004256495.1|	uridine/cytidine kinase [Providencia rettgeri] 
gi|490376898|ref|WP_004256497.1|	peptidase M48 [Providencia rettgeri] 
gi|490376902|ref|WP_004256501.1|	LemA protein [Providencia rettgeri] 
gi|490376907|ref|WP_004256506.1|	ATPase [Providencia rettgeri] 
gi|490376910|ref|WP_004256509.1|	methionyl-tRNA synthetase [Providencia rettgeri] 
gi|490376913|ref|WP_004256512.1|	membrane protein [Providencia rettgeri] 
gi|490376915|ref|WP_004256514.1|	membrane protein [Providencia rettgeri] 
gi|490376917|ref|WP_004256516.1|	cytidine deaminase [Providencia rettgeri] 
gi|490376919|ref|WP_004256518.1|	hypothetical protein [Providencia rettgeri] 
gi|490376920|ref|WP_004256519.1|	hypothetical protein [Providencia rettgeri] 
gi|490376922|ref|WP_004256521.1|	serine protease subtilase family [Providencia rettgeri] 
gi|490376924|ref|WP_004256523.1|	serine protease subtilase family [Providencia rettgeri] 
gi|490376927|ref|WP_004256526.1|	hypothetical protein [Providencia rettgeri] 
gi|490376930|ref|WP_004256529.1|	trigger factor [Providencia rettgeri] 
gi|490376932|ref|WP_004256531.1|	hypothetical protein [Providencia rettgeri] 
gi|490376934|ref|WP_004256533.1|	hypothetical protein [Providencia rettgeri] 
gi|490376937|ref|WP_004256536.1|	hypothetical protein [Providencia rettgeri] 
gi|490376942|ref|WP_004256541.1|	malate dehydrogenase [Providencia rettgeri] 
gi|490376945|ref|WP_004256544.1|	protease [Providencia rettgeri] 
gi|490376947|ref|WP_004256546.1|	hypothetical protein [Providencia rettgeri] 
gi|490376949|ref|WP_004256548.1|	transcriptional regulator [Providencia rettgeri] 
gi|490376951|ref|WP_004256550.1|	PTS sugar transporter subunit IIA [Providencia rettgeri] 
gi|490376955|ref|WP_004256554.1|	phospho-glycosyltransferase [Providencia rettgeri] 
gi|490376958|ref|WP_004256557.1|	endoxylanase [Providencia rettgeri] 
gi|490376960|ref|WP_004256559.1|	vancomycin high temperature exclusion protein [Providencia rettgeri] 
gi|490376961|ref|WP_004256560.1|	membrane protein [Providencia rettgeri] 
gi|490376962|ref|WP_004256561.1|	GTP cyclohydrolase I [Providencia rettgeri] 
gi|490376963|ref|WP_004256562.1|	molybdopterin biosynthesis protein MoeA [Providencia rettgeri] 
gi|490376964|ref|WP_004256563.1|	molybdopterin-synthase adenylyltransferase [Providencia rettgeri] 
gi|490376966|ref|WP_004256565.1|	hypothetical protein [Providencia rettgeri] 
gi|490376968|ref|WP_004256567.1|	heme ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490376970|ref|WP_004256569.1|	acetyltransferase [Providencia rettgeri] 
gi|490376971|ref|WP_004256570.1|	LOG family protein [Providencia rettgeri] 
gi|490376973|ref|WP_004256572.1|	threonine transporter RhtB [Providencia rettgeri] 
gi|490376974|ref|WP_004256573.1|	DNA starvation/stationary phase protection protein Dps [Providencia rettgeri] 
gi|490376975|ref|WP_004256574.1|	ATP-dependent DNA helicase DinG [Providencia rettgeri] 
gi|490376991|ref|WP_004256590.1|	hypothetical protein [Providencia rettgeri] 
gi|490376994|ref|WP_004256593.1|	hypothetical protein [Providencia rettgeri] 
gi|490376997|ref|WP_004256596.1|	3-mercaptopyruvate sulfurtransferase [Providencia rettgeri] 
gi|490376999|ref|WP_004256598.1|	membrane protein [Providencia rettgeri] 
gi|490377004|ref|WP_004256603.1|	tRNA-dihydrouridine synthase C [Providencia rettgeri] 
gi|490377007|ref|WP_004256606.1|	RNA helicase [Providencia rettgeri] 
gi|490377011|ref|WP_004256610.1|	transcriptional regulator [Providencia rettgeri] 
gi|490377052|ref|WP_004256651.1|	transporter [Providencia rettgeri] 
gi|490377055|ref|WP_004256654.1|	multidrug ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490377058|ref|WP_004256657.1|	membrane protein [Providencia rettgeri] 
gi|490377061|ref|WP_004256660.1|	membrane protein [Providencia rettgeri] 
gi|490377065|ref|WP_004256664.1|	membrane protein [Providencia rettgeri] 
gi|490377069|ref|WP_004256668.1|	molybdopterin guanine dinucleotide biosynthesis protein MoaE [Providencia rettgeri] 
gi|490377073|ref|WP_004256672.1|	molybdopterin synthase small subunit [Providencia rettgeri] 
gi|490377075|ref|WP_004256674.1|	molybdenum cofactor biosynthesis protein MoaC [Providencia rettgeri] 
gi|490377078|ref|WP_004256677.1|	molybdenum cofactor biosynthesis protein A [Providencia rettgeri] 
gi|490377079|ref|WP_004256678.1|	hypothetical protein [Providencia rettgeri] 
gi|490377081|ref|WP_004256680.1|	hypothetical protein [Providencia rettgeri] 
gi|490377082|ref|WP_004256681.1|	excinuclease ABC subunit B [Providencia rettgeri] 
gi|490377083|ref|WP_004256682.1|	dithiobiotin synthetase [Providencia rettgeri] 
gi|490377084|ref|WP_004256683.1|	biotin biosynthesis protein BioC [Providencia rettgeri] 
gi|490377085|ref|WP_004256684.1|	8-amino-7-oxononanoate synthase [Providencia rettgeri] 
gi|490377087|ref|WP_004256686.1|	biotin synthase [Providencia rettgeri] 
gi|490377089|ref|WP_004256688.1|	adenosylmethionine--8-amino-7-oxononanoate aminotransferase [Providencia rettgeri] 
gi|490377090|ref|WP_004256689.1|	6-phosphogluconolactonase [Providencia rettgeri] 
