gi|490456691|ref|WP_004327459.1|	hypothetical protein partial [Alistipes putredinis] 
gi|490457420|ref|WP_004328159.1|	hypothetical protein [Alistipes putredinis] 
gi|490457421|ref|WP_004328160.1|	hypothetical protein [Alistipes putredinis] 
gi|490457422|ref|WP_004328161.1|	hypothetical protein [Alistipes putredinis] 
gi|490457423|ref|WP_004328162.1|	chemotaxis protein CheY [Alistipes putredinis] 
gi|490457424|ref|WP_004328163.1|	hypothetical protein [Alistipes putredinis] 
gi|490457425|ref|WP_004328164.1|	hypothetical protein [Alistipes putredinis] 
gi|490457426|ref|WP_004328165.1|	phospholipase [Alistipes putredinis] 
gi|490457427|ref|WP_004328166.1|	phenylalanyl-tRNA synthetase subunit alpha [Alistipes putredinis] 
gi|490457428|ref|WP_004328167.1|	hypothetical protein [Alistipes putredinis] 
gi|490457429|ref|WP_004328168.1|	peptidase [Alistipes putredinis] 
gi|490457430|ref|WP_004328169.1|	MULTISPECIES: rRNA maturation factor [Alistipes] 
gi|490457432|ref|WP_004328170.1|	hypothetical protein [Alistipes putredinis] 
gi|490457433|ref|WP_004328171.1|	hypothetical protein [Alistipes putredinis] 
gi|490457434|ref|WP_004328172.1|	hypothetical protein [Alistipes putredinis] 
gi|490457435|ref|WP_004328173.1|	tRNA uridine 5-carboxymethylaminomethyl modification protein [Alistipes putredinis] 
gi|490457436|ref|WP_004328174.1|	MULTISPECIES: branched-chain amino acid aminotransferase [Alistipes] 
gi|490457437|ref|WP_004328175.1|	methionyl-tRNA synthetase [Alistipes putredinis] 
gi|490457438|ref|WP_004328176.1|	recombination protein RecJ [Alistipes putredinis] 
gi|490457439|ref|WP_004328177.1|	MULTISPECIES: lipoate-protein ligase B [Alistipes] 
gi|490457440|ref|WP_004328178.1|	MULTISPECIES: lipoyl synthase [Alistipes] 
gi|490457441|ref|WP_004328179.1|	UDP-galactose-4-epimerase [Alistipes putredinis] 
gi|490457442|ref|WP_004328180.1|	MULTISPECIES: 16S rRNA methyltransferase [Alistipes] 
gi|490457443|ref|WP_004328181.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457444|ref|WP_004328182.1|	glycosyltransferase [Alistipes putredinis] 
gi|490457445|ref|WP_004328183.1|	hypothetical protein [Alistipes putredinis] 
gi|490457446|ref|WP_004328184.1|	AraC family transcriptional regulator [Alistipes putredinis] 
gi|490457447|ref|WP_004328185.1|	hypothetical protein [Alistipes putredinis] 
gi|490457448|ref|WP_004328186.1|	hypothetical protein [Alistipes putredinis] 
gi|490457449|ref|WP_004328187.1|	hypothetical protein [Alistipes putredinis] 
gi|490457450|ref|WP_004328188.1|	MULTISPECIES: ribonuclease HII [Alistipes] 
gi|490457451|ref|WP_004328189.1|	MULTISPECIES: GTP cyclohydrolase [Alistipes] 
gi|490457452|ref|WP_004328190.1|	deoxyribonucleoside-triphosphatase [Alistipes putredinis] 
gi|490457453|ref|WP_004328191.1|	phosphoserine phosphatase [Alistipes putredinis] 
gi|490457454|ref|WP_004328192.1|	MULTISPECIES: nitroreductase [Alistipes] 
gi|490457455|ref|WP_004328193.1|	hypothetical protein [Alistipes putredinis] 
gi|490457456|ref|WP_004328194.1|	MULTISPECIES: peptidyl-tRNA hydrolase [Alistipes] 
gi|490457457|ref|WP_004328195.1|	MULTISPECIES: 50S ribosomal protein L25 [Alistipes] 
gi|490457458|ref|WP_004328196.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457459|ref|WP_004328197.1|	hypothetical protein [Alistipes putredinis] 
gi|490457460|ref|WP_004328198.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457461|ref|WP_004328199.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457462|ref|WP_004328200.1|	peptidase [Alistipes putredinis] 
gi|490457463|ref|WP_004328201.1|	hypothetical protein [Alistipes putredinis] 
gi|490457464|ref|WP_004328202.1|	hypothetical protein [Alistipes putredinis] 
gi|490457465|ref|WP_004328203.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457466|ref|WP_004328204.1|	hypothetical protein [Alistipes putredinis] 
gi|490457467|ref|WP_004328205.1|	ABC transporter substrate-binding protein [Alistipes putredinis] 
gi|490457468|ref|WP_004328206.1|	MULTISPECIES: magnesium transporter [Alistipes] 
gi|490457469|ref|WP_004328207.1|	hypothetical protein [Alistipes putredinis] 
gi|490457470|ref|WP_004328208.1|	hypothetical protein [Alistipes putredinis] 
gi|490457471|ref|WP_004328209.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457472|ref|WP_004328210.1|	hypothetical protein [Alistipes putredinis] 
gi|490457473|ref|WP_004328211.1|	hypothetical protein [Alistipes putredinis] 
gi|490457474|ref|WP_004328212.1|	queuine tRNA-ribosyltransferase [Alistipes putredinis] 
gi|490457477|ref|WP_004328215.1|	MULTISPECIES: permease [Alistipes] 
gi|490457478|ref|WP_004328216.1|	radical SAM protein [Alistipes putredinis] 
gi|490457480|ref|WP_004328218.1|	hypothetical protein [Alistipes putredinis] 
gi|490457482|ref|WP_004328219.1|	ribosomal large subunit pseudouridine synthase D [Alistipes putredinis] 
gi|490457483|ref|WP_004328220.1|	hypothetical protein [Alistipes putredinis] 
gi|490457484|ref|WP_004328221.1|	hypothetical protein [Alistipes putredinis] 
gi|490457485|ref|WP_004328222.1|	hypothetical protein [Alistipes putredinis] 
gi|490457486|ref|WP_004328223.1|	hypothetical protein [Alistipes putredinis] 
gi|490457487|ref|WP_004328224.1|	hypothetical protein [Alistipes putredinis] 
gi|490457488|ref|WP_004328225.1|	hypothetical protein [Alistipes putredinis] 
gi|490457489|ref|WP_004328226.1|	50S ribosomal protein L11 methyltransferase [Alistipes putredinis] 
gi|490457490|ref|WP_004328227.1|	hypothetical protein [Alistipes putredinis] 
gi|490457491|ref|WP_004328228.1|	integrase [Alistipes putredinis] 
gi|490457492|ref|WP_004328229.1|	cytosine deaminase [Alistipes putredinis] 
gi|490457494|ref|WP_004328230.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457495|ref|WP_004328231.1|	MULTISPECIES: ABC transporter permease [Alistipes] 
gi|490457496|ref|WP_004328232.1|	MULTISPECIES: ribosome-binding factor A [Alistipes] 
gi|490457497|ref|WP_004328233.1|	hisitdine kinase [Alistipes putredinis] 
gi|490457498|ref|WP_004328234.1|	hypothetical protein [Alistipes putredinis] 
gi|490457499|ref|WP_004328235.1|	hypothetical protein [Alistipes putredinis] 
gi|490457500|ref|WP_004328236.1|	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase [Alistipes putredinis] 
gi|490457501|ref|WP_004328237.1|	DNA polymerase III subunit delta [Alistipes putredinis] 
gi|490457502|ref|WP_004328238.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457503|ref|WP_004328239.1|	membrane protein [Alistipes putredinis] 
gi|490457504|ref|WP_004328240.1|	hypothetical protein [Alistipes putredinis] 
gi|490457505|ref|WP_004328241.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457506|ref|WP_004328242.1|	hypothetical protein [Alistipes putredinis] 
gi|490457507|ref|WP_004328243.1|	hypothetical protein [Alistipes putredinis] 
gi|490457508|ref|WP_004328244.1|	hypothetical protein [Alistipes putredinis] 
gi|490457509|ref|WP_004328245.1|	hypothetical protein [Alistipes putredinis] 
gi|490457510|ref|WP_004328246.1|	hypothetical protein [Alistipes putredinis] 
gi|490457511|ref|WP_004328247.1|	hypothetical protein [Alistipes putredinis] 
gi|490457512|ref|WP_004328248.1|	thiol:disulfide interchange protein [Alistipes putredinis] 
gi|490457513|ref|WP_004328249.1|	hypothetical protein [Alistipes putredinis] 
gi|490457514|ref|WP_004328250.1|	hypothetical protein [Alistipes putredinis] 
gi|490457515|ref|WP_004328251.1|	GTPase HflX [Alistipes putredinis] 
gi|490457516|ref|WP_004328252.1|	uracil phosphoribosyltransferase [Alistipes putredinis] 
gi|490457517|ref|WP_004328253.1|	phosphoglycerol transferase [Alistipes putredinis] 
gi|490457518|ref|WP_004328254.1|	chemotaxis protein CheY [Alistipes putredinis] 
gi|490457519|ref|WP_004328255.1|	histidine kinase [Alistipes putredinis] 
gi|490457520|ref|WP_004328256.1|	multidrug ABC transporter substrate-binding protein [Alistipes putredinis] 
gi|490457521|ref|WP_004328257.1|	macrolide ABC transporter ATP-binding protein [Alistipes putredinis] 
gi|490457522|ref|WP_004328258.1|	hemolysin D [Alistipes putredinis] 
gi|490457523|ref|WP_004328259.1|	MULTISPECIES: transporter [Alistipes] 
gi|490457524|ref|WP_004328260.1|	hypothetical protein [Alistipes putredinis] 
gi|490457525|ref|WP_004328261.1|	hypothetical protein [Alistipes putredinis] 
gi|490457527|ref|WP_004328263.1|	MULTISPECIES: ribonuclease P [Alistipes] 
gi|490457529|ref|WP_004328265.1|	hypothetical protein [Alistipes putredinis] 
gi|490457532|ref|WP_004328267.1|	uroporphyrinogen-III synthase [Alistipes putredinis] 
gi|490457533|ref|WP_004328268.1|	hypothetical protein [Alistipes putredinis] 
gi|490457534|ref|WP_004328269.1|	histidine kinase [Alistipes putredinis] 
gi|490457535|ref|WP_004328270.1|	peptidase [Alistipes putredinis] 
gi|490457536|ref|WP_004328271.1|	hypothetical protein [Alistipes putredinis] 
gi|490457537|ref|WP_004328272.1|	4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Alistipes putredinis] 
gi|490457538|ref|WP_004328273.1|	MULTISPECIES: cytidylate kinase [Alistipes] 
gi|490457539|ref|WP_004328274.1|	MULTISPECIES: threonine transporter RhtB [Alistipes] 
gi|490457540|ref|WP_004328275.1|	hypothetical protein [Alistipes putredinis] 
gi|490457541|ref|WP_004328276.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457542|ref|WP_004328277.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457544|ref|WP_004328278.1|	hypothetical protein [Alistipes putredinis] 
gi|490457545|ref|WP_004328279.1|	hypothetical protein [Alistipes putredinis] 
gi|490457546|ref|WP_004328280.1|	hypothetical protein [Alistipes putredinis] 
gi|490457547|ref|WP_004328281.1|	hypothetical protein [Alistipes putredinis] 
gi|490457548|ref|WP_004328282.1|	hypothetical protein [Alistipes putredinis] 
gi|490457549|ref|WP_004328283.1|	peptidase [Alistipes putredinis] 
gi|490457550|ref|WP_004328284.1|	hypothetical protein [Alistipes putredinis] 
gi|490457551|ref|WP_004328285.1|	endonuclease V [Alistipes putredinis] 
gi|490457552|ref|WP_004328286.1|	hypothetical protein [Alistipes putredinis] 
gi|490457553|ref|WP_004328287.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457554|ref|WP_004328288.1|	aminotransferase class III [Alistipes putredinis] 
gi|490457555|ref|WP_004328289.1|	rRNA methyltransferase [Alistipes putredinis] 
gi|490457556|ref|WP_004328290.1|	GTPase RsgA [Alistipes putredinis] 
gi|490457557|ref|WP_004328291.1|	hypothetical protein [Alistipes putredinis] 
gi|490457558|ref|WP_004328292.1|	hypothetical protein [Alistipes putredinis] 
gi|490457559|ref|WP_004328293.1|	hypothetical protein [Alistipes putredinis] 
gi|490457560|ref|WP_004328294.1|	hypothetical protein [Alistipes putredinis] 
gi|490457561|ref|WP_004328295.1|	hypothetical protein [Alistipes putredinis] 
gi|490457562|ref|WP_004328296.1|	MULTISPECIES: thymidine kinase [Alistipes] 
gi|490457563|ref|WP_004328297.1|	MULTISPECIES: UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Alistipes] 
gi|490457564|ref|WP_004328298.1|	hypothetical protein [Alistipes putredinis] 
gi|490457565|ref|WP_004328299.1|	hypothetical protein [Alistipes putredinis] 
gi|490457566|ref|WP_004328300.1|	MULTISPECIES: 50S ribosomal protein L34 [Alistipes] 
gi|490457567|ref|WP_004328301.1|	hypothetical protein [Alistipes putredinis] 
gi|490457568|ref|WP_004328302.1|	hypothetical protein [Alistipes putredinis] 
gi|490457569|ref|WP_004328303.1|	hypothetical protein [Alistipes putredinis] 
gi|490457570|ref|WP_004328304.1|	hypothetical protein [Alistipes putredinis] 
gi|490457571|ref|WP_004328305.1|	elongation factor G [Alistipes putredinis] 
gi|490457572|ref|WP_004328306.1|	1,4-dihydroxy-6-naphthoate synthase [Alistipes putredinis] 
gi|490457573|ref|WP_004328307.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457574|ref|WP_004328308.1|	hypothetical protein [Alistipes putredinis] 
gi|490457575|ref|WP_004328309.1|	Xaa-Pro aminopeptidase [Alistipes putredinis] 
gi|490457576|ref|WP_004328310.1|	hypothetical protein [Alistipes putredinis] 
gi|490457578|ref|WP_004328312.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457580|ref|WP_004328314.1|	hypothetical protein [Alistipes putredinis] 
gi|490457582|ref|WP_004328315.1|	hypothetical protein [Alistipes putredinis] 
gi|490457583|ref|WP_004328316.1|	hypothetical protein [Alistipes putredinis] 
gi|490457584|ref|WP_004328317.1|	hypothetical protein [Alistipes putredinis] 
gi|490457585|ref|WP_004328318.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457586|ref|WP_004328319.1|	hypothetical protein [Alistipes putredinis] 
gi|490457587|ref|WP_004328320.1|	hypothetical protein [Alistipes putredinis] 
gi|490457588|ref|WP_004328321.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457589|ref|WP_004328322.1|	hypothetical protein [Alistipes putredinis] 
gi|490457590|ref|WP_004328323.1|	hypothetical protein [Alistipes putredinis] 
gi|490457591|ref|WP_004328324.1|	hypothetical protein [Alistipes putredinis] 
gi|490457592|ref|WP_004328325.1|	hypothetical protein [Alistipes putredinis] 
gi|490457593|ref|WP_004328326.1|	hypothetical protein [Alistipes putredinis] 
gi|490457594|ref|WP_004328327.1|	hypothetical protein [Alistipes putredinis] 
gi|490457596|ref|WP_004328328.1|	hypothetical protein [Alistipes putredinis] 
gi|490457597|ref|WP_004328329.1|	hypothetical protein [Alistipes putredinis] 
gi|490457598|ref|WP_004328330.1|	hypothetical protein [Alistipes putredinis] 
gi|490457599|ref|WP_004328331.1|	hypothetical protein [Alistipes putredinis] 
gi|490457600|ref|WP_004328332.1|	recombinase XerD [Alistipes putredinis] 
gi|490456705|ref|WP_004327472.1|	hypothetical protein [Alistipes putredinis] 
gi|490457601|ref|WP_004328333.1|	hypothetical protein [Alistipes putredinis] 
gi|490457602|ref|WP_004328334.1|	hypothetical protein [Alistipes putredinis] 
gi|490457603|ref|WP_004328335.1|	collagenase [Alistipes putredinis] 
gi|490457604|ref|WP_004328336.1|	isoprenyl synthetase [Alistipes putredinis] 
gi|490457605|ref|WP_004328337.1|	hypothetical protein [Alistipes putredinis] 
gi|490457606|ref|WP_004328338.1|	glucokinase [Alistipes putredinis] 
gi|490457607|ref|WP_004328339.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457608|ref|WP_004328340.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457609|ref|WP_004328341.1|	hypothetical protein [Alistipes putredinis] 
gi|490457610|ref|WP_004328342.1|	ATP-dependent DNA helicase RecG [Alistipes putredinis] 
gi|490457611|ref|WP_004328343.1|	hypothetical protein [Alistipes putredinis] 
gi|490457612|ref|WP_004328344.1|	hypothetical protein [Alistipes putredinis] 
gi|490457613|ref|WP_004328345.1|	hypothetical protein [Alistipes putredinis] 
gi|490457614|ref|WP_004328346.1|	beta-galactosidase [Alistipes putredinis] 
gi|490457615|ref|WP_004328347.1|	hypothetical protein [Alistipes putredinis] 
gi|490457616|ref|WP_004328348.1|	membrane protein [Alistipes putredinis] 
gi|490457617|ref|WP_004328349.1|	MULTISPECIES: acriflavin resistance protein [Alistipes] 
gi|490457618|ref|WP_004328350.1|	MULTISPECIES: aminoglycoside transporter [Alistipes] 
gi|490457619|ref|WP_004328351.1|	membrane protein [Alistipes putredinis] 
gi|490457620|ref|WP_004328352.1|	recombinase XerD [Alistipes putredinis] 
gi|490457621|ref|WP_004328353.1|	hypothetical protein [Alistipes putredinis] 
gi|490457622|ref|WP_004328354.1|	hypothetical protein [Alistipes putredinis] 
gi|490457623|ref|WP_004328355.1|	hypothetical protein [Alistipes putredinis] 
gi|490457624|ref|WP_004328356.1|	hypothetical protein [Alistipes putredinis] 
gi|490457625|ref|WP_004328357.1|	hypothetical protein [Alistipes putredinis] 
gi|490457626|ref|WP_004328358.1|	hypothetical protein [Alistipes putredinis] 
gi|490457627|ref|WP_004328359.1|	hypothetical protein [Alistipes putredinis] 
gi|490457628|ref|WP_004328360.1|	hypothetical protein [Alistipes putredinis] 
gi|490457629|ref|WP_004328361.1|	hypothetical protein [Alistipes putredinis] 
gi|490457630|ref|WP_004328362.1|	hypothetical protein [Alistipes putredinis] 
gi|490457631|ref|WP_004328363.1|	hypothetical protein [Alistipes putredinis] 
gi|490457632|ref|WP_004328364.1|	hypothetical protein [Alistipes putredinis] 
gi|490457633|ref|WP_004328365.1|	hypothetical protein [Alistipes putredinis] 
gi|490457634|ref|WP_004328366.1|	hypothetical protein [Alistipes putredinis] 
gi|490457635|ref|WP_004328367.1|	hypothetical protein [Alistipes putredinis] 
gi|490457636|ref|WP_004328368.1|	hypothetical protein [Alistipes putredinis] 
gi|490457637|ref|WP_004328369.1|	AraC family transcriptional regulator [Alistipes putredinis] 
gi|490457638|ref|WP_004328370.1|	hypothetical protein [Alistipes putredinis] 
gi|490457640|ref|WP_004328372.1|	hypothetical protein [Alistipes putredinis] 
gi|490457642|ref|WP_004328374.1|	hypothetical protein [Alistipes putredinis] 
gi|490457644|ref|WP_004328376.1|	beta-lactamase [Alistipes putredinis] 
gi|490457646|ref|WP_004328377.1|	phosphoglyceromutase [Alistipes putredinis] 
gi|490457647|ref|WP_004328378.1|	2-hydroxyacid dehydrogenase [Alistipes putredinis] 
gi|490457648|ref|WP_004328379.1|	hypothetical protein [Alistipes putredinis] 
gi|490457649|ref|WP_004328380.1|	drug:proton antiporter [Alistipes putredinis] 
gi|490457650|ref|WP_004328381.1|	adenine glycosylase [Alistipes putredinis] 
gi|490457651|ref|WP_004328382.1|	transporter [Alistipes putredinis] 
gi|490457652|ref|WP_004328383.1|	MULTISPECIES: histidine kinase [Alistipes] 
gi|490457653|ref|WP_004328384.1|	hypothetical protein [Alistipes putredinis] 
gi|490457654|ref|WP_004328385.1|	hypothetical protein [Alistipes putredinis] 
gi|490457655|ref|WP_004328386.1|	ribonucleoside-diphosphate reductase [Alistipes putredinis] 
gi|490457656|ref|WP_004328387.1|	MULTISPECIES: endoribonuclease L-PSP [Alistipes] 
gi|490457658|ref|WP_004328388.1|	hypothetical protein [Alistipes putredinis] 
gi|490457659|ref|WP_004328389.1|	hypothetical protein [Alistipes putredinis] 
gi|490457660|ref|WP_004328390.1|	heat-shock protein [Alistipes putredinis] 
gi|490457661|ref|WP_004328391.1|	hypothetical protein [Alistipes putredinis] 
gi|490457662|ref|WP_004328392.1|	coproporphyrinogen III oxidase [Alistipes putredinis] 
gi|490457663|ref|WP_004328393.1|	hypothetical protein [Alistipes putredinis] 
gi|490457664|ref|WP_004328394.1|	hypothetical protein [Alistipes putredinis] 
gi|490457665|ref|WP_004328395.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457666|ref|WP_004328396.1|	4-alpha-glucanotransferase [Alistipes putredinis] 
gi|490457667|ref|WP_004328397.1|	MULTISPECIES: alpha-amylase [Alistipes] 
gi|490457668|ref|WP_004328398.1|	MULTISPECIES: DNA-binding protein [Alistipes] 
gi|490457669|ref|WP_004328399.1|	MULTISPECIES: lipid kinase [Alistipes] 
gi|490457670|ref|WP_004328400.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457671|ref|WP_004328401.1|	hypothetical protein [Alistipes putredinis] 
gi|490457672|ref|WP_004328402.1|	MULTISPECIES: polynucleotide phosphorylase [Alistipes] 
gi|490457673|ref|WP_004328403.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457674|ref|WP_004328404.1|	hypothetical protein [Alistipes putredinis] 
gi|490457675|ref|WP_004328405.1|	hypothetical protein [Alistipes putredinis] 
gi|490457676|ref|WP_004328406.1|	deoxyribose-phosphate aldolase [Alistipes putredinis] 
gi|490457677|ref|WP_004328407.1|	pirin [Alistipes putredinis] 
gi|490457678|ref|WP_004328408.1|	phosphoenolpyruvate carboxykinase [Alistipes putredinis] 
gi|490457679|ref|WP_004328409.1|	sodium:proton antiporter [Alistipes putredinis] 
gi|490457680|ref|WP_004328410.1|	hypothetical protein [Alistipes putredinis] 
gi|490457681|ref|WP_004328411.1|	hypothetical protein [Alistipes putredinis] 
gi|490457682|ref|WP_004328412.1|	hypothetical protein [Alistipes putredinis] 
gi|490457683|ref|WP_004328413.1|	MULTISPECIES: diguanylate cyclase [Alistipes] 
gi|490457684|ref|WP_004328414.1|	MULTISPECIES: tyrosyl-tRNA synthetase [Alistipes] 
gi|490457685|ref|WP_004328415.1|	DNA polymerase III subunit gamma/tau [Alistipes putredinis] 
gi|490457686|ref|WP_004328416.1|	hypothetical protein [Alistipes putredinis] 
gi|490457687|ref|WP_004328417.1|	MULTISPECIES: molecular chaperone ClpB [Alistipes] 
gi|490457688|ref|WP_004328418.1|	8-amino-7-oxononanoate synthase [Alistipes putredinis] 
gi|490457689|ref|WP_004328419.1|	hypothetical protein [Alistipes putredinis] 
gi|490457690|ref|WP_004328420.1|	hypothetical protein [Alistipes putredinis] 
gi|490457691|ref|WP_004328421.1|	MULTISPECIES: 6,7-dimethyl-8-ribityllumazine synthase [Alistipes] 
gi|490457692|ref|WP_004328422.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457693|ref|WP_004328423.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457694|ref|WP_004328424.1|	hypothetical protein [Alistipes putredinis] 
gi|490457695|ref|WP_004328425.1|	hypothetical protein [Alistipes putredinis] 
gi|490457696|ref|WP_004328426.1|	hypothetical protein [Alistipes putredinis] 
gi|490457697|ref|WP_004328427.1|	MULTISPECIES: 50S ribosomal protein L9 [Alistipes] 
gi|490457698|ref|WP_004328428.1|	MULTISPECIES: 30S ribosomal protein S18 [Alistipes] 
gi|490457700|ref|WP_004328430.1|	MULTISPECIES: 30S ribosomal protein S6 [Alistipes] 
gi|490457702|ref|WP_004328431.1|	adenylate kinase [Alistipes putredinis] 
gi|490457703|ref|WP_004328432.1|	thiamine-monophosphate kinase [Alistipes putredinis] 
gi|490457704|ref|WP_004328433.1|	hypothetical protein [Alistipes putredinis] 
gi|490457705|ref|WP_004328434.1|	MULTISPECIES: 30S ribosomal protein S20 [Alistipes] 
gi|490457706|ref|WP_004328435.1|	hypothetical protein [Alistipes putredinis] 
gi|490457707|ref|WP_004328436.1|	hypothetical protein [Alistipes putredinis] 
gi|490457708|ref|WP_004328437.1|	hypothetical protein [Alistipes putredinis] 
gi|490457709|ref|WP_004328438.1|	MULTISPECIES: molecular chaperone GroES [Alistipes] 
gi|490457711|ref|WP_004328439.1|	MULTISPECIES: molecular chaperone GroEL [Alistipes] 
gi|490457712|ref|WP_004328440.1|	hypothetical protein [Alistipes putredinis] 
gi|490457713|ref|WP_004328441.1|	hypothetical protein [Alistipes putredinis] 
gi|490457714|ref|WP_004328442.1|	hypothetical protein [Alistipes putredinis] 
gi|490457715|ref|WP_004328443.1|	hypothetical protein [Alistipes putredinis] 
gi|490457716|ref|WP_004328444.1|	membrane protein [Alistipes putredinis] 
gi|490457717|ref|WP_004328445.1|	hypothetical protein [Alistipes putredinis] 
gi|490457718|ref|WP_004328446.1|	phosphopantothenoylcysteine decarboxylase [Alistipes putredinis] 
gi|490457719|ref|WP_004328447.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457720|ref|WP_004328448.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457721|ref|WP_004328449.1|	hypothetical protein [Alistipes putredinis] 
gi|490457722|ref|WP_004328450.1|	aspartate-semialdehyde dehydrogenase [Alistipes putredinis] 
gi|490457723|ref|WP_004328451.1|	hypothetical protein [Alistipes putredinis] 
gi|490457724|ref|WP_004328452.1|	hypothetical protein [Alistipes putredinis] 
gi|490457725|ref|WP_004328453.1|	hypothetical protein [Alistipes putredinis] 
gi|490457726|ref|WP_004328454.1|	hypothetical protein [Alistipes putredinis] 
gi|490457727|ref|WP_004328455.1|	hypothetical protein [Alistipes putredinis] 
gi|490457728|ref|WP_004328456.1|	MULTISPECIES: ferredoxin-NADP(+) reductase subunit alpha [Alistipes] 
gi|490457729|ref|WP_004328457.1|	MULTISPECIES: dihydropyrimidine dehydrogenase subunit A [Alistipes] 
gi|490457730|ref|WP_004328458.1|	hypothetical protein [Alistipes putredinis] 
gi|490457731|ref|WP_004328459.1|	hypothetical protein [Alistipes putredinis] 
gi|490457732|ref|WP_004328460.1|	hypothetical protein [Alistipes putredinis] 
gi|490457733|ref|WP_004328461.1|	hypothetical protein [Alistipes putredinis] 
gi|490457734|ref|WP_004328462.1|	muramidase [Alistipes putredinis] 
gi|490457735|ref|WP_004328463.1|	hypothetical protein [Alistipes putredinis] 
gi|490457736|ref|WP_004328464.1|	dipeptidyl aminopeptidase [Alistipes putredinis] 
gi|490457737|ref|WP_004328465.1|	methylated-DNA--protein-cysteine methyltransferase [Alistipes putredinis] 
gi|490457738|ref|WP_004328466.1|	rubredoxin [Alistipes putredinis] 
gi|490457739|ref|WP_004328467.1|	MULTISPECIES: elongation factor P [Alistipes] 
gi|490457740|ref|WP_004328468.1|	3-octaprenyl-4-hydroxybenzoate carboxy-lyase [Alistipes putredinis] 
gi|490457741|ref|WP_004328469.1|	hypothetical protein [Alistipes putredinis] 
gi|490457742|ref|WP_004328470.1|	hypothetical protein [Alistipes putredinis] 
gi|490457743|ref|WP_004328471.1|	hypothetical protein [Alistipes putredinis] 
gi|490457744|ref|WP_004328472.1|	hypothetical protein [Alistipes putredinis] 
gi|490457745|ref|WP_004328473.1|	hypothetical protein [Alistipes putredinis] 
gi|490457746|ref|WP_004328474.1|	MULTISPECIES: cardiolipin synthetase [Alistipes] 
gi|490457747|ref|WP_004328475.1|	MULTISPECIES: transcription elongation factor GreA [Alistipes] 
gi|490457748|ref|WP_004328476.1|	hypothetical protein [Alistipes putredinis] 
gi|490457749|ref|WP_004328477.1|	hypothetical protein [Alistipes putredinis] 
gi|490457750|ref|WP_004328478.1|	hypothetical protein [Alistipes putredinis] 
gi|490457751|ref|WP_004328479.1|	TonB-denpendent receptor [Alistipes putredinis] 
gi|490457752|ref|WP_004328480.1|	hypothetical protein [Alistipes putredinis] 
gi|490457753|ref|WP_004328481.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457754|ref|WP_004328482.1|	hypothetical protein [Alistipes putredinis] 
gi|490457756|ref|WP_004328483.1|	MULTISPECIES: malate dehydrogenase [Alistipes] 
gi|490457757|ref|WP_004328484.1|	glycine cleavage system protein H [Alistipes putredinis] 
gi|490457758|ref|WP_004328485.1|	hypothetical protein [Alistipes putredinis] 
gi|490457759|ref|WP_004328486.1|	MULTISPECIES: 2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase [Alistipes] 
gi|490457760|ref|WP_004328487.1|	prolyl endopeptidase [Alistipes putredinis] 
gi|490457761|ref|WP_004328488.1|	hypothetical protein [Alistipes putredinis] 
gi|490457762|ref|WP_004328489.1|	hypothetical protein [Alistipes putredinis] 
gi|490457764|ref|WP_004328490.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457765|ref|WP_004328491.1|	hypothetical protein [Alistipes putredinis] 
gi|490457766|ref|WP_004328492.1|	hypothetical protein [Alistipes putredinis] 
gi|490457767|ref|WP_004328493.1|	hypothetical protein [Alistipes putredinis] 
gi|490457768|ref|WP_004328494.1|	hypothetical protein [Alistipes putredinis] 
