gi|491500698|ref|WP_005358390.1|	hypothetical protein partial [Eubacterium ventriosum] 
gi|491502248|ref|WP_005359929.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502250|ref|WP_005359931.1|	aldose 1-epimerase [Eubacterium ventriosum] 
gi|491502252|ref|WP_005359933.1|	galactose-1-phosphate uridylyltransferase [Eubacterium ventriosum] 
gi|491502253|ref|WP_005359934.1|	galactokinase [Eubacterium ventriosum] 
gi|491502255|ref|WP_005359936.1|	transcriptional regulator [Eubacterium ventriosum] 
gi|491502257|ref|WP_005359938.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502259|ref|WP_005359940.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502260|ref|WP_005359941.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502261|ref|WP_005359942.1|	radical SAM protein [Eubacterium ventriosum] 
gi|491502262|ref|WP_005359943.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502265|ref|WP_005359946.1|	phosphoribosylformylglycinamidine synthase [Eubacterium ventriosum] 
gi|491502267|ref|WP_005359948.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502269|ref|WP_005359950.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502271|ref|WP_005359952.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502273|ref|WP_005359954.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502275|ref|WP_005359956.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502277|ref|WP_005359958.1|	dihydroorotase [Eubacterium ventriosum] 
gi|491502279|ref|WP_005359960.1|	orotidine 5'-phosphate decarboxylase [Eubacterium ventriosum] 
gi|491502281|ref|WP_005359962.1|	dihydroorotate dehydrogenase [Eubacterium ventriosum] 
gi|491502282|ref|WP_005359963.1|	diguanylate cyclase [Eubacterium ventriosum] 
gi|491502285|ref|WP_005359966.1|	orotate phosphoribosyltransferase [Eubacterium ventriosum] 
gi|491502286|ref|WP_005359967.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502288|ref|WP_005359969.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502291|ref|WP_005359972.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502293|ref|WP_005359974.1|	N5-carboxyaminoimidazole ribonucleotide mutase [Eubacterium ventriosum] 
gi|491502294|ref|WP_005359975.1|	phosphoribosylaminoimidazole synthetase [Eubacterium ventriosum] 
gi|491502295|ref|WP_005359976.1|	phosphoribosylglycinamide formyltransferase [Eubacterium ventriosum] 
gi|491502298|ref|WP_005359979.1|	phosphoribosylamine--glycine ligase [Eubacterium ventriosum] 
gi|491502299|ref|WP_005359980.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502301|ref|WP_005359982.1|	ATP-dependent Clp protease ATP-binding protein [Eubacterium ventriosum] 
gi|491502304|ref|WP_005359985.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502306|ref|WP_005359987.1|	DNA repair protein RadA [Eubacterium ventriosum] 
gi|491502311|ref|WP_005359992.1|	isoleucyl-tRNA synthase [Eubacterium ventriosum] 
gi|491502313|ref|WP_005359994.1|	glycosyl transferase family 35 [Eubacterium ventriosum] 
gi|491502315|ref|WP_005359996.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502316|ref|WP_005359997.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502317|ref|WP_005359998.1|	glycerol kinase [Eubacterium ventriosum] 
gi|491502322|ref|WP_005360003.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502324|ref|WP_005360005.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502325|ref|WP_005360006.1|	hypothetical protein partial [Eubacterium ventriosum] 
gi|491502327|ref|WP_005360008.1|	hypothetical protein partial [Eubacterium ventriosum] 
gi|491502329|ref|WP_005360010.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502331|ref|WP_005360012.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502332|ref|WP_005360013.1|	phosphoadenosine phosphosulfate reductase [Eubacterium ventriosum] 
gi|491502335|ref|WP_005360016.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502337|ref|WP_005360018.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502338|ref|WP_005360019.1|	cysteine desulfurase [Eubacterium ventriosum] 
gi|491502339|ref|WP_005360020.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502340|ref|WP_005360021.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502358|ref|WP_005360039.1|	hypothetical protein partial [Eubacterium ventriosum] 
gi|491502360|ref|WP_005360041.1|	S-ribosylhomocysteinase [Eubacterium ventriosum] 
gi|491502361|ref|WP_005360042.1|	16S rRNA methyltransferase [Eubacterium ventriosum] 
gi|491502362|ref|WP_005360043.1|	tryptophanyl-tRNA synthetase [Eubacterium ventriosum] 
gi|491502365|ref|WP_005360046.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502366|ref|WP_005360047.1|	fibronectin [Eubacterium ventriosum] 
gi|491502367|ref|WP_005360048.1|	acetyltransferase [Eubacterium ventriosum] 
gi|491502368|ref|WP_005360049.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502369|ref|WP_005360050.1|	DNA topoisomerase [Eubacterium ventriosum] 
gi|491502370|ref|WP_005360051.1|	DNA topoisomerase [Eubacterium ventriosum] 
gi|491502371|ref|WP_005360052.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502373|ref|WP_005360054.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502374|ref|WP_005360055.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502376|ref|WP_005360057.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502378|ref|WP_005360059.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502380|ref|WP_005360061.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502382|ref|WP_005360063.1|	argininosuccinate synthase [Eubacterium ventriosum] 
gi|491502384|ref|WP_005360065.1|	N-acetyl-gamma-glutamyl-phosphate reductase [Eubacterium ventriosum] 
gi|491502386|ref|WP_005360067.1|	ornithine acetyltransferase [Eubacterium ventriosum] 
gi|491502387|ref|WP_005360068.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502389|ref|WP_005360070.1|	acetylglutamate kinase [Eubacterium ventriosum] 
gi|491502390|ref|WP_005360071.1|	acetylornithine aminotransferase [Eubacterium ventriosum] 
gi|491502391|ref|WP_005360072.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502393|ref|WP_005360074.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502395|ref|WP_005360076.1|	ArsR family transcriptional regulator [Eubacterium ventriosum] 
gi|491502396|ref|WP_005360077.1|	histidine kinase [Eubacterium ventriosum] 
gi|491502398|ref|WP_005360079.1|	membrane protein [Eubacterium ventriosum] 
gi|491502400|ref|WP_005360081.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502405|ref|WP_005360086.1|	PhoP family transcriptional regulator [Eubacterium ventriosum] 
gi|491502407|ref|WP_005360088.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502408|ref|WP_005360089.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502410|ref|WP_005360091.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502411|ref|WP_005360092.1|	30S ribosomal protein S20 [Eubacterium ventriosum] 
gi|491502414|ref|WP_005360095.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502416|ref|WP_005360097.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502417|ref|WP_005360098.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502419|ref|WP_005360100.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502424|ref|WP_005360105.1|	response regulator [Eubacterium ventriosum] 
gi|491502426|ref|WP_005360107.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502427|ref|WP_005360108.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502428|ref|WP_005360109.1|	deoxyuridine 5'-triphosphate nucleotidohydrolase [Eubacterium ventriosum] 
gi|491502429|ref|WP_005360110.1|	ribonucleoside-triphosphate reductase activating protein [Eubacterium ventriosum] 
gi|491502430|ref|WP_005360111.1|	GTP-binding protein LepA [Eubacterium ventriosum] 
gi|491502432|ref|WP_005360113.1|	coproporphyrinogen III oxidase [Eubacterium ventriosum] 
gi|491502433|ref|WP_005360114.1|	multidrug transporter MatE [Eubacterium ventriosum] 
gi|491502435|ref|WP_005360116.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502451|ref|WP_005360132.1|	HrcA family transcriptional regulator [Eubacterium ventriosum] 
gi|491502458|ref|WP_005360139.1|	molecular chaperone GrpE [Eubacterium ventriosum] 
gi|491502459|ref|WP_005360140.1|	molecular chaperone DnaK [Eubacterium ventriosum] 
gi|491502460|ref|WP_005360141.1|	molecular chaperone DnaJ [Eubacterium ventriosum] 
gi|491502461|ref|WP_005360142.1|	multidrug transporter MatE [Eubacterium ventriosum] 
gi|491502462|ref|WP_005360143.1|	50S ribosomal protein L11 methyltransferase [Eubacterium ventriosum] 
gi|491502465|ref|WP_005360146.1|	16S rRNA methyltransferase [Eubacterium ventriosum] 
gi|491502475|ref|WP_005360156.1|	cysteine desulfarase [Eubacterium ventriosum] 
gi|491502476|ref|WP_005360157.1|	thiamine biosynthesis protein ThiI [Eubacterium ventriosum] 
gi|491502477|ref|WP_005360158.1|	PTS sugar transporter [Eubacterium ventriosum] 
gi|491502478|ref|WP_005360159.1|	radical SAM protein [Eubacterium ventriosum] 
gi|491502479|ref|WP_005360160.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502480|ref|WP_005360161.1|	Holliday junction resolvase [Eubacterium ventriosum] 
gi|491502481|ref|WP_005360162.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502483|ref|WP_005360164.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502485|ref|WP_005360166.1|	beta-lactamase [Eubacterium ventriosum] 
gi|491502486|ref|WP_005360167.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502488|ref|WP_005360169.1|	O-methyltransferase [Eubacterium ventriosum] 
gi|491502490|ref|WP_005360171.1|	peptidase U32 [Eubacterium ventriosum] 
gi|491502492|ref|WP_005360173.1|	RNA polymerase sigma 70 [Eubacterium ventriosum] 
gi|491502493|ref|WP_005360174.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502494|ref|WP_005360175.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502495|ref|WP_005360176.1|	DNA topoisomerase I [Eubacterium ventriosum] 
gi|491502496|ref|WP_005360177.1|	30S ribosomal protein S2 [Eubacterium ventriosum] 
gi|491502498|ref|WP_005360179.1|	elongation factor Ts [Eubacterium ventriosum] 
gi|491502508|ref|WP_005360189.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502510|ref|WP_005360191.1|	hypothetical protein partial [Eubacterium ventriosum] 
gi|491502514|ref|WP_005360195.1|	hypothetical protein partial [Eubacterium ventriosum] 
gi|491502516|ref|WP_005360197.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502518|ref|WP_005360199.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502520|ref|WP_005360201.1|	DNA-binding protein [Eubacterium ventriosum] 
gi|491502527|ref|WP_005360208.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502528|ref|WP_005360209.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502529|ref|WP_005360210.1|	AraC family transcriptional regulator [Eubacterium ventriosum] 
gi|491502530|ref|WP_005360211.1|	beta-galactosidase [Eubacterium ventriosum] 
gi|491502531|ref|WP_005360212.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502532|ref|WP_005360213.1|	AraC family transcriptional regulator [Eubacterium ventriosum] 
gi|491502533|ref|WP_005360214.1|	MULTISPECIES: ATPase AAA [Eubacterium] 
gi|491502534|ref|WP_005360215.1|	NUDIX hydrolase [Eubacterium ventriosum] 
gi|491502536|ref|WP_005360217.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502537|ref|WP_005360218.1|	N-acetyltransferase GCN5 [Eubacterium ventriosum] 
gi|491502538|ref|WP_005360219.1|	adenylate kinase [Eubacterium ventriosum] 
gi|491502540|ref|WP_005360221.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502542|ref|WP_005360223.1|	MULTISPECIES: signal peptide protein [Clostridiales] 
gi|491502544|ref|WP_005360225.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502546|ref|WP_005360227.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502547|ref|WP_005360228.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502548|ref|WP_005360229.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502549|ref|WP_005360230.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502550|ref|WP_005360231.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502551|ref|WP_005360232.1|	MULTISPECIES: GTP pyrophosphokinase [Clostridiales] 
gi|491502552|ref|WP_005360233.1|	cardiolipin synthase [Eubacterium ventriosum] 
gi|491502553|ref|WP_005360234.1|	MULTISPECIES: citrate synthase [Clostridiales] 
gi|491502554|ref|WP_005360235.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491502555|ref|WP_005360236.1|	phospholipase [Eubacterium ventriosum] 
gi|491502557|ref|WP_005360238.1|	heme response regulator HssR [Eubacterium ventriosum] 
gi|491502558|ref|WP_005360239.1|	histidine kinase [Eubacterium ventriosum] 
gi|491502561|ref|WP_005360242.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502564|ref|WP_005360245.1|	phosphatidylglycerophosphate synthase [Eubacterium ventriosum] 
gi|491502566|ref|WP_005360247.1|	ATPase [Eubacterium ventriosum] 
gi|491502567|ref|WP_005360248.1|	membrane protein [Eubacterium ventriosum] 
gi|491502570|ref|WP_005360251.1|	MULTISPECIES: dihydroxyacetone kinase [Clostridiales] 
gi|491502571|ref|WP_005360252.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491502572|ref|WP_005360253.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502573|ref|WP_005360254.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502574|ref|WP_005360255.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502575|ref|WP_005360256.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491502576|ref|WP_005360257.1|	cardiolipin synthetase [Eubacterium ventriosum] 
gi|491502577|ref|WP_005360258.1|	MULTISPECIES: choloylglycine hydrolase [Clostridiales] 
gi|491502581|ref|WP_005360262.1|	cell division protein FtsH [Eubacterium ventriosum] 
gi|490749256|ref|WP_004611564.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491502585|ref|WP_005360266.1|	LexA family transcriptional regulator [Eubacterium ventriosum] 
gi|491502588|ref|WP_005360269.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502590|ref|WP_005360271.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502593|ref|WP_005360274.1|	recombinase TnpX [Eubacterium ventriosum] 
gi|491502595|ref|WP_005360276.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502609|ref|WP_005360290.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502619|ref|WP_005360299.1|	sugar aldolase [Eubacterium ventriosum] 
gi|491502620|ref|WP_005360300.1|	transketolase [Eubacterium ventriosum] 
gi|491502621|ref|WP_005360301.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502622|ref|WP_005360302.1|	sorbitol dehydrogenase [Eubacterium ventriosum] 
gi|491502624|ref|WP_005360304.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502626|ref|WP_005360306.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502627|ref|WP_005360307.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502628|ref|WP_005360308.1|	PTS galactitol transporter subunit IIC [Eubacterium ventriosum] 
gi|491502629|ref|WP_005360309.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502630|ref|WP_005360310.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502637|ref|WP_005360317.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502638|ref|WP_005360318.1|	fuculose phosphate aldolase [Eubacterium ventriosum] 
gi|491502639|ref|WP_005360319.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502641|ref|WP_005360321.1|	hydrolase [Eubacterium ventriosum] 
gi|491502646|ref|WP_005360326.1|	arsenate reductase [Eubacterium ventriosum] 
gi|491502649|ref|WP_005360329.1|	transposase [Eubacterium ventriosum] 
gi|491502652|ref|WP_005360332.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502654|ref|WP_005360334.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502657|ref|WP_005360337.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502660|ref|WP_005360340.1|	sodium:glutamate symporter [Eubacterium ventriosum] 
gi|491502664|ref|WP_005360344.1|	C4-dicarboxylate ABC transporter substrate-binding protein [Eubacterium ventriosum] 
gi|491502667|ref|WP_005360347.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502670|ref|WP_005360350.1|	ammonia permease [Eubacterium ventriosum] 
gi|491502673|ref|WP_005360353.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502676|ref|WP_005360356.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502680|ref|WP_005360360.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502682|ref|WP_005360362.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502684|ref|WP_005360364.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502686|ref|WP_005360366.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502689|ref|WP_005360368.1|	ABC transporter substrate-binding protein [Eubacterium ventriosum] 
gi|491502695|ref|WP_005360374.1|	ABC transporter permease [Eubacterium ventriosum] 
gi|491502697|ref|WP_005360376.1|	sugar ABC transporter permease [Eubacterium ventriosum] 
gi|491502698|ref|WP_005360377.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502699|ref|WP_005360378.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502700|ref|WP_005360379.1|	flavodoxin [Eubacterium ventriosum] 
gi|491502701|ref|WP_005360380.1|	gamma-carboxymuconolactone decarboxylase [Eubacterium ventriosum] 
gi|491502702|ref|WP_005360381.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502704|ref|WP_005360383.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502705|ref|WP_005360384.1|	antitoxin [Eubacterium ventriosum] 
gi|491502707|ref|WP_005360386.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502708|ref|WP_005360387.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502710|ref|WP_005360389.1|	heptaprenyl diphosphate synthase subunit I [Eubacterium ventriosum] 
gi|491502712|ref|WP_005360391.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502713|ref|WP_005360392.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502715|ref|WP_005360394.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502717|ref|WP_005360396.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502719|ref|WP_005360398.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502720|ref|WP_005360399.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502722|ref|WP_005360401.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502723|ref|WP_005360402.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502725|ref|WP_005360404.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502727|ref|WP_005360406.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502728|ref|WP_005360407.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502731|ref|WP_005360410.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502733|ref|WP_005360412.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502735|ref|WP_005360414.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502737|ref|WP_005360416.1|	esterase [Eubacterium ventriosum] 
gi|491502738|ref|WP_005360417.1|	peptide deformylase [Eubacterium ventriosum] 
gi|491502740|ref|WP_005360419.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502742|ref|WP_005360421.1|	arginase [Eubacterium ventriosum] 
gi|491502744|ref|WP_005360423.1|	NADH-dependent butanol dehydrogenase [Eubacterium ventriosum] 
gi|491502746|ref|WP_005360425.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502748|ref|WP_005360427.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502749|ref|WP_005360428.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502751|ref|WP_005360430.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502753|ref|WP_005360432.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502755|ref|WP_005360434.1|	diguanylate cyclase [Eubacterium ventriosum] 
gi|491502757|ref|WP_005360436.1|	transporter [Eubacterium ventriosum] 
gi|491502759|ref|WP_005360437.1|	DNA polymerase subunit beta [Eubacterium ventriosum] 
gi|491502770|ref|WP_005360448.1|	DNA-binding protein [Eubacterium ventriosum] 
gi|491502772|ref|WP_005360450.1|	aminopeptidase [Eubacterium ventriosum] 
gi|491502773|ref|WP_005360451.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502775|ref|WP_005360453.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502777|ref|WP_005360455.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502779|ref|WP_005360457.1|	LysR family transcriptional regulator [Eubacterium ventriosum] 
gi|491502781|ref|WP_005360459.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502782|ref|WP_005360460.1|	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [Eubacterium ventriosum] 
gi|491502784|ref|WP_005360462.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502786|ref|WP_005360464.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502787|ref|WP_005360465.1|	sodium:calcium symporter [Eubacterium ventriosum] 
gi|491502790|ref|WP_005360468.1|	phosphoglycerate mutase [Eubacterium ventriosum] 
gi|491502792|ref|WP_005360470.1|	AraC family transcriptional regulator [Eubacterium ventriosum] 
gi|491502794|ref|WP_005360472.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502795|ref|WP_005360473.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502797|ref|WP_005360475.1|	transcriptional regulator [Eubacterium ventriosum] 
gi|491502798|ref|WP_005360476.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502800|ref|WP_005360478.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502802|ref|WP_005360480.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502804|ref|WP_005360482.1|	PTS lactose transporter subunit IIA [Eubacterium ventriosum] 
gi|491502811|ref|WP_005360489.1|	6-phospho-beta-galactosidase [Eubacterium ventriosum] 
gi|491502813|ref|WP_005360491.1|	PTS sugar transporter subunit IIC [Eubacterium ventriosum] 
gi|491502815|ref|WP_005360493.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502821|ref|WP_005360499.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502825|ref|WP_005360503.1|	phosphoserine phosphatase [Eubacterium ventriosum] 
gi|491502828|ref|WP_005360506.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502830|ref|WP_005360508.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502833|ref|WP_005360511.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502834|ref|WP_005360512.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502841|ref|WP_005360518.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502842|ref|WP_005360519.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502843|ref|WP_005360520.1|	short-chain dehydrogenase [Eubacterium ventriosum] 
gi|491502844|ref|WP_005360521.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502845|ref|WP_005360522.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502846|ref|WP_005360523.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502847|ref|WP_005360524.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502848|ref|WP_005360525.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502850|ref|WP_005360527.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502851|ref|WP_005360528.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502853|ref|WP_005360530.1|	transcription antiterminator BglG [Eubacterium ventriosum] 
gi|491502855|ref|WP_005360532.1|	PTS glucose transporter subunit IIA [Eubacterium ventriosum] 
gi|491502857|ref|WP_005360534.1|	PTS glucose transporter subunit IIBC [Eubacterium ventriosum] 
gi|491502858|ref|WP_005360535.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502860|ref|WP_005360537.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502861|ref|WP_005360538.1|	glucosamine-6-phosphate deaminase [Eubacterium ventriosum] 
gi|491502862|ref|WP_005360539.1|	N-acetylglucosamine-6-phosphate deacetylase [Eubacterium ventriosum] 
gi|491502863|ref|WP_005360540.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502864|ref|WP_005360541.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502865|ref|WP_005360542.1|	F0F1 ATP synthase subunit A [Eubacterium ventriosum] 
gi|491502866|ref|WP_005360543.1|	F0F1 ATP synthase subunit C [Eubacterium ventriosum] 
gi|491502867|ref|WP_005360544.1|	ATP synthase F0 subunit B [Eubacterium ventriosum] 
gi|491502868|ref|WP_005360545.1|	ATP synthase F1 subunit delta [Eubacterium ventriosum] 
gi|491502869|ref|WP_005360546.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502870|ref|WP_005360547.1|	ATP synthase F1 subunit alpha [Eubacterium ventriosum] 
gi|491502872|ref|WP_005360549.1|	F0F1 ATP synthase subunit gamma [Eubacterium ventriosum] 
gi|491502874|ref|WP_005360551.1|	F0F1 ATP synthase subunit beta [Eubacterium ventriosum] 
gi|491502875|ref|WP_005360552.1|	ATP synthase F1 subunit epsilon [Eubacterium ventriosum] 
gi|491502877|ref|WP_005360554.1|	3-oxoacyl-ACP synthase [Eubacterium ventriosum] 
gi|491502879|ref|WP_005360556.1|	acyl carrier protein [Eubacterium ventriosum] 
gi|491502880|ref|WP_005360557.1|	2-nitropropane dioxygenase [Eubacterium ventriosum] 
gi|491502882|ref|WP_005360559.1|	ACP S-malonyltransferase [Eubacterium ventriosum] 
gi|491502884|ref|WP_005360561.1|	3-ketoacyl-ACP reductase [Eubacterium ventriosum] 
gi|491502885|ref|WP_005360562.1|	3-oxoacyl-ACP synthase [Eubacterium ventriosum] 
gi|491502887|ref|WP_005360564.1|	acetyl-CoA carboxylase [Eubacterium ventriosum] 
gi|491502889|ref|WP_005360566.1|	3-hydroxyacyl-ACP dehydratase [Eubacterium ventriosum] 
gi|491502890|ref|WP_005360567.1|	acetyl-CoA carboxylase biotin carboxylase subunit [Eubacterium ventriosum] 
gi|491502891|ref|WP_005360568.1|	acetyl-CoA carboxylase carboxyl transferase subunit beta [Eubacterium ventriosum] 
gi|491502893|ref|WP_005360570.1|	2-nitropropane dioxygenase [Eubacterium ventriosum] 
gi|491502895|ref|WP_005360572.1|	MarR family transcriptional regulator [Eubacterium ventriosum] 
gi|491502900|ref|WP_005360577.1|	DNA damage-inducible protein [Eubacterium ventriosum] 
gi|491502902|ref|WP_005360579.1|	ADP-ribose pyrophosphatase [Eubacterium ventriosum] 
gi|491502904|ref|WP_005360581.1|	hypothetical protein [Eubacterium ventriosum] 
