gi|489924441|ref|WP_003827784.1|	peptide YY [Bifidobacterium breve] 
gi|489925022|ref|WP_003828363.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925025|ref|WP_003828366.1|	putative transposase partial [Bifidobacterium breve] 
gi|489925027|ref|WP_003828368.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925032|ref|WP_003828373.1|	transposase [Bifidobacterium breve] 
gi|489925035|ref|WP_003828376.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925037|ref|WP_003828378.1|	ISMsm8 transposase [Bifidobacterium breve] 
gi|489925039|ref|WP_003828380.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925041|ref|WP_003828382.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925043|ref|WP_003828384.1|	Etk tyrosine kinase [Bifidobacterium breve] 
gi|489925044|ref|WP_003828385.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925045|ref|WP_003828386.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925047|ref|WP_003828388.1|	MULTISPECIES: thioredoxin [Bifidobacterium] 
gi|489925049|ref|WP_003828390.1|	Crp/Fnr family transcriptional regulator [Bifidobacterium breve] 
gi|489925051|ref|WP_003828392.1|	ADP-ribose pyrophosphatase [Bifidobacterium breve] 
gi|489925052|ref|WP_003828393.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925055|ref|WP_003828396.1|	alpha/beta hydrolase family protein [Bifidobacterium breve] 
gi|489925057|ref|WP_003828398.1|	NADH pyrophosphatase [Bifidobacterium breve] 
gi|489925058|ref|WP_003828399.1|	glycine cleavage system protein H [Bifidobacterium breve] 
gi|489925060|ref|WP_003828401.1|	ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489925061|ref|WP_003828402.1|	peptidase S9 [Bifidobacterium breve] 
gi|489925062|ref|WP_003828403.1|	3-isopropylmalate dehydrogenase [Bifidobacterium breve] 
gi|489925063|ref|WP_003828404.1|	ligase [Bifidobacterium breve] 
gi|489925065|ref|WP_003828406.1|	Crp/Fnr family transcriptional regulator [Bifidobacterium breve] 
gi|489925067|ref|WP_003828408.1|	carboxypeptidase [Bifidobacterium breve] 
gi|489925068|ref|WP_003828409.1|	NADH-dependent flavin oxidoreductase [Bifidobacterium breve] 
gi|489925069|ref|WP_003828410.1|	diguanylate cyclase [Bifidobacterium breve] 
gi|489925071|ref|WP_003828412.1|	MULTISPECIES: DeoR faimly transcriptional regulator [Bifidobacterium] 
gi|489925073|ref|WP_003828414.1|	galactose-1-phosphate uridylyltransferase [Bifidobacterium breve] 
gi|489925074|ref|WP_003828415.1|	galactokinase [Bifidobacterium breve] 
gi|489925076|ref|WP_003828417.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925077|ref|WP_003828418.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925079|ref|WP_003828420.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925081|ref|WP_003828422.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925084|ref|WP_003828425.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925086|ref|WP_003828427.1|	RNA methyltransferase [Bifidobacterium breve] 
gi|489925089|ref|WP_003828430.1|	adenine glycosylase [Bifidobacterium breve] 
gi|489925091|ref|WP_003828432.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925094|ref|WP_003828435.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925095|ref|WP_003828436.1|	DNA-directed RNA polymerase subunit beta [Bifidobacterium breve] 
gi|489925097|ref|WP_003828438.1|	DNA-directed RNA polymerase subunit beta' [Bifidobacterium breve] 
gi|489925099|ref|WP_003828440.1|	transglutaminase [Bifidobacterium breve] 
gi|489925100|ref|WP_003828441.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925105|ref|WP_003828446.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925107|ref|WP_003828448.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925108|ref|WP_003828449.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925110|ref|WP_003828451.1|	ATPase AAA [Bifidobacterium breve] 
gi|489925112|ref|WP_003828453.1|	kinase [Bifidobacterium breve] 
gi|489925113|ref|WP_003828454.1|	nuclease [Bifidobacterium breve] 
gi|489925115|ref|WP_003828456.1|	ATP-dependent DNA helicase UvrD [Bifidobacterium breve] 
gi|489925117|ref|WP_003828458.1|	MFS transporter [Bifidobacterium breve] 
gi|489925119|ref|WP_003828460.1|	dihydrodipicolinate reductase [Bifidobacterium breve] 
gi|489925121|ref|WP_003828462.1|	dihydrodipicolinate synthase [Bifidobacterium breve] 
gi|489925123|ref|WP_003828464.1|	ribonuclease [Bifidobacterium breve] 
gi|489925124|ref|WP_003828465.1|	aminopeptidase N [Bifidobacterium breve] 
gi|489925125|ref|WP_003828466.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925127|ref|WP_003828468.1|	phosphoglucosamine mutase [Bifidobacterium breve] 
gi|489925128|ref|WP_003828469.1|	peptide deformylase [Bifidobacterium breve] 
gi|489925129|ref|WP_003828470.1|	DNA polymerase III subunit epsilon [Bifidobacterium breve] 
gi|489925131|ref|WP_003828472.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925132|ref|WP_003828473.1|	peptide chain release factor 2 [Bifidobacterium breve] 
gi|489925134|ref|WP_003828475.1|	cell division protein FtsE [Bifidobacterium breve] 
gi|489925136|ref|WP_003828477.1|	cell division protein FtsX [Bifidobacterium breve] 
gi|489925138|ref|WP_003828479.1|	amidase [Bifidobacterium breve] 
gi|489925139|ref|WP_003828480.1|	single-stranded DNA-binding protein [Bifidobacterium breve] 
gi|489925140|ref|WP_003828481.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489925141|ref|WP_003828482.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925142|ref|WP_003828483.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489925143|ref|WP_003828484.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489925144|ref|WP_003828485.1|	arginine ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489925145|ref|WP_003828486.1|	glucosamine--fructose-6-phosphate aminotransferase [Bifidobacterium breve] 
gi|489925146|ref|WP_003828487.1|	23S rRNA pseudouridylate synthase [Bifidobacterium breve] 
gi|489925147|ref|WP_003828488.1|	LacI family transcription regulator [Bifidobacterium breve] 
gi|489925148|ref|WP_003828489.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925149|ref|WP_003828490.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489925150|ref|WP_003828491.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489925151|ref|WP_003828492.1|	protein-export membrane protein SecG [Bifidobacterium breve] 
gi|489925152|ref|WP_003828493.1|	beta-galactosidase [Bifidobacterium breve] 
gi|489925153|ref|WP_003828494.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489925154|ref|WP_003828495.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489925156|ref|WP_003828497.1|	pantothenate kinase [Bifidobacterium breve] 
gi|489925158|ref|WP_003828499.1|	type III pantothenate kinase [Bifidobacterium breve] 
gi|489925160|ref|WP_003828501.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489925162|ref|WP_003828503.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489925164|ref|WP_003828505.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489925165|ref|WP_003828506.1|	diguanylate cyclase [Bifidobacterium breve] 
gi|489925167|ref|WP_003828508.1|	peptide ABC transporter ATPase [Bifidobacterium breve] 
gi|489925169|ref|WP_003828510.1|	cystathionine beta-synthase [Bifidobacterium breve] 
gi|489925170|ref|WP_003828511.1|	cystathionine gamma-synthase [Bifidobacterium breve] 
gi|489925173|ref|WP_003828514.1|	ATP-dependent DNA helicase RecQ [Bifidobacterium breve] 
gi|489925175|ref|WP_003828516.1|	S-ribosylhomocysteinase [Bifidobacterium breve] 
gi|489925176|ref|WP_003828517.1|	histone acetyltransferase [Bifidobacterium breve] 
gi|489925178|ref|WP_003828519.1|	amino acid permease [Bifidobacterium breve] 
gi|489925180|ref|WP_003828521.1|	alanine racemase [Bifidobacterium breve] 
gi|489925181|ref|WP_003828522.1|	deoxyguanosinetriphosphate triphosphohydrolase [Bifidobacterium breve] 
gi|489925184|ref|WP_003828525.1|	DNA primase [Bifidobacterium breve] 
gi|489925186|ref|WP_003828527.1|	toxin-antitoxin system toxin component PIN family [Bifidobacterium breve] 
gi|489925189|ref|WP_003828530.1|	toxin-antitoxin system protein [Bifidobacterium breve] 
gi|489925191|ref|WP_003828532.1|	pyridoxal biosynthesis lyase [Bifidobacterium breve] 
gi|489925192|ref|WP_003828533.1|	glutamine amidotransferase [Bifidobacterium breve] 
gi|489925194|ref|WP_003828535.1|	GntR family transcriptional regulator [Bifidobacterium breve] 
gi|489925196|ref|WP_003828537.1|	citrate transporter [Bifidobacterium breve] 
gi|489925198|ref|WP_003828539.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925201|ref|WP_003828542.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925204|ref|WP_003828545.1|	iron-sulfur cluster assembly protein HesB [Bifidobacterium breve] 
gi|489925206|ref|WP_003828547.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925208|ref|WP_003828549.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925209|ref|WP_003828550.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489925211|ref|WP_003828552.1|	transcriptional regulator [Bifidobacterium breve] 
gi|489925217|ref|WP_003828558.1|	alpha-amylase [Bifidobacterium breve] 
gi|489925219|ref|WP_003828560.1|	transposase [Bifidobacterium breve] 
gi|489925221|ref|WP_003828562.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489925223|ref|WP_003828564.1|	peptide-methionine (S)-S-oxide reductase [Bifidobacterium breve] 
gi|489925225|ref|WP_003828566.1|	GntR family transcriptional regulator [Bifidobacterium breve] 
gi|489925227|ref|WP_003828568.1|	ABC transporter [Bifidobacterium breve] 
gi|489925230|ref|WP_003828571.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925232|ref|WP_003828573.1|	peptide ABC transporter permease [Bifidobacterium breve] 
gi|489925233|ref|WP_003828574.1|	1-deoxy-D-xylulose-5-phosphate synthase [Bifidobacterium breve] 
gi|489925235|ref|WP_003828576.1|	molecular chaperone GroES [Bifidobacterium breve] 
gi|489925236|ref|WP_003828577.1|	N5-carboxyaminoimidazole ribonucleotide mutase [Bifidobacterium breve] 
gi|489925238|ref|WP_003828579.1|	phosphoribosylaminoimidazole carboxylase [Bifidobacterium breve] 
gi|489925240|ref|WP_003828581.1|	peptide ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489925243|ref|WP_003828584.1|	ABC transporter [Bifidobacterium breve] 
gi|489925245|ref|WP_003828586.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489925247|ref|WP_003828588.1|	ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489925249|ref|WP_003828590.1|	transcription regulator [Bifidobacterium breve] 
gi|489925251|ref|WP_003828592.1|	lectin-C [Bifidobacterium breve] 
gi|489925252|ref|WP_003828593.1|	Fur family transcriptional regulator [Bifidobacterium breve] 
gi|489925254|ref|WP_003828595.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925257|ref|WP_003828598.1|	permease [Bifidobacterium breve] 
gi|489925258|ref|WP_003828599.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925260|ref|WP_003828601.1|	50S ribosomal protein L31 [Bifidobacterium breve] 
gi|489925262|ref|WP_003828603.1|	30S ribosomal protein S14 [Bifidobacterium breve] 
gi|489925264|ref|WP_003828605.1|	putative acetyltransferase [Bifidobacterium breve] 
gi|489925265|ref|WP_003828606.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489925267|ref|WP_003828608.1|	arylsulfatase [Bifidobacterium breve] 
gi|489925268|ref|WP_003828609.1|	aldehyde dehydrogenase [Bifidobacterium breve] 
gi|489925270|ref|WP_003828611.1|	phosphoribosylamine--glycine ligase [Bifidobacterium breve] 
gi|489925272|ref|WP_003828613.1|	phosphoribosylaminoimidazole synthetase [Bifidobacterium breve] 
gi|489925273|ref|WP_003828614.1|	amidophosphoribosyltransferase [Bifidobacterium breve] 
gi|489925276|ref|WP_003828617.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925280|ref|WP_003828621.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925281|ref|WP_003828622.1|	DNA methylase [Bifidobacterium breve] 
gi|489925283|ref|WP_003828624.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925285|ref|WP_003828626.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925286|ref|WP_003828627.1|	uracil-DNA glycosylase [Bifidobacterium breve] 
gi|489925287|ref|WP_003828628.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925288|ref|WP_003828629.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925289|ref|WP_003828630.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925290|ref|WP_003828631.1|	peptide chain release factor 2 [Bifidobacterium breve] 
gi|489925292|ref|WP_003828633.1|	MULTISPECIES: hypothetical protein [Bifidobacterium] 
gi|489925294|ref|WP_003828635.1|	membrane protein [Bifidobacterium breve] 
gi|489925297|ref|WP_003828638.1|	alcohol acetyltransferase [Bifidobacterium breve] 
gi|489925300|ref|WP_003828641.1|	esterase [Bifidobacterium breve] 
gi|489925303|ref|WP_003828644.1|	phosphoribosylformylglycinamidine synthase [Bifidobacterium breve] 
gi|489925305|ref|WP_003828646.1|	phosphoribosylaminoimidazole-succinocarboxamide synthase [Bifidobacterium breve] 
gi|489925306|ref|WP_003828647.1|	phosphoribosylglycinamide formyltransferase [Bifidobacterium breve] 
gi|489925307|ref|WP_003828648.1|	diaminopimelate aminotransferase [Bifidobacterium breve] 
gi|489925308|ref|WP_003828649.1|	glycosyl transferase [Bifidobacterium breve] 
gi|489925309|ref|WP_003828650.1|	amino acid lyase [Bifidobacterium breve] 
gi|489925310|ref|WP_003828651.1|	transporter [Bifidobacterium breve] 
gi|489910468|ref|WP_003813881.1|	MULTISPECIES: 30S ribosomal protein S12 [Bifidobacteriaceae] 
gi|489925311|ref|WP_003828652.1|	MULTISPECIES: 30S ribosomal protein S7 [Bifidobacterium] 
gi|489925312|ref|WP_003828653.1|	elongation factor G [Bifidobacterium breve] 
gi|489925313|ref|WP_003828654.1|	elongation factor Tu [Bifidobacterium breve] 
gi|489925314|ref|WP_003828655.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925315|ref|WP_003828656.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925316|ref|WP_003828657.1|	LysR family transcriptional regulator [Bifidobacterium breve] 
gi|489925317|ref|WP_003828658.1|	MULTISPECIES: membrane protein [Bifidobacterium] 
gi|489925318|ref|WP_003828659.1|	PDZK1-interacting protein 1 [Bifidobacterium breve] 
gi|489925319|ref|WP_003828660.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925320|ref|WP_003828661.1|	chromosome condensation protein CcrB [Bifidobacterium breve] 
gi|489925321|ref|WP_003828662.1|	chromosome condensation protein CrcB [Bifidobacterium breve] 
gi|489925322|ref|WP_003828663.1|	regulatory protein [Bifidobacterium breve] 
gi|489925323|ref|WP_003828664.1|	molecular chaperone GroES [Bifidobacterium breve] 
gi|489925324|ref|WP_003828665.1|	ATPase [Bifidobacterium breve] 
gi|489925325|ref|WP_003828666.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925326|ref|WP_003828667.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925327|ref|WP_003828668.1|	glycerol-3-phosphate ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489925328|ref|WP_003828669.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489925329|ref|WP_003828670.1|	sugar ABC transporter permease [Bifidobacterium breve] 
gi|489925330|ref|WP_003828671.1|	phosphate transporter [Bifidobacterium breve] 
gi|489925331|ref|WP_003828672.1|	LacI family transcriptional regulator [Bifidobacterium breve] 
gi|489925332|ref|WP_003828673.1|	LysR family transcriptional regulator [Bifidobacterium breve] 
gi|489925333|ref|WP_003828674.1|	LysR family transcriptional regulator [Bifidobacterium breve] 
gi|489925334|ref|WP_003828675.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925335|ref|WP_003828676.1|	excinuclease ABC subunit A [Bifidobacterium breve] 
gi|489925336|ref|WP_003828677.1|	multidrug transporter MatE [Bifidobacterium breve] 
gi|489925337|ref|WP_003828678.1|	DNA lyase [Bifidobacterium breve] 
gi|489925338|ref|WP_003828679.1|	galactoside O-acetyltransferase [Bifidobacterium breve] 
gi|489925339|ref|WP_003828680.1|	nodulation protein L [Bifidobacterium breve] 
gi|489925340|ref|WP_003828681.1|	permease [Bifidobacterium breve] 
gi|489925341|ref|WP_003828682.1|	carboxymuconolactone decarboxylase [Bifidobacterium breve] 
gi|489925342|ref|WP_003828683.1|	cupin [Bifidobacterium breve] 
gi|489925343|ref|WP_003828684.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925344|ref|WP_003828685.1|	3-hydroxybutyryl-CoA dehydrogenase [Bifidobacterium breve] 
gi|489925345|ref|WP_003828686.1|	trans-aconitate 2-methyltransferase [Bifidobacterium breve] 
gi|489925346|ref|WP_003828687.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925347|ref|WP_003828688.1|	transposase [Bifidobacterium breve] 
gi|489925348|ref|WP_003828689.1|	lutropin-choriogonadotropic hormone receptor [Bifidobacterium breve] 
gi|489925349|ref|WP_003828690.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925350|ref|WP_003828691.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925351|ref|WP_003828692.1|	peptidase [Bifidobacterium breve] 
gi|489925352|ref|WP_003828693.1|	ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489925353|ref|WP_003828694.1|	ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489925354|ref|WP_003828695.1|	elongation factor P [Bifidobacterium breve] 
gi|489925355|ref|WP_003828696.1|	nitrogen utilization protein B [Bifidobacterium breve] 
gi|489925356|ref|WP_003828697.1|	carbamoyl phosphate synthase small subunit [Bifidobacterium breve] 
gi|489925357|ref|WP_003828698.1|	carbamoyl phosphate synthase large subunit [Bifidobacterium breve] 
gi|489925358|ref|WP_003828699.1|	orotidine 5'-phosphate decarboxylase [Bifidobacterium breve] 
gi|489925359|ref|WP_003828700.1|	guanylate kinase [Bifidobacterium breve] 
gi|489925360|ref|WP_003828701.1|	DNA polymerase III subunit alpha [Bifidobacterium breve] 
gi|489925361|ref|WP_003828702.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925362|ref|WP_003828703.1|	GTP-binding protein [Bifidobacterium breve] 
gi|489925364|ref|WP_003828705.1|	phospholipase [Bifidobacterium breve] 
gi|489925365|ref|WP_003828706.1|	cystathionine beta-lyase [Bifidobacterium breve] 
gi|489925366|ref|WP_003828707.1|	acetylpolyamine aminohydrolase [Bifidobacterium breve] 
gi|489925367|ref|WP_003828708.1|	glutaredoxin [Bifidobacterium breve] 
gi|489925368|ref|WP_003828709.1|	ATPase AAA [Bifidobacterium breve] 
gi|489925370|ref|WP_003828711.1|	cystathionine gamma-lyase [Bifidobacterium breve] 
gi|489925371|ref|WP_003828712.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925372|ref|WP_003828713.1|	peptidase [Bifidobacterium breve] 
gi|489925374|ref|WP_003828715.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925376|ref|WP_003828717.1|	phospholipase [Bifidobacterium breve] 
gi|489925378|ref|WP_003828719.1|	glutamate racemase [Bifidobacterium breve] 
gi|489925380|ref|WP_003828721.1|	diaminopimelate epimerase [Bifidobacterium breve] 
gi|489925381|ref|WP_003828722.1|	membrane protein [Bifidobacterium breve] 
gi|489925383|ref|WP_003828724.1|	phosphoesterase [Bifidobacterium breve] 
gi|489925384|ref|WP_003828725.1|	ATP-binding protein [Bifidobacterium breve] 
gi|489925386|ref|WP_003828727.1|	aminoglycoside phosphotransferase [Bifidobacterium breve] 
gi|489925390|ref|WP_003828731.1|	DNA helicase II [Bifidobacterium breve] 
gi|489925393|ref|WP_003828733.1|	hydrolase [Bifidobacterium breve] 
gi|489925395|ref|WP_003828735.1|	Lon protease [Bifidobacterium breve] 
gi|489925397|ref|WP_003828737.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925398|ref|WP_003828738.1|	dihydrouridine synthase [Bifidobacterium breve] 
gi|489925399|ref|WP_003828739.1|	1-deoxy-D-xylulose 5-phosphate reductoisomerase [Bifidobacterium breve] 
gi|489925400|ref|WP_003828740.1|	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase [Bifidobacterium breve] 
gi|489925402|ref|WP_003828742.1|	esterase [Bifidobacterium breve] 
gi|489925404|ref|WP_003828744.1|	DNA repair protein RecO [Bifidobacterium breve] 
gi|489925406|ref|WP_003828746.1|	UDP pyrophosphate synthase [Bifidobacterium breve] 
gi|489925408|ref|WP_003828748.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489925410|ref|WP_003828750.1|	myristoyl transferase [Bifidobacterium breve] 
gi|489925412|ref|WP_003828752.1|	aminotransferase [Bifidobacterium breve] 
gi|489925414|ref|WP_003828754.1|	ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489925416|ref|WP_003828756.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925418|ref|WP_003828758.1|	membrane protein [Bifidobacterium breve] 
gi|489925420|ref|WP_003828760.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925422|ref|WP_003828762.1|	DNA ligase [Bifidobacterium breve] 
gi|489925423|ref|WP_003828763.1|	ATP-binding protein [Bifidobacterium breve] 
gi|489925424|ref|WP_003828764.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925426|ref|WP_003828766.1|	glutamine synthetase [Bifidobacterium breve] 
gi|489925427|ref|WP_003828767.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925428|ref|WP_003828768.1|	membrane protein [Bifidobacterium breve] 
gi|489925429|ref|WP_003828769.1|	dihydrolipoamide dehydrogenase [Bifidobacterium breve] 
gi|489925431|ref|WP_003828771.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925433|ref|WP_003828773.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925436|ref|WP_003828776.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489925438|ref|WP_003828778.1|	ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489925440|ref|WP_003828780.1|	cobalt ABC transporter permease [Bifidobacterium breve] 
gi|489925442|ref|WP_003828782.1|	rRNA methyltransferase [Bifidobacterium breve] 
gi|489925444|ref|WP_003828784.1|	phenylalanyl-tRNA synthetase subunit alpha [Bifidobacterium breve] 
gi|489925445|ref|WP_003828785.1|	phenylalanyl-tRNA synthetase subunit beta [Bifidobacterium breve] 
gi|489925447|ref|WP_003828787.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925449|ref|WP_003828789.1|	N-acetyl-gamma-glutamyl-phosphate reductase [Bifidobacterium breve] 
gi|489925452|ref|WP_003828792.1|	N-acetylglutamate synthase [Bifidobacterium breve] 
gi|489925454|ref|WP_003828794.1|	acetylglutamate kinase [Bifidobacterium breve] 
gi|489925456|ref|WP_003828796.1|	acetylornithine aminotransferase [Bifidobacterium breve] 
gi|489925457|ref|WP_003828797.1|	ornithine carbamoyltransferase [Bifidobacterium breve] 
gi|489925459|ref|WP_003828799.1|	arginine repressor [Bifidobacterium breve] 
gi|489925460|ref|WP_003828800.1|	argininosuccinate synthase [Bifidobacterium breve] 
gi|489925461|ref|WP_003828801.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925462|ref|WP_003828802.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925464|ref|WP_003828804.1|	integrase [Bifidobacterium breve] 
gi|489925466|ref|WP_003828806.1|	addiction module toxin Txe/YoeB family [Bifidobacterium breve] 
gi|489925468|ref|WP_003828808.1|	DNA-damage-inducible protein J [Bifidobacterium breve] 
gi|489925469|ref|WP_003828809.1|	Non-specific lipid-transfer protein [Bifidobacterium breve] 
gi|489925470|ref|WP_003828810.1|	argininosuccinate lyase [Bifidobacterium breve] 
gi|489925471|ref|WP_003828811.1|	thiamine biosynthesis protein ThiS [Bifidobacterium breve] 
gi|489925475|ref|WP_003828815.1|	MULTISPECIES: thiazole synthase [Bifidobacterium] 
gi|489925478|ref|WP_003828818.1|	adenylyltransferase [Bifidobacterium breve] 
gi|489925480|ref|WP_003828820.1|	sulfurtransferase [Bifidobacterium breve] 
gi|489925483|ref|WP_003828823.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925485|ref|WP_003828825.1|	phosphohydrolase [Bifidobacterium breve] 
gi|489925486|ref|WP_003828826.1|	membrane protein [Bifidobacterium breve] 
gi|489925488|ref|WP_003828828.1|	membrane protein [Bifidobacterium breve] 
gi|489925490|ref|WP_003828830.1|	tyrosyl-tRNA synthetase [Bifidobacterium breve] 
gi|489925491|ref|WP_003828831.1|	putative membrane glycoprotein [Bifidobacterium breve] 
gi|489925493|ref|WP_003828833.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925496|ref|WP_003828836.1|	HAD family hydrolase [Bifidobacterium breve] 
gi|489925497|ref|WP_003828837.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925500|ref|WP_003828840.1|	cell division protein FtsJ [Bifidobacterium breve] 
gi|489925503|ref|WP_003828843.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925505|ref|WP_003828845.1|	potassium transporter TrkA [Bifidobacterium breve] 
gi|489925506|ref|WP_003828846.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925508|ref|WP_003828848.1|	inorganic polyphosphate/ATP-NAD kinase [Bifidobacterium breve] 
gi|489925510|ref|WP_003828850.1|	DNA repair protein RecN [Bifidobacterium breve] 
gi|489925512|ref|WP_003828852.1|	beta-phosphoglucomutase [Bifidobacterium breve] 
gi|489925514|ref|WP_003828854.1|	GNAT family acetyltransferase [Bifidobacterium breve] 
gi|489925516|ref|WP_003828856.1|	GntR family transcriptional regulator [Bifidobacterium breve] 
gi|489925517|ref|WP_003828857.1|	ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489925519|ref|WP_003828859.1|	MULTISPECIES: cation transporter [Bifidobacterium] 
gi|489925521|ref|WP_003828861.1|	ABC transporter [Bifidobacterium breve] 
gi|489925523|ref|WP_003828863.1|	TnpV protein [Bifidobacterium breve] 
gi|489925524|ref|WP_003828864.1|	threonine synthase [Bifidobacterium breve] 
gi|489925525|ref|WP_003828865.1|	gamma-glutamyl phosphate reductase [Bifidobacterium breve] 
gi|489925526|ref|WP_003828866.1|	phosphoribosylglycinamide synthetase [Bifidobacterium breve] 
gi|489925527|ref|WP_003828867.1|	nicotinic acid mononucleotide adenylyltransferase [Bifidobacterium breve] 
gi|489925528|ref|WP_003828868.1|	putative beta-N-acetylhexosaminidase [Bifidobacterium breve] 
gi|489925529|ref|WP_003828869.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925530|ref|WP_003828870.1|	hypothetical protein [Bifidobacterium breve] 
gi|489925531|ref|WP_003828871.1|	GNAT family acetyltransferase [Bifidobacterium breve] 
gi|489925532|ref|WP_003828872.1|	peptidyl-tRNA hydrolase [Bifidobacterium breve] 
gi|489925533|ref|WP_003828873.1|	transcription-repair coupling factor [Bifidobacterium breve] 
gi|489925534|ref|WP_003828874.1|	oxidoreductase [Bifidobacterium breve] 
gi|489925535|ref|WP_003828875.1|	enolase [Bifidobacterium breve] 
