gi|489622579|ref|WP_003527019.1|	hypothetical protein partial [[Clostridium] leptum] 
gi|489623814|ref|WP_003528254.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623815|ref|WP_003528255.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623816|ref|WP_003528256.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623817|ref|WP_003528257.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623819|ref|WP_003528259.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623821|ref|WP_003528261.1|	ABC transporter [[Clostridium] leptum] 
gi|489623823|ref|WP_003528263.1|	ABC transporter [[Clostridium] leptum] 
gi|489623825|ref|WP_003528265.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623827|ref|WP_003528267.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623829|ref|WP_003528269.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623830|ref|WP_003528270.1|	restriction endonuclease BglII [[Clostridium] leptum] 
gi|489623831|ref|WP_003528271.1|	septum formation protein Maf [[Clostridium] leptum] 
gi|489623832|ref|WP_003528272.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623833|ref|WP_003528273.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623834|ref|WP_003528274.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623835|ref|WP_003528275.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623836|ref|WP_003528276.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623837|ref|WP_003528277.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623838|ref|WP_003528278.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623839|ref|WP_003528279.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623840|ref|WP_003528280.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623841|ref|WP_003528281.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623842|ref|WP_003528282.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623843|ref|WP_003528283.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623844|ref|WP_003528284.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623845|ref|WP_003528285.1|	MULTISPECIES: cell wall hydrolase [Clostridiales] 
gi|489623846|ref|WP_003528286.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623848|ref|WP_003528288.1|	ribonucleotide-diphosphate reductase subunit alpha [[Clostridium] leptum] 
gi|489623850|ref|WP_003528290.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623852|ref|WP_003528292.1|	MULTISPECIES: MarR family transcriptional regulator [Clostridiales] 
gi|489623854|ref|WP_003528294.1|	ABC transporter [[Clostridium] leptum] 
gi|489623856|ref|WP_003528296.1|	multidrug ABC transporter ATP-binding protein [[Clostridium] leptum] 
gi|489623858|ref|WP_003528298.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623860|ref|WP_003528300.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623862|ref|WP_003528302.1|	alpha/beta hydrolase [[Clostridium] leptum] 
gi|489623864|ref|WP_003528304.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623866|ref|WP_003528306.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623868|ref|WP_003528308.1|	alcohol dehydrogenase [[Clostridium] leptum] 
gi|489623870|ref|WP_003528310.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623874|ref|WP_003528314.1|	tryptophan synthase subunit beta [[Clostridium] leptum] 
gi|489623876|ref|WP_003528316.1|	DNA polymerase [[Clostridium] leptum] 
gi|489623878|ref|WP_003528318.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623880|ref|WP_003528320.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623882|ref|WP_003528322.1|	MULTISPECIES: propanediol utilization phosphotransacylase [Clostridiales] 
gi|489623884|ref|WP_003528324.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623885|ref|WP_003528325.1|	phosphoglycerate mutase [[Clostridium] leptum] 
gi|489623886|ref|WP_003528326.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623897|ref|WP_003528337.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623899|ref|WP_003528339.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623900|ref|WP_003528340.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623902|ref|WP_003528342.1|	DNA-cytosine methyltransferase [[Clostridium] leptum] 
gi|489623904|ref|WP_003528344.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623906|ref|WP_003528346.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623908|ref|WP_003528348.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623910|ref|WP_003528350.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623912|ref|WP_003528352.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623914|ref|WP_003528354.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623916|ref|WP_003528356.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623918|ref|WP_003528358.1|	S-adenosylmethionine synthetase [[Clostridium] leptum] 
gi|489623920|ref|WP_003528360.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623922|ref|WP_003528362.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623924|ref|WP_003528364.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623926|ref|WP_003528366.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623928|ref|WP_003528368.1|	DNA methyltransferase [[Clostridium] leptum] 
gi|489623930|ref|WP_003528370.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623932|ref|WP_003528372.1|	AbrB family transcriptional regulator [[Clostridium] leptum] 
gi|489623934|ref|WP_003528374.1|	plasmid stabilization protein [[Clostridium] leptum] 
gi|489623935|ref|WP_003528375.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623938|ref|WP_003528378.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623940|ref|WP_003528380.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623943|ref|WP_003528383.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623945|ref|WP_003528385.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623947|ref|WP_003528387.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623949|ref|WP_003528389.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623955|ref|WP_003528395.1|	conjugal transfer protein TraG [[Clostridium] leptum] 
gi|489623957|ref|WP_003528397.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623959|ref|WP_003528399.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623961|ref|WP_003528401.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623963|ref|WP_003528403.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623965|ref|WP_003528405.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623967|ref|WP_003528407.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623968|ref|WP_003528408.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623971|ref|WP_003528411.1|	reverse transcriptase [[Clostridium] leptum] 
gi|489623973|ref|WP_003528413.1|	conjugal transfer protein TraE [[Clostridium] leptum] 
gi|489623975|ref|WP_003528415.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623976|ref|WP_003528416.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623978|ref|WP_003528418.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623980|ref|WP_003528420.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623982|ref|WP_003528422.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623984|ref|WP_003528424.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623986|ref|WP_003528426.1|	sugar ABC transporter permease [[Clostridium] leptum] 
gi|489623988|ref|WP_003528428.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623991|ref|WP_003528431.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623993|ref|WP_003528433.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623995|ref|WP_003528435.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623997|ref|WP_003528437.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623999|ref|WP_003528439.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624006|ref|WP_003528446.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624002|ref|WP_003528442.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624004|ref|WP_003528444.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624007|ref|WP_003528447.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624008|ref|WP_003528448.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624009|ref|WP_003528449.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624010|ref|WP_003528450.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624011|ref|WP_003528451.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624012|ref|WP_003528452.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624013|ref|WP_003528453.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624015|ref|WP_003528455.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624014|ref|WP_003528454.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624017|ref|WP_003528457.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624018|ref|WP_003528458.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624020|ref|WP_003528460.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624022|ref|WP_003528462.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624024|ref|WP_003528464.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624027|ref|WP_003528467.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624029|ref|WP_003528469.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624031|ref|WP_003528471.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624033|ref|WP_003528473.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624035|ref|WP_003528475.1|	oxidoreductase [[Clostridium] leptum] 
gi|489624037|ref|WP_003528477.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624039|ref|WP_003528479.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624041|ref|WP_003528481.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624044|ref|WP_003528484.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624046|ref|WP_003528486.1|	oxidoreductase [[Clostridium] leptum] 
gi|489624049|ref|WP_003528489.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624048|ref|WP_003528488.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624053|ref|WP_003528493.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624051|ref|WP_003528491.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624055|ref|WP_003528495.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624056|ref|WP_003528496.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624057|ref|WP_003528497.1|	MULTISPECIES: ABC transporter permease [Clostridiales] 
gi|489624059|ref|WP_003528499.1|	ABC transporter permease [[Clostridium] leptum] 
gi|489624062|ref|WP_003528502.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624064|ref|WP_003528504.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624066|ref|WP_003528506.1|	sugar ABC transporter substrate-binding protein [[Clostridium] leptum] 
gi|489624069|ref|WP_003528509.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624070|ref|WP_003528510.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624071|ref|WP_003528511.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624072|ref|WP_003528512.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624073|ref|WP_003528513.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624074|ref|WP_003528514.1|	sugar ABC transporter substrate-binding protein [[Clostridium] leptum] 
gi|490600739|ref|WP_004465759.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623132|ref|WP_003527572.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600742|ref|WP_004465762.1|	hypothetical protein partial [[Clostridium] leptum] 
gi|489624076|ref|WP_003528516.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624077|ref|WP_003528517.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624078|ref|WP_003528518.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624079|ref|WP_003528519.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624080|ref|WP_003528520.1|	oligo-1,6-glucosidase [[Clostridium] leptum] 
gi|489624081|ref|WP_003528521.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624083|ref|WP_003528523.1|	sugar ABC transporter permease [[Clostridium] leptum] 
gi|489624085|ref|WP_003528525.1|	sugar ABC transporter permease [[Clostridium] leptum] 
gi|489624099|ref|WP_003528539.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624100|ref|WP_003528540.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624101|ref|WP_003528541.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624102|ref|WP_003528542.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624103|ref|WP_003528543.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624110|ref|WP_003528550.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624113|ref|WP_003528553.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624117|ref|WP_003528557.1|	rhamnose isomerase [[Clostridium] leptum] 
gi|489624118|ref|WP_003528558.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624128|ref|WP_003528568.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624133|ref|WP_003528573.1|	mannose-6-phosphate isomerase [[Clostridium] leptum] 
gi|489624135|ref|WP_003528575.1|	transporter [[Clostridium] leptum] 
gi|489624137|ref|WP_003528577.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624138|ref|WP_003528578.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624139|ref|WP_003528579.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624140|ref|WP_003528580.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624141|ref|WP_003528581.1|	L-xylulose 5-phosphate 3-epimerase [[Clostridium] leptum] 
gi|489624142|ref|WP_003528582.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624144|ref|WP_003528584.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624146|ref|WP_003528586.1|	ribulose-phosphate 3-epimerase [[Clostridium] leptum] 
gi|489624148|ref|WP_003528588.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624150|ref|WP_003528590.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624153|ref|WP_003528593.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624154|ref|WP_003528594.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624155|ref|WP_003528595.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624156|ref|WP_003528596.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624157|ref|WP_003528597.1|	CTP synthetase [[Clostridium] leptum] 
gi|489624163|ref|WP_003528603.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624165|ref|WP_003528605.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624167|ref|WP_003528607.1|	response regulator receiver [[Clostridium] leptum] 
gi|489624169|ref|WP_003528609.1|	glutamine synthetase [[Clostridium] leptum] 
gi|489624170|ref|WP_003528610.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624171|ref|WP_003528611.1|	glutamate synthase [[Clostridium] leptum] 
gi|489624172|ref|WP_003528612.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [[Clostridium] leptum] 
gi|489624173|ref|WP_003528613.1|	4Fe-4S ferredoxin [[Clostridium] leptum] 
gi|489624174|ref|WP_003528614.1|	MULTISPECIES: glutamate synthase [Clostridiales] 
gi|489624175|ref|WP_003528615.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624177|ref|WP_003528617.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624178|ref|WP_003528618.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624179|ref|WP_003528619.1|	glutamine synthetase [[Clostridium] leptum] 
gi|489624181|ref|WP_003528621.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624183|ref|WP_003528623.1|	glutamate dehydrogenase [[Clostridium] leptum] 
gi|489624184|ref|WP_003528624.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624186|ref|WP_003528626.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624188|ref|WP_003528628.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624190|ref|WP_003528630.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624196|ref|WP_003528636.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624205|ref|WP_003528645.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624207|ref|WP_003528647.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624209|ref|WP_003528649.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624211|ref|WP_003528651.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624213|ref|WP_003528653.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624214|ref|WP_003528654.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624216|ref|WP_003528656.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624218|ref|WP_003528658.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624222|ref|WP_003528662.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624224|ref|WP_003528664.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624226|ref|WP_003528666.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624228|ref|WP_003528668.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624230|ref|WP_003528670.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624231|ref|WP_003528671.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624232|ref|WP_003528672.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624233|ref|WP_003528673.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624234|ref|WP_003528674.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624235|ref|WP_003528675.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624236|ref|WP_003528676.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624237|ref|WP_003528677.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624238|ref|WP_003528678.1|	radical SAM protein [[Clostridium] leptum] 
gi|489624239|ref|WP_003528679.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624240|ref|WP_003528680.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624241|ref|WP_003528681.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624242|ref|WP_003528682.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624244|ref|WP_003528684.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624246|ref|WP_003528686.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624248|ref|WP_003528688.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624249|ref|WP_003528689.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624251|ref|WP_003528691.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624254|ref|WP_003528694.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624256|ref|WP_003528696.1|	ribokinase [[Clostridium] leptum] 
gi|489624257|ref|WP_003528697.1|	glucosamine-6-phosphate isomerase [[Clostridium] leptum] 
gi|489624259|ref|WP_003528699.1|	MULTISPECIES: sugar ABC transporter permease [Clostridiales] 
gi|489624261|ref|WP_003528701.1|	sugar ABC transporter permease [[Clostridium] leptum] 
gi|489624263|ref|WP_003528703.1|	ABC transporter substrate-binding protein [[Clostridium] leptum] 
gi|489624265|ref|WP_003528705.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624267|ref|WP_003528707.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624269|ref|WP_003528709.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624271|ref|WP_003528711.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624273|ref|WP_003528713.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624275|ref|WP_003528715.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624277|ref|WP_003528717.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624278|ref|WP_003528718.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624279|ref|WP_003528719.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624287|ref|WP_003528727.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624289|ref|WP_003528729.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624291|ref|WP_003528731.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624293|ref|WP_003528733.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624295|ref|WP_003528735.1|	sugar ABC transporter permease [[Clostridium] leptum] 
gi|489624297|ref|WP_003528737.1|	sugar ABC transporter permease [[Clostridium] leptum] 
gi|489624299|ref|WP_003528739.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624300|ref|WP_003528740.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624302|ref|WP_003528742.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624304|ref|WP_003528744.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624306|ref|WP_003528746.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624308|ref|WP_003528748.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624309|ref|WP_003528749.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624311|ref|WP_003528751.1|	beta-phosphoglucomutase [[Clostridium] leptum] 
gi|489624313|ref|WP_003528753.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624315|ref|WP_003528755.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624317|ref|WP_003528757.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624318|ref|WP_003528758.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624319|ref|WP_003528759.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624320|ref|WP_003528760.1|	sugar ABC transporter permease [[Clostridium] leptum] 
gi|489624321|ref|WP_003528761.1|	MULTISPECIES: ABC transporter permease [Clostridiales] 
gi|489624322|ref|WP_003528762.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624323|ref|WP_003528763.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624324|ref|WP_003528764.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624325|ref|WP_003528765.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624326|ref|WP_003528766.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624327|ref|WP_003528767.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624328|ref|WP_003528768.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624330|ref|WP_003528770.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624332|ref|WP_003528772.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624337|ref|WP_003528777.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489624338|ref|WP_003528778.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624339|ref|WP_003528779.1|	nitrate ABC transporter permease [[Clostridium] leptum] 
gi|489624340|ref|WP_003528780.1|	nitrate ABC transporter substrate-binding protein [[Clostridium] leptum] 
gi|489624341|ref|WP_003528781.1|	MULTISPECIES: nitrate ABC transporter ATP-binding protein [Clostridiales] 
gi|489624342|ref|WP_003528782.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624343|ref|WP_003528783.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624344|ref|WP_003528784.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624346|ref|WP_003528786.1|	MULTISPECIES: 50S ribosomal protein L17 [Clostridiales] 
gi|489624348|ref|WP_003528788.1|	MULTISPECIES: DNA-directed RNA polymerase subunit alpha [Clostridiales] 
gi|489624350|ref|WP_003528790.1|	MULTISPECIES: 30S ribosomal protein S4 [Clostridiales] 
gi|489624352|ref|WP_003528792.1|	MULTISPECIES: 30S ribosomal protein S11 [Clostridiales] 
gi|489624354|ref|WP_003528794.1|	MULTISPECIES: 30S ribosomal protein S13 [Clostridiales] 
gi|489624356|ref|WP_003528796.1|	MULTISPECIES: 50S ribosomal protein L36 [Clostridiales] 
gi|489624358|ref|WP_003528798.1|	MULTISPECIES: translation initiation factor IF-1 [Clostridiales] 
gi|489624360|ref|WP_003528800.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624362|ref|WP_003528802.1|	MULTISPECIES: methionine aminopeptidase [Clostridiales] 
gi|489624364|ref|WP_003528804.1|	MULTISPECIES: adenylate kinase [Clostridiales] 
gi|489624366|ref|WP_003528806.1|	preprotein translocase subunit SecY [[Clostridium] leptum] 
gi|489624368|ref|WP_003528808.1|	MULTISPECIES: 50S ribosomal protein L15 [Clostridiales] 
gi|489624370|ref|WP_003528810.1|	MULTISPECIES: 50S ribosomal protein L30 [Clostridiales] 
gi|489624372|ref|WP_003528812.1|	MULTISPECIES: 30S ribosomal protein S5 [Clostridiales] 
gi|489624373|ref|WP_003528813.1|	MULTISPECIES: 50S ribosomal protein L18 [Clostridiales] 
gi|489624375|ref|WP_003528815.1|	MULTISPECIES: 50S ribosomal protein L6 [Clostridiales] 
gi|489624376|ref|WP_003528816.1|	MULTISPECIES: 30S ribosomal protein S8 [Clostridiales] 
gi|489624378|ref|WP_003528818.1|	30S ribosomal protein S14 [[Clostridium] leptum] 
gi|489624380|ref|WP_003528820.1|	MULTISPECIES: 50S ribosomal protein L5 [Clostridiales] 
gi|489624382|ref|WP_003528822.1|	MULTISPECIES: 50S ribosomal protein L24 [Clostridiales] 
gi|489624383|ref|WP_003528823.1|	MULTISPECIES: 50S ribosomal protein L14 [Clostridiales] 
gi|489624385|ref|WP_003528825.1|	30S ribosomal protein S17 [[Clostridium] leptum] 
gi|489624387|ref|WP_003528827.1|	MULTISPECIES: 50S ribosomal protein L29 [Clostridiales] 
gi|489624389|ref|WP_003528829.1|	MULTISPECIES: 50S ribosomal protein L16 [Clostridiales] 
gi|489624391|ref|WP_003528831.1|	30S ribosomal protein S3 [[Clostridium] leptum] 
gi|489624392|ref|WP_003528832.1|	MULTISPECIES: 50S ribosomal protein L22 [Clostridiales] 
gi|489624393|ref|WP_003528833.1|	MULTISPECIES: 30S ribosomal protein S19 [Clostridiales] 
gi|489624395|ref|WP_003528835.1|	50S ribosomal protein L2 [[Clostridium] leptum] 
gi|489624397|ref|WP_003528837.1|	MULTISPECIES: 50S ribosomal protein L23 [Clostridiales] 
gi|489624399|ref|WP_003528839.1|	MULTISPECIES: 50S ribosomal protein L4 [Clostridiales] 
gi|489624400|ref|WP_003528840.1|	MULTISPECIES: 50S ribosomal protein L3 [Clostridiales] 
gi|489624402|ref|WP_003528842.1|	30S ribosomal protein S10 [[Clostridium] leptum] 
gi|489624404|ref|WP_003528844.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624406|ref|WP_003528846.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624408|ref|WP_003528848.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624410|ref|WP_003528850.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624412|ref|WP_003528852.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624414|ref|WP_003528854.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624416|ref|WP_003528856.1|	hypothetical protein [[Clostridium] leptum] 
gi|489624418|ref|WP_003528858.1|	phosphodiesterase [[Clostridium] leptum] 
