gi|494396218|ref|WP_007209403.1|	MULTISPECIES: LuxR family transcriptional regulator [Bacteroides] 
gi|494399493|ref|WP_007210954.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399495|ref|WP_007210955.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399497|ref|WP_007210956.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399499|ref|WP_007210957.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399501|ref|WP_007210958.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399503|ref|WP_007210959.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399505|ref|WP_007210960.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399507|ref|WP_007210961.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399509|ref|WP_007210962.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399512|ref|WP_007210963.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399514|ref|WP_007210964.1|	glycosyltransferase family 1 [Bacteroides cellulosilyticus] 
gi|494399517|ref|WP_007210965.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399519|ref|WP_007210966.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399521|ref|WP_007210967.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399523|ref|WP_007210968.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399524|ref|WP_007210969.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399525|ref|WP_007210970.1|	lipopolysaccharide biosynthesis protein [Bacteroides cellulosilyticus] 
gi|494399526|ref|WP_007210971.1|	glycosyltransferase family 2 [Bacteroides cellulosilyticus] 
gi|494399527|ref|WP_007210972.1|	glycosyltransferase [Bacteroides cellulosilyticus] 
gi|494399528|ref|WP_007210973.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494399529|ref|WP_007210974.1|	aspartate aminotransferase [Bacteroides cellulosilyticus] 
gi|494399530|ref|WP_007210975.1|	CDP-glycerol glycerophosphotransferase [Bacteroides cellulosilyticus] 
gi|494399531|ref|WP_007210976.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494399532|ref|WP_007210977.1|	glycosyl transferase family 1 [Bacteroides cellulosilyticus] 
gi|494399533|ref|WP_007210978.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494399534|ref|WP_007210979.1|	erythronate-4-phosphate dehydrogenase [Bacteroides cellulosilyticus] 
gi|494399535|ref|WP_007210980.1|	phosphoribosylglycinamide formyltransferase [Bacteroides cellulosilyticus] 
gi|490419666|ref|WP_004291965.1|	MULTISPECIES: acyl carrier protein [Bacteroides] 
gi|494399536|ref|WP_007210981.1|	3-oxoacyl-ACP synthase [Bacteroides cellulosilyticus] 
gi|494399537|ref|WP_007210982.1|	MULTISPECIES: ribonuclease [Bacteroides] 
gi|494399538|ref|WP_007210983.1|	6-phosphofructokinase [Bacteroides cellulosilyticus] 
gi|494399539|ref|WP_007210984.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399540|ref|WP_007210985.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494399541|ref|WP_007210986.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494399542|ref|WP_007210987.1|	thiouridylase [Bacteroides cellulosilyticus] 
gi|494399543|ref|WP_007210988.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399544|ref|WP_007210989.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399545|ref|WP_007210990.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399546|ref|WP_007210991.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399547|ref|WP_007210992.1|	ligand-gated channel protein [Bacteroides cellulosilyticus] 
gi|494399548|ref|WP_007210993.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399549|ref|WP_007210994.1|	cysteinyl-tRNA synthetase [Bacteroides cellulosilyticus] 
gi|494399550|ref|WP_007210995.1|	MULTISPECIES: arylsulfatase [Bacteroides] 
gi|494399551|ref|WP_007210996.1|	glucuronyl hydrolase [Bacteroides cellulosilyticus] 
gi|494399552|ref|WP_007210997.1|	MULTISPECIES: phenylacetic acid degradation protein [Bacteroides] 
gi|494399553|ref|WP_007210998.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399554|ref|WP_007210999.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399555|ref|WP_007211000.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399556|ref|WP_007211001.1|	hemolysin D [Bacteroides cellulosilyticus] 
gi|494399557|ref|WP_007211002.1|	multidrug transporter AcrB [Bacteroides cellulosilyticus] 
gi|494399558|ref|WP_007211003.1|	MULTISPECIES: multidrug transporter [Bacteroides] 
gi|494399559|ref|WP_007211004.1|	MULTISPECIES: UDP-N-acetylglucosamine acyltransferase [Bacteroides] 
gi|494399560|ref|WP_007211005.1|	endonuclease [Bacteroides cellulosilyticus] 
gi|494399561|ref|WP_007211006.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494399562|ref|WP_007211007.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494399563|ref|WP_007211008.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399564|ref|WP_007211009.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399565|ref|WP_007211010.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399566|ref|WP_007211011.1|	MULTISPECIES: arylsulfatase [Bacteroides] 
gi|494399567|ref|WP_007211012.1|	MULTISPECIES: TonB-dependent receptor [Bacteroides] 
gi|494399568|ref|WP_007211013.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|494399569|ref|WP_007211014.1|	chondroitinase [Bacteroides cellulosilyticus] 
gi|494399570|ref|WP_007211015.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399571|ref|WP_007211016.1|	dihydrouridine synthase [Bacteroides cellulosilyticus] 
gi|494399572|ref|WP_007211017.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399573|ref|WP_007211018.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399574|ref|WP_007211019.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399575|ref|WP_007211020.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399576|ref|WP_007211021.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399577|ref|WP_007211022.1|	dihydrodipicolinate reductase [Bacteroides cellulosilyticus] 
gi|494399578|ref|WP_007211023.1|	signal peptidase [Bacteroides cellulosilyticus] 
gi|494399579|ref|WP_007211024.1|	MULTISPECIES: signal peptidase [Bacteroides] 
gi|494399580|ref|WP_007211025.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399581|ref|WP_007211026.1|	transcriptional regulator [Bacteroides cellulosilyticus] 
gi|494399582|ref|WP_007211027.1|	glucosylceramidase [Bacteroides cellulosilyticus] 
gi|494399583|ref|WP_007211028.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399584|ref|WP_007211029.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399585|ref|WP_007211030.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494399586|ref|WP_007211031.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399587|ref|WP_007211032.1|	beta-glycosidase [Bacteroides cellulosilyticus] 
gi|494399588|ref|WP_007211033.1|	glycosyl hydrolase family 88 [Bacteroides cellulosilyticus] 
gi|494399589|ref|WP_007211034.1|	MULTISPECIES: dioxygenase [Bacteroides] 
gi|494399590|ref|WP_007211035.1|	MULTISPECIES: mannonate dehydratase [Bacteroides] 
gi|494399591|ref|WP_007211036.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399592|ref|WP_007211037.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399593|ref|WP_007211038.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494399594|ref|WP_007211039.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399595|ref|WP_007211040.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399596|ref|WP_007211041.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399597|ref|WP_007211042.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399598|ref|WP_007211043.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399599|ref|WP_007211044.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399600|ref|WP_007211045.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399601|ref|WP_007211046.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399602|ref|WP_007211047.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399603|ref|WP_007211048.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399604|ref|WP_007211049.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494399605|ref|WP_007211050.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399606|ref|WP_007211051.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399607|ref|WP_007211052.1|	glycosyl hydrolase family 3 [Bacteroides cellulosilyticus] 
gi|494399608|ref|WP_007211053.1|	glycosyl hydrolase family 5 [Bacteroides cellulosilyticus] 
gi|494399609|ref|WP_007211054.1|	glucosylceramidase [Bacteroides cellulosilyticus] 
gi|494399610|ref|WP_007211055.1|	transcriptional regulator [Bacteroides cellulosilyticus] 
gi|494399611|ref|WP_007211056.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399612|ref|WP_007211057.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494399613|ref|WP_007211058.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399614|ref|WP_007211059.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399615|ref|WP_007211060.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399616|ref|WP_007211061.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399617|ref|WP_007211062.1|	signal peptidase [Bacteroides cellulosilyticus] 
gi|494399618|ref|WP_007211063.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399619|ref|WP_007211064.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399620|ref|WP_007211065.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399621|ref|WP_007211066.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399622|ref|WP_007211067.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399623|ref|WP_007211068.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399624|ref|WP_007211069.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494399625|ref|WP_007211070.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399626|ref|WP_007211071.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399627|ref|WP_007211072.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399628|ref|WP_007211073.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399629|ref|WP_007211074.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399630|ref|WP_007211075.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399631|ref|WP_007211076.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399632|ref|WP_007211077.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399633|ref|WP_007211078.1|	MULTISPECIES: zinc protease [Bacteroides] 
gi|494399634|ref|WP_007211079.1|	sigma factor regulator FecR [Bacteroides cellulosilyticus] 
gi|494399635|ref|WP_007211080.1|	MULTISPECIES: fructokinase [Bacteroides] 
gi|494399636|ref|WP_007211081.1|	tyrosine phosphatase [Bacteroides cellulosilyticus] 
gi|494399637|ref|WP_007211082.1|	MULTISPECIES: DEAD/DEAH box helicase [Bacteroides] 
gi|494399638|ref|WP_007211083.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|494399639|ref|WP_007211084.1|	MULTISPECIES: glycan metabolism protein RagB [Bacteroides] 
gi|494399640|ref|WP_007211085.1|	collagen-binding protein [Bacteroides cellulosilyticus] 
gi|494399641|ref|WP_007211086.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399642|ref|WP_007211087.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399643|ref|WP_007211088.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399644|ref|WP_007211089.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399645|ref|WP_007211090.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399646|ref|WP_007211091.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399647|ref|WP_007211092.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494399648|ref|WP_007211093.1|	DNA polymerase sliding clamp subunit [Bacteroides cellulosilyticus] 
gi|494399649|ref|WP_007211094.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399650|ref|WP_007211095.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|494399651|ref|WP_007211096.1|	MULTISPECIES: alkyl hydroperoxide reductase [Bacteroides] 
gi|494399652|ref|WP_007211097.1|	NADH dehydrogenase [Bacteroides cellulosilyticus] 
gi|494399653|ref|WP_007211098.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494399654|ref|WP_007211099.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399655|ref|WP_007211100.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399656|ref|WP_007211101.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399657|ref|WP_007211102.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494399658|ref|WP_007211103.1|	polysaccharide biosynthesis protein [Bacteroides cellulosilyticus] 
gi|494399659|ref|WP_007211104.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399660|ref|WP_007211105.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399661|ref|WP_007211106.1|	MULTISPECIES: Holliday junction DNA helicase RuvB [Bacteroides] 
gi|494399662|ref|WP_007211107.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399663|ref|WP_007211108.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399664|ref|WP_007211109.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399665|ref|WP_007211110.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399666|ref|WP_007211111.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399667|ref|WP_007211112.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399668|ref|WP_007211113.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399669|ref|WP_007211114.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399670|ref|WP_007211115.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399671|ref|WP_007211116.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399672|ref|WP_007211117.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399673|ref|WP_007211118.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494399674|ref|WP_007211119.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399675|ref|WP_007211120.1|	DNA alkylation repair protein [Bacteroides cellulosilyticus] 
gi|494399676|ref|WP_007211121.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399677|ref|WP_007211122.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399678|ref|WP_007211123.1|	phospholipase [Bacteroides cellulosilyticus] 
gi|494399679|ref|WP_007211124.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|494399680|ref|WP_007211125.1|	MULTISPECIES: septum formation initiator [Bacteroides] 
gi|494399681|ref|WP_007211126.1|	DNA polymerase III subunit gamma/tau [Bacteroides cellulosilyticus] 
gi|494399682|ref|WP_007211127.1|	heat-shock protein Hsp90 [Bacteroides cellulosilyticus] 
gi|494399683|ref|WP_007211128.1|	histidine kinase [Bacteroides cellulosilyticus] 
gi|494399684|ref|WP_007211129.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494399685|ref|WP_007211130.1|	MULTISPECIES: 4Fe-4S ferredoxin [Bacteroides] 
gi|494399686|ref|WP_007211131.1|	MULTISPECIES: aspartate aminotransferase [Bacteroides] 
gi|494399687|ref|WP_007211132.1|	MULTISPECIES: 3,4-dihydroxy-2-butanone 4-phosphate synthase [Bacteroides] 
gi|494399688|ref|WP_007211133.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494399689|ref|WP_007211134.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494399690|ref|WP_007211135.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399691|ref|WP_007211136.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494399692|ref|WP_007211137.1|	signal peptidase [Bacteroides cellulosilyticus] 
gi|494399693|ref|WP_007211138.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399694|ref|WP_007211139.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399695|ref|WP_007211140.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399696|ref|WP_007211141.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399697|ref|WP_007211142.1|	MULTISPECIES: rRNA maturation factor [Bacteroides] 
gi|494399698|ref|WP_007211143.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399699|ref|WP_007211144.1|	arabinan endo-1,5-alpha-L-arabinosidase [Bacteroides cellulosilyticus] 
gi|494399700|ref|WP_007211145.1|	MULTISPECIES: arabinan endo-1,5-alpha-L-arabinosidase [Bacteroides] 
gi|494399701|ref|WP_007211146.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494399702|ref|WP_007211147.1|	MULTISPECIES: TonB-linked outer membrane protein [Bacteroides] 
gi|494399703|ref|WP_007211148.1|	glycoside hydrolase [Bacteroides cellulosilyticus] 
gi|494399704|ref|WP_007211149.1|	alpha-xylosidase [Bacteroides cellulosilyticus] 
gi|494399705|ref|WP_007211150.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399706|ref|WP_007211151.1|	MULTISPECIES: glycosyl hydrolase [Bacteroides] 
gi|494399707|ref|WP_007211152.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399708|ref|WP_007211153.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399709|ref|WP_007211154.1|	MULTISPECIES: glycoside hydrolase family 2 [Bacteroides] 
gi|494399710|ref|WP_007211155.1|	MULTISPECIES: glycosyl hydrolase [Bacteroides] 
gi|494399711|ref|WP_007211156.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399712|ref|WP_007211157.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399713|ref|WP_007211158.1|	MULTISPECIES: endo-1,4-beta-xylanase [Bacteroides] 
gi|494399714|ref|WP_007211159.1|	MULTISPECIES: sulfatase [Bacteroides] 
gi|494399715|ref|WP_007211160.1|	MULTISPECIES: starch-binding protein [Bacteroides] 
gi|494399716|ref|WP_007211161.1|	MULTISPECIES: collagen-binding protein [Bacteroides] 
gi|494399717|ref|WP_007211162.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399718|ref|WP_007211163.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494399719|ref|WP_007211164.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494399720|ref|WP_007211165.1|	MULTISPECIES: oxidoreductase [Bacteroides] 
gi|494399721|ref|WP_007211166.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494399722|ref|WP_007211167.1|	MULTISPECIES: oxidoreductase [Bacteroides] 
gi|494399723|ref|WP_007211168.1|	sensor histidine kinase [Bacteroides cellulosilyticus] 
gi|494399724|ref|WP_007211169.1|	beta-galactosidase [Bacteroides cellulosilyticus] 
gi|494399725|ref|WP_007211170.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399726|ref|WP_007211171.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494399727|ref|WP_007211172.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399728|ref|WP_007211173.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399729|ref|WP_007211174.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399730|ref|WP_007211175.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399731|ref|WP_007211176.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494399732|ref|WP_007211177.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494399733|ref|WP_007211178.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399734|ref|WP_007211179.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399735|ref|WP_007211180.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399736|ref|WP_007211181.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399737|ref|WP_007211182.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399738|ref|WP_007211183.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399739|ref|WP_007211184.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399740|ref|WP_007211185.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399741|ref|WP_007211186.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399742|ref|WP_007211187.1|	MULTISPECIES: tRNA uridine 5-carboxymethylaminomethyl modification protein [Bacteroides] 
gi|494399743|ref|WP_007211188.1|	MULTISPECIES: adenine phosphoribosyltransferase [Bacteroides] 
gi|494399744|ref|WP_007211189.1|	excinuclease ABC subunit C [Bacteroides cellulosilyticus] 
gi|494399745|ref|WP_007211190.1|	D-tyrosyl-tRNA(Tyr) deacylase [Bacteroides cellulosilyticus] 
gi|494399746|ref|WP_007211191.1|	MULTISPECIES: pyrophosphatase [Bacteroides] 
gi|494399747|ref|WP_007211192.1|	deoxyribose-phosphate aldolase [Bacteroides cellulosilyticus] 
gi|494399748|ref|WP_007211193.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399749|ref|WP_007211194.1|	MULTISPECIES: octaprenyl-diphosphate synthase [Bacteroides] 
gi|494399750|ref|WP_007211195.1|	DNA polymerase I [Bacteroides cellulosilyticus] 
gi|494399751|ref|WP_007211196.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399752|ref|WP_007211197.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494399753|ref|WP_007211198.1|	phosphohydrolase [Bacteroides cellulosilyticus] 
gi|494399754|ref|WP_007211199.1|	MULTISPECIES: energry transducer TonB [Bacteroides] 
gi|494399755|ref|WP_007211200.1|	MULTISPECIES: GTP-binding protein YchF [Bacteroides] 
gi|494399756|ref|WP_007211201.1|	oxidoreductase [Bacteroides cellulosilyticus] 
gi|494399757|ref|WP_007211202.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399758|ref|WP_007211203.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399759|ref|WP_007211204.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399760|ref|WP_007211205.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399761|ref|WP_007211206.1|	MULTISPECIES: ribokinase [Bacteroides] 
gi|494399762|ref|WP_007211207.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399763|ref|WP_007211208.1|	multidrug DMT transporter permease [Bacteroides cellulosilyticus] 
gi|494399764|ref|WP_007211209.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399765|ref|WP_007211210.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399766|ref|WP_007211211.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494399767|ref|WP_007211212.1|	starch-binding protein [Bacteroides cellulosilyticus] 
gi|494399768|ref|WP_007211213.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399769|ref|WP_007211214.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399770|ref|WP_007211215.1|	beta-galactosidase [Bacteroides cellulosilyticus] 
gi|494399771|ref|WP_007211216.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399772|ref|WP_007211217.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399773|ref|WP_007211218.1|	alpha-1,6-mannanase [Bacteroides cellulosilyticus] 
gi|494399774|ref|WP_007211219.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399775|ref|WP_007211220.1|	MULTISPECIES: lipase [Bacteroides] 
gi|494399776|ref|WP_007211221.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399777|ref|WP_007211222.1|	beta-glucosidase [Bacteroides cellulosilyticus] 
gi|494399778|ref|WP_007211223.1|	beta-glucosidase [Bacteroides cellulosilyticus] 
gi|494399779|ref|WP_007211224.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399780|ref|WP_007211225.1|	collagen-binding protein [Bacteroides cellulosilyticus] 
gi|494399781|ref|WP_007211226.1|	starch-binding protein [Bacteroides cellulosilyticus] 
gi|494399782|ref|WP_007211227.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399783|ref|WP_007211228.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399784|ref|WP_007211229.1|	glutaminase [Bacteroides cellulosilyticus] 
gi|494399785|ref|WP_007211230.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399786|ref|WP_007211231.1|	alpha-glucosidase [Bacteroides cellulosilyticus] 
gi|494399787|ref|WP_007211232.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399788|ref|WP_007211233.1|	helicase [Bacteroides cellulosilyticus] 
gi|494399789|ref|WP_007211234.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399790|ref|WP_007211235.1|	DNA-binding protein [Bacteroides cellulosilyticus] 
gi|494399791|ref|WP_007211236.1|	MULTISPECIES: ATPase AAA [Bacteroides] 
gi|494399792|ref|WP_007211237.1|	alpha-1 2-mannosidase [Bacteroides cellulosilyticus] 
gi|494399793|ref|WP_007211238.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399794|ref|WP_007211239.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399795|ref|WP_007211240.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399796|ref|WP_007211241.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399797|ref|WP_007211242.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399798|ref|WP_007211243.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399799|ref|WP_007211244.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399800|ref|WP_007211245.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399801|ref|WP_007211246.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399802|ref|WP_007211247.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494399803|ref|WP_007211248.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399804|ref|WP_007211249.1|	guanine deaminase [Bacteroides cellulosilyticus] 
gi|494399805|ref|WP_007211250.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494399806|ref|WP_007211251.1|	hypothetical protein [Bacteroides cellulosilyticus] 
