gi|495106006|ref|WP_007830829.1|	hypothetical protein [Bacteroides dorei] 
gi|495107531|ref|WP_007832353.1|	glycosyl transferase [Bacteroides dorei] 
gi|495107532|ref|WP_007832354.1|	glycosyl transferase [Bacteroides dorei] 
gi|495107533|ref|WP_007832355.1|	MULTISPECIES: glycosyl transferase family A [Bacteroides] 
gi|495107534|ref|WP_007832356.1|	MULTISPECIES: SAM-dependent methyltransferase [Bacteroides] 
gi|495107535|ref|WP_007832357.1|	glycosyl transferase [Bacteroides dorei] 
gi|495107536|ref|WP_007832358.1|	glycosyltransferase [Bacteroides dorei] 
gi|495107537|ref|WP_007832359.1|	glycosyl transferase [Bacteroides dorei] 
gi|495107539|ref|WP_007832361.1|	MULTISPECIES: glycosyl transferase [Bacteroides] 
gi|495107541|ref|WP_007832363.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107542|ref|WP_007832364.1|	glycosyl transferase [Bacteroides dorei] 
gi|495107543|ref|WP_007832365.1|	MULTISPECIES: glycosyl transferase [Bacteroides] 
gi|495107544|ref|WP_007832366.1|	hypothetical protein [Bacteroides dorei] 
gi|495107545|ref|WP_007832367.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107546|ref|WP_007832368.1|	MULTISPECIES: glycosyl transferase [Bacteroides] 
gi|495107547|ref|WP_007832369.1|	MULTISPECIES: ABC transporter permease [Bacteroides] 
gi|495107548|ref|WP_007832370.1|	phosphate ABC transporter ATPase [Bacteroides dorei] 
gi|495107549|ref|WP_007832371.1|	MULTISPECIES: glycosyl transferase [Bacteroides] 
gi|495107550|ref|WP_007832372.1|	MULTISPECIES: glycosyl transferase [Bacteroides] 
gi|495107551|ref|WP_007832373.1|	MULTISPECIES: glycosyl transferase [Bacteroides] 
gi|495107552|ref|WP_007832374.1|	glycosyltransferase [Bacteroides dorei] 
gi|495107553|ref|WP_007832375.1|	acetyl transferase [Bacteroides dorei] 
gi|495107554|ref|WP_007832376.1|	glycosyl transferase [Bacteroides dorei] 
gi|495107555|ref|WP_007832377.1|	hypothetical protein [Bacteroides dorei] 
gi|495107556|ref|WP_007832378.1|	glycosyl transferase [Bacteroides dorei] 
gi|495107558|ref|WP_007832380.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495107559|ref|WP_007832381.1|	hypothetical protein [Bacteroides dorei] 
gi|495107560|ref|WP_007832382.1|	hypothetical protein [Bacteroides dorei] 
gi|495107562|ref|WP_007832384.1|	glycosyl transferase [Bacteroides dorei] 
gi|495107564|ref|WP_007832386.1|	MULTISPECIES: chemotaxis protein CheY [Bacteroides] 
gi|495107567|ref|WP_007832389.1|	hypothetical protein [Bacteroides dorei] 
gi|495107569|ref|WP_007832391.1|	DNA mistmatch repair protein MutT [Bacteroides dorei] 
gi|492458885|ref|WP_005851484.1|	MULTISPECIES: carbohydrate kinase [Bacteroides] 
gi|492458887|ref|WP_005851486.1|	MULTISPECIES: xylose isomerase [Bacteroides] 
gi|495107570|ref|WP_007832392.1|	capsule polysaccharide transporter [Bacteroides dorei] 
gi|495107571|ref|WP_007832393.1|	chain-length determining protein [Bacteroides dorei] 
gi|495107572|ref|WP_007832394.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495107574|ref|WP_007832396.1|	dTDP-4-dehydrorhamnose 3,5-epimerase [Bacteroides dorei] 
gi|492435233|ref|WP_005843154.1|	MULTISPECIES: glucose-1-phosphate thymidylyltransferase [Bacteroides] 
gi|495107581|ref|WP_007832403.1|	MULTISPECIES: glycosyl transferase [Bacteroides] 
gi|495107583|ref|WP_007832405.1|	mannose-1-phosphate guanylyltransferase [Bacteroides dorei] 
gi|495107584|ref|WP_007832406.1|	MULTISPECIES: GDP-mannose 4,6-dehydratase [Bacteroides] 
gi|495107585|ref|WP_007832407.1|	MULTISPECIES: GDP-4-keto-6-deoxy-D-mannose-3 5-epimerase-4-reductase [Bacteroides] 
gi|495107586|ref|WP_007832408.1|	MULTISPECIES: lipid hydroperoxide peroxidase [Bacteroides] 
gi|495107588|ref|WP_007832410.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495107590|ref|WP_007832412.1|	multidrug transporter [Bacteroides dorei] 
gi|495107591|ref|WP_007832413.1|	MULTISPECIES: glutaminyl-tRNA synthetase [Bacteroides] 
gi|495107592|ref|WP_007832414.1|	phosphate ABC transporter substrate-binding protein [Bacteroides dorei] 
gi|495107593|ref|WP_007832415.1|	hypothetical protein [Bacteroides dorei] 
gi|495107596|ref|WP_007832418.1|	phosphate ABC transporter permease [Bacteroides dorei] 
gi|495107601|ref|WP_007832423.1|	phosphate ABC transporter permease [Bacteroides dorei] 
gi|495107602|ref|WP_007832424.1|	MULTISPECIES: phosphate ABC transporter ATP-binding protein [Bacteroides] 
gi|495107603|ref|WP_007832425.1|	PhoU family transcriptional regulator [Bacteroides dorei] 
gi|495107604|ref|WP_007832426.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495107605|ref|WP_007832427.1|	MULTISPECIES: nucleotidyltransferase [Bacteroidales] 
gi|492435269|ref|WP_005843171.1|	MULTISPECIES: antitoxin [Bacteroides] 
gi|495107606|ref|WP_007832428.1|	transcriptional regulator [Bacteroides dorei] 
gi|492458927|ref|WP_005851526.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107607|ref|WP_007832429.1|	nucleotide-binding protein [Bacteroides dorei] 
gi|495107609|ref|WP_007832431.1|	hypothetical protein [Bacteroides dorei] 
gi|495107610|ref|WP_007832432.1|	hypothetical protein [Bacteroides dorei] 
gi|495107612|ref|WP_007832434.1|	glucose-1-phosphate cytidylyltransferase [Bacteroides dorei] 
gi|495107614|ref|WP_007832436.1|	CDP-glucose 4,6-dehydratase [Bacteroides dorei] 
gi|495107615|ref|WP_007832437.1|	hypothetical protein [Bacteroides dorei] 
gi|495107616|ref|WP_007832438.1|	CDP-abequose synthase [Bacteroides dorei] 
gi|495107617|ref|WP_007832439.1|	hypothetical protein [Bacteroides dorei] 
gi|495107627|ref|WP_007832449.1|	hypothetical protein [Bacteroides dorei] 
gi|495107630|ref|WP_007832452.1|	hypothetical protein [Bacteroides dorei] 
gi|495107632|ref|WP_007832454.1|	hypothetical protein [Bacteroides dorei] 
gi|495107639|ref|WP_007832461.1|	hypothetical protein [Bacteroides dorei] 
gi|495107640|ref|WP_007832462.1|	hypothetical protein [Bacteroides dorei] 
gi|495107642|ref|WP_007832464.1|	hypothetical protein [Bacteroides dorei] 
gi|495107643|ref|WP_007832465.1|	hypothetical protein [Bacteroides dorei] 
gi|495107645|ref|WP_007832467.1|	transferase [Bacteroides dorei] 
gi|495107646|ref|WP_007832468.1|	hypothetical protein [Bacteroides dorei] 
gi|495107647|ref|WP_007832469.1|	hypothetical protein [Bacteroides dorei] 
gi|495107648|ref|WP_007832470.1|	hypothetical protein [Bacteroides dorei] 
gi|495107652|ref|WP_007832474.1|	hypothetical protein [Bacteroides dorei] 
gi|495107653|ref|WP_007832475.1|	hypothetical protein [Bacteroides dorei] 
gi|495107658|ref|WP_007832480.1|	nucleotide-binding protein [Bacteroides dorei] 
gi|495107664|ref|WP_007832486.1|	hypothetical protein [Bacteroides dorei] 
gi|495107666|ref|WP_007832488.1|	hypothetical protein [Bacteroides dorei] 
gi|495107669|ref|WP_007832491.1|	DNA primase [Bacteroides dorei] 
gi|495107671|ref|WP_007832493.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107674|ref|WP_007832496.1|	hypothetical protein [Bacteroides dorei] 
gi|495107676|ref|WP_007832498.1|	MULTISPECIES: N-acetylmuramoyl-L-alanine amidase [Bacteroides] 
gi|495107681|ref|WP_007832503.1|	DNA-binding protein [Bacteroides dorei] 
gi|495107683|ref|WP_007832505.1|	hypothetical protein [Bacteroides dorei] 
gi|495107685|ref|WP_007832507.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107686|ref|WP_007832508.1|	hypothetical protein [Bacteroides dorei] 
gi|495107689|ref|WP_007832511.1|	ATPase AAA [Bacteroides dorei] 
gi|495107691|ref|WP_007832513.1|	glycerate dehydrogenase [Bacteroides dorei] 
gi|495107693|ref|WP_007832515.1|	hypothetical protein [Bacteroides dorei] 
gi|495107695|ref|WP_007832517.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107696|ref|WP_007832518.1|	MULTISPECIES: antitoxin HicB [Bacteroides] 
gi|495107697|ref|WP_007832519.1|	MULTISPECIES: GTP-binding protein LepA [Bacteroides] 
gi|495107699|ref|WP_007832521.1|	sodium:proton antiporter [Bacteroides dorei] 
gi|495107700|ref|WP_007832522.1|	histidine kinase [Bacteroides dorei] 
gi|495107701|ref|WP_007832523.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107702|ref|WP_007832524.1|	hypothetical protein [Bacteroides dorei] 
gi|495107703|ref|WP_007832525.1|	hypothetical protein [Bacteroides dorei] 
gi|495107704|ref|WP_007832526.1|	transglutaminase [Bacteroides dorei] 
gi|495107705|ref|WP_007832527.1|	MULTISPECIES: copper homeostasis protein CutC [Bacteroides] 
gi|495107706|ref|WP_007832528.1|	hypothetical protein [Bacteroides dorei] 
gi|495107707|ref|WP_007832529.1|	MULTISPECIES: glutaminase [Bacteroides] 
gi|495107708|ref|WP_007832530.1|	MULTISPECIES: glutamate decarboxylase [Bacteroides] 
gi|495107712|ref|WP_007832534.1|	MFS transporter [Bacteroides dorei] 
gi|495107722|ref|WP_007832544.1|	permease [Bacteroides dorei] 
gi|495107724|ref|WP_007832546.1|	threonine dehydratase [Bacteroides dorei] 
gi|495107726|ref|WP_007832548.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107728|ref|WP_007832550.1|	MULTISPECIES: ferredoxin [Bacteroides] 
gi|495107730|ref|WP_007832552.1|	MULTISPECIES: electron transporter RnfC [Bacteroides] 
gi|495107732|ref|WP_007832554.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107734|ref|WP_007832556.1|	hypothetical protein [Bacteroides dorei] 
gi|495107736|ref|WP_007832558.1|	MULTISPECIES: electron transporter RsxE [Bacteroides] 
gi|492427829|ref|WP_005841506.1|	MULTISPECIES: electron transport complex RsxE subunit [Bacteroidales] 
gi|495107738|ref|WP_007832560.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107740|ref|WP_007832562.1|	MULTISPECIES: UDP-galactose-4-epimerase [Bacteroides] 
gi|495107742|ref|WP_007832564.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495107743|ref|WP_007832565.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107744|ref|WP_007832566.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495107745|ref|WP_007832567.1|	MULTISPECIES: aspartate ammonia-lyase [Bacteroides] 
gi|492429872|ref|WP_005841517.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107746|ref|WP_007832568.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107747|ref|WP_007832569.1|	peptidase S9 [Bacteroides dorei] 
gi|495107750|ref|WP_007832572.1|	MULTISPECIES: aminopeptidase [Bacteroides] 
gi|495107751|ref|WP_007832573.1|	MULTISPECIES: peptidase [Bacteroides] 
gi|495107753|ref|WP_007832575.1|	MULTISPECIES: cyclic nucleotide-binding protein [Bacteroides] 
gi|495107754|ref|WP_007832576.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107755|ref|WP_007832577.1|	hypothetical protein [Bacteroides dorei] 
gi|495107756|ref|WP_007832578.1|	MULTISPECIES: long-chain fatty acid--CoA ligase [Bacteroides] 
gi|495107757|ref|WP_007832579.1|	diguanylate cyclase [Bacteroides dorei] 
gi|495107758|ref|WP_007832580.1|	alanine racemase [Bacteroides dorei] 
gi|495107764|ref|WP_007832586.1|	hypothetical protein [Bacteroides dorei] 
gi|495107766|ref|WP_007832588.1|	MULTISPECIES: fucose isomerase [Bacteroides] 
gi|495107768|ref|WP_007832590.1|	MULTISPECIES: aspartate aminotransferase [Bacteroides] 
gi|495107770|ref|WP_007832592.1|	MULTISPECIES: ABC transporter permease [Bacteroides] 
gi|495107771|ref|WP_007832593.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107773|ref|WP_007832595.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495107776|ref|WP_007832598.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107778|ref|WP_007832600.1|	hypothetical protein [Bacteroides dorei] 
gi|495107779|ref|WP_007832601.1|	hypothetical protein [Bacteroides dorei] 
gi|495107781|ref|WP_007832603.1|	MULTISPECIES: antibiotic biosynthesis monooxygenase [Bacteroides] 
gi|495107784|ref|WP_007832606.1|	glycosyltransferase family 2 [Bacteroides dorei] 
gi|495107786|ref|WP_007832608.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107788|ref|WP_007832610.1|	MULTISPECIES: diaminopimelate decarboxylase [Bacteroides] 
gi|492427530|ref|WP_005841213.1|	MULTISPECIES: aspartate kinase [Bacteroides] 
gi|495107790|ref|WP_007832612.1|	MULTISPECIES: phosphonate ABC transporter ATP-binding protein [Bacteroides] 
gi|495107792|ref|WP_007832614.1|	MULTISPECIES: phosphoribosyl-AMP cyclohydrolase [Bacteroides] 
gi|495107793|ref|WP_007832615.1|	MULTISPECIES: imidazole glycerol phosphate synthase [Bacteroides] 
gi|495107796|ref|WP_007832618.1|	MULTISPECIES: 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase [Bacteroides] 
gi|495107798|ref|WP_007832620.1|	MULTISPECIES: imidazole glycerol phosphate synthase [Bacteroides] 
gi|495107799|ref|WP_007832621.1|	MULTISPECIES: formyltetrahydrofolate deformylase [Bacteroides] 
gi|495107802|ref|WP_007832624.1|	hypothetical protein [Bacteroides dorei] 
gi|495107804|ref|WP_007832626.1|	MULTISPECIES: aldo/keto reductase [Bacteroides] 
gi|495107806|ref|WP_007832628.1|	MULTISPECIES: NADPH-flavin oxidoreductase [Bacteroides] 
gi|495107809|ref|WP_007832631.1|	2,5-diketo-D-gluconic acid reductase [Bacteroides dorei] 
gi|495107811|ref|WP_007832633.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107813|ref|WP_007832635.1|	flavodoxin [Bacteroides dorei] 
gi|495107816|ref|WP_007832638.1|	MULTISPECIES: acetyl transferase [Bacteroides] 
gi|495107818|ref|WP_007832640.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107820|ref|WP_007832642.1|	cation transporter [Bacteroides dorei] 
gi|495107822|ref|WP_007832644.1|	cystathionine beta-lyase [Bacteroides dorei] 
gi|495107825|ref|WP_007832647.1|	short-chain dehydrogenase [Bacteroides dorei] 
gi|495107826|ref|WP_007832648.1|	MULTISPECIES: AraC family transcriptional regulator [Bacteroides] 
gi|495107827|ref|WP_007832649.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495107828|ref|WP_007832650.1|	flavodoxin [Bacteroides dorei] 
gi|495107829|ref|WP_007832651.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107835|ref|WP_007832657.1|	oxidoreductase [Bacteroides dorei] 
gi|495107836|ref|WP_007832658.1|	aldo/keto reductase [Bacteroides dorei] 
gi|495107837|ref|WP_007832659.1|	5-amino-6-(5-phosphoribosylamino)uracil reductase [Bacteroides dorei] 
gi|495107838|ref|WP_007832660.1|	alpha/beta hydrolase [Bacteroides dorei] 
gi|495107839|ref|WP_007832661.1|	membrane protein [Bacteroides dorei] 
gi|495107840|ref|WP_007832662.1|	membrane protein [Bacteroides dorei] 
gi|495107841|ref|WP_007832663.1|	aldo/keto reductase [Bacteroides dorei] 
gi|495107842|ref|WP_007832664.1|	hypothetical protein [Bacteroides dorei] 
gi|495107843|ref|WP_007832665.1|	flavodoxin [Bacteroides dorei] 
gi|495107844|ref|WP_007832666.1|	hypothetical protein [Bacteroides dorei] 
gi|495107845|ref|WP_007832667.1|	hypothetical protein [Bacteroides dorei] 
gi|495107846|ref|WP_007832668.1|	hypothetical protein [Bacteroides dorei] 
gi|495107847|ref|WP_007832669.1|	hypothetical protein [Bacteroides dorei] 
gi|495107848|ref|WP_007832670.1|	hypothetical protein [Bacteroides dorei] 
gi|495107850|ref|WP_007832672.1|	MULTISPECIES: flavodoxin [Bacteroides] 
gi|495107851|ref|WP_007832673.1|	hypothetical protein [Bacteroides dorei] 
gi|495107854|ref|WP_007832676.1|	hypothetical protein [Bacteroides dorei] 
gi|495107856|ref|WP_007832678.1|	hypothetical protein [Bacteroides dorei] 
gi|495107858|ref|WP_007832680.1|	hypothetical protein [Bacteroides dorei] 
gi|495107860|ref|WP_007832682.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107861|ref|WP_007832683.1|	hypothetical protein [Bacteroides dorei] 
gi|495107862|ref|WP_007832684.1|	hypothetical protein [Bacteroides dorei] 
gi|495107863|ref|WP_007832685.1|	hypothetical protein [Bacteroides dorei] 
gi|495107868|ref|WP_007832690.1|	hypothetical protein [Bacteroides dorei] 
gi|495107870|ref|WP_007832692.1|	chromosome partitioning protein ParB [Bacteroides dorei] 
gi|495107872|ref|WP_007832694.1|	hypothetical protein [Bacteroides dorei] 
gi|495107874|ref|WP_007832696.1|	hypothetical protein [Bacteroides dorei] 
gi|495107876|ref|WP_007832698.1|	hypothetical protein [Bacteroides dorei] 
gi|495107879|ref|WP_007832701.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107880|ref|WP_007832702.1|	hypothetical protein [Bacteroides dorei] 
gi|495107881|ref|WP_007832703.1|	hypothetical protein [Bacteroides dorei] 
gi|495107882|ref|WP_007832704.1|	hypothetical protein [Bacteroides dorei] 
gi|495107883|ref|WP_007832705.1|	hypothetical protein [Bacteroides dorei] 
gi|495107885|ref|WP_007832707.1|	hypothetical protein [Bacteroides dorei] 
gi|495107886|ref|WP_007832708.1|	hypothetical protein [Bacteroides dorei] 
gi|495107887|ref|WP_007832709.1|	hypothetical protein [Bacteroides dorei] 
gi|495107888|ref|WP_007832710.1|	hypothetical protein [Bacteroides dorei] 
gi|495107889|ref|WP_007832711.1|	beta-galactosidase [Bacteroides dorei] 
gi|495107890|ref|WP_007832712.1|	hypothetical protein [Bacteroides dorei] 
gi|495107891|ref|WP_007832713.1|	hypothetical protein [Bacteroides dorei] 
gi|495107892|ref|WP_007832714.1|	hypothetical protein [Bacteroides dorei] 
gi|495107893|ref|WP_007832715.1|	hypothetical protein [Bacteroides dorei] 
gi|495107895|ref|WP_007832717.1|	hypothetical protein [Bacteroides dorei] 
gi|495107897|ref|WP_007832719.1|	hypothetical protein [Bacteroides dorei] 
gi|495107899|ref|WP_007832721.1|	hypothetical protein [Bacteroides dorei] 
gi|495107901|ref|WP_007832723.1|	aldo/keto reductase [Bacteroides dorei] 
gi|495107903|ref|WP_007832725.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107905|ref|WP_007832727.1|	hypothetical protein [Bacteroides dorei] 
gi|495107907|ref|WP_007832729.1|	hypothetical protein [Bacteroides dorei] 
gi|495107909|ref|WP_007832731.1|	hypothetical protein [Bacteroides dorei] 
gi|495107911|ref|WP_007832733.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495107913|ref|WP_007832735.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107929|ref|WP_007832751.1|	hypothetical protein partial [Bacteroides dorei] 
gi|492302587|ref|WP_005802624.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107930|ref|WP_007832752.1|	hypothetical protein [Bacteroides dorei] 
gi|495107931|ref|WP_007832753.1|	hypothetical protein [Bacteroides dorei] 
gi|495107932|ref|WP_007832754.1|	translation initiation factor 2 [Bacteroides dorei] 
gi|495107933|ref|WP_007832755.1|	hypothetical protein [Bacteroides dorei] 
gi|495107934|ref|WP_007832756.1|	hypothetical protein [Bacteroides dorei] 
gi|495107935|ref|WP_007832757.1|	hypothetical protein [Bacteroides dorei] 
gi|490416238|ref|WP_004288733.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490416237|ref|WP_004288732.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490416236|ref|WP_004288731.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|495107938|ref|WP_007832760.1|	hypothetical protein [Bacteroides dorei] 
gi|495107939|ref|WP_007832761.1|	hypothetical protein [Bacteroides dorei] 
gi|490416234|ref|WP_004288729.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|495107941|ref|WP_007832763.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|495107944|ref|WP_007832766.1|	hypothetical protein [Bacteroides dorei] 
gi|495107946|ref|WP_007832768.1|	hypothetical protein [Bacteroides dorei] 
gi|495107947|ref|WP_007832769.1|	hypothetical protein [Bacteroides dorei] 
gi|495107949|ref|WP_007832771.1|	hypothetical protein [Bacteroides dorei] 
gi|495107950|ref|WP_007832772.1|	hypothetical protein [Bacteroides dorei] 
gi|495107951|ref|WP_007832773.1|	hypothetical protein [Bacteroides dorei] 
gi|495107952|ref|WP_007832774.1|	hypothetical protein [Bacteroides dorei] 
gi|495107953|ref|WP_007832775.1|	hypothetical protein [Bacteroides dorei] 
gi|495107955|ref|WP_007832777.1|	hypothetical protein [Bacteroides dorei] 
gi|495107957|ref|WP_007832779.1|	ATPase AAA [Bacteroides dorei] 
gi|495107959|ref|WP_007832781.1|	hypothetical protein [Bacteroides dorei] 
gi|495107961|ref|WP_007832783.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|495107963|ref|WP_007832785.1|	type IV secretion protein Rhs [Bacteroides dorei] 
gi|495107965|ref|WP_007832787.1|	hypothetical protein [Bacteroides dorei] 
gi|492302559|ref|WP_005802596.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490416217|ref|WP_004288713.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495107970|ref|WP_007832792.1|	hypothetical protein [Bacteroides dorei] 
gi|495107972|ref|WP_007832794.1|	hypothetical protein [Bacteroides dorei] 
gi|495107974|ref|WP_007832796.1|	hypothetical protein [Bacteroides dorei] 
gi|495107976|ref|WP_007832798.1|	hypothetical protein [Bacteroides dorei] 
gi|495107978|ref|WP_007832800.1|	hypothetical protein [Bacteroides dorei] 
gi|495107979|ref|WP_007832801.1|	hypothetical protein [Bacteroides dorei] 
gi|495107980|ref|WP_007832802.1|	hypothetical protein [Bacteroides dorei] 
gi|495107981|ref|WP_007832803.1|	hypothetical protein [Bacteroides dorei] 
gi|495107982|ref|WP_007832804.1|	pseudohemocyanin-2 [Bacteroides dorei] 
gi|495107983|ref|WP_007832805.1|	TetR family transcriptional regulator [Bacteroides dorei] 
gi|495107984|ref|WP_007832806.1|	hypothetical protein [Bacteroides dorei] 
gi|495107985|ref|WP_007832807.1|	hypothetical protein [Bacteroides dorei] 
gi|495107986|ref|WP_007832808.1|	hypothetical protein [Bacteroides dorei] 
gi|495107987|ref|WP_007832809.1|	hypothetical protein [Bacteroides dorei] 
gi|495107988|ref|WP_007832810.1|	chemotaxis protein CheY [Bacteroides dorei] 
gi|495107989|ref|WP_007832811.1|	hypothetical protein [Bacteroides dorei] 
gi|495107991|ref|WP_007832813.1|	copper amine oxidase [Bacteroides dorei] 
gi|490416201|ref|WP_004288697.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|495107994|ref|WP_007832816.1|	DNA topoisomerase I [Bacteroides dorei] 
gi|495107996|ref|WP_007832818.1|	hypothetical protein [Bacteroides dorei] 
gi|495107998|ref|WP_007832820.1|	hypothetical protein [Bacteroides dorei] 
gi|495108000|ref|WP_007832822.1|	iron ABC transporter permease [Bacteroides dorei] 
gi|490416198|ref|WP_004288694.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|495108004|ref|WP_007832826.1|	hypothetical protein [Bacteroides dorei] 
gi|492302517|ref|WP_005802570.1|	MULTISPECIES: PRTRC system protein C [Bacteroides] 
gi|495108006|ref|WP_007832828.1|	hypothetical protein [Bacteroides dorei] 
gi|490416194|ref|WP_004288690.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108008|ref|WP_007832830.1|	hypothetical protein [Bacteroides dorei] 
gi|495108010|ref|WP_007832832.1|	hypothetical protein [Bacteroides dorei] 
gi|495108017|ref|WP_007832839.1|	hypothetical protein [Bacteroides dorei] 
gi|495108019|ref|WP_007832841.1|	hypothetical protein [Bacteroides dorei] 
gi|495108020|ref|WP_007832842.1|	transcriptional regulator [Bacteroides dorei] 
gi|495108022|ref|WP_007832844.1|	hypothetical protein [Bacteroides dorei] 
gi|495108024|ref|WP_007832846.1|	phosphoribosyltransferase [Bacteroides dorei] 
gi|490416187|ref|WP_004288683.1|	MULTISPECIES: transcriptional regulator [Bacteroidales] 
gi|495108026|ref|WP_007832848.1|	transcriptional regulator [Bacteroides dorei] 
gi|495108029|ref|WP_007832851.1|	hypothetical protein [Bacteroides dorei] 
gi|495108031|ref|WP_007832853.1|	hypothetical protein [Bacteroides dorei] 
gi|495108033|ref|WP_007832855.1|	DNA primase [Bacteroides dorei] 
gi|495108034|ref|WP_007832856.1|	hypothetical protein [Bacteroides dorei] 
gi|495108035|ref|WP_007832857.1|	MULTISPECIES: alpha-galactosidase [Bacteroides] 
gi|495108036|ref|WP_007832858.1|	LuxR family transcriptional regulator [Bacteroides dorei] 
gi|495108037|ref|WP_007832859.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108038|ref|WP_007832860.1|	multidrug transporter MatE [Bacteroides dorei] 
gi|495108040|ref|WP_007832862.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108042|ref|WP_007832864.1|	MULTISPECIES: leucyl/phenylalanyl-tRNA--protein transferase [Bacteroides] 
gi|495108044|ref|WP_007832866.1|	ATP-dependent Clp protease ClpA [Bacteroides dorei] 
gi|495108046|ref|WP_007832868.1|	ATP-dependent Clp protease ClpS [Bacteroides dorei] 
gi|495108048|ref|WP_007832870.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108050|ref|WP_007832872.1|	alpha-1 2-mannosidase [Bacteroides dorei] 
gi|495108052|ref|WP_007832874.1|	RNA polymerase sigma70 factor [Bacteroides dorei] 
gi|495108054|ref|WP_007832876.1|	MULTISPECIES: anti-sigma factor [Bacteroides] 
gi|495108055|ref|WP_007832877.1|	alpha-1 2-mannosidase [Bacteroides dorei] 
gi|495108061|ref|WP_007832883.1|	alpha-1 2-mannosidase [Bacteroides dorei] 
gi|495108063|ref|WP_007832885.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495108065|ref|WP_007832887.1|	membrane protein [Bacteroides dorei] 
gi|495108067|ref|WP_007832889.1|	hypothetical protein [Bacteroides dorei] 
gi|495108069|ref|WP_007832891.1|	MULTISPECIES: endonuclease [Bacteroides] 
gi|495108070|ref|WP_007832892.1|	hypothetical protein [Bacteroides dorei] 
gi|495108071|ref|WP_007832893.1|	hypothetical protein [Bacteroides dorei] 
gi|495108072|ref|WP_007832894.1|	MULTISPECIES: alpha-glucosidase [Bacteroides] 
gi|495108073|ref|WP_007832895.1|	major facilitator transporter [Bacteroides dorei] 
gi|495108074|ref|WP_007832896.1|	MULTISPECIES: glycosidase [Bacteroides] 
gi|495108075|ref|WP_007832897.1|	hypothetical protein [Bacteroides dorei] 
gi|495108077|ref|WP_007832899.1|	hypothetical protein [Bacteroides dorei] 
gi|495108079|ref|WP_007832901.1|	MULTISPECIES: NAD(P)H dehydrogenase [Bacteroides] 
gi|495108081|ref|WP_007832903.1|	MULTISPECIES: oxidoreductase [Bacteroides] 
