gi|494978815|ref|WP_007704839.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982214|ref|WP_007708238.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982215|ref|WP_007708239.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982216|ref|WP_007708240.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982217|ref|WP_007708241.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982218|ref|WP_007708242.1|	MULTISPECIES: C4-dicarboxylate ABC transporter [Clostridiales] 
gi|494982219|ref|WP_007708243.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982220|ref|WP_007708244.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982221|ref|WP_007708245.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982222|ref|WP_007708246.1|	fumarate reductase [[Clostridium] asparagiforme] 
gi|494982223|ref|WP_007708247.1|	MULTISPECIES: 4Fe-4S ferredoxin [Clostridiales] 
gi|494982224|ref|WP_007708248.1|	hydrogenase [[Clostridium] asparagiforme] 
gi|494982225|ref|WP_007708249.1|	MULTISPECIES: 4Fe-4S ferredoxin [Clostridiales] 
gi|494982226|ref|WP_007708250.1|	4Fe-4S ferredoxin [[Clostridium] asparagiforme] 
gi|494982227|ref|WP_007708251.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982228|ref|WP_007708252.1|	disulfide reductase [[Clostridium] asparagiforme] 
gi|494982229|ref|WP_007708253.1|	MULTISPECIES: heterodisulfide reductase [Clostridiales] 
gi|494982230|ref|WP_007708254.1|	disulfide reductase [[Clostridium] asparagiforme] 
gi|494982231|ref|WP_007708255.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982232|ref|WP_007708256.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982233|ref|WP_007708257.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982234|ref|WP_007708258.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982235|ref|WP_007708259.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982237|ref|WP_007708261.1|	aconitate hydratase [[Clostridium] asparagiforme] 
gi|494982239|ref|WP_007708263.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982241|ref|WP_007708265.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982243|ref|WP_007708267.1|	carbohydrate hydrolase [[Clostridium] asparagiforme] 
gi|494982244|ref|WP_007708268.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982246|ref|WP_007708270.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982247|ref|WP_007708271.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982249|ref|WP_007708273.1|	MULTISPECIES: mandelate racemase [Clostridiales] 
gi|494982251|ref|WP_007708275.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982253|ref|WP_007708277.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982255|ref|WP_007708279.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982256|ref|WP_007708280.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982258|ref|WP_007708282.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982259|ref|WP_007708283.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982260|ref|WP_007708284.1|	aconitate hydratase [[Clostridium] asparagiforme] 
gi|494982261|ref|WP_007708285.1|	aconitate hydratase [[Clostridium] asparagiforme] 
gi|494982262|ref|WP_007708286.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982263|ref|WP_007708287.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982264|ref|WP_007708288.1|	oxidoreductase [[Clostridium] asparagiforme] 
gi|494982265|ref|WP_007708289.1|	MULTISPECIES: guanylate kinase [Clostridiales] 
gi|494982266|ref|WP_007708290.1|	decarboxylase [[Clostridium] asparagiforme] 
gi|494982268|ref|WP_007708292.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982270|ref|WP_007708294.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982272|ref|WP_007708296.1|	ABC transporter [[Clostridium] asparagiforme] 
gi|494982274|ref|WP_007708298.1|	ABC transporter permease [[Clostridium] asparagiforme] 
gi|494982275|ref|WP_007708299.1|	MULTISPECIES: ABC transporter substrate-binding protein [Clostridiales] 
gi|494982277|ref|WP_007708301.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982279|ref|WP_007708303.1|	cystathionine beta-lyase [[Clostridium] asparagiforme] 
gi|494982281|ref|WP_007708305.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982283|ref|WP_007708307.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982285|ref|WP_007708309.1|	MULTISPECIES: MarR family transcriptional regulator [Clostridiales] 
gi|494982287|ref|WP_007708311.1|	peptide deformylase [[Clostridium] asparagiforme] 
gi|494982288|ref|WP_007708312.1|	MULTISPECIES: DNA-binding protein [Clostridiales] 
gi|494982291|ref|WP_007708315.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982293|ref|WP_007708317.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982295|ref|WP_007708319.1|	XRE family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494982297|ref|WP_007708321.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982299|ref|WP_007708323.1|	RNA-directed DNA polymerase [[Clostridium] asparagiforme] 
gi|494982301|ref|WP_007708325.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982302|ref|WP_007708326.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982304|ref|WP_007708328.1|	MULTISPECIES: galactokinase [Clostridiales] 
gi|494982306|ref|WP_007708330.1|	MULTISPECIES: mandelate racemase [Clostridiales] 
gi|494982307|ref|WP_007708331.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982308|ref|WP_007708332.1|	4-alpha-glucanotransferase [[Clostridium] asparagiforme] 
gi|494982310|ref|WP_007708334.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982312|ref|WP_007708336.1|	PTS sugar transporter subunit IIBC [[Clostridium] asparagiforme] 
gi|494982314|ref|WP_007708338.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982316|ref|WP_007708340.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982318|ref|WP_007708342.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982319|ref|WP_007708343.1|	MULTISPECIES: transcriptional regulator [Clostridiales] 
gi|494982321|ref|WP_007708345.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982323|ref|WP_007708347.1|	threonyl-tRNA synthetase [[Clostridium] asparagiforme] 
gi|494982325|ref|WP_007708349.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982327|ref|WP_007708351.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982329|ref|WP_007708353.1|	membrane protein [[Clostridium] asparagiforme] 
gi|494982331|ref|WP_007708355.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982332|ref|WP_007708356.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982333|ref|WP_007708357.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982334|ref|WP_007708358.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982335|ref|WP_007708359.1|	transcriptional regulator [[Clostridium] asparagiforme] 
gi|494982336|ref|WP_007708360.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982338|ref|WP_007708362.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982340|ref|WP_007708364.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982342|ref|WP_007708366.1|	diguanylate cyclase [[Clostridium] asparagiforme] 
gi|494982357|ref|WP_007708381.1|	cystathionine gamma-synthase [[Clostridium] asparagiforme] 
gi|494982358|ref|WP_007708382.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982360|ref|WP_007708384.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982362|ref|WP_007708386.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982364|ref|WP_007708388.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982365|ref|WP_007708389.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982367|ref|WP_007708391.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982369|ref|WP_007708393.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982371|ref|WP_007708395.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982373|ref|WP_007708397.1|	PTS galactitol transporter subunit IIC [[Clostridium] asparagiforme] 
gi|494982374|ref|WP_007708398.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982376|ref|WP_007708400.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982377|ref|WP_007708401.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982378|ref|WP_007708402.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982379|ref|WP_007708403.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982380|ref|WP_007708404.1|	6-phospho-beta-glucosidase [[Clostridium] asparagiforme] 
gi|494982381|ref|WP_007708405.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982382|ref|WP_007708406.1|	radical SAM protein [[Clostridium] asparagiforme] 
gi|494982383|ref|WP_007708407.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982384|ref|WP_007708408.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982385|ref|WP_007708409.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982386|ref|WP_007708410.1|	diadenosine tetraphosphate hydrolase [[Clostridium] asparagiforme] 
gi|494982388|ref|WP_007708412.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982389|ref|WP_007708413.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982391|ref|WP_007708415.1|	MULTISPECIES: sugar ABC transporter permease [Clostridiales] 
gi|494982393|ref|WP_007708417.1|	MULTISPECIES: sugar ABC transporter permease [Clostridiales] 
gi|494982395|ref|WP_007708419.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982397|ref|WP_007708421.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982399|ref|WP_007708423.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982401|ref|WP_007708425.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982406|ref|WP_007708430.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982407|ref|WP_007708431.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982408|ref|WP_007708432.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982409|ref|WP_007708433.1|	peptidase M23 [[Clostridium] asparagiforme] 
gi|494982410|ref|WP_007708434.1|	NADH-dependent butanol dehydrogenase [[Clostridium] asparagiforme] 
gi|494982412|ref|WP_007708436.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982414|ref|WP_007708438.1|	beta-lactamase [[Clostridium] asparagiforme] 
gi|494982415|ref|WP_007708439.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982416|ref|WP_007708440.1|	MULTISPECIES: signal peptidase I [Clostridiales] 
gi|494982417|ref|WP_007708441.1|	fructose-1,6-bisphosphatase [[Clostridium] asparagiforme] 
gi|494982418|ref|WP_007708442.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982420|ref|WP_007708444.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982421|ref|WP_007708445.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982422|ref|WP_007708446.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982423|ref|WP_007708447.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982424|ref|WP_007708448.1|	hydrolase Nlp/P60 [[Clostridium] asparagiforme] 
gi|494982426|ref|WP_007708450.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982429|ref|WP_007708453.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982431|ref|WP_007708455.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982433|ref|WP_007708457.1|	hydrolase Nlp/P60 [[Clostridium] asparagiforme] 
gi|494982435|ref|WP_007708459.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982437|ref|WP_007708461.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982439|ref|WP_007708463.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982441|ref|WP_007708465.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982443|ref|WP_007708467.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982446|ref|WP_007708470.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982448|ref|WP_007708472.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982449|ref|WP_007708473.1|	ABC transporter [[Clostridium] asparagiforme] 
gi|494982450|ref|WP_007708474.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982452|ref|WP_007708476.1|	iron ABC transporter ATP-binding protein [[Clostridium] asparagiforme] 
gi|494982454|ref|WP_007708478.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982456|ref|WP_007708480.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982458|ref|WP_007708482.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982460|ref|WP_007708484.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982462|ref|WP_007708486.1|	LysR family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494982463|ref|WP_007708487.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982466|ref|WP_007708490.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982473|ref|WP_007708497.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982475|ref|WP_007708499.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982477|ref|WP_007708501.1|	GTPase [[Clostridium] asparagiforme] 
gi|494982478|ref|WP_007708502.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982479|ref|WP_007708503.1|	MULTISPECIES: phosphodiesterase [Clostridiales] 
gi|494982480|ref|WP_007708504.1|	MULTISPECIES: RNA methyltransferase [Clostridiales] 
gi|494982481|ref|WP_007708505.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982482|ref|WP_007708506.1|	MULTISPECIES: nucleoside-triphosphate diphosphatase [Clostridiales] 
gi|494982483|ref|WP_007708507.1|	MULTISPECIES: phosphodiesterase [Clostridiales] 
gi|494982491|ref|WP_007708515.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982493|ref|WP_007708517.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982495|ref|WP_007708519.1|	MFS transporter [[Clostridium] asparagiforme] 
gi|494982497|ref|WP_007708521.1|	peptidase [[Clostridium] asparagiforme] 
gi|494982504|ref|WP_007708528.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982506|ref|WP_007708530.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982508|ref|WP_007708532.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982515|ref|WP_007708539.1|	methylated-DNA--protein-cysteine methyltransferase [[Clostridium] asparagiforme] 
gi|494982517|ref|WP_007708541.1|	(p)ppGpp synthetase [[Clostridium] asparagiforme] 
gi|494982518|ref|WP_007708542.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982519|ref|WP_007708543.1|	glutaredoxin [[Clostridium] asparagiforme] 
gi|494982522|ref|WP_007708546.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982523|ref|WP_007708547.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982524|ref|WP_007708548.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982525|ref|WP_007708549.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982527|ref|WP_007708551.1|	DNA topoisomerase III [[Clostridium] asparagiforme] 
gi|494982528|ref|WP_007708552.1|	acyl-CoA thioester hydrolase [[Clostridium] asparagiforme] 
gi|494982530|ref|WP_007708554.1|	choloylglycine hydrolase [[Clostridium] asparagiforme] 
gi|494982531|ref|WP_007708555.1|	TspO and MBR [[Clostridium] asparagiforme] 
gi|494982533|ref|WP_007708557.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982535|ref|WP_007708559.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982537|ref|WP_007708561.1|	cotJC protein [[Clostridium] asparagiforme] 
gi|494982539|ref|WP_007708563.1|	MULTISPECIES: GntR family transcriptional regulator [Clostridiales] 
gi|494982540|ref|WP_007708564.1|	transcriptional regulator [[Clostridium] asparagiforme] 
gi|494982541|ref|WP_007708565.1|	SAM-dependent methyltransferase [[Clostridium] asparagiforme] 
gi|494982542|ref|WP_007708566.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982543|ref|WP_007708567.1|	multidrug transporter MatE [[Clostridium] asparagiforme] 
gi|494982544|ref|WP_007708568.1|	histidine kinase [[Clostridium] asparagiforme] 
gi|494982545|ref|WP_007708569.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982546|ref|WP_007708570.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982548|ref|WP_007708572.1|	RND transporter [[Clostridium] asparagiforme] 
gi|494982550|ref|WP_007708574.1|	MULTISPECIES: acriflavin resistance protein [Clostridiales] 
gi|494982558|ref|WP_007708582.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982560|ref|WP_007708584.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982561|ref|WP_007708585.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982563|ref|WP_007708587.1|	phage tail protein [[Clostridium] asparagiforme] 
gi|494982565|ref|WP_007708589.1|	phage tail protein [[Clostridium] asparagiforme] 
gi|494982567|ref|WP_007708591.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982568|ref|WP_007708592.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982570|ref|WP_007708594.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982572|ref|WP_007708596.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982573|ref|WP_007708597.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982574|ref|WP_007708598.1|	ABC transporter permease [[Clostridium] asparagiforme] 
gi|494982575|ref|WP_007708599.1|	MULTISPECIES: ABC transporter permease [Clostridiales] 
gi|494982576|ref|WP_007708600.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982577|ref|WP_007708601.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982578|ref|WP_007708602.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982579|ref|WP_007708603.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982580|ref|WP_007708604.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982582|ref|WP_007708606.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982584|ref|WP_007708608.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982586|ref|WP_007708610.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982588|ref|WP_007708612.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982590|ref|WP_007708614.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982592|ref|WP_007708616.1|	beta-lactamase [[Clostridium] asparagiforme] 
gi|494982594|ref|WP_007708618.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982597|ref|WP_007708621.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982599|ref|WP_007708623.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982601|ref|WP_007708625.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982604|ref|WP_007708628.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982605|ref|WP_007708629.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982607|ref|WP_007708631.1|	isomerase [[Clostridium] asparagiforme] 
gi|494982608|ref|WP_007708632.1|	diguanylate cyclase [[Clostridium] asparagiforme] 
gi|494982609|ref|WP_007708633.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982610|ref|WP_007708634.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982611|ref|WP_007708635.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982612|ref|WP_007708636.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982613|ref|WP_007708637.1|	histidine kinase [[Clostridium] asparagiforme] 
gi|494982614|ref|WP_007708638.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982616|ref|WP_007708640.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982619|ref|WP_007708643.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982621|ref|WP_007708645.1|	helicase [[Clostridium] asparagiforme] 
gi|494982622|ref|WP_007708646.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982630|ref|WP_007708654.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982632|ref|WP_007708656.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982633|ref|WP_007708657.1|	magnesium transporter [[Clostridium] asparagiforme] 
gi|494982635|ref|WP_007708659.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|494982636|ref|WP_007708660.1|	pyruvate kinase [[Clostridium] asparagiforme] 
gi|494982637|ref|WP_007708661.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982638|ref|WP_007708662.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982639|ref|WP_007708663.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982640|ref|WP_007708664.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982642|ref|WP_007708666.1|	DEAD/DEAH box helicase [[Clostridium] asparagiforme] 
gi|494982644|ref|WP_007708668.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982646|ref|WP_007708670.1|	helicase [[Clostridium] asparagiforme] 
gi|494982648|ref|WP_007708672.1|	MULTISPECIES: CRISPR-associated protein [Clostridiales] 
gi|494982649|ref|WP_007708673.1|	CRISPR-associated protein Csd1 [[Clostridium] asparagiforme] 
gi|494982650|ref|WP_007708674.1|	CRISPR-associated protein Csh2 [[Clostridium] asparagiforme] 
gi|494982651|ref|WP_007708675.1|	CRISPR-associated protein Cas4 [[Clostridium] asparagiforme] 
gi|494982652|ref|WP_007708676.1|	CRISPR-associated protein Cas1 [[Clostridium] asparagiforme] 
gi|494982654|ref|WP_007708678.1|	MULTISPECIES: CRISPR-associated protein Cas4 [Clostridiales] 
gi|494982656|ref|WP_007708680.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982658|ref|WP_007708682.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982660|ref|WP_007708684.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982662|ref|WP_007708686.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982664|ref|WP_007708688.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982666|ref|WP_007708690.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982668|ref|WP_007708692.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982670|ref|WP_007708694.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982671|ref|WP_007708695.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982672|ref|WP_007708696.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982686|ref|WP_007708710.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982687|ref|WP_007708711.1|	HNH endonuclease [[Clostridium] asparagiforme] 
gi|494982689|ref|WP_007708713.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982691|ref|WP_007708715.1|	endonuclease III [[Clostridium] asparagiforme] 
gi|494982692|ref|WP_007708716.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982694|ref|WP_007708718.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982695|ref|WP_007708719.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982696|ref|WP_007708720.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982697|ref|WP_007708721.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982698|ref|WP_007708722.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982699|ref|WP_007708723.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982700|ref|WP_007708724.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982701|ref|WP_007708725.1|	peptide ABC transporter ATP-binding protein [[Clostridium] asparagiforme] 
gi|494982703|ref|WP_007708727.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982705|ref|WP_007708729.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982707|ref|WP_007708731.1|	sulfate ABC transporter ATP-binding protein [[Clostridium] asparagiforme] 
gi|494982710|ref|WP_007708734.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982712|ref|WP_007708736.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982714|ref|WP_007708738.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982716|ref|WP_007708740.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982718|ref|WP_007708742.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982720|ref|WP_007708744.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982722|ref|WP_007708746.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982723|ref|WP_007708747.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982725|ref|WP_007708749.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494982727|ref|WP_007708751.1|	MULTISPECIES: multidrug transporter MatE [Clostridiales] 
gi|494982729|ref|WP_007708753.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494982730|ref|WP_007708754.1|	MULTISPECIES: delta-lactam-biosynthetic de-N-acetylase [Clostridiales] 
gi|494982732|ref|WP_007708756.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982733|ref|WP_007708757.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982734|ref|WP_007708758.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982735|ref|WP_007708759.1|	multidrug ABC transporter ATP-binding protein [[Clostridium] asparagiforme] 
gi|494982736|ref|WP_007708760.1|	ABC transporter [[Clostridium] asparagiforme] 
gi|494982737|ref|WP_007708761.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982738|ref|WP_007708762.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982739|ref|WP_007708763.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982740|ref|WP_007708764.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494982742|ref|WP_007708766.1|	PTS 2-O-a-mannosyl-D-glycerate transporter subunit IIABC [[Clostridium] asparagiforme] 
gi|494982744|ref|WP_007708768.1|	alpha-mannosidase [[Clostridium] asparagiforme] 
gi|494982745|ref|WP_007708769.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|494982746|ref|WP_007708770.1|	50S ribosomal protein L11 methyltransferase [[Clostridium] asparagiforme] 
gi|494982747|ref|WP_007708771.1|	16S rRNA methyltransferase [[Clostridium] asparagiforme] 
