gi|493900435|ref|WP_006846241.1|	hypothetical protein [Prevotella copri] 
gi|493901261|ref|WP_006847048.1|	hypothetical protein [Prevotella copri] 
gi|493901262|ref|WP_006847049.1|	MgtC family protein [Prevotella copri] 
gi|493901263|ref|WP_006847050.1|	SAM-dependent methyltransferase [Prevotella copri] 
gi|493901264|ref|WP_006847051.1|	hypothetical protein [Prevotella copri] 
gi|493901265|ref|WP_006847052.1|	hypothetical protein [Prevotella copri] 
gi|493901266|ref|WP_006847053.1|	putative transcriptional regulator [Prevotella copri] 
gi|493901267|ref|WP_006847054.1|	hypothetical protein [Prevotella copri] 
gi|493901268|ref|WP_006847055.1|	hypothetical protein [Prevotella copri] 
gi|493901269|ref|WP_006847056.1|	hypothetical protein [Prevotella copri] 
gi|493901270|ref|WP_006847057.1|	hypothetical protein [Prevotella copri] 
gi|493901271|ref|WP_006847058.1|	hypothetical protein [Prevotella copri] 
gi|493901272|ref|WP_006847059.1|	ATPase [Prevotella copri] 
gi|493901273|ref|WP_006847060.1|	acyl-CoA dehydrogenase [Prevotella copri] 
gi|493901274|ref|WP_006847061.1|	30S ribosomal protein S23 [Prevotella copri] 
gi|493901275|ref|WP_006847062.1|	MULTISPECIES: electron transfer flavoprotein subunit alpha [Prevotella] 
gi|493901276|ref|WP_006847063.1|	MULTISPECIES: electron transfer flavoprotein subunit beta [Prevotella] 
gi|493901277|ref|WP_006847064.1|	riboflavin synthase subunit alpha [Prevotella copri] 
gi|493901278|ref|WP_006847065.1|	proline iminopeptidase [Prevotella copri] 
gi|493901279|ref|WP_006847066.1|	hypothetical protein [Prevotella copri] 
gi|493901280|ref|WP_006847067.1|	hypothetical protein [Prevotella copri] 
gi|493901281|ref|WP_006847068.1|	divergent AAA ATP [Prevotella copri] 
gi|493901282|ref|WP_006847069.1|	putative DNA-binding protein [Prevotella copri] 
gi|493901283|ref|WP_006847070.1|	histone acetyltransferase type B catalytic subunit [Prevotella copri] 
gi|493901284|ref|WP_006847071.1|	hypothetical protein [Prevotella copri] 
gi|493901285|ref|WP_006847072.1|	putative ATP-binding protein [Prevotella copri] 
gi|493901286|ref|WP_006847073.1|	thioredoxin [Prevotella copri] 
gi|493901287|ref|WP_006847074.1|	ATPase [Prevotella copri] 
gi|493901288|ref|WP_006847075.1|	modification methylase type III R/M system [Prevotella copri] 
gi|493901289|ref|WP_006847076.1|	hypothetical protein [Prevotella copri] 
gi|493901290|ref|WP_006847077.1|	hypothetical protein [Prevotella copri] 
gi|493901291|ref|WP_006847078.1|	DNA primase [Prevotella copri] 
gi|493901292|ref|WP_006847079.1|	cardiolipin synthetase [Prevotella copri] 
gi|493901293|ref|WP_006847080.1|	MULTISPECIES: methyltransferase [Prevotella] 
gi|493901294|ref|WP_006847081.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493901295|ref|WP_006847082.1|	hypothetical protein [Prevotella copri] 
gi|493901296|ref|WP_006847083.1|	ATP-dependent endonuclease [Prevotella copri] 
gi|493901297|ref|WP_006847084.1|	hypothetical protein [Prevotella copri] 
gi|493901298|ref|WP_006847085.1|	hypothetical protein [Prevotella copri] 
gi|493901299|ref|WP_006847086.1|	VirE protein [Prevotella copri] 
gi|493901300|ref|WP_006847087.1|	DNA binding domain excisionase family protein [Prevotella copri] 
gi|493901301|ref|WP_006847088.1|	hypothetical protein [Prevotella copri] 
gi|493901302|ref|WP_006847089.1|	adenine specific DNA methylase Mod [Prevotella copri] 
gi|493901303|ref|WP_006847090.1|	type III restriction enzyme res subunit superfamily [Prevotella copri] 
gi|493901304|ref|WP_006847091.1|	hypothetical protein [Prevotella copri] 
gi|493901305|ref|WP_006847092.1|	hypothetical protein [Prevotella copri] 
gi|493901306|ref|WP_006847093.1|	MULTISPECIES: transcription elongation protein SprT [Prevotella] 
gi|493901307|ref|WP_006847094.1|	hypothetical protein [Prevotella copri] 
gi|493901308|ref|WP_006847095.1|	alginate biosynthesis protein [Prevotella copri] 
gi|493901309|ref|WP_006847096.1|	thioredoxin family protein [Prevotella copri] 
gi|493901310|ref|WP_006847097.1|	peptidyl-dipeptidase [Prevotella copri] 
gi|493901311|ref|WP_006847098.1|	MFS transporter [Prevotella copri] 
gi|493901312|ref|WP_006847099.1|	hypothetical protein [Prevotella copri] 
gi|493901313|ref|WP_006847100.1|	lysozyme [Prevotella copri] 
gi|493901314|ref|WP_006847101.1|	hypothetical protein [Prevotella copri] 
gi|493901316|ref|WP_006847102.1|	hypothetical protein [Prevotella copri] 
gi|493901317|ref|WP_006847103.1|	hypothetical protein [Prevotella copri] 
gi|493901318|ref|WP_006847104.1|	hypothetical protein [Prevotella copri] 
gi|493901319|ref|WP_006847105.1|	putative 30S ribosomal protein S13 [Prevotella copri] 
gi|493901320|ref|WP_006847106.1|	keratin type 1 cytoskeletal 11 [Prevotella copri] 
gi|493901321|ref|WP_006847107.1|	DNA methylase [Prevotella copri] 
gi|493901322|ref|WP_006847108.1|	DNA methyltransferase [Prevotella copri] 
gi|493901323|ref|WP_006847109.1|	RNA helicase [Prevotella copri] 
gi|493901324|ref|WP_006847110.1|	hypothetical protein [Prevotella copri] 
gi|493901325|ref|WP_006847111.1|	hypothetical protein [Prevotella copri] 
gi|493901326|ref|WP_006847112.1|	hypothetical protein [Prevotella copri] 
gi|493901327|ref|WP_006847113.1|	hypothetical protein [Prevotella copri] 
gi|493901328|ref|WP_006847114.1|	DNA-binding protein [Prevotella copri] 
gi|493901329|ref|WP_006847115.1|	protein PopB [Prevotella copri] 
gi|493901330|ref|WP_006847116.1|	hypothetical protein [Prevotella copri] 
gi|493901331|ref|WP_006847117.1|	hypothetical protein [Prevotella copri] 
gi|493901332|ref|WP_006847118.1|	hypothetical protein [Prevotella copri] 
gi|493901333|ref|WP_006847119.1|	hypothetical protein [Prevotella copri] 
gi|493901334|ref|WP_006847120.1|	ATP-binding protein [Prevotella copri] 
gi|493901335|ref|WP_006847121.1|	hypothetical Cytosolic Protein [Prevotella copri] 
gi|493901336|ref|WP_006847122.1|	hypothetical protein [Prevotella copri] 
gi|493901337|ref|WP_006847123.1|	putative 30S ribosomal protein S4 partial [Prevotella copri] 
gi|493901338|ref|WP_006847124.1|	ATP-dependent DNA helicase RecG [Prevotella copri] 
gi|493901339|ref|WP_006847125.1|	hypothetical protein [Prevotella copri] 
gi|493901340|ref|WP_006847126.1|	BioY family protein [Prevotella copri] 
gi|493901341|ref|WP_006847127.1|	hypothetical protein [Prevotella copri] 
gi|493901342|ref|WP_006847128.1|	hypothetical protein [Prevotella copri] 
gi|493901343|ref|WP_006847129.1|	hypothetical protein [Prevotella copri] 
gi|493901344|ref|WP_006847130.1|	putative leucine rich repeat domain protein [Prevotella copri] 
gi|493901345|ref|WP_006847131.1|	hypothetical protein [Prevotella copri] 
gi|493901346|ref|WP_006847132.1|	hypothetical protein [Prevotella copri] 
gi|493901347|ref|WP_006847133.1|	hypothetical protein [Prevotella copri] 
gi|493901348|ref|WP_006847134.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493901349|ref|WP_006847135.1|	putative transcriptional regulator [Prevotella copri] 
gi|493901350|ref|WP_006847136.1|	hexapeptide transferase [Prevotella copri] 
gi|493901351|ref|WP_006847137.1|	ATPase [Prevotella copri] 
gi|493901352|ref|WP_006847138.1|	alanyl-tRNA synthetase [Prevotella copri] 
gi|493901353|ref|WP_006847139.1|	hypothetical protein [Prevotella copri] 
gi|493901354|ref|WP_006847140.1|	transcriptional regulator [Prevotella copri] 
gi|493901355|ref|WP_006847141.1|	pectinesterase [Prevotella copri] 
gi|493901356|ref|WP_006847142.1|	GTP pyrophosphokinase [Prevotella copri] 
gi|493901357|ref|WP_006847143.1|	lytic transglycosylase [Prevotella copri] 
gi|493901358|ref|WP_006847144.1|	hypothetical protein [Prevotella copri] 
gi|493901359|ref|WP_006847145.1|	chromosome partitioning protein ParB [Prevotella copri] 
gi|493901360|ref|WP_006847146.1|	chromosome partitioning protein ParA [Prevotella copri] 
gi|493901361|ref|WP_006847147.1|	stationary phase survival protein SurE [Prevotella copri] 
gi|493901362|ref|WP_006847148.1|	lipid-A-disaccharide synthase [Prevotella copri] 
gi|493901363|ref|WP_006847149.1|	CHU large protein endoglucanase glycoside hydrolase family 5 protein [Prevotella copri] 
gi|493901364|ref|WP_006847150.1|	phosphatidate cytidylyltransferase [Prevotella copri] 
gi|493901365|ref|WP_006847151.1|	cell division protein FtsH [Prevotella copri] 
gi|493901366|ref|WP_006847152.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493901367|ref|WP_006847153.1|	hypothetical protein [Prevotella copri] 
gi|493901368|ref|WP_006847154.1|	transporter [Prevotella copri] 
gi|493901369|ref|WP_006847155.1|	hypothetical protein [Prevotella copri] 
gi|493901370|ref|WP_006847156.1|	aminoacyl-histidine dipeptidase [Prevotella copri] 
gi|493901371|ref|WP_006847157.1|	membrane protein [Prevotella copri] 
gi|493901372|ref|WP_006847158.1|	16S rRNA methyltransferase [Prevotella copri] 
gi|493901373|ref|WP_006847159.1|	MULTISPECIES: ribosome recycling factor [Prevotella] 
gi|493901374|ref|WP_006847160.1|	MULTISPECIES: GTPase RsgA [Prevotella] 
gi|493901375|ref|WP_006847161.1|	putative AraC-type transcription regulator [Prevotella copri] 
gi|493901376|ref|WP_006847162.1|	peptidase [Prevotella copri] 
gi|493901377|ref|WP_006847163.1|	toxin Fic [Prevotella copri] 
gi|493901378|ref|WP_006847164.1|	helicase [Prevotella copri] 
gi|493901379|ref|WP_006847165.1|	hypothetical protein [Prevotella copri] 
gi|493901380|ref|WP_006847166.1|	transposase [Prevotella copri] 
gi|493901381|ref|WP_006847167.1|	chemotaxis protein CheY [Prevotella copri] 
gi|493901382|ref|WP_006847168.1|	peptide transporter [Prevotella copri] 
gi|493901383|ref|WP_006847169.1|	aldose 1-epimerase [Prevotella copri] 
gi|493901384|ref|WP_006847170.1|	hypothetical protein [Prevotella copri] 
gi|493901385|ref|WP_006847171.1|	membrane protein [Prevotella copri] 
gi|493901386|ref|WP_006847172.1|	transcriptional regulator [Prevotella copri] 
gi|493901387|ref|WP_006847173.1|	membrane protein [Prevotella copri] 
gi|493901388|ref|WP_006847174.1|	transporter [Prevotella copri] 
gi|493901389|ref|WP_006847175.1|	thiouridylase [Prevotella copri] 
gi|493901390|ref|WP_006847176.1|	protein tyrosine phosphatase [Prevotella copri] 
gi|493901391|ref|WP_006847177.1|	potassium uptake protein Trk family [Prevotella copri] 
gi|493901392|ref|WP_006847178.1|	transposase [Prevotella copri] 
gi|493901393|ref|WP_006847179.1|	DNA-binding protein [Prevotella copri] 
gi|493901394|ref|WP_006847180.1|	4-amino-4-deoxy-L-arabinose transferase [Prevotella copri] 
gi|493901395|ref|WP_006847181.1|	hypothetical protein [Prevotella copri] 
gi|493901396|ref|WP_006847182.1|	putative DNA primase [Prevotella copri] 
gi|493901397|ref|WP_006847183.1|	hypothetical protein [Prevotella copri] 
gi|493901398|ref|WP_006847184.1|	hypothetical protein [Prevotella copri] 
gi|493901399|ref|WP_006847185.1|	hypothetical protein [Prevotella copri] 
gi|493901400|ref|WP_006847186.1|	hypothetical protein [Prevotella copri] 
gi|493901401|ref|WP_006847187.1|	hypothetical protein [Prevotella copri] 
gi|493901402|ref|WP_006847188.1|	hypothetical protein [Prevotella copri] 
gi|493901403|ref|WP_006847189.1|	hypothetical protein [Prevotella copri] 
gi|493901404|ref|WP_006847190.1|	putative protein McrC [Prevotella copri] 
gi|493901405|ref|WP_006847191.1|	5-methylcytosine-specific restriction enzyme B [Prevotella copri] 
gi|493901406|ref|WP_006847192.1|	glutathione peroxidase 6 [Prevotella copri] 
gi|493901407|ref|WP_006847193.1|	beta-lactamase [Prevotella copri] 
gi|493901408|ref|WP_006847194.1|	4-amino-4-deoxychorismate lyase [Prevotella copri] 
gi|493901409|ref|WP_006847195.1|	putative para-aminobenzoate synthase component I [Prevotella copri] 
gi|493901410|ref|WP_006847196.1|	putative para-aminobenzoate synthase component I [Prevotella copri] 
gi|493901411|ref|WP_006847197.1|	putative para-aminobenzoate synthase component I [Prevotella copri] 
gi|493901412|ref|WP_006847198.1|	putative hydrogenase nickel insertion protein HypA [Prevotella copri] 
gi|493901413|ref|WP_006847199.1|	cytochrome D ubiquinol oxidase subunit II [Prevotella copri] 
gi|493901414|ref|WP_006847200.1|	cytochrome C oxidase subunit II [Prevotella copri] 
gi|493901415|ref|WP_006847201.1|	membrane protein [Prevotella copri] 
gi|493901416|ref|WP_006847202.1|	polysachharide biosynthesis protein [Prevotella copri] 
gi|493901417|ref|WP_006847203.1|	1-deoxy-D-xylulose-5-phosphate synthase [Prevotella copri] 
gi|493901418|ref|WP_006847204.1|	hypothetical protein [Prevotella copri] 
gi|493901419|ref|WP_006847205.1|	acid phosphatase [Prevotella copri] 
gi|493901420|ref|WP_006847206.1|	TonB-dependent receptor [Prevotella copri] 
gi|493901421|ref|WP_006847207.1|	hypothetical protein [Prevotella copri] 
gi|493901422|ref|WP_006847208.1|	MULTISPECIES: GDP-4-keto-6-deoxy-D-mannose-3 5-epimerase-4-reductase [Prevotella] 
gi|493901423|ref|WP_006847209.1|	GDP-D-mannose dehydratase [Prevotella copri] 
gi|493901424|ref|WP_006847210.1|	beta-phosphoglucomutase [Prevotella copri] 
gi|493901425|ref|WP_006847211.1|	MULTISPECIES: glucose-6-phosphate isomerase [Prevotella] 
gi|493901426|ref|WP_006847212.1|	glycerol-3-phosphate dehydrogenase [Prevotella copri] 
gi|493901427|ref|WP_006847213.1|	lysyl-tRNA synthetase [Prevotella copri] 
gi|493901428|ref|WP_006847214.1|	hypothetical protein [Prevotella copri] 
gi|493901429|ref|WP_006847215.1|	competence protein ComA [Prevotella copri] 
gi|493901430|ref|WP_006847216.1|	putative isochorismate synthase [Prevotella copri] 
gi|493901431|ref|WP_006847217.1|	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [Prevotella copri] 
gi|493901432|ref|WP_006847218.1|	dihydroxynaphthoic acid synthetase [Prevotella copri] 
gi|493901433|ref|WP_006847219.1|	MULTISPECIES: 7-cyano-7-deazaguanine reductase [Prevotella] 
gi|493901434|ref|WP_006847220.1|	membrane protein [Prevotella copri] 
gi|493901435|ref|WP_006847221.1|	phosphate sodium symporter [Prevotella copri] 
gi|493901436|ref|WP_006847222.1|	HAD hydrolase [Prevotella copri] 
gi|493901437|ref|WP_006847223.1|	hypothetical protein [Prevotella copri] 
gi|493901438|ref|WP_006847224.1|	CAAX protease [Prevotella copri] 
gi|493901439|ref|WP_006847225.1|	hypothetical protein [Prevotella copri] 
gi|493901440|ref|WP_006847226.1|	queuine tRNA-ribosyltransferase [Prevotella copri] 
gi|493901441|ref|WP_006847227.1|	tRNA delta(2)-isopentenylpyrophosphate transferase [Prevotella copri] 
gi|493901443|ref|WP_006847228.1|	hypothetical protein [Prevotella copri] 
gi|493901444|ref|WP_006847229.1|	UDP-N-acetylglucosamine acyltransferase [Prevotella copri] 
gi|493901445|ref|WP_006847230.1|	hydroxymyristoyl-ACP dehydratase [Prevotella copri] 
gi|493901446|ref|WP_006847231.1|	UDP-3-O-(3-hydroxymyristoyl) glucosamine N-acyltransferase [Prevotella copri] 
gi|493901447|ref|WP_006847232.1|	orotidine 5'-phosphate decarboxylase [Prevotella copri] 
gi|493901448|ref|WP_006847233.1|	peptide chain release factor 1 [Prevotella copri] 
gi|493901449|ref|WP_006847234.1|	hypothetical protein [Prevotella copri] 
gi|493901450|ref|WP_006847235.1|	phosphoribosylformylglycinamidine cyclo-ligase [Prevotella copri] 
gi|493901451|ref|WP_006847236.1|	shikimate 5-dehydrogenase [Prevotella copri] 
gi|493901452|ref|WP_006847237.1|	ubiquinone/menaquinone biosynthesis methyltransferase [Prevotella copri] 
gi|493901453|ref|WP_006847238.1|	phosphoribosylaminoimidazole-succinocarboxamide synthase [Prevotella copri] 
gi|493901454|ref|WP_006847239.1|	phosphate starvation protein PhoH [Prevotella copri] 
gi|493901455|ref|WP_006847240.1|	hypothetical protein [Prevotella copri] 
gi|493901456|ref|WP_006847241.1|	sodium:proton antiporter [Prevotella copri] 
gi|493901457|ref|WP_006847242.1|	peptidase T [Prevotella copri] 
gi|493901458|ref|WP_006847243.1|	asparagine synthase [Prevotella copri] 
gi|493901459|ref|WP_006847244.1|	hypothetical protein [Prevotella copri] 
gi|493901460|ref|WP_006847245.1|	DNA polymerase III subunit gamma/tau [Prevotella copri] 
gi|493901461|ref|WP_006847246.1|	septum formation initiator [Prevotella copri] 
gi|493901462|ref|WP_006847247.1|	hypothetical protein [Prevotella copri] 
gi|493901463|ref|WP_006847248.1|	hypothetical protein [Prevotella copri] 
gi|493901464|ref|WP_006847249.1|	dihydroorotase [Prevotella copri] 
gi|493901465|ref|WP_006847250.1|	5-methyltetrahydrofolate--homocysteine methyltransferase [Prevotella copri] 
gi|493901466|ref|WP_006847251.1|	Ser/Thr protein phosphatase family protein [Prevotella copri] 
gi|493901467|ref|WP_006847252.1|	1-acyl-sn-glycerol-3-phosphate acyltransferase [Prevotella copri] 
gi|493901468|ref|WP_006847253.1|	dolichyl-phosphate beta-D-mannosyltransferase [Prevotella copri] 
gi|493901469|ref|WP_006847254.1|	transcription-repair coupling factor [Prevotella copri] 
gi|493901470|ref|WP_006847255.1|	MULTISPECIES: tryptophan synthase subunit beta [Prevotella] 
gi|493901471|ref|WP_006847256.1|	hypothetical protein [Prevotella copri] 
gi|493901472|ref|WP_006847257.1|	MULTISPECIES: glutathione peroxidase [Prevotella] 
gi|493901473|ref|WP_006847258.1|	hypothetical protein [Prevotella copri] 
gi|493901474|ref|WP_006847259.1|	putative hydrolase [Prevotella copri] 
gi|493901475|ref|WP_006847260.1|	hypothetical protein [Prevotella copri] 
gi|493901476|ref|WP_006847261.1|	two-component system sensor histidine kinase/response regulator [Prevotella copri] 
gi|493901477|ref|WP_006847262.1|	putative TraQ protein [Prevotella copri] 
gi|493901478|ref|WP_006847263.1|	putative lipoprotein [Prevotella copri] 
gi|493901479|ref|WP_006847264.1|	putative nuclease [Prevotella copri] 
gi|493901480|ref|WP_006847265.1|	hypothetical protein [Prevotella copri] 
gi|493901481|ref|WP_006847266.1|	MULTISPECIES: 50S ribosomal protein L31 [Prevotella] 
gi|493901482|ref|WP_006847267.1|	hypothetical protein [Prevotella copri] 
gi|493901483|ref|WP_006847268.1|	endonuclease [Prevotella copri] 
gi|493901484|ref|WP_006847269.1|	DNA glycosylase [Prevotella copri] 
gi|493901485|ref|WP_006847270.1|	uridine/cytidine kinase [Prevotella copri] 
gi|493901486|ref|WP_006847271.1|	hypothetical protein [Prevotella copri] 
gi|493901487|ref|WP_006847272.1|	hypothetical protein [Prevotella copri] 
gi|493901488|ref|WP_006847273.1|	oxaloacetate decarboxylase [Prevotella copri] 
gi|493901489|ref|WP_006847274.1|	phosphohydrolase [Prevotella copri] 
gi|493901490|ref|WP_006847275.1|	hypothetical protein [Prevotella copri] 
gi|493901491|ref|WP_006847276.1|	hypothetical protein [Prevotella copri] 
gi|493901492|ref|WP_006847277.1|	transglycosylase [Prevotella copri] 
gi|493901493|ref|WP_006847278.1|	membrane protein [Prevotella copri] 
gi|493901494|ref|WP_006847279.1|	phosphoglycerate mutase [Prevotella copri] 
gi|493901495|ref|WP_006847280.1|	short-chain dehydrogenase [Prevotella copri] 
gi|493901496|ref|WP_006847281.1|	hypothetical protein [Prevotella copri] 
gi|493901497|ref|WP_006847282.1|	dTDP-4-dehydrorhamnose reductase [Prevotella copri] 
gi|493901498|ref|WP_006847283.1|	dTDP-glucose 4,6-dehydratase [Prevotella copri] 
gi|493901499|ref|WP_006847284.1|	hypothetical protein [Prevotella copri] 
gi|493901500|ref|WP_006847285.1|	glycoside hydrolase xylanase [Prevotella copri] 
gi|493901501|ref|WP_006847286.1|	membrane protein [Prevotella copri] 
gi|493901502|ref|WP_006847287.1|	hypothetical protein [Prevotella copri] 
gi|493901503|ref|WP_006847288.1|	carbon-nitrogen hydrolase [Prevotella copri] 
gi|493901504|ref|WP_006847289.1|	chloromuconate cycloisomerase [Prevotella copri] 
gi|493901505|ref|WP_006847290.1|	O-succinylbenzoic acid--CoA ligase [Prevotella copri] 
gi|493901506|ref|WP_006847291.1|	3-dehydroquinate synthase [Prevotella copri] 
gi|493901507|ref|WP_006847292.1|	collagen-binding protein [Prevotella copri] 
gi|493901508|ref|WP_006847293.1|	membrane protein [Prevotella copri] 
gi|493901509|ref|WP_006847294.1|	hypothetical protein [Prevotella copri] 
gi|493901510|ref|WP_006847295.1|	hypothetical protein [Prevotella copri] 
gi|493901511|ref|WP_006847296.1|	heat-shock protein Hsp15 [Prevotella copri] 
gi|493901512|ref|WP_006847297.1|	peptidyl-tRNA hydrolase [Prevotella copri] 
gi|493901513|ref|WP_006847298.1|	50S ribosomal protein L25 [Prevotella copri] 
gi|493901514|ref|WP_006847299.1|	hypothetical protein [Prevotella copri] 
gi|493901515|ref|WP_006847300.1|	antitermination factor NusB [Prevotella copri] 
gi|493901516|ref|WP_006847301.1|	MULTISPECIES: preprotein translocase subunit YajC [Prevotella] 
gi|493901517|ref|WP_006847302.1|	hypothetical protein [Prevotella copri] 
gi|493901518|ref|WP_006847303.1|	hypothetical protein [Prevotella copri] 
gi|493901519|ref|WP_006847304.1|	dephospho-CoA kinase [Prevotella copri] 
gi|493901520|ref|WP_006847305.1|	hypothetical protein [Prevotella copri] 
gi|493901521|ref|WP_006847306.1|	multidrug transporter MatE [Prevotella copri] 
gi|493901522|ref|WP_006847307.1|	toxin-antitoxin system toxin component Bro family partial [Prevotella copri] 
gi|493901523|ref|WP_006847308.1|	hypothetical protein partial [Prevotella copri] 
gi|493901524|ref|WP_006847309.1|	hypothetical protein [Prevotella copri] 
gi|493901525|ref|WP_006847310.1|	hypothetical protein [Prevotella copri] 
gi|493901526|ref|WP_006847311.1|	hypothetical protein [Prevotella copri] 
gi|493901527|ref|WP_006847312.1|	hypothetical protein [Prevotella copri] 
gi|493901528|ref|WP_006847313.1|	hypothetical protein [Prevotella copri] 
gi|493901529|ref|WP_006847314.1|	hypothetical protein [Prevotella copri] 
gi|493901530|ref|WP_006847315.1|	hypothetical protein [Prevotella copri] 
gi|493901531|ref|WP_006847316.1|	toxin-antitoxin system antitoxin component Xre family [Prevotella copri] 
gi|493901532|ref|WP_006847317.1|	hypothetical protein [Prevotella copri] 
gi|493901533|ref|WP_006847318.1|	putative prophage LambdaSa03 helicase [Prevotella copri] 
gi|493901534|ref|WP_006847319.1|	DNA methyltransferase [Prevotella copri] 
gi|493901535|ref|WP_006847320.1|	hypothetical protein [Prevotella copri] 
gi|493901536|ref|WP_006847321.1|	type II restriction-modification system restriction subunit [Prevotella copri] 
gi|493901537|ref|WP_006847322.1|	LlaJI restriction endonuclease family protein [Prevotella copri] 
gi|493901538|ref|WP_006847323.1|	patch repair protein [Prevotella copri] 
gi|493901539|ref|WP_006847324.1|	binding-protein-dependent transport system inner membrane component [Prevotella copri] 
gi|493901540|ref|WP_006847325.1|	hypothetical protein [Prevotella copri] 
gi|493901541|ref|WP_006847326.1|	ATPase [Prevotella copri] 
gi|493901542|ref|WP_006847327.1|	hypothetical protein [Prevotella copri] 
gi|493901543|ref|WP_006847328.1|	toxin RelE [Prevotella copri] 
gi|493901544|ref|WP_006847329.1|	XRE family transcriptional regulator [Prevotella copri] 
gi|493901545|ref|WP_006847330.1|	patch repair protein [Prevotella copri] 
gi|493901546|ref|WP_006847331.1|	hypothetical protein [Prevotella copri] 
gi|493901547|ref|WP_006847332.1|	putative toxin-antitoxin system antitoxin component [Prevotella copri] 
gi|493901548|ref|WP_006847333.1|	putative toxin-antitoxin system toxin component [Prevotella copri] 
gi|493901550|ref|WP_006847334.1|	hypothetical protein [Prevotella copri] 
gi|493901551|ref|WP_006847335.1|	hypothetical protein [Prevotella copri] 
gi|493901552|ref|WP_006847336.1|	hypothetical protein [Prevotella copri] 
gi|493901553|ref|WP_006847337.1|	hypothetical protein [Prevotella copri] 
gi|493901554|ref|WP_006847338.1|	ATPase AAA [Prevotella copri] 
gi|493901555|ref|WP_006847339.1|	DNA-binding protein [Prevotella copri] 
gi|493901556|ref|WP_006847340.1|	hypothetical protein [Prevotella copri] 
gi|493901557|ref|WP_006847341.1|	hypothetical protein [Prevotella copri] 
gi|493901558|ref|WP_006847342.1|	hypothetical protein [Prevotella copri] 
gi|493901559|ref|WP_006847343.1|	hypothetical protein [Prevotella copri] 
gi|493901560|ref|WP_006847344.1|	hypothetical protein [Prevotella copri] 
gi|493901561|ref|WP_006847345.1|	thiol protease/hemagglutinin PrtT [Prevotella copri] 
gi|493901562|ref|WP_006847346.1|	autotransporter [Prevotella copri] 
gi|493901563|ref|WP_006847347.1|	hypothetical protein [Prevotella copri] 
gi|493901564|ref|WP_006847348.1|	apolipoprotein acyltransferase [Prevotella copri] 
gi|493901565|ref|WP_006847349.1|	peptidylarginine deiminase-related protein [Prevotella copri] 
gi|493901566|ref|WP_006847350.1|	putative NIF3 family protein [Prevotella copri] 
gi|493901567|ref|WP_006847351.1|	hypothetical protein [Prevotella copri] 
gi|493901568|ref|WP_006847352.1|	molecular chaperone DnaJ [Prevotella copri] 
gi|493901569|ref|WP_006847353.1|	MULTISPECIES: acyl dehydratase [Prevotella] 
gi|493901570|ref|WP_006847354.1|	UDP-glucose dehydrogenase [Prevotella copri] 
gi|493901572|ref|WP_006847355.1|	hypothetical protein [Prevotella copri] 
gi|493901573|ref|WP_006847356.1|	type I restriction enzyme R protein [Prevotella copri] 
gi|493901574|ref|WP_006847357.1|	hypothetical protein [Prevotella copri] 
gi|493901575|ref|WP_006847358.1|	DNA polymerase III subunit delta [Prevotella copri] 
gi|493901576|ref|WP_006847359.1|	hypothetical protein [Prevotella copri] 
gi|493901577|ref|WP_006847360.1|	hypothetical protein [Prevotella copri] 
gi|493901578|ref|WP_006847361.1|	putative transcriptional regulator [Prevotella copri] 
gi|493901579|ref|WP_006847362.1|	MULTISPECIES: diguanylate cyclase [Prevotella] 
gi|493901580|ref|WP_006847363.1|	diguanylate cyclase [Prevotella copri] 
gi|493901581|ref|WP_006847364.1|	TPR-domain containing protein [Prevotella copri] 
gi|493901582|ref|WP_006847365.1|	hypothetical protein [Prevotella copri] 
gi|493901583|ref|WP_006847366.1|	MULTISPECIES: prephenate dehydratase [Prevotella] 
gi|493901584|ref|WP_006847367.1|	aminotransferase [Prevotella copri] 
gi|493901585|ref|WP_006847368.1|	cytochrome C4 [Prevotella copri] 
gi|493901586|ref|WP_006847369.1|	prephenate dehydratase [Prevotella copri] 
gi|493901587|ref|WP_006847370.1|	glutamate synthase [Prevotella copri] 
gi|493901588|ref|WP_006847371.1|	hypothetical protein [Prevotella copri] 
gi|493901589|ref|WP_006847372.1|	MULTISPECIES: signal recognition particle [Prevotella] 
gi|493901590|ref|WP_006847373.1|	5,10-methylene-tetrahydrofolate dehydrogenase [Prevotella copri] 
gi|493901591|ref|WP_006847374.1|	alpha-N-arabinofuranosidase [Prevotella copri] 
gi|493901592|ref|WP_006847375.1|	putative immunoreactive antigen PG32 [Prevotella copri] 
gi|493901593|ref|WP_006847376.1|	dihydroxy-acid dehydratase [Prevotella copri] 
gi|493901594|ref|WP_006847377.1|	acetolactate synthase [Prevotella copri] 
gi|493901595|ref|WP_006847378.1|	acetohydroxyacid synthase small subunit [Prevotella copri] 
gi|493901596|ref|WP_006847379.1|	acyl-ACP thioesterase [Prevotella copri] 
gi|493901597|ref|WP_006847380.1|	ketol-acid reductoisomerase [Prevotella copri] 
gi|493901598|ref|WP_006847381.1|	ATP-dependent DNA helicase RecQ [Prevotella copri] 
gi|493901599|ref|WP_006847382.1|	MULTISPECIES: recombination protein RecJ [Prevotella] 
