gi|491884269|ref|WP_005651557.1|	hypothetical protein partial [Bacteroides stercoris] 
gi|491886946|ref|WP_005653073.1|	glycosyltransferase family 2 [Bacteroides stercoris] 
gi|491886948|ref|WP_005653075.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886950|ref|WP_005653077.1|	glycosyltransferase family 2 [Bacteroides stercoris] 
gi|491886951|ref|WP_005653078.1|	glycosyltransferase family 2 [Bacteroides stercoris] 
gi|491886953|ref|WP_005653080.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886954|ref|WP_005653081.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886956|ref|WP_005653083.1|	ketohydroxyglutarate aldolase [Bacteroides stercoris] 
gi|491886957|ref|WP_005653084.1|	MULTISPECIES: 2-dehydro-3-deoxygluconokinase [Bacteroides] 
gi|491886959|ref|WP_005653086.1|	transcriptional regulator [Bacteroides stercoris] 
gi|491886960|ref|WP_005653087.1|	altronate hydrolase [Bacteroides stercoris] 
gi|491886962|ref|WP_005653089.1|	sodium:proton antiporter [Bacteroides stercoris] 
gi|491886963|ref|WP_005653090.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491886965|ref|WP_005653092.1|	30S ribosomal protein S16 [Bacteroides stercoris] 
gi|491886968|ref|WP_005653095.1|	thiol:disulfide interchange protein [Bacteroides stercoris] 
gi|491886970|ref|WP_005653097.1|	cobalamin biosynthesis protein [Bacteroides stercoris] 
gi|491886972|ref|WP_005653099.1|	MULTISPECIES: ribonucleoside triphosphate reductase [Bacteroides] 
gi|491886973|ref|WP_005653100.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886974|ref|WP_005653101.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886975|ref|WP_005653102.1|	adenosylmethionine-8-amino-7-oxononanoate aminotransferase [Bacteroides stercoris] 
gi|491886976|ref|WP_005653103.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886977|ref|WP_005653104.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886978|ref|WP_005653105.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886979|ref|WP_005653106.1|	malonyl-CoA O-methyltransferase [Bacteroides stercoris] 
gi|491886982|ref|WP_005653109.1|	dithiobiotin synthetase [Bacteroides stercoris] 
gi|491886984|ref|WP_005653111.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886986|ref|WP_005653113.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886988|ref|WP_005653115.1|	ABC transporter permease [Bacteroides stercoris] 
gi|491887134|ref|WP_005653117.1|	aspartate aminotransferase [Bacteroides stercoris] 
gi|491887137|ref|WP_005653119.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887140|ref|WP_005653121.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887143|ref|WP_005653123.1|	fucose isomerase [Bacteroides stercoris] 
gi|491887146|ref|WP_005653125.1|	sensor histidine kinase [Bacteroides stercoris] 
gi|491887149|ref|WP_005653127.1|	ABC transporter permease [Bacteroides stercoris] 
gi|491887152|ref|WP_005653128.1|	multidrug ABC transporter substrate-binding protein [Bacteroides stercoris] 
gi|491887155|ref|WP_005653130.1|	ABC transporter permease [Bacteroides stercoris] 
gi|491887159|ref|WP_005653132.1|	ABC transporter permease [Bacteroides stercoris] 
gi|491887162|ref|WP_005653134.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887166|ref|WP_005653136.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887169|ref|WP_005653138.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887172|ref|WP_005653140.1|	MULTISPECIES: macrolide ABC transporter ATP-binding protein [Bacteroides] 
gi|491887175|ref|WP_005653142.1|	ABC transporter permease [Bacteroides stercoris] 
gi|491887177|ref|WP_005653143.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887179|ref|WP_005653144.1|	MULTISPECIES: N-acetylmuramoyl-L-alanine amidase [Bacteroides] 
gi|491887182|ref|WP_005653146.1|	MULTISPECIES: cytidine deaminase [Bacteroides] 
gi|491887184|ref|WP_005653147.1|	ABC transporter ATP-binding protein [Bacteroides stercoris] 
gi|491887187|ref|WP_005653148.1|	ferredoxin [Bacteroides stercoris] 
gi|491887189|ref|WP_005653149.1|	aldo/keto reductase [Bacteroides stercoris] 
gi|491887192|ref|WP_005653151.1|	ligand-gated channel [Bacteroides stercoris] 
gi|491887193|ref|WP_005653152.1|	membrane protein [Bacteroides stercoris] 
gi|491887195|ref|WP_005653153.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887198|ref|WP_005653155.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887200|ref|WP_005653156.1|	prolyl-tRNA synthetase [Bacteroides stercoris] 
gi|491886510|ref|WP_005652643.1|	transposase [Bacteroides stercoris] 
gi|491885733|ref|WP_005652161.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887203|ref|WP_005653158.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887205|ref|WP_005653159.1|	nucleotidyltransferase [Bacteroides stercoris] 
gi|491887208|ref|WP_005653161.1|	DNA-binding protein [Bacteroides stercoris] 
gi|491887210|ref|WP_005653162.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887213|ref|WP_005653164.1|	XRE family transcriptional regulator [Bacteroides stercoris] 
gi|491887216|ref|WP_005653166.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887219|ref|WP_005653168.1|	regulator [Bacteroides stercoris] 
gi|491887221|ref|WP_005653169.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887223|ref|WP_005653170.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887226|ref|WP_005653172.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887229|ref|WP_005653174.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887231|ref|WP_005653175.1|	prevent-host-death protein [Bacteroides stercoris] 
gi|491887234|ref|WP_005653177.1|	toxin of toxin-antitoxin [Bacteroides stercoris] 
gi|491887237|ref|WP_005653179.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887240|ref|WP_005653181.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887243|ref|WP_005653183.1|	XRE family transcriptional regulator [Bacteroides stercoris] 
gi|491887245|ref|WP_005653184.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887247|ref|WP_005653186.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887249|ref|WP_005653187.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887252|ref|WP_005653189.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887255|ref|WP_005653191.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887258|ref|WP_005653193.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887261|ref|WP_005653195.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887263|ref|WP_005653196.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887265|ref|WP_005653197.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887267|ref|WP_005653198.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887269|ref|WP_005653199.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887273|ref|WP_005653202.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887276|ref|WP_005653204.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887279|ref|WP_005653206.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887282|ref|WP_005653208.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887288|ref|WP_005653211.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887291|ref|WP_005653213.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887294|ref|WP_005653215.1|	tyrosine recombinase [Bacteroides stercoris] 
gi|491887296|ref|WP_005653216.1|	cobinamide kinase [Bacteroides stercoris] 
gi|491887299|ref|WP_005653218.1|	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [Bacteroides stercoris] 
gi|491887300|ref|WP_005653219.1|	cobalamin (5'-phosphate) synthase [Bacteroides stercoris] 
gi|491887302|ref|WP_005653220.1|	phosphoglycerate mutase [Bacteroides stercoris] 
gi|491887305|ref|WP_005653222.1|	cobalamin biosynthesis protein CobD [Bacteroides stercoris] 
gi|491887308|ref|WP_005653224.1|	L-threonine-O-3-phosphate decarboxylase [Bacteroides stercoris] 
gi|491887310|ref|WP_005653225.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887312|ref|WP_005653226.1|	chloromuconate cycloisomerase [Bacteroides stercoris] 
gi|491887315|ref|WP_005653228.1|	dihydroxynaphthoic acid synthetase [Bacteroides stercoris] 
gi|491887319|ref|WP_005653230.1|	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [Bacteroides stercoris] 
gi|491887323|ref|WP_005653233.1|	isochorismate synthase [Bacteroides stercoris] 
gi|491887326|ref|WP_005653235.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887328|ref|WP_005653236.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887331|ref|WP_005653238.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887335|ref|WP_005653240.1|	CAAX protease [Bacteroides stercoris] 
gi|491887338|ref|WP_005653242.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887341|ref|WP_005653244.1|	transposase [Bacteroides stercoris] 
gi|491887343|ref|WP_005653245.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887349|ref|WP_005653249.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887352|ref|WP_005653251.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887354|ref|WP_005653252.1|	heat shock protein Hsp70 [Bacteroides stercoris] 
gi|491887359|ref|WP_005653254.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887362|ref|WP_005653256.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887365|ref|WP_005653258.1|	cell division protein [Bacteroides stercoris] 
gi|491887367|ref|WP_005653259.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887370|ref|WP_005653261.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887373|ref|WP_005653263.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887376|ref|WP_005653265.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887378|ref|WP_005653266.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887381|ref|WP_005653268.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887384|ref|WP_005653270.1|	excisionase [Bacteroides stercoris] 
gi|491887387|ref|WP_005653272.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887389|ref|WP_005653273.1|	integrase [Bacteroides stercoris] 
gi|491887392|ref|WP_005653275.1|	transposase [Bacteroides stercoris] 
gi|491887394|ref|WP_005653276.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887397|ref|WP_005653278.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887399|ref|WP_005653279.1|	tyrosine recombinase [Bacteroides stercoris] 
gi|491887404|ref|WP_005653282.1|	membrane protein [Bacteroides stercoris] 
gi|491887407|ref|WP_005653284.1|	hemolysin secretion protein D [Bacteroides stercoris] 
gi|491887410|ref|WP_005653286.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887412|ref|WP_005653287.1|	ABC transporter [Bacteroides stercoris] 
gi|491887415|ref|WP_005653289.1|	ATP:cob(I)alamin adenosyltransferase [Bacteroides stercoris] 
gi|491887417|ref|WP_005653290.1|	cobyrinic acid a,c-diamide synthase [Bacteroides stercoris] 
gi|491887420|ref|WP_005653292.1|	phosphotransferase [Bacteroides stercoris] 
gi|491887422|ref|WP_005653293.1|	mannose-1-phosphate guanyltransferase [Bacteroides stercoris] 
gi|491887425|ref|WP_005653295.1|	ligand-gated channel protein [Bacteroides stercoris] 
gi|491887428|ref|WP_005653297.1|	heme-binding protein [Bacteroides stercoris] 
gi|491887431|ref|WP_005653299.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887433|ref|WP_005653300.1|	ligand-gated channel protein [Bacteroides stercoris] 
gi|491887436|ref|WP_005653302.1|	cobalt chelatase [Bacteroides stercoris] 
gi|491887438|ref|WP_005653303.1|	MULTISPECIES: precorrin-3B C17-methyltransferase [Bacteroides] 
gi|491887441|ref|WP_005653305.1|	cytochrome D ubiquinol oxidase subunit II [Bacteroides stercoris] 
gi|491887443|ref|WP_005653306.1|	cobalamin biosynthesis protein CbiG [Bacteroides stercoris] 
gi|491887446|ref|WP_005653308.1|	precorrin-6x reductase [Bacteroides stercoris] 
gi|491887449|ref|WP_005653310.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887451|ref|WP_005653311.1|	iron ABC transporter ATP-binding protein [Bacteroides stercoris] 
gi|491887454|ref|WP_005653313.1|	iron ABC transporter [Bacteroides stercoris] 
gi|491887456|ref|WP_005653314.1|	iron ABC transporter substrate-binding protein [Bacteroides stercoris] 
gi|491887460|ref|WP_005653315.1|	pyridine nucleotide-disulfide oxidoreductase [Bacteroides stercoris] 
gi|491887462|ref|WP_005653316.1|	pyridine nucleotide-disulfide oxidoreductase [Bacteroides stercoris] 
gi|491887465|ref|WP_005653317.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|491887467|ref|WP_005653318.1|	transcriptional regulator [Bacteroides stercoris] 
gi|491887469|ref|WP_005653319.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887471|ref|WP_005653320.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887473|ref|WP_005653321.1|	peptide transporter [Bacteroides stercoris] 
gi|491887475|ref|WP_005653322.1|	beta-xylanase [Bacteroides stercoris] 
gi|491887477|ref|WP_005653323.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887479|ref|WP_005653324.1|	xylanase [Bacteroides stercoris] 
gi|491887481|ref|WP_005653325.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|491887483|ref|WP_005653326.1|	MULTISPECIES: NADH pyrophosphatase [Bacteroides] 
gi|491887485|ref|WP_005653327.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887490|ref|WP_005653330.1|	phosphoglucomutase [Bacteroides stercoris] 
gi|491887493|ref|WP_005653331.1|	peptidase C69 [Bacteroides stercoris] 
gi|491887495|ref|WP_005653332.1|	peptidase M23 [Bacteroides stercoris] 
gi|491887497|ref|WP_005653333.1|	alanine dehydrogenase [Bacteroides stercoris] 
gi|491887499|ref|WP_005653334.1|	MULTISPECIES: MFS transporter [Bacteroides] 
gi|491887501|ref|WP_005653335.1|	MULTISPECIES: glutamate decarboxylase [Bacteroides] 
gi|491887503|ref|WP_005653336.1|	glutaminase [Bacteroides stercoris] 
gi|491887506|ref|WP_005653338.1|	potassium channel protein [Bacteroides stercoris] 
gi|491887508|ref|WP_005653339.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887512|ref|WP_005653342.1|	2-nitropropane dioxygenase [Bacteroides stercoris] 
gi|491887514|ref|WP_005653343.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887517|ref|WP_005653345.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887519|ref|WP_005653346.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887522|ref|WP_005653348.1|	RNA polymerase sigma70 factor [Bacteroides stercoris] 
gi|491887525|ref|WP_005653350.1|	MULTISPECIES: nicotinate-nucleotide pyrophosphorylase [Bacteroides] 
gi|491887529|ref|WP_005653352.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491887532|ref|WP_005653354.1|	50S rRNA methyltransferase [Bacteroides stercoris] 
gi|491887535|ref|WP_005653356.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|491887537|ref|WP_005653357.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [Bacteroides stercoris] 
gi|491887540|ref|WP_005653359.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491887541|ref|WP_005653360.1|	hypothetical protein [Bacteroides stercoris] 
gi|488624878|ref|WP_002561589.1|	MULTISPECIES: RNA polymerase sigma factor rpoD [Bacteroides] 
gi|491887615|ref|WP_005653415.1|	type I deoxyribonuclease HsdR [Bacteroides stercoris] 
gi|491887617|ref|WP_005653417.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887618|ref|WP_005653418.1|	cysteine protease [Bacteroides stercoris] 
gi|491887620|ref|WP_005653420.1|	muconate cycloisomerase [Bacteroides stercoris] 
gi|491887622|ref|WP_005653422.1|	MULTISPECIES: cytochrome C [Bacteroides] 
gi|491887624|ref|WP_005653424.1|	MULTISPECIES: ribonuclease BN [Bacteroides] 
gi|491887626|ref|WP_005653426.1|	MULTISPECIES: NAD(P)H nitroreductase [Bacteroides] 
gi|491887628|ref|WP_005653428.1|	riboflavin synthase subunit alpha [Bacteroides stercoris] 
gi|491887629|ref|WP_005653429.1|	PhoU family transcriptional regulator [Bacteroides stercoris] 
gi|491887631|ref|WP_005653431.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887633|ref|WP_005653433.1|	glutaminyl-tRNA synthetase [Bacteroides stercoris] 
gi|491887635|ref|WP_005653435.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887637|ref|WP_005653437.1|	membrane protein [Bacteroides stercoris] 
gi|491887639|ref|WP_005653439.1|	MULTISPECIES: lipid hydroperoxide peroxidase [Bacteroides] 
gi|491887642|ref|WP_005653442.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|491887644|ref|WP_005653444.1|	MULTISPECIES: invertase [Bacteroides] 
gi|491887645|ref|WP_005653445.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491887646|ref|WP_005653446.1|	alanine racemase [Bacteroides stercoris] 
gi|491887648|ref|WP_005653448.1|	diguanylate cyclase [Bacteroides stercoris] 
gi|491887650|ref|WP_005653450.1|	phosphate starvation protein PhoH [Bacteroides stercoris] 
gi|491887651|ref|WP_005653451.1|	dihydrofolate synthase [Bacteroides stercoris] 
gi|491887652|ref|WP_005653452.1|	endoribonuclease L-PSP [Bacteroides stercoris] 
gi|491887653|ref|WP_005653453.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887654|ref|WP_005653454.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887655|ref|WP_005653455.1|	RNA methyltransferase [Bacteroides stercoris] 
gi|491887656|ref|WP_005653456.1|	DNA repair protein RecN [Bacteroides stercoris] 
gi|491887657|ref|WP_005653457.1|	MULTISPECIES: phosphopantothenoylcysteine decarboxylase [Bacteroides] 
gi|491887658|ref|WP_005653458.1|	MULTISPECIES: DNA polymerase III subunit epsilon [Bacteroides] 
gi|491887659|ref|WP_005653459.1|	MULTISPECIES: DNA polymerase III subunit beta [Bacteroides] 
gi|491887660|ref|WP_005653460.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887661|ref|WP_005653461.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887662|ref|WP_005653462.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887664|ref|WP_005653464.1|	MULTISPECIES: hydrolase [Bacteroides] 
gi|491887665|ref|WP_005653465.1|	UDP-N-acetylenolpyruvoylglucosamine reductase [Bacteroides stercoris] 
gi|491887667|ref|WP_005653467.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887669|ref|WP_005653469.1|	MULTISPECIES: UDP-glucose 4-epimerase [Bacteroides] 
gi|491887671|ref|WP_005653471.1|	2-amino-3-ketobutyrate CoA ligase [Bacteroides stercoris] 
gi|491887674|ref|WP_005653474.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887676|ref|WP_005653476.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887678|ref|WP_005653478.1|	MULTISPECIES: ferritin [Bacteroides] 
gi|491887679|ref|WP_005653479.1|	N-acetylmuramoyl-L-alanine amidase [Bacteroides stercoris] 
gi|491887681|ref|WP_005653481.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887717|ref|WP_005653516.1|	hypothetical protein partial [Bacteroides stercoris] 
gi|491885733|ref|WP_005652161.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885997|ref|WP_005652316.1|	transposase [Bacteroides stercoris] 
gi|491887718|ref|WP_005653517.1|	transposase [Bacteroides stercoris] 
gi|491887720|ref|WP_005653519.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887721|ref|WP_005653520.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887723|ref|WP_005653522.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887724|ref|WP_005653523.1|	Fe-S osidoreductase [Bacteroides stercoris] 
gi|491887726|ref|WP_005653525.1|	AraC family transcriptional regulator [Bacteroides stercoris] 
gi|491887727|ref|WP_005653526.1|	transposase [Bacteroides stercoris] 
gi|491887728|ref|WP_005653527.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887729|ref|WP_005653528.1|	transposase IS116/IS110/IS902 family [Bacteroides stercoris] 
gi|491887731|ref|WP_005653530.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887732|ref|WP_005653531.1|	transposase [Bacteroides stercoris] 
gi|491887734|ref|WP_005653533.1|	MULTISPECIES: heme ABC transporter ATP-binding protein [Bacteroides] 
gi|491887735|ref|WP_005653534.1|	MULTISPECIES: TonB-denpendent receptor [Bacteroides] 
gi|491887737|ref|WP_005653536.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887738|ref|WP_005653537.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887740|ref|WP_005653539.1|	TonB-dependent receptor [Bacteroides stercoris] 
gi|491887741|ref|WP_005653540.1|	endonuclease [Bacteroides stercoris] 
gi|491887743|ref|WP_005653542.1|	glycerate dehydrogenase [Bacteroides stercoris] 
gi|491887744|ref|WP_005653543.1|	MULTISPECIES: ATPase AAA [Bacteroides] 
gi|491887745|ref|WP_005653544.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887747|ref|WP_005653546.1|	membrane protein [Bacteroides stercoris] 
gi|491887748|ref|WP_005653547.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887750|ref|WP_005653549.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887751|ref|WP_005653550.1|	MULTISPECIES: UDP-N-acetylglucosamine 2-epimerase [Bacteroides] 
gi|491887753|ref|WP_005653552.1|	membrane protein [Bacteroides stercoris] 
gi|491887754|ref|WP_005653553.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491887758|ref|WP_005653557.1|	MULTISPECIES: RNA polymerase sigma factor [Bacteroides] 
gi|491887760|ref|WP_005653559.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887763|ref|WP_005653562.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887764|ref|WP_005653563.1|	oxaloacetate decarboxylase [Bacteroides stercoris] 
gi|491887767|ref|WP_005653566.1|	sensor histidine kinase [Bacteroides stercoris] 
gi|491887769|ref|WP_005653568.1|	glycosyl transferase [Bacteroides stercoris] 
gi|491887771|ref|WP_005653570.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887774|ref|WP_005653573.1|	aminopeptidase [Bacteroides stercoris] 
gi|491887777|ref|WP_005653576.1|	MULTISPECIES: Na(+)-translocating NADH-quinone reductase subunit A [Bacteroides] 
gi|491887780|ref|WP_005653578.1|	Na(+)-translocating NADH-quinone reductase subunit B [Bacteroides stercoris] 
gi|491887781|ref|WP_005653579.1|	Na(+)-translocating NADH-quinone reductase subunit C [Bacteroides stercoris] 
gi|490418429|ref|WP_004290756.1|	MULTISPECIES: Na(+)-translocating NADH-quinone reductase subunit D [Bacteroides] 
gi|491887787|ref|WP_005653585.1|	MULTISPECIES: Na(+)-translocating NADH-quinone reductase subunit E [Bacteroides] 
gi|491887788|ref|WP_005653586.1|	Na(+)-translocating NADH-quinone reductase subunit F [Bacteroides stercoris] 
gi|491887790|ref|WP_005653588.1|	ATPase AAA [Bacteroides stercoris] 
gi|491887791|ref|WP_005653589.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887793|ref|WP_005653591.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887795|ref|WP_005653593.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887797|ref|WP_005653595.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887799|ref|WP_005653597.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887802|ref|WP_005653600.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|491887805|ref|WP_005653603.1|	hypothetical protein [Bacteroides stercoris] 
gi|491887806|ref|WP_005653604.1|	hypothetical protein [Bacteroides stercoris] 
gi|490419229|ref|WP_004291535.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490419228|ref|WP_004291534.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490419227|ref|WP_004291533.1|	MULTISPECIES: hypothetical protein [Bacteroidetes] 
gi|490419226|ref|WP_004291532.1|	MULTISPECIES: hypothetical protein [Bacteroidetes] 
gi|490419225|ref|WP_004291531.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490419223|ref|WP_004291530.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490419222|ref|WP_004291529.1|	MULTISPECIES: hypothetical protein [Bacteroidetes] 
gi|490419221|ref|WP_004291528.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490419220|ref|WP_004291527.1|	MULTISPECIES: hypothetical protein [Bacteroidetes] 
gi|490419219|ref|WP_004291526.1|	MULTISPECIES: lysozyme [Bacteroidetes] 
gi|490419218|ref|WP_004291525.1|	MULTISPECIES: conjugal transfer protein TraQ [Bacteroidetes] 
gi|490419217|ref|WP_004291524.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490419216|ref|WP_004291523.1|	MULTISPECIES: conjugal transfer protein TraO [Bacteroidetes] 
gi|490419215|ref|WP_004291522.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490419214|ref|WP_004291521.1|	MULTISPECIES: hypothetical protein [Bacteroidetes] 
gi|490419213|ref|WP_004291520.1|	MULTISPECIES: conjugal transfer protein TraL [Bacteroidetes] 
gi|490419212|ref|WP_004291519.1|	MULTISPECIES: conjugal transfer protein [Bacteroidales] 
gi|490419211|ref|WP_004291518.1|	MULTISPECIES: conjugal transfer protein [Bacteroidetes] 
gi|490419210|ref|WP_004291517.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490419209|ref|WP_004291516.1|	MULTISPECIES: conjugal transfer protein TraH [Bacteroidales] 
gi|490419208|ref|WP_004291515.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490419207|ref|WP_004291514.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|488624272|ref|WP_002560983.1|	MULTISPECIES: hypothetical protein [Bacteroidetes] 
gi|491887813|ref|WP_005653611.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490419200|ref|WP_004291508.1|	MULTISPECIES: conjugal transfer protein TraD [Bacteroidales] 
gi|490419197|ref|WP_004291505.1|	MULTISPECIES: conjugal transfer protein TraB [Bacteroidetes] 
gi|490419195|ref|WP_004291503.1|	MULTISPECIES: hypothetical protein [Bacteroidetes] 
gi|490419184|ref|WP_004291492.1|	MULTISPECIES: conjugal transfer protein TraA [Bacteroidales] 
gi|491887815|ref|WP_005653613.1|	hypothetical protein [Bacteroides stercoris] 
gi|490419180|ref|WP_004291488.1|	MULTISPECIES: hypothetical protein [Bacteroidetes] 
gi|490419175|ref|WP_004291483.1|	MULTISPECIES: relaxase [Bacteroidetes] 
gi|490419173|ref|WP_004291482.1|	MULTISPECIES: conjugal transfer protein TraG [Bacteroidetes] 
gi|491887816|ref|WP_005653614.1|	NTPase [Bacteroides stercoris] 
gi|490419171|ref|WP_004291480.1|	MULTISPECIES: ATPase [Bacteroidetes] 
gi|490419168|ref|WP_004291477.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490419167|ref|WP_004291476.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
