gi|490935456|ref|WP_004797295.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936334|ref|WP_004798171.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936335|ref|WP_004798172.1|	membrane protein [[Eubacterium] dolichum] 
gi|490936336|ref|WP_004798173.1|	excinuclease ABC subunit B [[Eubacterium] dolichum] 
gi|490936337|ref|WP_004798174.1|	peptidase [[Eubacterium] dolichum] 
gi|490936338|ref|WP_004798175.1|	cell division protein [[Eubacterium] dolichum] 
gi|490936339|ref|WP_004798176.1|	MULTISPECIES: cell division protein FtsE [Firmicutes] 
gi|490936340|ref|WP_004798177.1|	peptidase M23 [[Eubacterium] dolichum] 
gi|490936341|ref|WP_004798178.1|	MULTISPECIES: cell division protein [Firmicutes] 
gi|490936342|ref|WP_004798179.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936343|ref|WP_004798180.1|	glycosyltransferase [[Eubacterium] dolichum] 
gi|490936345|ref|WP_004798182.1|	MULTISPECIES: peptide chain release factor 2 [Firmicutes] 
gi|490936347|ref|WP_004798184.1|	preprotein translocase subunit SecA [[Eubacterium] dolichum] 
gi|490936350|ref|WP_004798187.1|	MULTISPECIES: cold-shock protein [Firmicutes] 
gi|490936352|ref|WP_004798189.1|	MULTISPECIES: cold-shock protein [Firmicutes] 
gi|490936354|ref|WP_004798191.1|	MULTISPECIES: competence protein ComF [Firmicutes] 
gi|490936355|ref|WP_004798192.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936357|ref|WP_004798194.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936359|ref|WP_004798196.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936360|ref|WP_004798197.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936362|ref|WP_004798199.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936364|ref|WP_004798201.1|	CTP:phosphocholine cytidylyltransferase [[Eubacterium] dolichum] 
gi|490936365|ref|WP_004798202.1|	phosphonate ABC transporter permease [[Eubacterium] dolichum] 
gi|490936367|ref|WP_004798204.1|	ABC transporter [[Eubacterium] dolichum] 
gi|490936369|ref|WP_004798206.1|	iron ABC transporter substrate-binding protein [[Eubacterium] dolichum] 
gi|490936371|ref|WP_004798208.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936372|ref|WP_004798209.1|	histidinol-phosphatase [[Eubacterium] dolichum] 
gi|490936374|ref|WP_004798211.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936375|ref|WP_004798212.1|	MULTISPECIES: transporter [Firmicutes] 
gi|490936378|ref|WP_004798215.1|	MULTISPECIES: cobalt ABC transporter ATP-binding protein [Firmicutes] 
gi|490936380|ref|WP_004798217.1|	cobalt ABC transporter ATP-binding protein [[Eubacterium] dolichum] 
gi|490936381|ref|WP_004798218.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936383|ref|WP_004798220.1|	SAM-dependent methyltransferase [[Eubacterium] dolichum] 
gi|490936385|ref|WP_004798222.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936388|ref|WP_004798225.1|	MULTISPECIES: 50S ribosomal protein L17 [Firmicutes] 
gi|490936390|ref|WP_004798227.1|	MULTISPECIES: DNA-directed RNA polymerase subunit alpha [Firmicutes] 
gi|490936391|ref|WP_004798228.1|	MULTISPECIES: 30S ribosomal protein S11 [Firmicutes] 
gi|490936393|ref|WP_004798230.1|	30S ribosomal protein S13 [[Eubacterium] dolichum] 
gi|490936394|ref|WP_004798231.1|	MULTISPECIES: translation initiation factor IF-1 [Firmicutes] 
gi|490936395|ref|WP_004798232.1|	methionine aminopeptidase [[Eubacterium] dolichum] 
gi|490936398|ref|WP_004798235.1|	MULTISPECIES: adenylate kinase [Firmicutes] 
gi|490936399|ref|WP_004798236.1|	preprotein translocase subunit SecY [[Eubacterium] dolichum] 
gi|490936401|ref|WP_004798238.1|	MULTISPECIES: 50S ribosomal protein L15 [Firmicutes] 
gi|490936404|ref|WP_004798241.1|	MULTISPECIES: 30S ribosomal protein S5 [Firmicutes] 
gi|490936405|ref|WP_004798242.1|	MULTISPECIES: 50S ribosomal protein L18 [Firmicutes] 
gi|490936407|ref|WP_004798244.1|	MULTISPECIES: 50S ribosomal protein L6 [Firmicutes] 
gi|490936408|ref|WP_004798245.1|	MULTISPECIES: 30S ribosomal protein S8 [Firmicutes] 
gi|490936409|ref|WP_004798246.1|	MULTISPECIES: 50S ribosomal protein L5 [Firmicutes] 
gi|490936411|ref|WP_004798248.1|	MULTISPECIES: 50S ribosomal protein L24 [Firmicutes] 
gi|490936412|ref|WP_004798249.1|	MULTISPECIES: 50S ribosomal protein L14 [Firmicutes] 
gi|490936413|ref|WP_004798250.1|	MULTISPECIES: 30S ribosomal protein S17 [Firmicutes] 
gi|490936418|ref|WP_004798255.1|	MULTISPECIES: 50S ribosomal protein L29 [Firmicutes] 
gi|490936419|ref|WP_004798256.1|	MULTISPECIES: 50S ribosomal protein L16 [Firmicutes] 
gi|490936420|ref|WP_004798257.1|	MULTISPECIES: 30S ribosomal protein S3 [Firmicutes] 
gi|490936422|ref|WP_004798259.1|	MULTISPECIES: 50S ribosomal protein L22 [Firmicutes] 
gi|490936423|ref|WP_004798260.1|	MULTISPECIES: 30S ribosomal protein S19 [Firmicutes] 
gi|490936427|ref|WP_004798264.1|	MULTISPECIES: 50S ribosomal protein L2 [Firmicutes] 
gi|490936430|ref|WP_004798267.1|	MULTISPECIES: 50S ribosomal protein L23 [Firmicutes] 
gi|490936431|ref|WP_004798268.1|	MULTISPECIES: 50S ribosomal protein L4 [Firmicutes] 
gi|490936433|ref|WP_004798270.1|	50S ribosomal protein L3 [[Eubacterium] dolichum] 
gi|490936435|ref|WP_004798272.1|	MULTISPECIES: 30S ribosomal protein S10 [Firmicutes] 
gi|490936436|ref|WP_004798273.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936439|ref|WP_004798276.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936441|ref|WP_004798278.1|	elongation factor Tu [[Eubacterium] dolichum] 
gi|490936442|ref|WP_004798279.1|	MULTISPECIES: elongation factor P [Firmicutes] 
gi|490936445|ref|WP_004798282.1|	MULTISPECIES: 30S ribosomal protein S7 [Firmicutes] 
gi|490936446|ref|WP_004798283.1|	MULTISPECIES: 30S ribosomal protein S12 [Firmicutes] 
gi|490936448|ref|WP_004798285.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936450|ref|WP_004798287.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936451|ref|WP_004798288.1|	MULTISPECIES: phosphonoacetaldehyde hydrolase [Firmicutes] 
gi|490936453|ref|WP_004798290.1|	2-aminoethylphosphonate:pyruvate aminotransferase [[Eubacterium] dolichum] 
gi|490936455|ref|WP_004798292.1|	ABC transporter substrate-binding protein [[Eubacterium] dolichum] 
gi|490936456|ref|WP_004798293.1|	iron ABC transporter permease [[Eubacterium] dolichum] 
gi|490936459|ref|WP_004798296.1|	MULTISPECIES: ABC transporter [Firmicutes] 
gi|490936461|ref|WP_004798298.1|	hydrolase [[Eubacterium] dolichum] 
gi|490936462|ref|WP_004798299.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936464|ref|WP_004798301.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936465|ref|WP_004798302.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936468|ref|WP_004798305.1|	DNA-directed RNA polymerase subunit beta' [[Eubacterium] dolichum] 
gi|490936470|ref|WP_004798307.1|	DNA-directed RNA polymerase subunit beta [[Eubacterium] dolichum] 
gi|490936472|ref|WP_004798309.1|	methyltransferase [[Eubacterium] dolichum] 
gi|490936474|ref|WP_004798311.1|	MULTISPECIES: 50S ribosomal protein L7/L12 [Firmicutes] 
gi|490936475|ref|WP_004798312.1|	MULTISPECIES: 50S ribosomal protein L10 [Firmicutes] 
gi|490936477|ref|WP_004798314.1|	MULTISPECIES: 50S ribosomal protein L1 [Firmicutes] 
gi|490936479|ref|WP_004798316.1|	MULTISPECIES: 50S ribosomal protein L11 [Firmicutes] 
gi|490936480|ref|WP_004798317.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936482|ref|WP_004798319.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936484|ref|WP_004798321.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936505|ref|WP_004798342.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936507|ref|WP_004798344.1|	NADH-dependent butanol dehydrogenase A [[Eubacterium] dolichum] 
gi|490936509|ref|WP_004798346.1|	MULTISPECIES: peptide deformylase [Firmicutes] 
gi|490936511|ref|WP_004798348.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936512|ref|WP_004798349.1|	amino acid ABC transporter ATPase [[Eubacterium] dolichum] 
gi|490936514|ref|WP_004798351.1|	branched-chain amino acid ABC transporter ATP-binding protein [[Eubacterium] dolichum] 
gi|490936515|ref|WP_004798352.1|	branched-chain amino acid ABC transporter permease [[Eubacterium] dolichum] 
gi|490936517|ref|WP_004798354.1|	ABC transporter permease [[Eubacterium] dolichum] 
gi|490936519|ref|WP_004798356.1|	branched-chain amino acid ABC transporter substrate-binding protein [[Eubacterium] dolichum] 
gi|490936521|ref|WP_004798358.1|	MULTISPECIES: peptidase M50 [Firmicutes] 
gi|490936523|ref|WP_004798360.1|	MULTISPECIES: fructose-bisphosphate aldolase [Firmicutes] 
gi|490936525|ref|WP_004798362.1|	MULTISPECIES: DNA-directed RNA polymerase [Firmicutes] 
gi|490936527|ref|WP_004798364.1|	arginyl-tRNA synthetase [[Eubacterium] dolichum] 
gi|490936528|ref|WP_004798365.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936530|ref|WP_004798367.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936532|ref|WP_004798369.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936534|ref|WP_004798371.1|	penicillin-binding protein [[Eubacterium] dolichum] 
gi|490936537|ref|WP_004798374.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936538|ref|WP_004798375.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936540|ref|WP_004798377.1|	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [[Eubacterium] dolichum] 
gi|490936544|ref|WP_004798381.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936546|ref|WP_004798383.1|	MULTISPECIES: formate--tetrahydrofolate ligase [Firmicutes] 
gi|490936549|ref|WP_004798386.1|	phosphoribosylamine--glycine ligase [[Eubacterium] dolichum] 
gi|490936551|ref|WP_004798388.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936553|ref|WP_004798390.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936555|ref|WP_004798392.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936557|ref|WP_004798394.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936559|ref|WP_004798396.1|	maturase [[Eubacterium] dolichum] 
gi|490936561|ref|WP_004798398.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936563|ref|WP_004798400.1|	PTS mannose transporter subunit IIC [[Eubacterium] dolichum] 
gi|490936565|ref|WP_004798402.1|	MULTISPECIES: dipeptidase [Firmicutes] 
gi|490936566|ref|WP_004798403.1|	MULTISPECIES: transcriptional antiterminator [Firmicutes] 
gi|490936568|ref|WP_004798405.1|	PTS glucose transporter subunit IIA [[Eubacterium] dolichum] 
gi|490936569|ref|WP_004798406.1|	MULTISPECIES: pentose-5-phosphate 3-epimerase [Firmicutes] 
gi|490936571|ref|WP_004798408.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936573|ref|WP_004798410.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936576|ref|WP_004798413.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936578|ref|WP_004798415.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936580|ref|WP_004798417.1|	alcohol dehydrogenase [[Eubacterium] dolichum] 
gi|490936581|ref|WP_004798418.1|	transaldolase [[Eubacterium] dolichum] 
gi|490936582|ref|WP_004798419.1|	cytochrome C4 [[Eubacterium] dolichum] 
gi|490936584|ref|WP_004798421.1|	dihydroxyacetone kinase subunit K [[Eubacterium] dolichum] 
gi|490936586|ref|WP_004798423.1|	phosphoglycerate mutase [[Eubacterium] dolichum] 
gi|490936588|ref|WP_004798425.1|	aldolase [[Eubacterium] dolichum] 
gi|490936591|ref|WP_004798428.1|	PTS sugar transporter subunit IIA [[Eubacterium] dolichum] 
gi|490936594|ref|WP_004798431.1|	MULTISPECIES: dihydroxyacetone kinase subunit K [Firmicutes] 
gi|490936596|ref|WP_004798433.1|	dihydroxyacetone kinase [[Eubacterium] dolichum] 
gi|490936598|ref|WP_004798435.1|	PTS galactitol transporter subunit IIC [[Eubacterium] dolichum] 
gi|490936600|ref|WP_004798437.1|	MULTISPECIES: PTS galactitol transporter subunit IIB [Firmicutes] 
gi|490936602|ref|WP_004798439.1|	MULTISPECIES: PTS galactitol transporter subunit IIB [Firmicutes] 
gi|490936603|ref|WP_004798440.1|	MULTISPECIES: PTS sugar transporter subunit IIA [Firmicutes] 
gi|490936605|ref|WP_004798442.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936607|ref|WP_004798444.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936609|ref|WP_004798446.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936611|ref|WP_004798448.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936612|ref|WP_004798449.1|	MULTISPECIES: PTS cellobiose transporter subunit IIA [Firmicutes] 
gi|490936614|ref|WP_004798451.1|	phosphohydrolase [[Eubacterium] dolichum] 
gi|490936619|ref|WP_004798456.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936621|ref|WP_004798458.1|	oxidoreductase [[Eubacterium] dolichum] 
gi|490936622|ref|WP_004798459.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936624|ref|WP_004798461.1|	RNA helicase [[Eubacterium] dolichum] 
gi|490936626|ref|WP_004798463.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936628|ref|WP_004798465.1|	ABC transporter [[Eubacterium] dolichum] 
gi|490936629|ref|WP_004798466.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936631|ref|WP_004798468.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936633|ref|WP_004798470.1|	diphosphate--fructose-6-phosphate 1-phosphotransferase [[Eubacterium] dolichum] 
gi|490936635|ref|WP_004798472.1|	abortive phage infection protein [[Eubacterium] dolichum] 
gi|490936636|ref|WP_004798473.1|	MULTISPECIES: nucleotidyltransferase [Firmicutes] 
gi|490936638|ref|WP_004798475.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936640|ref|WP_004798477.1|	carbohydrate kinase [[Eubacterium] dolichum] 
gi|490936641|ref|WP_004798478.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936643|ref|WP_004798480.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936644|ref|WP_004798481.1|	short-chain dehydrogenase [[Eubacterium] dolichum] 
gi|490936646|ref|WP_004798483.1|	PTS mannose transporter subunit IIB [[Eubacterium] dolichum] 
gi|490936648|ref|WP_004798485.1|	PTS mannose transporter subunit IIAB [[Eubacterium] dolichum] 
gi|490936650|ref|WP_004798487.1|	PTS mannose transporter subunit IICD [[Eubacterium] dolichum] 
gi|490936652|ref|WP_004798489.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936653|ref|WP_004798490.1|	iron ABC transporter substrate-binding protein [[Eubacterium] dolichum] 
gi|490936654|ref|WP_004798491.1|	RpiR family transcriptional regulator [[Eubacterium] dolichum] 
gi|490936656|ref|WP_004798493.1|	molybdopterin oxidoreductase [[Eubacterium] dolichum] 
gi|490936658|ref|WP_004798495.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [[Eubacterium] dolichum] 
gi|490936659|ref|WP_004798496.1|	(2Fe-2S)-binding protein [[Eubacterium] dolichum] 
gi|490936661|ref|WP_004798498.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936662|ref|WP_004798499.1|	HAD family hydrolase [[Eubacterium] dolichum] 
gi|490936664|ref|WP_004798501.1|	3-dehydroquinate synthase [[Eubacterium] dolichum] 
gi|490936666|ref|WP_004798503.1|	ketose-bisphosphate aldolase [[Eubacterium] dolichum] 
gi|490936669|ref|WP_004798506.1|	alcohol dehydrogenase [[Eubacterium] dolichum] 
gi|490936670|ref|WP_004798507.1|	PTS mannose transporter subunit IIAB [[Eubacterium] dolichum] 
gi|490936672|ref|WP_004798509.1|	PTS mannose transporter subunit IIA [[Eubacterium] dolichum] 
gi|490936674|ref|WP_004798511.1|	PTS mannose transporter subunit IID [[Eubacterium] dolichum] 
gi|490936676|ref|WP_004798513.1|	PTS mannose transporter subunit IIA [[Eubacterium] dolichum] 
gi|490936677|ref|WP_004798514.1|	transcriptional antiterminator [[Eubacterium] dolichum] 
gi|490936679|ref|WP_004798516.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936681|ref|WP_004798518.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936682|ref|WP_004798519.1|	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [[Eubacterium] dolichum] 
gi|490936684|ref|WP_004798521.1|	MULTISPECIES: dimethyladenosine transferase [Firmicutes] 
gi|490936685|ref|WP_004798522.1|	ribonuclease M5 [[Eubacterium] dolichum] 
gi|490936687|ref|WP_004798524.1|	transposase [[Eubacterium] dolichum] 
gi|490936688|ref|WP_004798525.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936690|ref|WP_004798527.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936692|ref|WP_004798529.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936694|ref|WP_004798531.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936696|ref|WP_004798533.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936698|ref|WP_004798535.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936699|ref|WP_004798536.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936700|ref|WP_004798537.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936702|ref|WP_004798539.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936704|ref|WP_004798541.1|	histidinol phosphate phosphatase [[Eubacterium] dolichum] 
gi|490936706|ref|WP_004798543.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936708|ref|WP_004798545.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936710|ref|WP_004798547.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936712|ref|WP_004798549.1|	MULTISPECIES: AbrB family transcriptional regulator [Firmicutes] 
gi|490936715|ref|WP_004798552.1|	MULTISPECIES: ABC transporter [Firmicutes] 
gi|490936717|ref|WP_004798554.1|	aspartyl beta-hydroxylase [[Eubacterium] dolichum] 
gi|490936719|ref|WP_004798556.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936721|ref|WP_004798558.1|	MULTISPECIES: S-adenosylmethionine synthetase [Firmicutes] 
gi|490936723|ref|WP_004798560.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936725|ref|WP_004798562.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936727|ref|WP_004798564.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936729|ref|WP_004798566.1|	cell wall anchor protein [[Eubacterium] dolichum] 
gi|490936731|ref|WP_004798568.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936732|ref|WP_004798569.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936734|ref|WP_004798571.1|	chorismate mutase [[Eubacterium] dolichum] 
gi|490936736|ref|WP_004798573.1|	transaldolase [[Eubacterium] dolichum] 
gi|490936737|ref|WP_004798574.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936739|ref|WP_004798576.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936741|ref|WP_004798578.1|	mannitol-1-phosphate 5-dehydrogenase [[Eubacterium] dolichum] 
gi|490936743|ref|WP_004798580.1|	2-dehydro-3-deoxyphosphogluconate aldolase [[Eubacterium] dolichum] 
gi|490936744|ref|WP_004798581.1|	MULTISPECIES: PTS mannose transporter subunit IID [Firmicutes] 
gi|490936746|ref|WP_004798583.1|	3-phosphoglycerate dehydrogenase [[Eubacterium] dolichum] 
gi|490936747|ref|WP_004798584.1|	MULTISPECIES: PTS sugar transporter subunit IID [Firmicutes] 
gi|490936749|ref|WP_004798586.1|	MULTISPECIES: PTS N-acetylgalactosamine transporter subunit IID [Firmicutes] 
gi|490936750|ref|WP_004798587.1|	PTS mannose transporter subunit IIA [[Eubacterium] dolichum] 
gi|490936752|ref|WP_004798589.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936754|ref|WP_004798591.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936755|ref|WP_004798592.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936756|ref|WP_004798593.1|	3-dehydroquinate synthase [[Eubacterium] dolichum] 
gi|490936758|ref|WP_004798595.1|	chorismate synthase [[Eubacterium] dolichum] 
gi|490936760|ref|WP_004798597.1|	3-deoxy-7-phosphoheptulonate synthase [[Eubacterium] dolichum] 
gi|490936761|ref|WP_004798598.1|	3-phosphoshikimate 1-carboxyvinyltransferase [[Eubacterium] dolichum] 
gi|490936763|ref|WP_004798600.1|	prephenate dehydrogenase [[Eubacterium] dolichum] 
gi|490936765|ref|WP_004798602.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936768|ref|WP_004798605.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936770|ref|WP_004798607.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936773|ref|WP_004798610.1|	16S rRNA methyltransferase [[Eubacterium] dolichum] 
gi|490936775|ref|WP_004798612.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936777|ref|WP_004798614.1|	DNA polymerase III subunit delta [[Eubacterium] dolichum] 
gi|490936779|ref|WP_004798616.1|	MULTISPECIES: thymidylate kinase [Firmicutes] 
gi|490936781|ref|WP_004798618.1|	MULTISPECIES: cytochrome C2 [Firmicutes] 
gi|490936783|ref|WP_004798620.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936785|ref|WP_004798622.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936786|ref|WP_004798623.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936788|ref|WP_004798625.1|	tRNA delta(2)-isopentenylpyrophosphate transferase [[Eubacterium] dolichum] 
gi|490936791|ref|WP_004798628.1|	DNA mismatch repair protein MutL [[Eubacterium] dolichum] 
gi|490936793|ref|WP_004798630.1|	DNA mismatch repair protein MutS [[Eubacterium] dolichum] 
gi|490936796|ref|WP_004798633.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936800|ref|WP_004798637.1|	abortive phage infection protein [[Eubacterium] dolichum] 
gi|490936801|ref|WP_004798638.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936802|ref|WP_004798639.1|	abortive phage infection protein [[Eubacterium] dolichum] 
gi|490936804|ref|WP_004798641.1|	MULTISPECIES: cell division protein FtsX [Firmicutes] 
gi|490936805|ref|WP_004798642.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936807|ref|WP_004798644.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936809|ref|WP_004798646.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936811|ref|WP_004798648.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936813|ref|WP_004798650.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936814|ref|WP_004798651.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936816|ref|WP_004798653.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936818|ref|WP_004798655.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936820|ref|WP_004798657.1|	6-phospho-alpha-glucosidase [[Eubacterium] dolichum] 
gi|490936823|ref|WP_004798660.1|	dTDP-4-dehydrorhamnose reductase [[Eubacterium] dolichum] 
gi|490936825|ref|WP_004798662.1|	spore coat protein [[Eubacterium] dolichum] 
gi|490936827|ref|WP_004798664.1|	MULTISPECIES: dTDP-4-dehydrorhamnose 3,5-epimerase [Firmicutes] 
gi|490936829|ref|WP_004798666.1|	glucose-1-phosphate thymidylyltransferase [[Eubacterium] dolichum] 
gi|490936831|ref|WP_004798668.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936834|ref|WP_004798671.1|	MULTISPECIES: transposase [Firmicutes] 
gi|490936835|ref|WP_004798672.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936837|ref|WP_004798674.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936839|ref|WP_004798676.1|	XRE family transcriptional regulator [[Eubacterium] dolichum] 
gi|490936840|ref|WP_004798677.1|	MerR family transcriptional regulator [[Eubacterium] dolichum] 
gi|490936842|ref|WP_004798679.1|	MULTISPECIES: Cro/Cl family transcriptional regulator [Firmicutes] 
gi|490936845|ref|WP_004798682.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936847|ref|WP_004798684.1|	UDP-galactose-4-epimerase [[Eubacterium] dolichum] 
gi|490936848|ref|WP_004798685.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936852|ref|WP_004798689.1|	UTP--glucose-1-phosphate uridylyltransferase [[Eubacterium] dolichum] 
gi|490936853|ref|WP_004798690.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936855|ref|WP_004798692.1|	helicase [[Eubacterium] dolichum] 
gi|490936857|ref|WP_004798694.1|	anaerobic ribonucleoside-triphosphate reductase [[Eubacterium] dolichum] 
gi|490936859|ref|WP_004798696.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936861|ref|WP_004798698.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936863|ref|WP_004798700.1|	MULTISPECIES: F0F1 ATP synthase subunit beta [Firmicutes] 
gi|490936864|ref|WP_004798701.1|	ATP synthase F1 subunit gamma [[Eubacterium] dolichum] 
gi|490936866|ref|WP_004798703.1|	F0F1 ATP synthase subunit alpha [[Eubacterium] dolichum] 
gi|490936868|ref|WP_004798705.1|	MULTISPECIES: ATP synthase F1 subunit delta [Firmicutes] 
gi|490936870|ref|WP_004798707.1|	ATP synthase subunit B [[Eubacterium] dolichum] 
gi|490936873|ref|WP_004798710.1|	MULTISPECIES: F0F1 ATP synthase subunit C [Firmicutes] 
gi|490936875|ref|WP_004798712.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936877|ref|WP_004798714.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936880|ref|WP_004798717.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936881|ref|WP_004798718.1|	uracil phosphoribosyltransferase [[Eubacterium] dolichum] 
gi|490936884|ref|WP_004798721.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936886|ref|WP_004798723.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936887|ref|WP_004798724.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936888|ref|WP_004798725.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936890|ref|WP_004798727.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936893|ref|WP_004798730.1|	heat shock protein Hsp20 [[Eubacterium] dolichum] 
gi|490936895|ref|WP_004798732.1|	serine hydroxymethyltransferase [[Eubacterium] dolichum] 
