gi|494094725|ref|WP_007035549.1|	hypothetical protein partial [[Clostridium] bolteae] 
gi|488631960|ref|WP_002568646.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631959|ref|WP_002568645.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631958|ref|WP_002568644.1|	nitrilase/cyanide hydratase and apolipoprotein N-acyltransferase [[Clostridium] bolteae] 
gi|494095211|ref|WP_007036035.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095212|ref|WP_007036036.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631956|ref|WP_002568642.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095213|ref|WP_007036037.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095214|ref|WP_007036038.1|	2-oxoglutarate ferredoxin oxidoreductase subunit alpha [[Clostridium] bolteae] 
gi|488631953|ref|WP_002568639.1|	2-oxoacid ferredoxin oxidoreductase subunit beta [[Clostridium] bolteae] 
gi|488631952|ref|WP_002568638.1|	pyruvate/2-ketoisovalerate family 2-oxoacid:acceptor oxidoreductase gamma subunit [[Clostridium] bolteae] 
gi|488631951|ref|WP_002568637.1|	sodium:proline symporter [[Clostridium] bolteae] 
gi|488631950|ref|WP_002568636.1|	phosphate butyryltransferase [[Clostridium] bolteae] 
gi|488631949|ref|WP_002568635.1|	butyrate kinase [[Clostridium] bolteae] 
gi|488631948|ref|WP_002568634.1|	MULTISPECIES: serine dehydratase [Lachnoclostridium] 
gi|494095215|ref|WP_007036039.1|	serine dehydratase [[Clostridium] bolteae] 
gi|488631946|ref|WP_002568632.1|	MULTISPECIES: LysR family transcriptional regulator [Clostridiales] 
gi|488631945|ref|WP_002568631.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631944|ref|WP_002568630.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095216|ref|WP_007036040.1|	2-phosphosulfolactate phosphatase [[Clostridium] bolteae] 
gi|488631942|ref|WP_002568628.1|	MULTISPECIES: sn-glycerol 3-phosphate ABC transporter substrate-binding protein [Clostridiales] 
gi|494095217|ref|WP_007036041.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631940|ref|WP_002568626.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631939|ref|WP_002568625.1|	ABC transporter [[Clostridium] bolteae] 
gi|488631938|ref|WP_002568624.1|	ABC transporter [[Clostridium] bolteae] 
gi|488631937|ref|WP_002568623.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631936|ref|WP_002568622.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095218|ref|WP_007036042.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095219|ref|WP_007036043.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631934|ref|WP_002568620.1|	response regulator [[Clostridium] bolteae] 
gi|488631933|ref|WP_002568619.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631932|ref|WP_002568618.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494095220|ref|WP_007036044.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631930|ref|WP_002568616.1|	maltose O-acetyltransferase [[Clostridium] bolteae] 
gi|488631929|ref|WP_002568615.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494095221|ref|WP_007036045.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631927|ref|WP_002568613.1|	D-ribose transporter ATP binding protein [[Clostridium] bolteae] 
gi|494095222|ref|WP_007036046.1|	ribose ABC transporter permease [[Clostridium] bolteae] 
gi|488631925|ref|WP_002568611.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631924|ref|WP_002568610.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631923|ref|WP_002568609.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095223|ref|WP_007036047.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095224|ref|WP_007036048.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095225|ref|WP_007036049.1|	chemotaxis protein CheR [[Clostridium] bolteae] 
gi|488631919|ref|WP_002568605.1|	chemotaxis protein CheY [[Clostridium] bolteae] 
gi|488631918|ref|WP_002568604.1|	sensory transducer protein [[Clostridium] bolteae] 
gi|488631917|ref|WP_002568603.1|	chemotaxis protein CheC [[Clostridium] bolteae] 
gi|488631916|ref|WP_002568602.1|	chemotaxis protein CheD [[Clostridium] bolteae] 
gi|488631915|ref|WP_002568601.1|	hisitidine kinase [[Clostridium] bolteae] 
gi|488631914|ref|WP_002568600.1|	chemotaxis protein [[Clostridium] bolteae] 
gi|488631913|ref|WP_002568599.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095226|ref|WP_007036050.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095227|ref|WP_007036051.1|	short-chain dehydrogenase [[Clostridium] bolteae] 
gi|494095228|ref|WP_007036052.1|	PhoB family transcriptional regulator [[Clostridium] bolteae] 
gi|494095229|ref|WP_007036053.1|	histidine kinase [[Clostridium] bolteae] 
gi|494095230|ref|WP_007036054.1|	flotillin [[Clostridium] bolteae] 
gi|494095231|ref|WP_007036055.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095232|ref|WP_007036056.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095233|ref|WP_007036057.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631907|ref|WP_002568593.1|	MULTISPECIES: hydrogenase [Clostridiales] 
gi|488631906|ref|WP_002568592.1|	hydrogenase [[Clostridium] bolteae] 
gi|488631905|ref|WP_002568591.1|	ferredoxin [[Clostridium] bolteae] 
gi|494095234|ref|WP_007036058.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631904|ref|WP_002568590.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095235|ref|WP_007036059.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631902|ref|WP_002568588.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631901|ref|WP_002568587.1|	C4-dicarboxylate ABC transporter permease [[Clostridium] bolteae] 
gi|488631900|ref|WP_002568586.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095236|ref|WP_007036060.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631898|ref|WP_002568584.1|	MULTISPECIES: beta-aspartyl peptidase [Clostridiales] 
gi|488631897|ref|WP_002568583.1|	beta-aspartate methyltransferase [[Clostridium] bolteae] 
gi|494095237|ref|WP_007036061.1|	glycine reductase complex protein B subunit gamma [[Clostridium] bolteae] 
gi|494095238|ref|WP_007036062.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095239|ref|WP_007036063.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631895|ref|WP_002568581.1|	6-phospho-beta-galactosidase [[Clostridium] bolteae] 
gi|494095240|ref|WP_007036064.1|	PTS lactose transporter subunit IIC [[Clostridium] bolteae] 
gi|488631893|ref|WP_002568579.1|	MULTISPECIES: PTS lactose transporter subunit IIB [Clostridiales] 
gi|488631892|ref|WP_002568578.1|	PTS lactose transporter subunit IIA [[Clostridium] bolteae] 
gi|494095241|ref|WP_007036065.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095242|ref|WP_007036066.1|	transcription antiterminator BglG [[Clostridium] bolteae] 
gi|488631889|ref|WP_002568575.1|	MULTISPECIES: ferredoxin [Lachnoclostridium] 
gi|494095243|ref|WP_007036067.1|	NADH dehydrogenase [[Clostridium] bolteae] 
gi|488631887|ref|WP_002568573.1|	MULTISPECIES: ferredoxin [Lachnoclostridium] 
gi|488631886|ref|WP_002568572.1|	histidine kinase [[Clostridium] bolteae] 
gi|488631885|ref|WP_002568571.1|	MULTISPECIES: NADH dehydrogenase [Clostridiales] 
gi|494095244|ref|WP_007036068.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095245|ref|WP_007036069.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631883|ref|WP_002568569.1|	MULTISPECIES: anti-sigma regulatory factor [Clostridiales] 
gi|488631882|ref|WP_002568568.1|	ferredoxin [[Clostridium] bolteae] 
gi|488631881|ref|WP_002568567.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631880|ref|WP_002568566.1|	phosphoesterase [[Clostridium] bolteae] 
gi|488631879|ref|WP_002568565.1|	phosphate ABC transporter substrate-binding protein [[Clostridium] bolteae] 
gi|488631878|ref|WP_002568564.1|	phosphate ABC transporter permease [[Clostridium] bolteae] 
gi|494095246|ref|WP_007036070.1|	phosphate ABC transporter permease [[Clostridium] bolteae] 
gi|488631876|ref|WP_002568562.1|	phosphate ABC transporter ATP-binding protein [[Clostridium] bolteae] 
gi|488631875|ref|WP_002568561.1|	HAD ATPase P-type family IC [[Clostridium] bolteae] 
gi|494095247|ref|WP_007036071.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095248|ref|WP_007036072.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631874|ref|WP_002568560.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095249|ref|WP_007036073.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631872|ref|WP_002568558.1|	exonuclease SbcD [[Clostridium] bolteae] 
gi|494095250|ref|WP_007036074.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095251|ref|WP_007036075.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095252|ref|WP_007036076.1|	MFS transporter [[Clostridium] bolteae] 
gi|488631869|ref|WP_002568555.1|	MULTISPECIES: hypothetical protein [Lachnoclostridium] 
gi|488631868|ref|WP_002568554.1|	quinolone resistance protein [[Clostridium] bolteae] 
gi|488631867|ref|WP_002568553.1|	sugar ABC transporter substrate-binding protein [[Clostridium] bolteae] 
gi|488631866|ref|WP_002568552.1|	methenyltetrahydrofolate cyclohydrolase [[Clostridium] bolteae] 
gi|494095253|ref|WP_007036077.1|	ABC transporter substrate-binding protein [[Clostridium] bolteae] 
gi|494095254|ref|WP_007036078.1|	amino acid ABC transporter permease [[Clostridium] bolteae] 
gi|488631863|ref|WP_002568549.1|	MULTISPECIES: peptide ABC transporter ATP-binding protein [Clostridiales] 
gi|494095255|ref|WP_007036079.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631862|ref|WP_002568548.1|	transcriptional regulator [[Clostridium] bolteae] 
gi|488631861|ref|WP_002568547.1|	cell division protein FtsH [[Clostridium] bolteae] 
gi|488631860|ref|WP_002568546.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494095256|ref|WP_007036080.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631858|ref|WP_002568544.1|	ABC transporter ATP-binding protein [[Clostridium] bolteae] 
gi|488631857|ref|WP_002568543.1|	MULTISPECIES: ABC transporter permease [Clostridiales] 
gi|488631856|ref|WP_002568542.1|	ABC transporter permease [[Clostridium] bolteae] 
gi|494095257|ref|WP_007036081.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095258|ref|WP_007036082.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631854|ref|WP_002568540.1|	excinuclease ABC subunit A [[Clostridium] bolteae] 
gi|494095259|ref|WP_007036083.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095260|ref|WP_007036084.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095261|ref|WP_007036085.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095262|ref|WP_007036086.1|	DegT/DnrJ/EryC1/StrS aminotransferase [[Clostridium] bolteae] 
gi|494095263|ref|WP_007036087.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631851|ref|WP_002568537.1|	MULTISPECIES: glutathione ABC transporter permease [Clostridiales] 
gi|494095264|ref|WP_007036088.1|	diguanylate cyclase [[Clostridium] bolteae] 
gi|488631849|ref|WP_002568535.1|	peptide ABC transporter ATPase [[Clostridium] bolteae] 
gi|488631848|ref|WP_002568534.1|	peptide ABC transporter ATP-binding protein [[Clostridium] bolteae] 
gi|488631847|ref|WP_002568533.1|	peptide-binding protein [[Clostridium] bolteae] 
gi|488631846|ref|WP_002568532.1|	MULTISPECIES: creatininase [Clostridiales] 
gi|488661867|ref|WP_002590775.1|	MULTISPECIES: peptidase [Lachnoclostridium] 
gi|494095265|ref|WP_007036089.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631844|ref|WP_002568530.1|	GMP synthase [[Clostridium] bolteae] 
gi|494095266|ref|WP_007036090.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095267|ref|WP_007036091.1|	ArsC family transcriptional regulator [[Clostridium] bolteae] 
gi|488631841|ref|WP_002568527.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631840|ref|WP_002568526.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095268|ref|WP_007036092.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095269|ref|WP_007036093.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631837|ref|WP_002568523.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095270|ref|WP_007036094.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095271|ref|WP_007036095.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095272|ref|WP_007036096.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631836|ref|WP_002568522.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631835|ref|WP_002568521.1|	peptide ABC transporter ATPase [[Clostridium] bolteae] 
gi|488631834|ref|WP_002568520.1|	peptide ABC transporter ATP-binding protein [[Clostridium] bolteae] 
gi|488631833|ref|WP_002568519.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631832|ref|WP_002568518.1|	glutathione ABC transporter permease [[Clostridium] bolteae] 
gi|488631831|ref|WP_002568517.1|	diguanylate cyclase [[Clostridium] bolteae] 
gi|494095273|ref|WP_007036097.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631830|ref|WP_002568516.1|	aminotransferase [[Clostridium] bolteae] 
gi|488631829|ref|WP_002568515.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095274|ref|WP_007036098.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631828|ref|WP_002568514.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631827|ref|WP_002568513.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095275|ref|WP_007036099.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095276|ref|WP_007036100.1|	lysophospholipase [[Clostridium] bolteae] 
gi|494095277|ref|WP_007036101.1|	ArsR family transcriptional regulator [[Clostridium] bolteae] 
gi|494095278|ref|WP_007036102.1|	2-dehydro-3-deoxyphosphogluconate aldolase [[Clostridium] bolteae] 
gi|488631823|ref|WP_002568509.1|	PTS galactitol transporter subunit IIA [[Clostridium] bolteae] 
gi|488631822|ref|WP_002568508.1|	MULTISPECIES: PTS galactitol transporter subunit IIB [Clostridiales] 
gi|488631821|ref|WP_002568507.1|	MULTISPECIES: PTS galactitol transporter subunit IIC [Clostridiales] 
gi|494095279|ref|WP_007036103.1|	dihydroxy-acid dehydratase [[Clostridium] bolteae] 
gi|494095280|ref|WP_007036104.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631819|ref|WP_002568505.1|	SAM-dependent methyltransferase [[Clostridium] bolteae] 
gi|488631818|ref|WP_002568504.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095281|ref|WP_007036105.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095282|ref|WP_007036106.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095283|ref|WP_007036107.1|	DEAD/DEAH box helicase [[Clostridium] bolteae] 
gi|494095284|ref|WP_007036108.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095285|ref|WP_007036109.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631815|ref|WP_002568501.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095286|ref|WP_007036110.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095287|ref|WP_007036111.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631814|ref|WP_002568500.1|	acetyltransferase [[Clostridium] bolteae] 
gi|488631813|ref|WP_002568499.1|	ATPase AAA [[Clostridium] bolteae] 
gi|488631812|ref|WP_002568498.1|	peptidase [[Clostridium] bolteae] 
gi|494095288|ref|WP_007036112.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631810|ref|WP_002568496.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494095289|ref|WP_007036113.1|	peptide ABC transporter permease [[Clostridium] bolteae] 
gi|488631808|ref|WP_002568494.1|	MULTISPECIES: peptide ABC transporter permease [Clostridiales] 
gi|494095290|ref|WP_007036114.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631806|ref|WP_002568492.1|	MULTISPECIES: peptide ABC transporter ATP-binding protein [Clostridiales] 
gi|488631805|ref|WP_002568491.1|	peptide ABC transporter substrate-binding protein [[Clostridium] bolteae] 
gi|488631804|ref|WP_002568490.1|	succinyl-diaminopimelate desuccinylase [[Clostridium] bolteae] 
gi|488631803|ref|WP_002568489.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494095291|ref|WP_007036115.1|	multidrug transporter MatE [[Clostridium] bolteae] 
gi|494095292|ref|WP_007036116.1|	glutamate synthase [[Clostridium] bolteae] 
gi|494095293|ref|WP_007036117.1|	cotJC protein [[Clostridium] bolteae] 
gi|488631799|ref|WP_002568485.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095294|ref|WP_007036118.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631798|ref|WP_002568484.1|	aspartyl-tRNA synthetase [[Clostridium] bolteae] 
gi|488631797|ref|WP_002568483.1|	MULTISPECIES: aspartyl/glutamyl-tRNA amidotransferase subunit C [Clostridiales] 
gi|488631796|ref|WP_002568482.1|	MULTISPECIES: glutamyl-tRNA(Gln) amidotransferase [Clostridiales] 
gi|488631795|ref|WP_002568481.1|	MULTISPECIES: aspartyl/glutamyl-tRNA amidotransferase subunit B [Clostridiales] 
gi|494095295|ref|WP_007036119.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095296|ref|WP_007036120.1|	aminotransferase [[Clostridium] bolteae] 
gi|488631793|ref|WP_002568479.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488631792|ref|WP_002568478.1|	NADPH-dependent butanol dehydrogenase [[Clostridium] bolteae] 
gi|494095297|ref|WP_007036121.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095298|ref|WP_007036122.1|	membrane protein [[Clostridium] bolteae] 
gi|488631790|ref|WP_002568476.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|488631789|ref|WP_002568475.1|	MULTISPECIES: transcriptional regulator [Clostridiales] 
gi|488631788|ref|WP_002568474.1|	MULTISPECIES: AsnC family transcriptional regulator [Clostridiales] 
gi|488631787|ref|WP_002568473.1|	MULTISPECIES: cytochrome C550 [Clostridiales] 
gi|494095299|ref|WP_007036123.1|	thiamine biosynthesis lipoprotein ApbE [[Clostridium] bolteae] 
gi|494095300|ref|WP_007036124.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631784|ref|WP_002568470.1|	membrane protein [[Clostridium] bolteae] 
gi|494095301|ref|WP_007036125.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631783|ref|WP_002568469.1|	MULTISPECIES: argininosuccinate lyase [Clostridiales] 
gi|488631782|ref|WP_002568468.1|	cyclic nucleotide-binding protein [[Clostridium] bolteae] 
gi|494095302|ref|WP_007036126.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631781|ref|WP_002568467.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095303|ref|WP_007036127.1|	AraC family transcriptional regulator [[Clostridium] bolteae] 
gi|488631779|ref|WP_002568465.1|	ABC transporter [[Clostridium] bolteae] 
gi|488631778|ref|WP_002568464.1|	ABC transporter [[Clostridium] bolteae] 
gi|494095304|ref|WP_007036128.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095305|ref|WP_007036129.1|	transketolase [[Clostridium] bolteae] 
gi|488631776|ref|WP_002568462.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631775|ref|WP_002568461.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488641624|ref|WP_002578280.1|	methyl-accepting chemotaxis protein [[Clostridium] bolteae] 
gi|494095306|ref|WP_007036130.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095307|ref|WP_007036131.1|	argininosuccinate synthase [[Clostridium] bolteae] 
gi|494095308|ref|WP_007036132.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488631772|ref|WP_002568458.1|	N-acetyl-gamma-glutamyl-phosphate reductase [[Clostridium] bolteae] 
gi|488631771|ref|WP_002568457.1|	N-acetyltransferase GCN5 [[Clostridium] bolteae] 
gi|494095309|ref|WP_007036133.1|	ornithine acetyltransferase [[Clostridium] bolteae] 
gi|494095310|ref|WP_007036134.1|	acetylglutamate kinase [[Clostridium] bolteae] 
gi|488631768|ref|WP_002568454.1|	acetylornithine aminotransferase [[Clostridium] bolteae] 
gi|494095311|ref|WP_007036135.1|	hypothetical protein partial [[Clostridium] bolteae] 
gi|494095312|ref|WP_007036136.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095313|ref|WP_007036137.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095314|ref|WP_007036138.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095315|ref|WP_007036139.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095316|ref|WP_007036140.1|	hypothetical protein partial [[Clostridium] bolteae] 
gi|488629442|ref|WP_002566131.1|	transposase [[Clostridium] bolteae] 
gi|488629443|ref|WP_002566132.1|	MULTISPECIES: hypothetical protein [Lachnoclostridium] 
gi|488629444|ref|WP_002566133.1|	type III restriction endonuclease subunit R [[Clostridium] bolteae] 
gi|488629445|ref|WP_002566134.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629446|ref|WP_002566135.1|	DNA methyltransferase [[Clostridium] bolteae] 
gi|488629447|ref|WP_002566136.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629448|ref|WP_002566137.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629449|ref|WP_002566138.1|	helicase [[Clostridium] bolteae] 
gi|488629450|ref|WP_002566139.1|	MULTISPECIES: transcriptional regulator [Clostridiales] 
gi|494095317|ref|WP_007036141.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095318|ref|WP_007036142.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629451|ref|WP_002566140.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629452|ref|WP_002566141.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629453|ref|WP_002566142.1|	XRE family transcriptional regulator [[Clostridium] bolteae] 
gi|488629454|ref|WP_002566143.1|	integrase [[Clostridium] bolteae] 
gi|494095319|ref|WP_007036143.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629455|ref|WP_002566144.1|	MULTISPECIES: conjugative transposon protein [Lachnoclostridium] 
gi|488629456|ref|WP_002566145.1|	MULTISPECIES: conjugative transposon protein [Lachnoclostridium] 
gi|488629457|ref|WP_002566146.1|	MULTISPECIES: hypothetical protein [Lachnoclostridium] 
gi|488629458|ref|WP_002566147.1|	cell division protein FtsK [[Clostridium] bolteae] 
gi|489619632|ref|WP_003524072.1|	MULTISPECIES: hypothetical protein [Lachnoclostridium] 
gi|488629460|ref|WP_002566149.1|	MULTISPECIES: conjugal transfer protein [Clostridiales] 
gi|494095320|ref|WP_007036144.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095321|ref|WP_007036145.1|	antirestriction protein ArdA [[Clostridium] bolteae] 
gi|488629463|ref|WP_002566152.1|	membrane protein [[Clostridium] bolteae] 
gi|488629464|ref|WP_002566153.1|	ATP/GTP-binding protein [[Clostridium] bolteae] 
gi|494095322|ref|WP_007036146.1|	membrane protein [[Clostridium] bolteae] 
gi|488629466|ref|WP_002566155.1|	MULTISPECIES: peptidase P60 [Lachnoclostridium] 
gi|494095323|ref|WP_007036147.1|	hypothetical protein partial [[Clostridium] bolteae] 
gi|494095324|ref|WP_007036148.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095325|ref|WP_007036149.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095326|ref|WP_007036150.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630652|ref|WP_002567340.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630651|ref|WP_002567339.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630650|ref|WP_002567338.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630649|ref|WP_002567337.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630648|ref|WP_002567336.1|	glycosyltransferase [[Clostridium] bolteae] 
gi|488630647|ref|WP_002567335.1|	UDP-N-acetylglucosamine 2-epimerase [[Clostridium] bolteae] 
gi|494095327|ref|WP_007036151.1|	reductase [[Clostridium] bolteae] 
gi|488630645|ref|WP_002567333.1|	capsular polysaccharide biosynthesis protein [[Clostridium] bolteae] 
gi|488630644|ref|WP_002567332.1|	glycosyl transferase [[Clostridium] bolteae] 
gi|494095328|ref|WP_007036152.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630643|ref|WP_002567331.1|	acetyltransferase [[Clostridium] bolteae] 
gi|488630642|ref|WP_002567330.1|	UDP-galactose phosphate transferase [[Clostridium] bolteae] 
gi|488630641|ref|WP_002567329.1|	aminotransferase DegT [[Clostridium] bolteae] 
gi|494095329|ref|WP_007036153.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095330|ref|WP_007036154.1|	transposase [[Clostridium] bolteae] 
gi|494095331|ref|WP_007036155.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095332|ref|WP_007036156.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630639|ref|WP_002567327.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630638|ref|WP_002567326.1|	nucleoside-diphosphate sugar epimerase [[Clostridium] bolteae] 
gi|488630637|ref|WP_002567325.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095333|ref|WP_007036157.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630636|ref|WP_002567324.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630635|ref|WP_002567323.1|	tyrosine-protein kinase [[Clostridium] bolteae] 
gi|488630634|ref|WP_002567322.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095334|ref|WP_007036158.1|	protein-tyrosine phosphatase [[Clostridium] bolteae] 
gi|494095335|ref|WP_007036159.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095336|ref|WP_007036160.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630632|ref|WP_002567320.1|	integrase [[Clostridium] bolteae] 
gi|494095337|ref|WP_007036161.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630631|ref|WP_002567319.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488630630|ref|WP_002567318.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095338|ref|WP_007036162.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095339|ref|WP_007036163.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095340|ref|WP_007036164.1|	malate dehydrogenase [[Clostridium] bolteae] 
gi|488630626|ref|WP_002567314.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630625|ref|WP_002567313.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494095341|ref|WP_007036165.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630624|ref|WP_002567312.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630623|ref|WP_002567311.1|	MULTISPECIES: permease [Clostridiales] 
gi|494095342|ref|WP_007036166.1|	adenine deaminase [[Clostridium] bolteae] 
