gi|489886408|ref|WP_003789858.1|	amino acid carrier protein [Actinomyces odontolyticus] 
gi|489887566|ref|WP_003791016.1|	cell division protein FtsX [Actinomyces odontolyticus] 
gi|489887567|ref|WP_003791017.1|	ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489887569|ref|WP_003791019.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887571|ref|WP_003791021.1|	acetyltransferase [Actinomyces odontolyticus] 
gi|489887572|ref|WP_003791022.1|	thioredoxin [Actinomyces odontolyticus] 
gi|489887573|ref|WP_003791023.1|	TetR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489887575|ref|WP_003791025.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887577|ref|WP_003791027.1|	transposase [Actinomyces odontolyticus] 
gi|489887579|ref|WP_003791029.1|	phage portal protein [Actinomyces odontolyticus] 
gi|489887581|ref|WP_003791031.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887584|ref|WP_003791034.1|	terminase [Actinomyces odontolyticus] 
gi|489887586|ref|WP_003791036.1|	aspartate-semialdehyde dehydrogenase [Actinomyces odontolyticus] 
gi|489887588|ref|WP_003791038.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887589|ref|WP_003791039.1|	aspartokinase [Actinomyces odontolyticus] 
gi|489887591|ref|WP_003791041.1|	histidine kinase [Actinomyces odontolyticus] 
gi|489887593|ref|WP_003791043.1|	transcriptional regulator [Actinomyces odontolyticus] 
gi|489887595|ref|WP_003791045.1|	recombinase RecR [Actinomyces odontolyticus] 
gi|489887597|ref|WP_003791047.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887598|ref|WP_003791048.1|	cell wall-binding protein [Actinomyces odontolyticus] 
gi|489887600|ref|WP_003791050.1|	collagen-binding protein [Actinomyces odontolyticus] 
gi|489887604|ref|WP_003791054.1|	N-acylglucosamine 2-epimerase [Actinomyces odontolyticus] 
gi|489887606|ref|WP_003791056.1|	phosphoglucomutase [Actinomyces odontolyticus] 
gi|489887607|ref|WP_003791057.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887609|ref|WP_003791059.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887612|ref|WP_003791062.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887613|ref|WP_003791063.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887615|ref|WP_003791065.1|	membrane protein [Actinomyces odontolyticus] 
gi|489887617|ref|WP_003791067.1|	membrane protein [Actinomyces odontolyticus] 
gi|489887619|ref|WP_003791069.1|	multicopper oxidase [Actinomyces odontolyticus] 
gi|489887621|ref|WP_003791071.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887623|ref|WP_003791073.1|	major facilitator transporter [Actinomyces odontolyticus] 
gi|489887625|ref|WP_003791075.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887627|ref|WP_003791077.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887629|ref|WP_003791079.1|	acyl-CoA dehydrogenase [Actinomyces odontolyticus] 
gi|489887631|ref|WP_003791081.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887633|ref|WP_003791083.1|	6-pyruvoyl tetrahydropterin synthase [Actinomyces odontolyticus] 
gi|489887635|ref|WP_003791085.1|	radical SAM protein [Actinomyces odontolyticus] 
gi|489887637|ref|WP_003791087.1|	ribonucleoside triphosphate reductase [Actinomyces odontolyticus] 
gi|489887640|ref|WP_003791090.1|	phosphate ABC transporter permease [Actinomyces odontolyticus] 
gi|489887642|ref|WP_003791092.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887643|ref|WP_003791093.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887645|ref|WP_003791095.1|	histidine kinase [Actinomyces odontolyticus] 
gi|489887648|ref|WP_003791098.1|	histidine kinase [Actinomyces odontolyticus] 
gi|489887650|ref|WP_003791100.1|	helicase [Actinomyces odontolyticus] 
gi|489887652|ref|WP_003791102.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887654|ref|WP_003791104.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887656|ref|WP_003791106.1|	thermostable alkaline protease [Actinomyces odontolyticus] 
gi|489887658|ref|WP_003791108.1|	pilus biosynthesis protein TadE [Actinomyces odontolyticus] 
gi|489887660|ref|WP_003791110.1|	pilus biosynthesis protein TadE [Actinomyces odontolyticus] 
gi|489887662|ref|WP_003791112.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887664|ref|WP_003791114.1|	type II secretion system protein F [Actinomyces odontolyticus] 
gi|489887667|ref|WP_003791117.1|	helicase [Actinomyces odontolyticus] 
gi|489887668|ref|WP_003791118.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887670|ref|WP_003791120.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887672|ref|WP_003791122.1|	hydrolase [Actinomyces odontolyticus] 
gi|489887674|ref|WP_003791124.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887675|ref|WP_003791125.1|	membrane protein [Actinomyces odontolyticus] 
gi|489887678|ref|WP_003791128.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887679|ref|WP_003791129.1|	lysophospholipase [Actinomyces odontolyticus] 
gi|489887682|ref|WP_003791132.1|	MULTISPECIES: Crp/Fnr family transcriptional regulator [Actinobacteria] 
gi|489887683|ref|WP_003791133.1|	MULTISPECIES: hypothetical protein [Actinomyces] 
gi|489887685|ref|WP_003791135.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887686|ref|WP_003791136.1|	transglycosylase [Actinomyces odontolyticus] 
gi|489887688|ref|WP_003791138.1|	Ser/Thr phosphatase [Actinomyces odontolyticus] 
gi|489887690|ref|WP_003791140.1|	endo alpha-1,4 polygalactosaminidase [Actinomyces odontolyticus] 
gi|489887692|ref|WP_003791142.1|	U4/U6.U5 tri-snRNP-associated protein Snu66 [Actinomyces odontolyticus] 
gi|489887693|ref|WP_003791143.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887695|ref|WP_003791145.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887697|ref|WP_003791147.1|	aspartate aminotransferase [Actinomyces odontolyticus] 
gi|489887698|ref|WP_003791148.1|	membrane protein [Actinomyces odontolyticus] 
gi|489887700|ref|WP_003791150.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887702|ref|WP_003791152.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887704|ref|WP_003791154.1|	adenylosuccinate lyase [Actinomyces odontolyticus] 
gi|489887705|ref|WP_003791155.1|	oxidoreductase [Actinomyces odontolyticus] 
gi|489887708|ref|WP_003791158.1|	citrate lyase acyl carrier protein [Actinomyces odontolyticus] 
gi|489887710|ref|WP_003791160.1|	oxidoreductase [Actinomyces odontolyticus] 
gi|489887711|ref|WP_003791161.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887713|ref|WP_003791163.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887716|ref|WP_003791166.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [Actinomyces odontolyticus] 
gi|489887718|ref|WP_003791168.1|	alpha/beta hydrolase [Actinomyces odontolyticus] 
gi|489887720|ref|WP_003791170.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887721|ref|WP_003791171.1|	ATPase [Actinomyces odontolyticus] 
gi|489887723|ref|WP_003791173.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887726|ref|WP_003791176.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887728|ref|WP_003791178.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887730|ref|WP_003791180.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887731|ref|WP_003791181.1|	MFS transporter [Actinomyces odontolyticus] 
gi|489887733|ref|WP_003791183.1|	membrane protein [Actinomyces odontolyticus] 
gi|489887734|ref|WP_003791184.1|	glycosyltransferase [Actinomyces odontolyticus] 
gi|489887737|ref|WP_003791187.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887739|ref|WP_003791189.1|	ATPase [Actinomyces odontolyticus] 
gi|489887741|ref|WP_003791191.1|	CopG family transcriptional regulator [Actinomyces odontolyticus] 
gi|489887742|ref|WP_003791192.1|	toxin RelE [Actinomyces odontolyticus] 
gi|489887743|ref|WP_003791193.1|	TetR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489887746|ref|WP_003791196.1|	alpha/beta hydrolase [Actinomyces odontolyticus] 
gi|489887748|ref|WP_003791198.1|	haloacid dehalogenase [Actinomyces odontolyticus] 
gi|489887749|ref|WP_003791199.1|	seryl-tRNA synthetase [Actinomyces odontolyticus] 
gi|489887752|ref|WP_003791202.1|	diacylglycerol kinase [Actinomyces odontolyticus] 
gi|489887753|ref|WP_003791203.1|	prephenate dehydratase [Actinomyces odontolyticus] 
gi|489887754|ref|WP_003791204.1|	membrane protein [Actinomyces odontolyticus] 
gi|489887756|ref|WP_003791206.1|	alkaline phosphatase [Actinomyces odontolyticus] 
gi|489887758|ref|WP_003791208.1|	membrane protein [Actinomyces odontolyticus] 
gi|489887760|ref|WP_003791210.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887763|ref|WP_003791213.1|	peptidase S8 [Actinomyces odontolyticus] 
gi|489887764|ref|WP_003791214.1|	peptidase S8 [Actinomyces odontolyticus] 
gi|489887766|ref|WP_003791216.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887768|ref|WP_003791218.1|	peptidase S8 [Actinomyces odontolyticus] 
gi|489887770|ref|WP_003791220.1|	peptidase S8 [Actinomyces odontolyticus] 
gi|489887772|ref|WP_003791222.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887774|ref|WP_003791224.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887776|ref|WP_003791226.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887778|ref|WP_003791228.1|	membrane protein [Actinomyces odontolyticus] 
gi|489887780|ref|WP_003791230.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887781|ref|WP_003791231.1|	SAM-dependent methyltransferase [Actinomyces odontolyticus] 
gi|489887783|ref|WP_003791233.1|	cardiolipin synthetase [Actinomyces odontolyticus] 
gi|489887785|ref|WP_003791235.1|	4-amino-4-deoxychorismate synthase [Actinomyces odontolyticus] 
gi|489887787|ref|WP_003791237.1|	cobalt ABC transporter [Actinomyces odontolyticus] 
gi|489887789|ref|WP_003791239.1|	membrane protein [Actinomyces odontolyticus] 
gi|489887791|ref|WP_003791241.1|	alanine glycine permease [Actinomyces odontolyticus] 
gi|489887792|ref|WP_003791242.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887794|ref|WP_003791244.1|	toxin [Actinomyces odontolyticus] 
gi|489887795|ref|WP_003791245.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887798|ref|WP_003791248.1|	MULTISPECIES: hypothetical protein [Actinomyces] 
gi|489887801|ref|WP_003791251.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887803|ref|WP_003791253.1|	molecular chaperone [Actinomyces odontolyticus] 
gi|489887805|ref|WP_003791255.1|	permease [Actinomyces odontolyticus] 
gi|489887806|ref|WP_003791256.1|	nucleoside-diphosphate sugar epimerase [Actinomyces odontolyticus] 
gi|489887808|ref|WP_003791258.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887810|ref|WP_003791260.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887813|ref|WP_003791263.1|	MarR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489887815|ref|WP_003791265.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887816|ref|WP_003791266.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887819|ref|WP_003791269.1|	xylose isomerase [Actinomyces odontolyticus] 
gi|489887820|ref|WP_003791270.1|	xylulokinase [Actinomyces odontolyticus] 
gi|489887823|ref|WP_003791273.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887826|ref|WP_003791276.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887827|ref|WP_003791277.1|	aldolase [Actinomyces odontolyticus] 
gi|489887829|ref|WP_003791279.1|	carbohydrate kinase [Actinomyces odontolyticus] 
gi|489887832|ref|WP_003791282.1|	rhamnose isomerase [Actinomyces odontolyticus] 
gi|489887834|ref|WP_003791284.1|	L-rhamnose mutarotase [Actinomyces odontolyticus] 
gi|489887835|ref|WP_003791285.1|	sugar ABC transporter substrate-binding protein [Actinomyces odontolyticus] 
gi|489887837|ref|WP_003791287.1|	ribose ABC transporter permease [Actinomyces odontolyticus] 
gi|489887838|ref|WP_003791288.1|	ATPase [Actinomyces odontolyticus] 
gi|489887841|ref|WP_003791291.1|	D-ribose transporter ATP binding protein [Actinomyces odontolyticus] 
gi|489887844|ref|WP_003791294.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887846|ref|WP_003791296.1|	ribose 5-phosphate isomerase [Actinomyces odontolyticus] 
gi|489887848|ref|WP_003791298.1|	sugar ABC transporter permease [Actinomyces odontolyticus] 
gi|489887850|ref|WP_003791300.1|	sugar ABC transporter permease [Actinomyces odontolyticus] 
gi|489887851|ref|WP_003791301.1|	lipase [Actinomyces odontolyticus] 
gi|489887853|ref|WP_003791303.1|	ABC transporter substrate-binding protein [Actinomyces odontolyticus] 
gi|489887855|ref|WP_003791305.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887856|ref|WP_003791306.1|	Dak phosphatase [Actinomyces odontolyticus] 
gi|489887858|ref|WP_003791308.1|	dihydroxyacetone kinase subunit K [Actinomyces odontolyticus] 
gi|489887860|ref|WP_003791310.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489887862|ref|WP_003791312.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489887865|ref|WP_003791315.1|	lipase [Actinomyces odontolyticus] 
gi|489887867|ref|WP_003791317.1|	sugar ABC transporter substrate-binding protein [Actinomyces odontolyticus] 
gi|489887868|ref|WP_003791318.1|	DeoR family transcripitonal regulator [Actinomyces odontolyticus] 
gi|489887870|ref|WP_003791320.1|	type I restriction endonuclease [Actinomyces odontolyticus] 
gi|489887871|ref|WP_003791321.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887875|ref|WP_003791325.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887877|ref|WP_003791327.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887878|ref|WP_003791328.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887880|ref|WP_003791330.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887882|ref|WP_003791332.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887884|ref|WP_003791334.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887886|ref|WP_003791336.1|	ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489887888|ref|WP_003791338.1|	MULTISPECIES: ABC transporter ATP-binding protein [Actinomyces] 
gi|489887892|ref|WP_003791342.1|	membrane protein [Actinomyces odontolyticus] 
gi|489887894|ref|WP_003791344.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887896|ref|WP_003791346.1|	cobalt ABC transporter permease [Actinomyces odontolyticus] 
gi|489887898|ref|WP_003791348.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887900|ref|WP_003791350.1|	GntR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489887901|ref|WP_003791351.1|	D-alanine--D-alanine ligase [Actinomyces odontolyticus] 
gi|489887903|ref|WP_003791353.1|	haloacid dehalogenase [Actinomyces odontolyticus] 
gi|489887906|ref|WP_003791356.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887908|ref|WP_003791358.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887910|ref|WP_003791360.1|	chromosome partitioning protein [Actinomyces odontolyticus] 
gi|489887912|ref|WP_003791362.1|	16S rRNA methyltransferase [Actinomyces odontolyticus] 
gi|489887914|ref|WP_003791364.1|	single-stranded DNA-binding protein [Actinomyces odontolyticus] 
gi|489887916|ref|WP_003791366.1|	membrane protein [Actinomyces odontolyticus] 
gi|489887918|ref|WP_003791368.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887922|ref|WP_003791372.1|	ribonuclease P [Actinomyces odontolyticus] 
gi|489887929|ref|WP_003791379.1|	MULTISPECIES: 50S ribosomal protein L34 [Actinobacteria] 
gi|489887930|ref|WP_003791380.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887932|ref|WP_003791382.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887934|ref|WP_003791384.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887935|ref|WP_003791385.1|	DNA polymerase III subunit beta [Actinomyces odontolyticus] 
gi|489887937|ref|WP_003791387.1|	recombinase RecF [Actinomyces odontolyticus] 
gi|489887939|ref|WP_003791389.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887941|ref|WP_003791391.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887943|ref|WP_003791393.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887946|ref|WP_003791396.1|	DNA gyrase subunit B [Actinomyces odontolyticus] 
gi|489887947|ref|WP_003791397.1|	DNA gyrase subunit A [Actinomyces odontolyticus] 
gi|489887949|ref|WP_003791399.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887951|ref|WP_003791401.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887953|ref|WP_003791403.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887954|ref|WP_003791404.1|	MULTISPECIES: hypothetical protein [Actinomyces] 
gi|489887957|ref|WP_003791407.1|	FAD-binding protein [Actinomyces odontolyticus] 
gi|489887958|ref|WP_003791408.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887961|ref|WP_003791411.1|	TonB-dependent receptor [Actinomyces odontolyticus] 
gi|489887964|ref|WP_003791414.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887966|ref|WP_003791416.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887967|ref|WP_003791417.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887969|ref|WP_003791419.1|	thioredoxin reductase [Actinomyces odontolyticus] 
gi|489887970|ref|WP_003791420.1|	membrane protein [Actinomyces odontolyticus] 
gi|489887972|ref|WP_003791422.1|	membrane protein [Actinomyces odontolyticus] 
gi|489887975|ref|WP_003791425.1|	MULTISPECIES: hypothetical protein [Actinomyces] 
gi|489887977|ref|WP_003791427.1|	RNA nucleotidyltransferase [Actinomyces odontolyticus] 
gi|489887978|ref|WP_003791428.1|	6-phosphogluconate dehydrogenase [Actinomyces odontolyticus] 
gi|489887981|ref|WP_003791431.1|	penicillin-binding protein [Actinomyces odontolyticus] 
gi|489887983|ref|WP_003791433.1|	50S ribosomal protein L9 [Actinomyces odontolyticus] 
gi|489887985|ref|WP_003791435.1|	MULTISPECIES: 30S ribosomal protein S18 [Actinomyces] 
gi|489887987|ref|WP_003791437.1|	MULTISPECIES: hypothetical protein [Actinomyces] 
gi|489887989|ref|WP_003791439.1|	30S ribosomal protein S6 [Actinomyces odontolyticus] 
gi|489887990|ref|WP_003791440.1|	multidrug transporter MatE [Actinomyces odontolyticus] 
gi|489887992|ref|WP_003791442.1|	DNA helicase [Actinomyces odontolyticus] 
gi|489887995|ref|WP_003791445.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887996|ref|WP_003791446.1|	glutamyl-tRNA reductase [Actinomyces odontolyticus] 
gi|489887998|ref|WP_003791448.1|	uroporphyrinogen decarboxylase [Actinomyces odontolyticus] 
gi|489888000|ref|WP_003791450.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888002|ref|WP_003791452.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888005|ref|WP_003791455.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888006|ref|WP_003791456.1|	delta-aminolevulinic acid dehydratase [Actinomyces odontolyticus] 
gi|489888008|ref|WP_003791458.1|	glutamate-1-semialdehyde aminotransferase [Actinomyces odontolyticus] 
gi|489888010|ref|WP_003791460.1|	DNA-binding protein [Actinomyces odontolyticus] 
gi|489888012|ref|WP_003791462.1|	DNA-binding protein [Actinomyces odontolyticus] 
gi|489888015|ref|WP_003791465.1|	DNA-binding protein [Actinomyces odontolyticus] 
gi|489888018|ref|WP_003791468.1|	DNA-binding protein [Actinomyces odontolyticus] 
gi|489888020|ref|WP_003791470.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888022|ref|WP_003791472.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888024|ref|WP_003791474.1|	transporter [Actinomyces odontolyticus] 
gi|489888032|ref|WP_003791482.1|	MULTISPECIES: cold-shock protein [Actinomyces] 
gi|489888035|ref|WP_003791485.1|	ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489888037|ref|WP_003791487.1|	iron ABC transporter permease [Actinomyces odontolyticus] 
gi|489888039|ref|WP_003791489.1|	peptide ABC transporter substrate-binding protein [Actinomyces odontolyticus] 
gi|489888041|ref|WP_003791491.1|	MFS transporter [Actinomyces odontolyticus] 
gi|489888043|ref|WP_003791493.1|	5'-nucleotidase [Actinomyces odontolyticus] 
gi|489888045|ref|WP_003791495.1|	cobalt ABC transporter [Actinomyces odontolyticus] 
gi|489888047|ref|WP_003791497.1|	cobalt transporter [Actinomyces odontolyticus] 
gi|489888049|ref|WP_003791499.1|	transposase [Actinomyces odontolyticus] 
gi|489888051|ref|WP_003791501.1|	luciferase [Actinomyces odontolyticus] 
gi|489888053|ref|WP_003791503.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888056|ref|WP_003791506.1|	ArsR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489888057|ref|WP_003791507.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888058|ref|WP_003791508.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888060|ref|WP_003791510.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888063|ref|WP_003791513.1|	recombinase [Actinomyces odontolyticus] 
gi|489888066|ref|WP_003791516.1|	alkanal monooxygenase [Actinomyces odontolyticus] 
gi|489888069|ref|WP_003791519.1|	transporter [Actinomyces odontolyticus] 
gi|489888071|ref|WP_003791521.1|	histidine kinase [Actinomyces odontolyticus] 
gi|489888073|ref|WP_003791523.1|	chemotaxis protein CheY [Actinomyces odontolyticus] 
gi|489888075|ref|WP_003791525.1|	CAAX protease [Actinomyces odontolyticus] 
gi|489888077|ref|WP_003791527.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888078|ref|WP_003791528.1|	nitro/flavin reductase [Actinomyces odontolyticus] 
gi|489888080|ref|WP_003791530.1|	alpha/beta hydrolase [Actinomyces odontolyticus] 
gi|489888082|ref|WP_003791532.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888084|ref|WP_003791534.1|	GNAT family acetyltransferase [Actinomyces odontolyticus] 
gi|489888085|ref|WP_003791535.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888086|ref|WP_003791536.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489888087|ref|WP_003791537.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489888089|ref|WP_003791539.1|	ABC transporter substrate-binding protein [Actinomyces odontolyticus] 
gi|489888091|ref|WP_003791541.1|	diguanylate cyclase [Actinomyces odontolyticus] 
gi|489888093|ref|WP_003791543.1|	cupin [Actinomyces odontolyticus] 
gi|489888095|ref|WP_003791545.1|	amidohydrolase [Actinomyces odontolyticus] 
gi|489888097|ref|WP_003791547.1|	S-adenosyl-L-homocysteine hydrolase [Actinomyces odontolyticus] 
gi|489888100|ref|WP_003791550.1|	macrolide ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489888101|ref|WP_003791551.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489888103|ref|WP_003791553.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888105|ref|WP_003791555.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888111|ref|WP_003791561.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888113|ref|WP_003791563.1|	hydrolase [Actinomyces odontolyticus] 
gi|489888115|ref|WP_003791565.1|	cell division protein FtsW [Actinomyces odontolyticus] 
gi|489888116|ref|WP_003791566.1|	membrane protein [Actinomyces odontolyticus] 
gi|489888118|ref|WP_003791568.1|	sugar ABC transporter permease [Actinomyces odontolyticus] 
gi|489888120|ref|WP_003791570.1|	histidine kinase [Actinomyces odontolyticus] 
gi|489888122|ref|WP_003791572.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888124|ref|WP_003791574.1|	inner-membrane translocator [Actinomyces odontolyticus] 
gi|489888126|ref|WP_003791576.1|	iron transporter [Actinomyces odontolyticus] 
gi|489888128|ref|WP_003791578.1|	thermostable alkaline protease [Actinomyces odontolyticus] 
gi|489888132|ref|WP_003791582.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888134|ref|WP_003791584.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888136|ref|WP_003791586.1|	mucin [Actinomyces odontolyticus] 
gi|489888140|ref|WP_003791590.1|	peptidyl-prolyl cis-trans isomerase [Actinomyces odontolyticus] 
gi|489888141|ref|WP_003791591.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888145|ref|WP_003791595.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888147|ref|WP_003791597.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888150|ref|WP_003791600.1|	septation inhibitor protein [Actinomyces odontolyticus] 
gi|489888152|ref|WP_003791602.1|	membrane protein [Actinomyces odontolyticus] 
gi|489888155|ref|WP_003791605.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888159|ref|WP_003791609.1|	MULTISPECIES: membrane protein [Actinobacteria] 
gi|489888161|ref|WP_003791611.1|	para-aminobenzoate synthase [Actinomyces odontolyticus] 
gi|489888163|ref|WP_003791613.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888166|ref|WP_003791616.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888168|ref|WP_003791618.1|	serine/threonine protein kinase [Actinomyces odontolyticus] 
gi|489888169|ref|WP_003791619.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888171|ref|WP_003791621.1|	peptidase [Actinomyces odontolyticus] 
gi|489888173|ref|WP_003791623.1|	cell division protein [Actinomyces odontolyticus] 
gi|489888176|ref|WP_003791626.1|	serine/threonine protein phosphatase [Actinomyces odontolyticus] 
gi|489888178|ref|WP_003791628.1|	signal peptide protein [Actinomyces odontolyticus] 
gi|489888180|ref|WP_003791630.1|	signal peptide protein [Actinomyces odontolyticus] 
gi|489888183|ref|WP_003791633.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888185|ref|WP_003791635.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489888187|ref|WP_003791637.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888190|ref|WP_003791640.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888191|ref|WP_003791641.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888193|ref|WP_003791643.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888195|ref|WP_003791645.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888197|ref|WP_003791647.1|	histidine kinase [Actinomyces odontolyticus] 
gi|489888199|ref|WP_003791649.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489888201|ref|WP_003791651.1|	branched-chain amino acid transporter AzlD [Actinomyces odontolyticus] 
gi|489888203|ref|WP_003791653.1|	branched-chain amino acid transporter AzlC [Actinomyces odontolyticus] 
