gi|490986841|ref|WP_004848574.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988169|ref|WP_004849902.1|	MULTISPECIES: ribose ABC transporter permease [Coprococcus] 
gi|490988171|ref|WP_004849904.1|	MULTISPECIES: beta-galactosidase [Coprococcus] 
gi|490988172|ref|WP_004849905.1|	carbohydrate kinase [Coprococcus eutactus] 
gi|490988173|ref|WP_004849906.1|	AMP-dependent synthetase [Coprococcus eutactus] 
gi|490988174|ref|WP_004849907.1|	MULTISPECIES: acyl carrier protein [Coprococcus] 
gi|490988176|ref|WP_004849909.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988178|ref|WP_004849911.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988180|ref|WP_004849913.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988182|ref|WP_004849915.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988184|ref|WP_004849917.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988186|ref|WP_004849919.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988188|ref|WP_004849921.1|	MULTISPECIES: PhoB family transcriptional regulator [Coprococcus] 
gi|490988190|ref|WP_004849923.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988196|ref|WP_004849929.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988197|ref|WP_004849930.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988200|ref|WP_004849933.1|	transposase [Coprococcus eutactus] 
gi|490988201|ref|WP_004849934.1|	transposase [Coprococcus eutactus] 
gi|490988203|ref|WP_004849936.1|	MarR family transcriptional regulator [Coprococcus eutactus] 
gi|490988205|ref|WP_004849938.1|	prevent-host-death protein [Coprococcus eutactus] 
gi|490988206|ref|WP_004849939.1|	cytotoxic translational repressor of toxin-antitoxin stability system [Coprococcus eutactus] 
gi|490988207|ref|WP_004849940.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988209|ref|WP_004849942.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988211|ref|WP_004849944.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988213|ref|WP_004849946.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988216|ref|WP_004849949.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988217|ref|WP_004849950.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988219|ref|WP_004849952.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988220|ref|WP_004849953.1|	glycosyl transferase family 1 [Coprococcus eutactus] 
gi|490988222|ref|WP_004849955.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988224|ref|WP_004849957.1|	MULTISPECIES: GntR family transcriptional regulator [Coprococcus] 
gi|490988226|ref|WP_004849959.1|	MULTISPECIES: ABC transporter ATP-binding protein [Coprococcus] 
gi|490988228|ref|WP_004849961.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988229|ref|WP_004849962.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988232|ref|WP_004849965.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988234|ref|WP_004849967.1|	MULTISPECIES: flavodoxin [Coprococcus] 
gi|490988235|ref|WP_004849968.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988237|ref|WP_004849970.1|	MULTISPECIES: LysR family transcriptional regulator [Coprococcus] 
gi|490988239|ref|WP_004849972.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988241|ref|WP_004849974.1|	multidrug transporter MatE [Coprococcus eutactus] 
gi|490988246|ref|WP_004849979.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988248|ref|WP_004849981.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988250|ref|WP_004849983.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988251|ref|WP_004849984.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988253|ref|WP_004849986.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988255|ref|WP_004849988.1|	MULTISPECIES: serine acetyltransferase [Coprococcus] 
gi|490988257|ref|WP_004849990.1|	MULTISPECIES: 6-phosphofructokinase [Coprococcus] 
gi|490988258|ref|WP_004849991.1|	MULTISPECIES: tryptophanyl-tRNA synthase [Coprococcus] 
gi|490988259|ref|WP_004849992.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988260|ref|WP_004849993.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988261|ref|WP_004849994.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988262|ref|WP_004849995.1|	MULTISPECIES: gamma-glutamyl phosphate reductase [Coprococcus] 
gi|490988264|ref|WP_004849997.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988265|ref|WP_004849998.1|	MULTISPECIES: alpha-amylase [Coprococcus] 
gi|490988267|ref|WP_004850000.1|	MULTISPECIES: transporter [Coprococcus] 
gi|490988269|ref|WP_004850002.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988272|ref|WP_004850005.1|	MULTISPECIES: peptidylprolyl isomerase [Coprococcus] 
gi|490988274|ref|WP_004850007.1|	MULTISPECIES: glyoxalase [Coprococcus] 
gi|490988276|ref|WP_004850009.1|	MULTISPECIES: endonuclease IV [Coprococcus] 
gi|490988277|ref|WP_004850010.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988279|ref|WP_004850012.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988281|ref|WP_004850014.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988283|ref|WP_004850016.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988284|ref|WP_004850017.1|	MULTISPECIES: enolase [Coprococcus] 
gi|490988285|ref|WP_004850018.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988286|ref|WP_004850019.1|	MULTISPECIES: molecular chaperone DnaJ [Coprococcus] 
gi|490988287|ref|WP_004850020.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988289|ref|WP_004850022.1|	alpha-glucosidase [Coprococcus eutactus] 
gi|490988291|ref|WP_004850024.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988293|ref|WP_004850026.1|	ABC transporter ATP-binding protein [Coprococcus eutactus] 
gi|490988294|ref|WP_004850027.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988295|ref|WP_004850028.1|	transcriptional regulator [Coprococcus eutactus] 
gi|490988296|ref|WP_004850029.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988297|ref|WP_004850030.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988299|ref|WP_004850032.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988300|ref|WP_004850033.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988303|ref|WP_004850036.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988305|ref|WP_004850038.1|	tyrosine recombinase XerC [Coprococcus eutactus] 
gi|490988307|ref|WP_004850040.1|	DNA damage-inducible protein D [Coprococcus eutactus] 
gi|490988308|ref|WP_004850041.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988310|ref|WP_004850043.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988312|ref|WP_004850045.1|	heat shock protein Hsp20 [Coprococcus eutactus] 
gi|490988314|ref|WP_004850047.1|	HAD family hydrolase [Coprococcus eutactus] 
gi|490988316|ref|WP_004850049.1|	GntR family transcriptional regulator [Coprococcus eutactus] 
gi|490988319|ref|WP_004850052.1|	MULTISPECIES: cupin [Coprococcus] 
gi|490988321|ref|WP_004850054.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988322|ref|WP_004850055.1|	Na/Pi cotransporter [Coprococcus eutactus] 
gi|490988324|ref|WP_004850057.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988326|ref|WP_004850059.1|	polyphosphate kinase [Coprococcus eutactus] 
gi|490988327|ref|WP_004850060.1|	anthranilate synthase subunit II [Coprococcus eutactus] 
gi|490988329|ref|WP_004850062.1|	para-aminobenzoate synthase [Coprococcus eutactus] 
gi|490988332|ref|WP_004850065.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988334|ref|WP_004850067.1|	methyltransferase [Coprococcus eutactus] 
gi|490988336|ref|WP_004850069.1|	phosphate-binding protein [Coprococcus eutactus] 
gi|490988338|ref|WP_004850071.1|	phosphate ABC transporter permease [Coprococcus eutactus] 
gi|490988340|ref|WP_004850073.1|	phosphate ABC transporter permease [Coprococcus eutactus] 
gi|490988341|ref|WP_004850074.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988343|ref|WP_004850076.1|	phosphate ABC transporter ATP-binding protein [Coprococcus eutactus] 
gi|490988345|ref|WP_004850078.1|	PhoU family transcriptional regulator [Coprococcus eutactus] 
gi|490988348|ref|WP_004850081.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988351|ref|WP_004850084.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988353|ref|WP_004850086.1|	Na/Pi cotransporter [Coprococcus eutactus] 
gi|490988354|ref|WP_004850087.1|	MULTISPECIES: ArsR family transcriptional regulator [Coprococcus] 
gi|490988355|ref|WP_004850088.1|	histidine kinase [Coprococcus eutactus] 
gi|490988358|ref|WP_004850091.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988359|ref|WP_004850092.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988362|ref|WP_004850095.1|	MULTISPECIES: metallophosphoesterase [Coprococcus] 
gi|490988364|ref|WP_004850097.1|	citrate synthase [Coprococcus eutactus] 
gi|490988367|ref|WP_004850100.1|	prolyl-tRNA synthetase [Coprococcus eutactus] 
gi|490988368|ref|WP_004850101.1|	SAM-dependent methyltransferase [Coprococcus eutactus] 
gi|490988371|ref|WP_004850104.1|	methyltransferase [Coprococcus eutactus] 
gi|490988373|ref|WP_004850106.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988375|ref|WP_004850108.1|	MULTISPECIES: 30S ribosomal protein S10 [Coprococcus] 
gi|490988377|ref|WP_004850110.1|	50S ribosomal protein L3 [Coprococcus eutactus] 
gi|490988379|ref|WP_004850112.1|	MULTISPECIES: 50S ribosomal protein L4 [Coprococcus] 
gi|490988381|ref|WP_004850114.1|	MULTISPECIES: 50S ribosomal protein L23 [Coprococcus] 
gi|490988383|ref|WP_004850116.1|	50S ribosomal protein L2 [Coprococcus eutactus] 
gi|490988385|ref|WP_004850118.1|	MULTISPECIES: 30S ribosomal protein S19 [Coprococcus] 
gi|490988387|ref|WP_004850120.1|	MULTISPECIES: 50S ribosomal protein L22 [Coprococcus] 
gi|490988389|ref|WP_004850122.1|	MULTISPECIES: 30S ribosomal protein S3 [Coprococcus] 
gi|490988391|ref|WP_004850124.1|	MULTISPECIES: 50S ribosomal protein L16 [Coprococcus] 
gi|490988393|ref|WP_004850126.1|	MULTISPECIES: 50S ribosomal protein L29 [Coprococcus] 
gi|490988395|ref|WP_004850128.1|	30S ribosomal protein S17 [Coprococcus eutactus] 
gi|490988397|ref|WP_004850130.1|	MULTISPECIES: 50S ribosomal protein L14 [Coprococcus] 
gi|490988399|ref|WP_004850132.1|	MULTISPECIES: 50S ribosomal protein L24 [Coprococcus] 
gi|490988401|ref|WP_004850134.1|	MULTISPECIES: 50S ribosomal protein L5 [Coprococcus] 
gi|490988404|ref|WP_004850137.1|	MULTISPECIES: 30S ribosomal protein S14 [Coprococcus] 
gi|490988407|ref|WP_004850140.1|	30S ribosomal protein S8 [Coprococcus eutactus] 
gi|490988408|ref|WP_004850141.1|	50S ribosomal protein L6 [Coprococcus eutactus] 
gi|490988410|ref|WP_004850143.1|	50S ribosomal protein L18 [Coprococcus eutactus] 
gi|490988413|ref|WP_004850146.1|	30S ribosomal protein S5 [Coprococcus eutactus] 
gi|490988414|ref|WP_004850147.1|	MULTISPECIES: 50S ribosomal protein L30 [Coprococcus] 
gi|490988417|ref|WP_004850150.1|	MULTISPECIES: 50S ribosomal protein L15 [Coprococcus] 
gi|490988419|ref|WP_004850152.1|	MULTISPECIES: preprotein translocase subunit SecY [Coprococcus] 
gi|490988420|ref|WP_004850153.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988421|ref|WP_004850154.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988423|ref|WP_004850156.1|	MULTISPECIES: adenylate kinase [Coprococcus] 
gi|490988424|ref|WP_004850157.1|	methionine aminopeptidase [Coprococcus eutactus] 
gi|490988427|ref|WP_004850160.1|	MULTISPECIES: translation initiation factor IF-1 [Coprococcus] 
gi|490988428|ref|WP_004850161.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988430|ref|WP_004850163.1|	30S ribosomal protein S13 [Coprococcus eutactus] 
gi|490988432|ref|WP_004850165.1|	MULTISPECIES: 30S ribosomal protein S11 [Coprococcus] 
gi|490988434|ref|WP_004850167.1|	30S ribosomal protein S4 [Coprococcus eutactus] 
gi|490988435|ref|WP_004850168.1|	MULTISPECIES: DNA-directed RNA polymerase subunit alpha [Coprococcus] 
gi|490988437|ref|WP_004850170.1|	MULTISPECIES: 50S ribosomal protein L17 [Coprococcus] 
gi|490988439|ref|WP_004850172.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988440|ref|WP_004850173.1|	transporter [Coprococcus eutactus] 
gi|490988442|ref|WP_004850175.1|	tRNA pseudouridine synthase A [Coprococcus eutactus] 
gi|490988444|ref|WP_004850177.1|	NADPH-dependent butanol dehydrogenase [Coprococcus eutactus] 
gi|490988445|ref|WP_004850178.1|	MULTISPECIES: 50S ribosomal protein L13 [Coprococcus] 
gi|490988448|ref|WP_004850181.1|	MULTISPECIES: 30S ribosomal protein S9 [Coprococcus] 
gi|490988449|ref|WP_004850182.1|	cation diffusion facilitator family transporter [Coprococcus eutactus] 
gi|490988451|ref|WP_004850184.1|	amino acid ABC transporter substrate-binding protein [Coprococcus eutactus] 
gi|490988452|ref|WP_004850185.1|	MULTISPECIES: polar amino acid ABC transporter permease [Coprococcus] 
gi|490988455|ref|WP_004850188.1|	MULTISPECIES: arginine ABC transporter ATP-binding protein [Coprococcus] 
gi|490988457|ref|WP_004850190.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988460|ref|WP_004850193.1|	cupin [Coprococcus eutactus] 
gi|490988461|ref|WP_004850194.1|	ABC transporter substrate-binding protein [Coprococcus eutactus] 
gi|490988463|ref|WP_004850196.1|	ABC transporter permease [Coprococcus eutactus] 
gi|490988465|ref|WP_004850198.1|	MULTISPECIES: sugar ABC transporter permease [Coprococcus] 
gi|490988467|ref|WP_004850200.1|	MULTISPECIES: 4-alpha-glucanotransferase [Coprococcus] 
gi|490988469|ref|WP_004850202.1|	LacI family transcriptional regulator [Coprococcus eutactus] 
gi|490988471|ref|WP_004850204.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988472|ref|WP_004850205.1|	amidophosphoribosyltransferase [Coprococcus eutactus] 
gi|490988473|ref|WP_004850206.1|	ATPase [Coprococcus eutactus] 
gi|490988475|ref|WP_004850208.1|	PhoB family transcriptional regulator [Coprococcus eutactus] 
gi|490988477|ref|WP_004850210.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988479|ref|WP_004850212.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988481|ref|WP_004850214.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988483|ref|WP_004850216.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988484|ref|WP_004850217.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988485|ref|WP_004850218.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988487|ref|WP_004850220.1|	acyl carrier protein [Coprococcus eutactus] 
gi|490988488|ref|WP_004850221.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988489|ref|WP_004850222.1|	zinc ABC transporter ATPase [Coprococcus eutactus] 
gi|490988491|ref|WP_004850224.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988492|ref|WP_004850225.1|	ArsR family transcriptional regulator [Coprococcus eutactus] 
gi|490988495|ref|WP_004850228.1|	GntR family transcriptional regulator [Coprococcus eutactus] 
gi|490988496|ref|WP_004850229.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988498|ref|WP_004850231.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988499|ref|WP_004850232.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988501|ref|WP_004850234.1|	MULTISPECIES: hydrolase [Coprococcus] 
gi|490988503|ref|WP_004850236.1|	MULTISPECIES: 5,10-methylenetetrahydrofolate reductase [Coprococcus] 
gi|490988506|ref|WP_004850239.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988508|ref|WP_004850241.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988510|ref|WP_004850243.1|	MULTISPECIES: ADP-ribose pyrophosphatase [Coprococcus] 
gi|490988512|ref|WP_004850245.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988514|ref|WP_004850247.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988515|ref|WP_004850248.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988517|ref|WP_004850250.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988519|ref|WP_004850252.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988521|ref|WP_004850254.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988522|ref|WP_004850255.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988524|ref|WP_004850257.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988526|ref|WP_004850259.1|	beta-lactamase [Coprococcus eutactus] 
gi|490988527|ref|WP_004850260.1|	nicotinamide mononucleotide transporter [Coprococcus eutactus] 
gi|490988529|ref|WP_004850262.1|	N-acetyltransferase GCN5 [Coprococcus eutactus] 
gi|490988532|ref|WP_004850265.1|	MULTISPECIES: phosphomethylpyrimidine synthase [Coprococcus] 
gi|490988534|ref|WP_004850267.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988535|ref|WP_004850268.1|	multidrug transporter MatE [Coprococcus eutactus] 
gi|490988536|ref|WP_004850269.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988538|ref|WP_004850271.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988539|ref|WP_004850272.1|	MULTISPECIES: transketolase [Coprococcus] 
gi|490988541|ref|WP_004850274.1|	MULTISPECIES: transketolase [Coprococcus] 
gi|490988543|ref|WP_004850276.1|	biotin synthase [Coprococcus eutactus] 
gi|490988544|ref|WP_004850277.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988547|ref|WP_004850280.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988549|ref|WP_004850282.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988552|ref|WP_004850285.1|	pyruvate kinase [Coprococcus eutactus] 
gi|490988554|ref|WP_004850287.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988555|ref|WP_004850288.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988557|ref|WP_004850290.1|	MULTISPECIES: preprotein translocase subunit SecA [Coprococcus] 
gi|490988558|ref|WP_004850291.1|	peptide chain release factor 2 [Coprococcus eutactus] 
gi|490988560|ref|WP_004850293.1|	MULTISPECIES: homoserine dehydrogenase [Coprococcus] 
gi|490988562|ref|WP_004850295.1|	MULTISPECIES: aspartate kinase [Coprococcus] 
gi|490988563|ref|WP_004850296.1|	MULTISPECIES: cytidine deaminase [Coprococcus] 
gi|490988565|ref|WP_004850298.1|	MULTISPECIES: ATP-binding protein [Coprococcus] 
gi|490988567|ref|WP_004850300.1|	O-sialoglycoprotein endopeptidase [Coprococcus eutactus] 
gi|490988569|ref|WP_004850302.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988571|ref|WP_004850304.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988573|ref|WP_004850306.1|	MULTISPECIES: ribonuclease Z [Coprococcus] 
gi|490988575|ref|WP_004850308.1|	O-sialoglycoprotein endopeptidase [Coprococcus eutactus] 
gi|490988576|ref|WP_004850309.1|	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Coprococcus eutactus] 
gi|490987753|ref|WP_004849486.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987318|ref|WP_004849051.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987752|ref|WP_004849485.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988579|ref|WP_004850312.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988580|ref|WP_004850313.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987311|ref|WP_004849044.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987313|ref|WP_004849046.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987324|ref|WP_004849057.1|	hydrolase [Coprococcus eutactus] 
gi|490988583|ref|WP_004850316.1|	cysteine synthase [Coprococcus eutactus] 
gi|490988585|ref|WP_004850318.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988587|ref|WP_004850320.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988589|ref|WP_004850322.1|	XRE family transcriptional regulator [Coprococcus eutactus] 
gi|490988591|ref|WP_004850324.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988593|ref|WP_004850326.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988594|ref|WP_004850327.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988596|ref|WP_004850329.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988598|ref|WP_004850331.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988600|ref|WP_004850333.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988602|ref|WP_004850335.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988604|ref|WP_004850337.1|	Crp/Fnr family transcriptional regulator [Coprococcus eutactus] 
gi|490988606|ref|WP_004850339.1|	4Fe-4S ferredoxin [Coprococcus eutactus] 
gi|490988608|ref|WP_004850341.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988610|ref|WP_004850343.1|	multidrug transporter MatE [Coprococcus eutactus] 
gi|490988611|ref|WP_004850344.1|	ABC transporter [Coprococcus eutactus] 
gi|490988613|ref|WP_004850346.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988615|ref|WP_004850348.1|	membrane protein [Coprococcus eutactus] 
gi|490988617|ref|WP_004850350.1|	galactoside O-acetyltransferase [Coprococcus eutactus] 
gi|490988619|ref|WP_004850352.1|	tRNA pseudouridine synthase A [Coprococcus eutactus] 
gi|490988621|ref|WP_004850354.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988622|ref|WP_004850355.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988623|ref|WP_004850356.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988627|ref|WP_004850360.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988628|ref|WP_004850361.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988630|ref|WP_004850363.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988631|ref|WP_004850364.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988632|ref|WP_004850365.1|	ribonucleoside triphosphate reductase [Coprococcus eutactus] 
gi|490988633|ref|WP_004850366.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988635|ref|WP_004850368.1|	MULTISPECIES: phosphoribosylaminoimidazole-succinocarboxamide synthase [Coprococcus] 
gi|490988636|ref|WP_004850369.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988637|ref|WP_004850370.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988639|ref|WP_004850372.1|	PAP2 family phosphoesterase [Coprococcus eutactus] 
gi|490988641|ref|WP_004850374.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988642|ref|WP_004850375.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988643|ref|WP_004850376.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988645|ref|WP_004850378.1|	ABC transporter [Coprococcus eutactus] 
gi|490988646|ref|WP_004850379.1|	ABC transporter [Coprococcus eutactus] 
gi|490988647|ref|WP_004850380.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988649|ref|WP_004850382.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988651|ref|WP_004850384.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988652|ref|WP_004850385.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988653|ref|WP_004850386.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988654|ref|WP_004850387.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988655|ref|WP_004850388.1|	electron transporter RnfD [Coprococcus eutactus] 
gi|490988656|ref|WP_004850389.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988658|ref|WP_004850391.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988661|ref|WP_004850394.1|	multidrug transporter MatE [Coprococcus eutactus] 
gi|490988664|ref|WP_004850397.1|	membrane protein [Coprococcus eutactus] 
gi|490988665|ref|WP_004850398.1|	radical SAM protein [Coprococcus eutactus] 
gi|490988667|ref|WP_004850400.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490988669|ref|WP_004850402.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988671|ref|WP_004850404.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988673|ref|WP_004850406.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988674|ref|WP_004850407.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988675|ref|WP_004850408.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988676|ref|WP_004850409.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988678|ref|WP_004850411.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988681|ref|WP_004850414.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988683|ref|WP_004850416.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988685|ref|WP_004850418.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988686|ref|WP_004850419.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988688|ref|WP_004850421.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988690|ref|WP_004850423.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988692|ref|WP_004850425.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988695|ref|WP_004850428.1|	ATP-binding protein [Coprococcus eutactus] 
gi|490988697|ref|WP_004850430.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988699|ref|WP_004850432.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988701|ref|WP_004850434.1|	aspartate kinase [Coprococcus eutactus] 
gi|490988702|ref|WP_004850435.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988703|ref|WP_004850436.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988704|ref|WP_004850437.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988705|ref|WP_004850438.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988706|ref|WP_004850439.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988707|ref|WP_004850440.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988709|ref|WP_004850442.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988711|ref|WP_004850444.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988713|ref|WP_004850446.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988715|ref|WP_004850448.1|	hypothetical protein [Coprococcus eutactus] 
gi|490988718|ref|WP_004850451.1|	modification methylase [Coprococcus eutactus] 
gi|490988720|ref|WP_004850453.1|	type II restriction endonuclease [Coprococcus eutactus] 
gi|490988722|ref|WP_004850455.1|	modification methylase [Coprococcus eutactus] 
gi|490988724|ref|WP_004850457.1|	DNA-cytosine methyltransferase [Coprococcus eutactus] 
gi|490988726|ref|WP_004850459.1|	hypothetical protein [Coprococcus eutactus] 
