gi|490746319|ref|WP_004608627.1|	hypothetical protein partial [[Clostridium] spiroforme] 
gi|490746871|ref|WP_004609179.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746872|ref|WP_004609180.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746873|ref|WP_004609181.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746874|ref|WP_004609182.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746875|ref|WP_004609183.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746876|ref|WP_004609184.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746877|ref|WP_004609185.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746653|ref|WP_004608961.1|	maturase [[Clostridium] spiroforme] 
gi|490746775|ref|WP_004609083.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746776|ref|WP_004609084.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746878|ref|WP_004609186.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746322|ref|WP_004608630.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746879|ref|WP_004609187.1|	thiamine ABC transporter permease [[Clostridium] spiroforme] 
gi|490746880|ref|WP_004609188.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746881|ref|WP_004609189.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746882|ref|WP_004609190.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746883|ref|WP_004609191.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746884|ref|WP_004609192.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746885|ref|WP_004609193.1|	GNAT family acetyltransferase [[Clostridium] spiroforme] 
gi|490746886|ref|WP_004609194.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746887|ref|WP_004609195.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746888|ref|WP_004609196.1|	nitroreductase [[Clostridium] spiroforme] 
gi|490746889|ref|WP_004609197.1|	heat shock protein 90 [[Clostridium] spiroforme] 
gi|490746890|ref|WP_004609198.1|	acetyl xylan esterase [[Clostridium] spiroforme] 
gi|490746891|ref|WP_004609199.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746892|ref|WP_004609200.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746893|ref|WP_004609201.1|	transposase [[Clostridium] spiroforme] 
gi|490746894|ref|WP_004609202.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746895|ref|WP_004609203.1|	hydrolase [[Clostridium] spiroforme] 
gi|490746896|ref|WP_004609204.1|	transposase [[Clostridium] spiroforme] 
gi|490746897|ref|WP_004609205.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746898|ref|WP_004609206.1|	transposase [[Clostridium] spiroforme] 
gi|490746899|ref|WP_004609207.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746900|ref|WP_004609208.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746901|ref|WP_004609209.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746902|ref|WP_004609210.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746903|ref|WP_004609211.1|	iron transporter FeoB [[Clostridium] spiroforme] 
gi|490746904|ref|WP_004609212.1|	iron transporter FeoA [[Clostridium] spiroforme] 
gi|490746905|ref|WP_004609213.1|	iron transporter FeoA [[Clostridium] spiroforme] 
gi|490746906|ref|WP_004609214.1|	multidrug ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490746907|ref|WP_004609215.1|	ABC transporter [[Clostridium] spiroforme] 
gi|490746908|ref|WP_004609216.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746909|ref|WP_004609217.1|	6-phosphofructokinase [[Clostridium] spiroforme] 
gi|490746910|ref|WP_004609218.1|	membrane protein [[Clostridium] spiroforme] 
gi|490746911|ref|WP_004609219.1|	Crp/Fnr family transcriptional regulator [[Clostridium] spiroforme] 
gi|490746912|ref|WP_004609220.1|	CoA-disulfide reductase [[Clostridium] spiroforme] 
gi|490746913|ref|WP_004609221.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746914|ref|WP_004609222.1|	phosphoglycerate transporter [[Clostridium] spiroforme] 
gi|490746915|ref|WP_004609223.1|	GNAT family acetyltransferase [[Clostridium] spiroforme] 
gi|490746916|ref|WP_004609224.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746917|ref|WP_004609225.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746918|ref|WP_004609226.1|	polynucleotide phosphorylase [[Clostridium] spiroforme] 
gi|490746919|ref|WP_004609227.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746920|ref|WP_004609228.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746921|ref|WP_004609229.1|	iron permease [[Clostridium] spiroforme] 
gi|490746922|ref|WP_004609230.1|	ABC transporter substrate-binding protein [[Clostridium] spiroforme] 
gi|490746923|ref|WP_004609231.1|	ABC transporter permease [[Clostridium] spiroforme] 
gi|490746924|ref|WP_004609232.1|	ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490746925|ref|WP_004609233.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746926|ref|WP_004609234.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746927|ref|WP_004609235.1|	transcription elongation factor GreA [[Clostridium] spiroforme] 
gi|490746928|ref|WP_004609236.1|	protease [[Clostridium] spiroforme] 
gi|490746929|ref|WP_004609237.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746930|ref|WP_004609238.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746931|ref|WP_004609239.1|	aminodeoxychorismate lyase [[Clostridium] spiroforme] 
gi|490746932|ref|WP_004609240.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746933|ref|WP_004609241.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746934|ref|WP_004609242.1|	UDP-N-acetylglucosamine 2-epimerase [[Clostridium] spiroforme] 
gi|490746444|ref|WP_004608752.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746445|ref|WP_004608753.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746935|ref|WP_004609243.1|	capsular polysaccharide biosynthesis protein Cap8F [[Clostridium] spiroforme] 
gi|490746532|ref|WP_004608840.1|	transposase [[Clostridium] spiroforme] 
gi|490746936|ref|WP_004609244.1|	transposase [[Clostridium] spiroforme] 
gi|490746937|ref|WP_004609245.1|	capsular polysaccharide biosynthesis protein [[Clostridium] spiroforme] 
gi|490746938|ref|WP_004609246.1|	UDP-glucose 6-dehydrogenase [[Clostridium] spiroforme] 
gi|490746939|ref|WP_004609247.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746940|ref|WP_004609248.1|	Similar to Protein capG involved in capsular polysaccharide (CPS) biosynthesis [[Clostridium] spiroforme] 
gi|490746941|ref|WP_004609249.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746942|ref|WP_004609250.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746943|ref|WP_004609251.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746944|ref|WP_004609252.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746945|ref|WP_004609253.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746946|ref|WP_004609254.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746947|ref|WP_004609255.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746948|ref|WP_004609256.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746949|ref|WP_004609257.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746950|ref|WP_004609258.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746951|ref|WP_004609259.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746952|ref|WP_004609260.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746953|ref|WP_004609261.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746954|ref|WP_004609262.1|	UDP-phosphate galactose phosphotransferase [[Clostridium] spiroforme] 
gi|490746955|ref|WP_004609263.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746956|ref|WP_004609264.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746957|ref|WP_004609265.1|	capsular polysaccharide biosynthesis protein [[Clostridium] spiroforme] 
gi|490746958|ref|WP_004609266.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746959|ref|WP_004609267.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746960|ref|WP_004609268.1|	integrase [[Clostridium] spiroforme] 
gi|490746961|ref|WP_004609269.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746962|ref|WP_004609270.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746963|ref|WP_004609271.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746964|ref|WP_004609272.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746965|ref|WP_004609273.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746966|ref|WP_004609274.1|	cell wall anchor protein [[Clostridium] spiroforme] 
gi|490746967|ref|WP_004609275.1|	methylated-DNA--protein-cysteine methyltransferase [[Clostridium] spiroforme] 
gi|490746968|ref|WP_004609276.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746969|ref|WP_004609277.1|	Holliday junction resolvase [[Clostridium] spiroforme] 
gi|490746970|ref|WP_004609278.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746971|ref|WP_004609279.1|	alanyl-tRNA synthase [[Clostridium] spiroforme] 
gi|490746972|ref|WP_004609280.1|	conjugal transfer protein TraA [[Clostridium] spiroforme] 
gi|490746973|ref|WP_004609281.1|	thiouridylase [[Clostridium] spiroforme] 
gi|490746974|ref|WP_004609282.1|	ROK family transcriptional regulator [[Clostridium] spiroforme] 
gi|490746975|ref|WP_004609283.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746976|ref|WP_004609284.1|	ADP-ribose pyrophosphatase [[Clostridium] spiroforme] 
gi|490746977|ref|WP_004609285.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746978|ref|WP_004609286.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746979|ref|WP_004609287.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746980|ref|WP_004609288.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746981|ref|WP_004609289.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746982|ref|WP_004609290.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746983|ref|WP_004609291.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746984|ref|WP_004609292.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746985|ref|WP_004609293.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746986|ref|WP_004609294.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746987|ref|WP_004609295.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746988|ref|WP_004609296.1|	membrane protein [[Clostridium] spiroforme] 
gi|490746989|ref|WP_004609297.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746990|ref|WP_004609298.1|	PemK family transcriptional regulator [[Clostridium] spiroforme] 
gi|490746991|ref|WP_004609299.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746992|ref|WP_004609300.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746993|ref|WP_004609301.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746994|ref|WP_004609302.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746995|ref|WP_004609303.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746996|ref|WP_004609304.1|	PhoB family transcriptional regulator [[Clostridium] spiroforme] 
gi|490746997|ref|WP_004609305.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746998|ref|WP_004609306.1|	fructose-bisphosphate aldolase [[Clostridium] spiroforme] 
gi|490746999|ref|WP_004609307.1|	glycyl radical-activating protein [[Clostridium] spiroforme] 
gi|490747000|ref|WP_004609308.1|	pyruvate formate-lyase [[Clostridium] spiroforme] 
gi|490747001|ref|WP_004609309.1|	DeoR family transcriptional regulator [[Clostridium] spiroforme] 
gi|490747002|ref|WP_004609310.1|	nitroreductase [[Clostridium] spiroforme] 
gi|490747003|ref|WP_004609311.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747004|ref|WP_004609312.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747005|ref|WP_004609313.1|	abortive phage infection protein [[Clostridium] spiroforme] 
gi|490747006|ref|WP_004609314.1|	abortive phage infection protein [[Clostridium] spiroforme] 
gi|490747007|ref|WP_004609315.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747008|ref|WP_004609316.1|	MFS transporter [[Clostridium] spiroforme] 
gi|490747009|ref|WP_004609317.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747010|ref|WP_004609318.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747011|ref|WP_004609319.1|	integrase [[Clostridium] spiroforme] 
gi|490747012|ref|WP_004609320.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747013|ref|WP_004609321.1|	integrase [[Clostridium] spiroforme] 
gi|490747014|ref|WP_004609322.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747015|ref|WP_004609323.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747016|ref|WP_004609324.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747017|ref|WP_004609325.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747018|ref|WP_004609326.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747019|ref|WP_004609327.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747020|ref|WP_004609328.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747021|ref|WP_004609329.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747022|ref|WP_004609330.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747023|ref|WP_004609331.1|	50S ribosomal protein L28 [[Clostridium] spiroforme] 
gi|490747024|ref|WP_004609332.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747025|ref|WP_004609333.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747026|ref|WP_004609334.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747027|ref|WP_004609335.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747028|ref|WP_004609336.1|	transposase [[Clostridium] spiroforme] 
gi|490747029|ref|WP_004609337.1|	molecular chaperone DnaJ [[Clostridium] spiroforme] 
gi|490747030|ref|WP_004609338.1|	molecular chaperone DnaK [[Clostridium] spiroforme] 
gi|490747031|ref|WP_004609339.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747032|ref|WP_004609340.1|	HrcA family transcriptional regulator [[Clostridium] spiroforme] 
gi|490747033|ref|WP_004609341.1|	coproporphyrinogen III oxidase [[Clostridium] spiroforme] 
gi|490747034|ref|WP_004609342.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747035|ref|WP_004609343.1|	DNA polymerase III subunit delta [[Clostridium] spiroforme] 
gi|490747036|ref|WP_004609344.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747037|ref|WP_004609345.1|	competence protein ComE [[Clostridium] spiroforme] 
gi|490747038|ref|WP_004609346.1|	maturase [[Clostridium] spiroforme] 
gi|490746654|ref|WP_004608962.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747039|ref|WP_004609347.1|	hypothetical protein partial [[Clostridium] spiroforme] 
gi|490747040|ref|WP_004609348.1|	hypothetical protein partial [[Clostridium] spiroforme] 
gi|490746870|ref|WP_004609178.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747041|ref|WP_004609349.1|	hypothetical protein partial [[Clostridium] spiroforme] 
gi|490746974|ref|WP_004609282.1|	ROK family transcriptional regulator [[Clostridium] spiroforme] 
gi|490747042|ref|WP_004609350.1|	hypothetical protein partial [[Clostridium] spiroforme] 
gi|490747043|ref|WP_004609351.1|	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [[Clostridium] spiroforme] 
gi|490747044|ref|WP_004609352.1|	glutamyl-tRNA synthase [[Clostridium] spiroforme] 
gi|490747045|ref|WP_004609353.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747046|ref|WP_004609354.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747047|ref|WP_004609355.1|	hydrolase [[Clostridium] spiroforme] 
gi|490747048|ref|WP_004609356.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747049|ref|WP_004609357.1|	threonine dehydratase [[Clostridium] spiroforme] 
gi|490747050|ref|WP_004609358.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747051|ref|WP_004609359.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747052|ref|WP_004609360.1|	carbamoyl phosphate synthase large subunit [[Clostridium] spiroforme] 
gi|490747053|ref|WP_004609361.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747054|ref|WP_004609362.1|	PTS N-acetylgalactosamine transporter subunit IIB [[Clostridium] spiroforme] 
gi|490747055|ref|WP_004609363.1|	PTS acetylgalactosamine transporter subunit IIC [[Clostridium] spiroforme] 
gi|490747056|ref|WP_004609364.1|	PTS acetylgalactosamine transporter subunit IID [[Clostridium] spiroforme] 
gi|490747057|ref|WP_004609365.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747058|ref|WP_004609366.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747059|ref|WP_004609367.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747060|ref|WP_004609368.1|	PTS fructose transporter subunit IIA [[Clostridium] spiroforme] 
gi|490747061|ref|WP_004609369.1|	adhesin [[Clostridium] spiroforme] 
gi|490747062|ref|WP_004609370.1|	N-acetylglucosamine-6-phosphate deacetylase [[Clostridium] spiroforme] 
gi|490747063|ref|WP_004609371.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747064|ref|WP_004609372.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747065|ref|WP_004609373.1|	fructose-bisphosphate aldolase [[Clostridium] spiroforme] 
gi|490747066|ref|WP_004609374.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747067|ref|WP_004609375.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747068|ref|WP_004609376.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747069|ref|WP_004609377.1|	ABC transporter substrate-binding protein [[Clostridium] spiroforme] 
gi|490747070|ref|WP_004609378.1|	ABC transporter permease [[Clostridium] spiroforme] 
gi|490747071|ref|WP_004609379.1|	iron siderophore ABC transporter [[Clostridium] spiroforme] 
gi|490747072|ref|WP_004609380.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747073|ref|WP_004609381.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747074|ref|WP_004609382.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747075|ref|WP_004609383.1|	6-phosphogluconolactonase [[Clostridium] spiroforme] 
gi|490747076|ref|WP_004609384.1|	AsnC family transcriptional regulator [[Clostridium] spiroforme] 
gi|490747077|ref|WP_004609385.1|	aminotransferase [[Clostridium] spiroforme] 
gi|490747078|ref|WP_004609386.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747079|ref|WP_004609387.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747080|ref|WP_004609388.1|	phosphate ABC transporter substrate-binding protein [[Clostridium] spiroforme] 
gi|490747081|ref|WP_004609389.1|	phosphate ABC transporter permease [[Clostridium] spiroforme] 
gi|490747082|ref|WP_004609390.1|	phosphate ABC transporter permease [[Clostridium] spiroforme] 
gi|490747083|ref|WP_004609391.1|	phosphate ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490747084|ref|WP_004609392.1|	PhoU family transcriptional regulator [[Clostridium] spiroforme] 
gi|490747085|ref|WP_004609393.1|	ArsR family transcriptional regulator [[Clostridium] spiroforme] 
gi|490747086|ref|WP_004609394.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746871|ref|WP_004609179.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746870|ref|WP_004609178.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747087|ref|WP_004609395.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747088|ref|WP_004609396.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747089|ref|WP_004609397.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747090|ref|WP_004609398.1|	PhoB family transcriptional regulator [[Clostridium] spiroforme] 
gi|490747091|ref|WP_004609399.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747092|ref|WP_004609400.1|	aspartate-semialdehyde dehydrogenase [[Clostridium] spiroforme] 
gi|490747093|ref|WP_004609401.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747094|ref|WP_004609402.1|	homoserine dehydrogenase [[Clostridium] spiroforme] 
gi|490747095|ref|WP_004609403.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747096|ref|WP_004609404.1|	homoserine kinase [[Clostridium] spiroforme] 
gi|490747097|ref|WP_004609405.1|	XRE family transcriptional regulator [[Clostridium] spiroforme] 
gi|490747098|ref|WP_004609406.1|	thiamine biosynthesis protein ThiF [[Clostridium] spiroforme] 
gi|490747099|ref|WP_004609407.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747100|ref|WP_004609408.1|	alpha/beta hydrolase [[Clostridium] spiroforme] 
gi|490747101|ref|WP_004609409.1|	50S ribosomal protein L13 [[Clostridium] spiroforme] 
gi|490747102|ref|WP_004609410.1|	30S ribosomal protein S9 [[Clostridium] spiroforme] 
gi|490747103|ref|WP_004609411.1|	NUDIX hydrolase [[Clostridium] spiroforme] 
gi|490747104|ref|WP_004609412.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747105|ref|WP_004609413.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747106|ref|WP_004609414.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747107|ref|WP_004609415.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747108|ref|WP_004609416.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747109|ref|WP_004609417.1|	Crp/Fnr family transcriptional regulator [[Clostridium] spiroforme] 
gi|490747110|ref|WP_004609418.1|	hydroxylamine reductase [[Clostridium] spiroforme] 
gi|490746322|ref|WP_004608630.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747111|ref|WP_004609419.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746776|ref|WP_004609084.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746775|ref|WP_004609083.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747112|ref|WP_004609420.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747113|ref|WP_004609421.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747114|ref|WP_004609422.1|	membrane protein [[Clostridium] spiroforme] 
gi|490747115|ref|WP_004609423.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747116|ref|WP_004609424.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747117|ref|WP_004609425.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747118|ref|WP_004609426.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747119|ref|WP_004609427.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747120|ref|WP_004609428.1|	PTS sugar transporter subunit IIC [[Clostridium] spiroforme] 
gi|490747121|ref|WP_004609429.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747122|ref|WP_004609430.1|	protein tyrosine phosphatase [[Clostridium] spiroforme] 
gi|490747123|ref|WP_004609431.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747124|ref|WP_004609432.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747028|ref|WP_004609336.1|	transposase [[Clostridium] spiroforme] 
gi|490747125|ref|WP_004609433.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747126|ref|WP_004609434.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747127|ref|WP_004609435.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747128|ref|WP_004609436.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747129|ref|WP_004609437.1|	peptidase M19 [[Clostridium] spiroforme] 
gi|490747130|ref|WP_004609438.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747131|ref|WP_004609439.1|	fumarate hydratase [[Clostridium] spiroforme] 
gi|490747132|ref|WP_004609440.1|	hydrolyase [[Clostridium] spiroforme] 
gi|490747133|ref|WP_004609441.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747134|ref|WP_004609442.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747135|ref|WP_004609443.1|	ribonucleoside triphosphate reductase [[Clostridium] spiroforme] 
gi|490747136|ref|WP_004609444.1|	ribonucleoside-triphosphate reductase activating protein [[Clostridium] spiroforme] 
gi|490746350|ref|WP_004608658.1|	RNA-directed DNA polymerase [[Clostridium] spiroforme] 
gi|490747137|ref|WP_004609445.1|	peptidase M24 [[Clostridium] spiroforme] 
gi|490747138|ref|WP_004609446.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747139|ref|WP_004609447.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747140|ref|WP_004609448.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747141|ref|WP_004609449.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747142|ref|WP_004609450.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747143|ref|WP_004609451.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747144|ref|WP_004609452.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747145|ref|WP_004609453.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747146|ref|WP_004609454.1|	ATP synthase subunit A [[Clostridium] spiroforme] 
gi|490747147|ref|WP_004609455.1|	V-type ATP synthase subunit B [[Clostridium] spiroforme] 
gi|490747148|ref|WP_004609456.1|	ATPase [[Clostridium] spiroforme] 
gi|490747149|ref|WP_004609457.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747150|ref|WP_004609458.1|	RNA-directed DNA polymerase [[Clostridium] spiroforme] 
gi|490747151|ref|WP_004609459.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747152|ref|WP_004609460.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747153|ref|WP_004609461.1|	multidrug ABC transporter [[Clostridium] spiroforme] 
gi|490747154|ref|WP_004609462.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747155|ref|WP_004609463.1|	ROK family transcriptional regulator [[Clostridium] spiroforme] 
gi|490747156|ref|WP_004609464.1|	3-dehydroquinate dehydratase [[Clostridium] spiroforme] 
gi|490747157|ref|WP_004609465.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747158|ref|WP_004609466.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747159|ref|WP_004609467.1|	peptidase [[Clostridium] spiroforme] 
gi|490747160|ref|WP_004609468.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747161|ref|WP_004609469.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747162|ref|WP_004609470.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747163|ref|WP_004609471.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490747164|ref|WP_004609472.1|	purine nucleoside phosphorylase [[Clostridium] spiroforme] 
