gi|490969876|ref|WP_004831676.1|	hypothetical protein partial [Parvimonas micra] 
gi|490970431|ref|WP_004832230.1|	methyltransferase [Parvimonas micra] 
gi|490970433|ref|WP_004832232.1|	MULTISPECIES: disulfide oxidoreductase [Parvimonas] 
gi|490970434|ref|WP_004832233.1|	hypothetical protein [Parvimonas micra] 
gi|490970436|ref|WP_004832235.1|	glutaredoxin [Parvimonas micra] 
gi|490970437|ref|WP_004832236.1|	glycyl-tRNA synthetase [Parvimonas micra] 
gi|490970439|ref|WP_004832238.1|	cell wall-binding protein [Parvimonas micra] 
gi|490970441|ref|WP_004832240.1|	membrane protein [Parvimonas micra] 
gi|490970442|ref|WP_004832241.1|	hypothetical protein [Parvimonas micra] 
gi|490970444|ref|WP_004832243.1|	aminopeptidase C [Parvimonas micra] 
gi|490970445|ref|WP_004832244.1|	hypothetical protein [Parvimonas micra] 
gi|490970447|ref|WP_004832246.1|	hypothetical protein [Parvimonas micra] 
gi|490970449|ref|WP_004832248.1|	hypothetical protein [Parvimonas micra] 
gi|490970451|ref|WP_004832250.1|	hypothetical protein [Parvimonas micra] 
gi|490970453|ref|WP_004832252.1|	hypothetical protein [Parvimonas micra] 
gi|490970455|ref|WP_004832254.1|	hypothetical protein [Parvimonas micra] 
gi|490970457|ref|WP_004832256.1|	hypothetical protein [Parvimonas micra] 
gi|490970459|ref|WP_004832258.1|	transposase [Parvimonas micra] 
gi|490970462|ref|WP_004832261.1|	RNA methyltransferase [Parvimonas micra] 
gi|490970464|ref|WP_004832263.1|	potassium transporter Trk [Parvimonas micra] 
gi|490970465|ref|WP_004832264.1|	Ktr system potassium uptake protein B [Parvimonas micra] 
gi|490970468|ref|WP_004832267.1|	hypothetical protein [Parvimonas micra] 
gi|490970469|ref|WP_004832268.1|	MULTISPECIES: 50S ribosomal protein L20 [Parvimonas] 
gi|490970473|ref|WP_004832272.1|	50S ribosomal protein L35 [Parvimonas micra] 
gi|490970474|ref|WP_004832273.1|	translation initiation factor IF-3 [Parvimonas micra] 
gi|490970475|ref|WP_004832274.1|	C4-dicarboxylate ABC transporter [Parvimonas micra] 
gi|490970476|ref|WP_004832275.1|	hypothetical protein [Parvimonas micra] 
gi|490970478|ref|WP_004832276.1|	hypothetical protein [Parvimonas micra] 
gi|490970479|ref|WP_004832277.1|	dihydrolipoyl dehydrogenase [Parvimonas micra] 
gi|490970480|ref|WP_004832278.1|	hypothetical protein [Parvimonas micra] 
gi|490970481|ref|WP_004832279.1|	membrane protein [Parvimonas micra] 
gi|490970482|ref|WP_004832280.1|	membrane protein [Parvimonas micra] 
gi|490970483|ref|WP_004832281.1|	hypothetical protein [Parvimonas micra] 
gi|490970484|ref|WP_004832282.1|	CAAX amino terminal protease [Parvimonas micra] 
gi|490970485|ref|WP_004832283.1|	CAAX amino terminal protease [Parvimonas micra] 
gi|490970486|ref|WP_004832284.1|	CAAX amino terminal protease [Parvimonas micra] 
gi|490970487|ref|WP_004832285.1|	CAAX amino terminal protease [Parvimonas micra] 
gi|490970488|ref|WP_004832286.1|	CAAX amino terminal protease [Parvimonas micra] 
gi|490970489|ref|WP_004832287.1|	CAAX amino terminal protease [Parvimonas micra] 
gi|490970490|ref|WP_004832288.1|	hypothetical protein [Parvimonas micra] 
gi|490970491|ref|WP_004832289.1|	hypothetical protein [Parvimonas micra] 
gi|490970492|ref|WP_004832290.1|	hypothetical protein [Parvimonas micra] 
gi|490970493|ref|WP_004832291.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970494|ref|WP_004832292.1|	hypothetical protein [Parvimonas micra] 
gi|490970495|ref|WP_004832293.1|	ribonucleoside-triphosphate reductase activating protein [Parvimonas micra] 
gi|490970496|ref|WP_004832294.1|	ribonucleoside triphosphate reductase [Parvimonas micra] 
gi|490970497|ref|WP_004832295.1|	membrane protein [Parvimonas micra] 
gi|490970498|ref|WP_004832296.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970499|ref|WP_004832297.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970500|ref|WP_004832298.1|	prolyl-tRNA synthetase [Parvimonas micra] 
gi|490970501|ref|WP_004832299.1|	hypothetical protein [Parvimonas micra] 
gi|490970502|ref|WP_004832300.1|	hypothetical protein [Parvimonas micra] 
gi|490970503|ref|WP_004832301.1|	D-ala D-ala ligase [Parvimonas micra] 
gi|490970504|ref|WP_004832302.1|	asparagine synthase [Parvimonas micra] 
gi|490970505|ref|WP_004832303.1|	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase [Parvimonas micra] 
gi|490970506|ref|WP_004832304.1|	hypothetical protein [Parvimonas micra] 
gi|490970507|ref|WP_004832305.1|	hypothetical protein [Parvimonas micra] 
gi|490970508|ref|WP_004832306.1|	hypothetical protein [Parvimonas micra] 
gi|490970509|ref|WP_004832307.1|	glucose-6-phosphate isomerase [Parvimonas micra] 
gi|490970510|ref|WP_004832308.1|	stage II sporulation protein E [Parvimonas micra] 
gi|490970511|ref|WP_004832309.1|	RNA methyltransferase [Parvimonas micra] 
gi|490970512|ref|WP_004832310.1|	thiamine transporter [Parvimonas micra] 
gi|490970513|ref|WP_004832311.1|	hypothetical protein [Parvimonas micra] 
gi|490970514|ref|WP_004832312.1|	hypothetical protein [Parvimonas micra] 
gi|490970515|ref|WP_004832313.1|	hypothetical protein [Parvimonas micra] 
gi|490970516|ref|WP_004832314.1|	hypothetical protein [Parvimonas micra] 
gi|490970517|ref|WP_004832315.1|	hypothetical protein [Parvimonas micra] 
gi|490970518|ref|WP_004832316.1|	thymidylate kinase [Parvimonas micra] 
gi|490970519|ref|WP_004832317.1|	hypothetical protein [Parvimonas micra] 
gi|490970520|ref|WP_004832318.1|	hypothetical protein [Parvimonas micra] 
gi|490970521|ref|WP_004832319.1|	hypothetical protein [Parvimonas micra] 
gi|490970522|ref|WP_004832320.1|	collagen-binding protein [Parvimonas micra] 
gi|490970523|ref|WP_004832321.1|	aldehyde dehydrogenase [Parvimonas micra] 
gi|490970524|ref|WP_004832322.1|	metallo-beta-lactamase [Parvimonas micra] 
gi|490970525|ref|WP_004832323.1|	hypothetical protein [Parvimonas micra] 
gi|490970526|ref|WP_004832324.1|	hypothetical protein [Parvimonas micra] 
gi|490970527|ref|WP_004832325.1|	O-acetylhomoserine aminocarboxypropyltransferase [Parvimonas micra] 
gi|490970528|ref|WP_004832326.1|	branched-chain amino acid ABC transporter substrate-binding protein [Parvimonas micra] 
gi|490970529|ref|WP_004832327.1|	membrane protein [Parvimonas micra] 
gi|490970530|ref|WP_004832328.1|	internalin [Parvimonas micra] 
gi|490970531|ref|WP_004832329.1|	hypothetical protein [Parvimonas micra] 
gi|490970532|ref|WP_004832330.1|	hypothetical protein [Parvimonas micra] 
gi|490970533|ref|WP_004832331.1|	hypothetical protein [Parvimonas micra] 
gi|490970534|ref|WP_004832332.1|	hypothetical protein [Parvimonas micra] 
gi|490970535|ref|WP_004832333.1|	hypothetical protein [Parvimonas micra] 
gi|490970536|ref|WP_004832334.1|	DNA helicase [Parvimonas micra] 
gi|490970537|ref|WP_004832335.1|	hypothetical protein [Parvimonas micra] 
gi|490970538|ref|WP_004832336.1|	hypothetical protein [Parvimonas micra] 
gi|490970539|ref|WP_004832337.1|	RNA methyltransferase [Parvimonas micra] 
gi|490970540|ref|WP_004832338.1|	preprotein translocase subunit SecA [Parvimonas micra] 
gi|490970541|ref|WP_004832339.1|	hypothetical protein [Parvimonas micra] 
gi|490970542|ref|WP_004832340.1|	arginine deiminase [Parvimonas micra] 
gi|490970543|ref|WP_004832341.1|	isoleucyl-tRNA synthase [Parvimonas micra] 
gi|490970544|ref|WP_004832342.1|	glutathione peroxidase [Parvimonas micra] 
gi|490970545|ref|WP_004832343.1|	membrane protein [Parvimonas micra] 
gi|490970546|ref|WP_004832344.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970547|ref|WP_004832345.1|	MULTISPECIES: hypothetical protein [Parvimonas] 
gi|490970548|ref|WP_004832346.1|	hypothetical protein [Parvimonas micra] 
gi|490970549|ref|WP_004832347.1|	GntR family transcriptional regulator [Parvimonas micra] 
gi|490970550|ref|WP_004832348.1|	CAAX amino terminal protease [Parvimonas micra] 
gi|490970551|ref|WP_004832349.1|	CAAX amino terminal protease [Parvimonas micra] 
gi|490970552|ref|WP_004832350.1|	peptidoglycan-binding protein [Parvimonas micra] 
gi|490970553|ref|WP_004832351.1|	phosphotransferase [Parvimonas micra] 
gi|490970554|ref|WP_004832352.1|	pyruvate phosphate dikinase [Parvimonas micra] 
gi|490970555|ref|WP_004832353.1|	hypothetical protein [Parvimonas micra] 
gi|490970556|ref|WP_004832354.1|	competence protein TfoX [Parvimonas micra] 
gi|490970557|ref|WP_004832355.1|	ABC transporter permease [Parvimonas micra] 
gi|490970558|ref|WP_004832356.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970559|ref|WP_004832357.1|	pseudouridine-5'-phosphate glycosidase [Parvimonas micra] 
gi|490970560|ref|WP_004832358.1|	carbohydrate kinase [Parvimonas micra] 
gi|490970561|ref|WP_004832359.1|	MULTISPECIES: 30S ribosomal protein S21 [Parvimonas] 
gi|490970562|ref|WP_004832360.1|	HIT family hydrolase [Parvimonas micra] 
gi|490970563|ref|WP_004832361.1|	isochorismatase [Parvimonas micra] 
gi|490970564|ref|WP_004832362.1|	multidrug transporter MatE [Parvimonas micra] 
gi|490970565|ref|WP_004832363.1|	DNA topoisomerase I [Parvimonas micra] 
gi|490970566|ref|WP_004832364.1|	GNAT family acetyltransferase [Parvimonas micra] 
gi|490970567|ref|WP_004832365.1|	hypothetical protein [Parvimonas micra] 
gi|490970568|ref|WP_004832366.1|	thymidylate synthase [Parvimonas micra] 
gi|490970569|ref|WP_004832367.1|	MULTISPECIES: 50S ribosomal protein L31 [Parvimonas] 
gi|490970570|ref|WP_004832368.1|	hypothetical protein [Parvimonas micra] 
gi|490970571|ref|WP_004832369.1|	hypothetical protein [Parvimonas micra] 
gi|490970572|ref|WP_004832370.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970573|ref|WP_004832371.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970574|ref|WP_004832372.1|	hypothetical protein [Parvimonas micra] 
gi|490970575|ref|WP_004832373.1|	hypothetical protein [Parvimonas micra] 
gi|490970576|ref|WP_004832374.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970577|ref|WP_004832375.1|	membrane protein [Parvimonas micra] 
gi|490970578|ref|WP_004832376.1|	hypothetical protein partial [Parvimonas micra] 
gi|490970579|ref|WP_004832377.1|	glycerol kinase [Parvimonas micra] 
gi|490970580|ref|WP_004832378.1|	hypothetical protein [Parvimonas micra] 
gi|490970581|ref|WP_004832379.1|	hypothetical protein [Parvimonas micra] 
gi|490970582|ref|WP_004832380.1|	hypothetical protein [Parvimonas micra] 
gi|490970583|ref|WP_004832381.1|	hypothetical protein [Parvimonas micra] 
gi|490970584|ref|WP_004832382.1|	hypothetical protein [Parvimonas micra] 
gi|490970585|ref|WP_004832383.1|	hypothetical protein [Parvimonas micra] 
gi|490970586|ref|WP_004832384.1|	peptide ABC transporter substrate-binding protein [Parvimonas micra] 
gi|490970587|ref|WP_004832385.1|	peptide ABC transporter substrate-binding protein [Parvimonas micra] 
gi|490970588|ref|WP_004832386.1|	hypothetical protein [Parvimonas micra] 
gi|490970589|ref|WP_004832387.1|	membrane protein [Parvimonas micra] 
gi|490970590|ref|WP_004832388.1|	PadR family transcriptional regulator [Parvimonas micra] 
gi|490970591|ref|WP_004832389.1|	ArsC family transcriptional regulator [Parvimonas micra] 
gi|490970592|ref|WP_004832390.1|	peptidase M3 [Parvimonas micra] 
gi|490970593|ref|WP_004832391.1|	hypothetical protein [Parvimonas micra] 
gi|490970594|ref|WP_004832392.1|	hypothetical protein [Parvimonas micra] 
gi|490970595|ref|WP_004832393.1|	hypothetical protein [Parvimonas micra] 
gi|490970596|ref|WP_004832394.1|	isoprenylcysteine carboxyl methyltransferase [Parvimonas micra] 
gi|490970597|ref|WP_004832395.1|	hypothetical protein [Parvimonas micra] 
gi|490970598|ref|WP_004832396.1|	hypothetical protein [Parvimonas micra] 
gi|490970599|ref|WP_004832397.1|	aspartate ammonia-lyase [Parvimonas micra] 
gi|490970600|ref|WP_004832398.1|	fumarate hydratase [Parvimonas micra] 
gi|490970601|ref|WP_004832399.1|	hypothetical protein [Parvimonas micra] 
gi|490970602|ref|WP_004832400.1|	hypothetical protein [Parvimonas micra] 
gi|490970603|ref|WP_004832401.1|	30S ribosomal protein S9 [Parvimonas micra] 
gi|490970604|ref|WP_004832402.1|	50S ribosomal protein L13 [Parvimonas micra] 
gi|490970605|ref|WP_004832403.1|	glycerophosphodiester phosphodiesterase [Parvimonas micra] 
gi|490970606|ref|WP_004832404.1|	proton-coupled thiamine transporter YuaJ [Parvimonas micra] 
gi|490970607|ref|WP_004832405.1|	hypothetical protein [Parvimonas micra] 
gi|490970608|ref|WP_004832406.1|	hypothetical protein [Parvimonas micra] 
gi|490970609|ref|WP_004832407.1|	hypothetical protein [Parvimonas micra] 
gi|490970610|ref|WP_004832408.1|	cell surface protein [Parvimonas micra] 
gi|490970611|ref|WP_004832409.1|	heme ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970612|ref|WP_004832410.1|	peptidase C69 [Parvimonas micra] 
gi|490970613|ref|WP_004832411.1|	hypothetical protein [Parvimonas micra] 
gi|490970614|ref|WP_004832412.1|	hypothetical protein [Parvimonas micra] 
gi|490970615|ref|WP_004832413.1|	hypothetical protein [Parvimonas micra] 
gi|490970616|ref|WP_004832414.1|	hypothetical protein [Parvimonas micra] 
gi|490970617|ref|WP_004832415.1|	hypothetical protein [Parvimonas micra] 
gi|490970618|ref|WP_004832416.1|	membrane protein [Parvimonas micra] 
gi|490970619|ref|WP_004832417.1|	hypothetical protein [Parvimonas micra] 
gi|490970620|ref|WP_004832418.1|	hypothetical protein [Parvimonas micra] 
gi|490970621|ref|WP_004832419.1|	glycerol-3-phosphate dehydrogenase [Parvimonas micra] 
gi|490970622|ref|WP_004832420.1|	ribose 5-phosphate isomerase [Parvimonas micra] 
gi|490970623|ref|WP_004832421.1|	hypothetical protein [Parvimonas micra] 
gi|490970624|ref|WP_004832422.1|	tRNA uridine 5-carboxymethylaminomethyl modification protein [Parvimonas micra] 
gi|490970625|ref|WP_004832423.1|	16S rRNA methyltransferase [Parvimonas micra] 
gi|490970626|ref|WP_004832424.1|	hypothetical protein [Parvimonas micra] 
gi|490970627|ref|WP_004832425.1|	hypothetical protein [Parvimonas micra] 
gi|490970628|ref|WP_004832426.1|	sporulation initiation inhibitor Soj [Parvimonas micra] 
gi|490970629|ref|WP_004832427.1|	chromosome partitioning protein ParB [Parvimonas micra] 
gi|490970630|ref|WP_004832428.1|	cysteine desulfurase [Parvimonas micra] 
gi|490970631|ref|WP_004832429.1|	hypothetical protein [Parvimonas micra] 
gi|490970632|ref|WP_004832430.1|	diacylglycerol kinase [Parvimonas micra] 
gi|490970633|ref|WP_004832431.1|	phosphotransacetylase [Parvimonas micra] 
gi|490970634|ref|WP_004832432.1|	hypothetical protein [Parvimonas micra] 
gi|490970635|ref|WP_004832433.1|	hypothetical protein [Parvimonas micra] 
gi|490970636|ref|WP_004832434.1|	hypothetical protein [Parvimonas micra] 
gi|490970637|ref|WP_004832435.1|	PhoB family transcriptional regulator [Parvimonas micra] 
gi|490970638|ref|WP_004832436.1|	sensor histidine kinase [Parvimonas micra] 
gi|490970639|ref|WP_004832437.1|	hypothetical protein [Parvimonas micra] 
gi|490970640|ref|WP_004832438.1|	hypothetical protein [Parvimonas micra] 
gi|490970641|ref|WP_004832439.1|	endonuclease [Parvimonas micra] 
gi|490970642|ref|WP_004832440.1|	hypothetical protein [Parvimonas micra] 
gi|490970643|ref|WP_004832441.1|	bacteriocin ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970644|ref|WP_004832442.1|	hypothetical protein [Parvimonas micra] 
gi|490970645|ref|WP_004832443.1|	isochorismatase [Parvimonas micra] 
gi|490970646|ref|WP_004832444.1|	transcriptional regulator [Parvimonas micra] 
gi|490970647|ref|WP_004832445.1|	isopentenyl pyrophosphate isomerase [Parvimonas micra] 
gi|490970648|ref|WP_004832446.1|	MFS transporter [Parvimonas micra] 
gi|490970649|ref|WP_004832447.1|	endonuclease [Parvimonas micra] 
gi|490970650|ref|WP_004832448.1|	tRNA modification GTPase [Parvimonas micra] 
gi|490970651|ref|WP_004832449.1|	hypothetical protein [Parvimonas micra] 
gi|490970652|ref|WP_004832450.1|	hypothetical protein [Parvimonas micra] 
gi|490970653|ref|WP_004832451.1|	membrane protein insertion efficiency factor [Parvimonas micra] 
gi|490970654|ref|WP_004832452.1|	ribonuclease P [Parvimonas micra] 
gi|490970655|ref|WP_004832453.1|	MULTISPECIES: 50S ribosomal protein L34 [Parvimonas] 
gi|490970656|ref|WP_004832454.1|	hypothetical protein [Parvimonas micra] 
gi|490970657|ref|WP_004832455.1|	DNA polymerase III subunit beta [Parvimonas micra] 
gi|490970658|ref|WP_004832456.1|	RNA-binding protein S4 [Parvimonas micra] 
gi|490970659|ref|WP_004832457.1|	hypothetical protein [Parvimonas micra] 
gi|490970660|ref|WP_004832458.1|	DNA gyrase subunit B [Parvimonas micra] 
gi|490970661|ref|WP_004832459.1|	DNA gyrase subunit A [Parvimonas micra] 
gi|490970662|ref|WP_004832460.1|	sulfate transporter [Parvimonas micra] 
gi|490970663|ref|WP_004832461.1|	hypothetical protein [Parvimonas micra] 
gi|490970664|ref|WP_004832462.1|	RNA polymerase sigma 70 [Parvimonas micra] 
gi|490970665|ref|WP_004832463.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970666|ref|WP_004832464.1|	hypothetical protein [Parvimonas micra] 
gi|490970667|ref|WP_004832465.1|	membrane protein [Parvimonas micra] 
gi|490970668|ref|WP_004832466.1|	hypothetical protein [Parvimonas micra] 
gi|490970669|ref|WP_004832467.1|	GCN5 family acetyltransferase [Parvimonas micra] 
gi|490970670|ref|WP_004832468.1|	hypothetical protein [Parvimonas micra] 
gi|490970671|ref|WP_004832469.1|	hypothetical protein [Parvimonas micra] 
gi|490970672|ref|WP_004832470.1|	transposase [Parvimonas micra] 
gi|490970673|ref|WP_004832471.1|	hypothetical protein [Parvimonas micra] 
gi|490970674|ref|WP_004832472.1|	hypothetical protein [Parvimonas micra] 
gi|490970675|ref|WP_004832473.1|	cell division protein Fic [Parvimonas micra] 
gi|490970676|ref|WP_004832474.1|	AraC family transcriptional regulator [Parvimonas micra] 
gi|490970677|ref|WP_004832475.1|	hypothetical protein [Parvimonas micra] 
gi|490970678|ref|WP_004832476.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970679|ref|WP_004832477.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970680|ref|WP_004832478.1|	peptidase C5 [Parvimonas micra] 
gi|490970681|ref|WP_004832479.1|	hypothetical protein [Parvimonas micra] 
gi|490970682|ref|WP_004832480.1|	hypothetical protein [Parvimonas micra] 
gi|490970683|ref|WP_004832481.1|	hypothetical protein [Parvimonas micra] 
gi|490970684|ref|WP_004832482.1|	membrane protein [Parvimonas micra] 
gi|490970685|ref|WP_004832483.1|	replication initiation protein [Parvimonas micra] 
gi|490970686|ref|WP_004832484.1|	hypothetical protein [Parvimonas micra] 
gi|490970687|ref|WP_004832485.1|	MULTISPECIES: conjugal transfer protein [Firmicutes] 
gi|490970688|ref|WP_004832486.1|	conjugal transfer protein TraG [Parvimonas micra] 
gi|490970689|ref|WP_004832487.1|	recombinase TnpX [Parvimonas micra] 
gi|490970690|ref|WP_004832488.1|	resolvase [Parvimonas micra] 
gi|490970691|ref|WP_004832489.1|	hypothetical protein [Parvimonas micra] 
gi|490970692|ref|WP_004832490.1|	hypothetical protein [Parvimonas micra] 
gi|490970693|ref|WP_004832491.1|	transglutaminase [Parvimonas micra] 
gi|490970694|ref|WP_004832492.1|	hypothetical protein [Parvimonas micra] 
gi|490970695|ref|WP_004832493.1|	hypothetical protein [Parvimonas micra] 
gi|490970696|ref|WP_004832494.1|	hypothetical protein [Parvimonas micra] 
gi|490970697|ref|WP_004832495.1|	hypothetical protein [Parvimonas micra] 
gi|490970698|ref|WP_004832496.1|	hypothetical protein [Parvimonas micra] 
gi|490970699|ref|WP_004832497.1|	transposase [Parvimonas micra] 
gi|490970700|ref|WP_004832498.1|	conjugal transfer protein TraG [Parvimonas micra] 
gi|490970701|ref|WP_004832499.1|	MULTISPECIES: single-stranded DNA-binding protein [Firmicutes] 
gi|446786577|ref|WP_000863833.1|	MULTISPECIES: conjugative transfer protein [Firmicutes] 
gi|446389053|ref|WP_000466908.1|	MULTISPECIES: membrane protein [Firmicutes] 
gi|490970702|ref|WP_004832500.1|	conjugal transfer protein [Parvimonas micra] 
gi|490970703|ref|WP_004832501.1|	conjugal transfer protein [Parvimonas micra] 
gi|490970704|ref|WP_004832502.1|	conjugal transfer protein TraE [Parvimonas micra] 
gi|490970705|ref|WP_004832503.1|	cell wall hydrolase [Parvimonas micra] 
gi|490942634|ref|WP_004804465.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490970706|ref|WP_004832504.1|	cell surface protein [Parvimonas micra] 
gi|490970707|ref|WP_004832505.1|	DNA topoisomerase [Parvimonas micra] 
gi|490970708|ref|WP_004832506.1|	MULTISPECIES: ATPase AAA [Firmicutes] 
gi|490970709|ref|WP_004832507.1|	helicase [Parvimonas micra] 
gi|490970710|ref|WP_004832508.1|	DNA-binding protein [Parvimonas micra] 
gi|490970711|ref|WP_004832509.1|	endonuclease [Parvimonas micra] 
gi|445935526|ref|WP_000013381.1|	MULTISPECIES: conjugal transfer protein [Firmicutes] 
gi|446041568|ref|WP_000119423.1|	MULTISPECIES: TetR family transcriptional regulator [Firmicutes] 
gi|490970712|ref|WP_004832510.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970713|ref|WP_004832511.1|	ABC transporter [Parvimonas micra] 
gi|490970714|ref|WP_004832512.1|	cobalt ABC transporter [Parvimonas micra] 
gi|490970715|ref|WP_004832513.1|	transporter [Parvimonas micra] 
gi|490970716|ref|WP_004832514.1|	hypothetical protein [Parvimonas micra] 
gi|445954741|ref|WP_000032596.1|	MULTISPECIES: sigma factor [Firmicutes] 
gi|490970717|ref|WP_004832515.1|	serine recombinase [Parvimonas micra] 
gi|490970718|ref|WP_004832516.1|	cysteine desulfurase [Parvimonas micra] 
gi|490970719|ref|WP_004832517.1|	thiamine biosynthesis protein ThiI [Parvimonas micra] 
gi|490970720|ref|WP_004832518.1|	hypothetical protein [Parvimonas micra] 
gi|490970721|ref|WP_004832519.1|	aspartate carbamoyltransferase [Parvimonas micra] 
gi|490970722|ref|WP_004832520.1|	hypothetical protein [Parvimonas micra] 
gi|490970723|ref|WP_004832521.1|	hypothetical protein [Parvimonas micra] 
gi|490970724|ref|WP_004832522.1|	hypothetical protein [Parvimonas micra] 
gi|490970725|ref|WP_004832523.1|	hypothetical protein [Parvimonas micra] 
gi|490970726|ref|WP_004832524.1|	branched-chain amino acid transporter [Parvimonas micra] 
gi|490970727|ref|WP_004832525.1|	cyclic nucleotide-binding protein [Parvimonas micra] 
gi|490970728|ref|WP_004832526.1|	hypothetical protein [Parvimonas micra] 
gi|490970729|ref|WP_004832527.1|	hypothetical protein [Parvimonas micra] 
gi|490970730|ref|WP_004832528.1|	hypothetical protein [Parvimonas micra] 
gi|490970731|ref|WP_004832529.1|	hypothetical protein [Parvimonas micra] 
gi|490970732|ref|WP_004832530.1|	molybdate ABC transporter substrate-binding protein [Parvimonas micra] 
gi|490970733|ref|WP_004832531.1|	molybdate ABC transporter permease [Parvimonas micra] 
gi|490970734|ref|WP_004832532.1|	molybdenum ABC transporter permease [Parvimonas micra] 
gi|490970735|ref|WP_004832533.1|	molybdenum cofactor biosynthesis protein MoeA [Parvimonas micra] 
gi|490970736|ref|WP_004832534.1|	molybdenum cofactor biosynthesis protein C [Parvimonas micra] 
gi|490970737|ref|WP_004832535.1|	molybdenum cofactor sulfurase [Parvimonas micra] 
gi|490970738|ref|WP_004832536.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970739|ref|WP_004832537.1|	hypothetical protein [Parvimonas micra] 
gi|490970740|ref|WP_004832538.1|	CAAX amino terminal protease [Parvimonas micra] 
gi|490970741|ref|WP_004832539.1|	hypothetical protein [Parvimonas micra] 
gi|490970742|ref|WP_004832540.1|	CAAX amino terminal protease [Parvimonas micra] 
gi|490970743|ref|WP_004832541.1|	hypothetical protein [Parvimonas micra] 
gi|490970744|ref|WP_004832542.1|	hypothetical protein [Parvimonas micra] 
gi|490970745|ref|WP_004832543.1|	hypothetical protein [Parvimonas micra] 
gi|490970746|ref|WP_004832544.1|	hypothetical protein [Parvimonas micra] 
gi|490970747|ref|WP_004832545.1|	hypothetical protein [Parvimonas micra] 
gi|490970748|ref|WP_004832546.1|	dehydrogenase [Parvimonas micra] 
gi|490970749|ref|WP_004832547.1|	CAAX amino terminal protease [Parvimonas micra] 
gi|490970750|ref|WP_004832548.1|	peptide ABC transporter ATPase [Parvimonas micra] 
gi|490970751|ref|WP_004832549.1|	peptide ABC transporter substrate-binding protein [Parvimonas micra] 
gi|490970752|ref|WP_004832550.1|	peptide ABC transporter permease [Parvimonas micra] 
gi|490970753|ref|WP_004832551.1|	peptide ABC transporter permease [Parvimonas micra] 
gi|490970754|ref|WP_004832552.1|	hypothetical protein [Parvimonas micra] 
gi|490970755|ref|WP_004832553.1|	hypothetical protein [Parvimonas micra] 
gi|490970756|ref|WP_004832554.1|	hypothetical protein [Parvimonas micra] 
gi|490970757|ref|WP_004832555.1|	hypothetical protein [Parvimonas micra] 
gi|490970758|ref|WP_004832556.1|	hypothetical protein [Parvimonas micra] 
gi|490970759|ref|WP_004832557.1|	transcription elongation factor GreA [Parvimonas micra] 
gi|490970760|ref|WP_004832558.1|	lysyl-tRNA synthetase [Parvimonas micra] 
gi|490970761|ref|WP_004832559.1|	hypothetical protein [Parvimonas micra] 
gi|490970762|ref|WP_004832560.1|	capsular polysaccharide biosynthesis protein [Parvimonas micra] 
gi|490970763|ref|WP_004832561.1|	UTP--glucose-1-phosphate uridylyltransferase [Parvimonas micra] 
gi|490970764|ref|WP_004832562.1|	nucleoside-diphosphate sugar epimerase [Parvimonas micra] 
gi|490970765|ref|WP_004832563.1|	hypothetical protein [Parvimonas micra] 
gi|490970766|ref|WP_004832564.1|	aspartate carbamoyltransferase [Parvimonas micra] 
gi|490970767|ref|WP_004832565.1|	aspartate carbamoyltransferase [Parvimonas micra] 
gi|490970768|ref|WP_004832566.1|	dihydroorotase [Parvimonas micra] 
gi|490970769|ref|WP_004832567.1|	orotidine 5'-phosphate decarboxylase [Parvimonas micra] 
gi|490970770|ref|WP_004832568.1|	diguanylate cyclase [Parvimonas micra] 
gi|490970771|ref|WP_004832569.1|	diguanylate cyclase [Parvimonas micra] 
gi|490970772|ref|WP_004832570.1|	orotate phosphoribosyltransferase [Parvimonas micra] 
gi|490970773|ref|WP_004832571.1|	collagen-binding protein [Parvimonas micra] 
gi|490970774|ref|WP_004832572.1|	phage antirepressor [Parvimonas micra] 
gi|490970775|ref|WP_004832573.1|	hypothetical protein [Parvimonas micra] 
gi|490970776|ref|WP_004832574.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970777|ref|WP_004832575.1|	UDP-glucose 4-epimerase [Parvimonas micra] 
gi|490970778|ref|WP_004832576.1|	2-amino-3-ketobutyrate CoA ligase [Parvimonas micra] 
gi|490970779|ref|WP_004832577.1|	hypothetical protein [Parvimonas micra] 
