gi|491494228|ref|WP_005351951.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497751|ref|WP_005355460.1|	MULTISPECIES: imidazole glycerol phosphate synthase [Clostridiales] 
gi|491497752|ref|WP_005355461.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497754|ref|WP_005355463.1|	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase [[Eubacterium] siraeum] 
gi|491497755|ref|WP_005355464.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491497757|ref|WP_005355466.1|	imidazole glycerol phosphate synthase [[Eubacterium] siraeum] 
gi|491497759|ref|WP_005355468.1|	MULTISPECIES: imidazoleglycerol-phosphate dehydratase [Clostridiales] 
gi|491497762|ref|WP_005355471.1|	histidinol-phosphate aminotransferase [[Eubacterium] siraeum] 
gi|491497771|ref|WP_005355480.1|	histidinol dehydrogenase [[Eubacterium] siraeum] 
gi|491497775|ref|WP_005355484.1|	MULTISPECIES: ATP phosphoribosyltransferase [Clostridiales] 
gi|491497777|ref|WP_005355486.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497785|ref|WP_005355494.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497787|ref|WP_005355496.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497792|ref|WP_005355501.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497796|ref|WP_005355505.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497801|ref|WP_005355510.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497803|ref|WP_005355512.1|	DNA polymerase III subunit alpha [[Eubacterium] siraeum] 
gi|491497805|ref|WP_005355514.1|	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase [[Eubacterium] siraeum] 
gi|491497806|ref|WP_005355515.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497808|ref|WP_005355517.1|	1-deoxy-D-xylulose 5-phosphate reductoisomerase [[Eubacterium] siraeum] 
gi|491497810|ref|WP_005355519.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497812|ref|WP_005355521.1|	UDP pyrophosphate synthase [[Eubacterium] siraeum] 
gi|491497814|ref|WP_005355523.1|	MULTISPECIES: ribosome recycling factor [Clostridiales] 
gi|491497816|ref|WP_005355525.1|	uridylate kinase [[Eubacterium] siraeum] 
gi|491497818|ref|WP_005355527.1|	homoserine dehydrogenase [[Eubacterium] siraeum] 
gi|491497820|ref|WP_005355529.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497821|ref|WP_005355530.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497823|ref|WP_005355532.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497836|ref|WP_005355545.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497839|ref|WP_005355548.1|	MFS transporter [[Eubacterium] siraeum] 
gi|491497848|ref|WP_005355557.1|	3-phosphoglycerate dehydrogenase [[Eubacterium] siraeum] 
gi|491497849|ref|WP_005355558.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497850|ref|WP_005355559.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497851|ref|WP_005355560.1|	PadR family transcriptional regulator [[Eubacterium] siraeum] 
gi|491497854|ref|WP_005355563.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497856|ref|WP_005355565.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497857|ref|WP_005355566.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497858|ref|WP_005355567.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497859|ref|WP_005355568.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497860|ref|WP_005355569.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497861|ref|WP_005355570.1|	TetR family transcriptional regulator [[Eubacterium] siraeum] 
gi|491497862|ref|WP_005355571.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497864|ref|WP_005355573.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497867|ref|WP_005355576.1|	cell division protein Fic [[Eubacterium] siraeum] 
gi|491497869|ref|WP_005355578.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497871|ref|WP_005355580.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497874|ref|WP_005355583.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497877|ref|WP_005355586.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497879|ref|WP_005355588.1|	cell division protein Fic [[Eubacterium] siraeum] 
gi|491497882|ref|WP_005355591.1|	excisionase [[Eubacterium] siraeum] 
gi|491497886|ref|WP_005355595.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497888|ref|WP_005355597.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497891|ref|WP_005355600.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497893|ref|WP_005355602.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497895|ref|WP_005355604.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497898|ref|WP_005355606.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497899|ref|WP_005355607.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497900|ref|WP_005355608.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497901|ref|WP_005355609.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497902|ref|WP_005355610.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497903|ref|WP_005355611.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497904|ref|WP_005355612.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497905|ref|WP_005355613.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497906|ref|WP_005355614.1|	type I deoxyribonuclease HsdR [[Eubacterium] siraeum] 
gi|491497907|ref|WP_005355615.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497908|ref|WP_005355616.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497909|ref|WP_005355617.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497910|ref|WP_005355618.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497911|ref|WP_005355619.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497912|ref|WP_005355620.1|	cell division protein Fic [[Eubacterium] siraeum] 
gi|491497913|ref|WP_005355621.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497914|ref|WP_005355622.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497915|ref|WP_005355623.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497917|ref|WP_005355625.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497919|ref|WP_005355627.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497922|ref|WP_005355630.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497923|ref|WP_005355631.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497929|ref|WP_005355637.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497930|ref|WP_005355638.1|	hypothetical protein partial [[Eubacterium] siraeum] 
gi|491497937|ref|WP_005355645.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497940|ref|WP_005355648.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497944|ref|WP_005355652.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497946|ref|WP_005355654.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497950|ref|WP_005355658.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497952|ref|WP_005355660.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497955|ref|WP_005355663.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497964|ref|WP_005355672.1|	alpha-galactosidase [[Eubacterium] siraeum] 
gi|491497967|ref|WP_005355675.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497970|ref|WP_005355678.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497973|ref|WP_005355681.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497976|ref|WP_005355684.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497977|ref|WP_005355685.1|	multidrug transporter MatE [[Eubacterium] siraeum] 
gi|491497980|ref|WP_005355688.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497989|ref|WP_005355697.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497992|ref|WP_005355700.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497995|ref|WP_005355703.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497998|ref|WP_005355706.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498002|ref|WP_005355710.1|	MULTISPECIES: citrate synthase [Clostridiales] 
gi|491498005|ref|WP_005355713.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498007|ref|WP_005355715.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498010|ref|WP_005355718.1|	PhoP family transcriptional regulator [[Eubacterium] siraeum] 
gi|491498018|ref|WP_005355726.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498020|ref|WP_005355728.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498039|ref|WP_005355746.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498041|ref|WP_005355748.1|	MULTISPECIES: recombinase RecA [Clostridiales] 
gi|491498042|ref|WP_005355749.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498044|ref|WP_005355751.1|	ribosomal protein S12 methylthiotransferase [[Eubacterium] siraeum] 
gi|491498045|ref|WP_005355752.1|	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [[Eubacterium] siraeum] 
gi|491498047|ref|WP_005355754.1|	transporter [[Eubacterium] siraeum] 
gi|491498049|ref|WP_005355756.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498051|ref|WP_005355758.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498052|ref|WP_005355759.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498055|ref|WP_005355762.1|	N-acetylglucosamine-1-phosphate uridyltransferase [[Eubacterium] siraeum] 
gi|491498056|ref|WP_005355763.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498057|ref|WP_005355764.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498058|ref|WP_005355765.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498059|ref|WP_005355766.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498060|ref|WP_005355767.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498061|ref|WP_005355768.1|	MULTISPECIES: seryl-tRNA synthetase [Clostridiales] 
gi|491498062|ref|WP_005355769.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498063|ref|WP_005355770.1|	uracil-DNA glycosylase [[Eubacterium] siraeum] 
gi|491498076|ref|WP_005355783.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498077|ref|WP_005355784.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498078|ref|WP_005355785.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498079|ref|WP_005355786.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498080|ref|WP_005355787.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498083|ref|WP_005355790.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498085|ref|WP_005355792.1|	F0F1 ATP synthase subunit C [[Eubacterium] siraeum] 
gi|491498086|ref|WP_005355793.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498089|ref|WP_005355796.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498092|ref|WP_005355799.1|	F0F1 ATP synthase subunit alpha [[Eubacterium] siraeum] 
gi|491498099|ref|WP_005355806.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498102|ref|WP_005355809.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498104|ref|WP_005355811.1|	MULTISPECIES: F0F1 ATP synthase subunit beta [Clostridiales] 
gi|491498106|ref|WP_005355813.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498108|ref|WP_005355815.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498112|ref|WP_005355819.1|	Rrf2 family transcriptional regulator [[Eubacterium] siraeum] 
gi|491498115|ref|WP_005355822.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498118|ref|WP_005355825.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498121|ref|WP_005355828.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498125|ref|WP_005355832.1|	MULTISPECIES: inosine 5'-monophosphate dehydrogenase [Clostridiales] 
gi|491498128|ref|WP_005355835.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498131|ref|WP_005355838.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498138|ref|WP_005355845.1|	cation transporter [[Eubacterium] siraeum] 
gi|491498140|ref|WP_005355847.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498142|ref|WP_005355849.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498145|ref|WP_005355852.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498143|ref|WP_005355850.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498147|ref|WP_005355854.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498149|ref|WP_005355856.1|	PTS glucose transporter subunit IIABC [[Eubacterium] siraeum] 
gi|491498151|ref|WP_005355858.1|	PTS fructose transporter subunit IIC [[Eubacterium] siraeum] 
gi|491498153|ref|WP_005355860.1|	1-phosphofructokinase [[Eubacterium] siraeum] 
gi|491498165|ref|WP_005355872.1|	DeoR family transcriptional regulator [[Eubacterium] siraeum] 
gi|491498166|ref|WP_005355873.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498167|ref|WP_005355874.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498169|ref|WP_005355876.1|	Appr-1-p processing protein [[Eubacterium] siraeum] 
gi|491498171|ref|WP_005355878.1|	L-glyceraldehyde 3-phosphate reductase [[Eubacterium] siraeum] 
gi|491498173|ref|WP_005355880.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498188|ref|WP_005355895.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498189|ref|WP_005355896.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498190|ref|WP_005355897.1|	potassium transporter CPA [[Eubacterium] siraeum] 
gi|491498193|ref|WP_005355900.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498200|ref|WP_005355907.1|	multidrug transporter MatE [[Eubacterium] siraeum] 
gi|491498202|ref|WP_005355909.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498204|ref|WP_005355911.1|	acylphosphatase [[Eubacterium] siraeum] 
gi|491498207|ref|WP_005355914.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498210|ref|WP_005355917.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498213|ref|WP_005355920.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498216|ref|WP_005355923.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498222|ref|WP_005355929.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498219|ref|WP_005355926.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498229|ref|WP_005355935.1|	peptide chain release factor 2 [[Eubacterium] siraeum] 
gi|491498231|ref|WP_005355937.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498232|ref|WP_005355938.1|	PhoB family transcriptional regulator [[Eubacterium] siraeum] 
gi|491498234|ref|WP_005355940.1|	histidine kinase [[Eubacterium] siraeum] 
gi|491498236|ref|WP_005355942.1|	peptidase M15 [[Eubacterium] siraeum] 
gi|491498238|ref|WP_005355944.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498239|ref|WP_005355945.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498241|ref|WP_005355947.1|	rubrerythrin [[Eubacterium] siraeum] 
gi|491498243|ref|WP_005355949.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498244|ref|WP_005355950.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498245|ref|WP_005355951.1|	oxidoreductase [[Eubacterium] siraeum] 
gi|491498247|ref|WP_005355953.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498256|ref|WP_005355962.1|	NADPH-dependent FMN reductase [[Eubacterium] siraeum] 
gi|491498259|ref|WP_005355965.1|	rRNA methyltransferase [[Eubacterium] siraeum] 
gi|491498262|ref|WP_005355968.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498260|ref|WP_005355966.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498265|ref|WP_005355971.1|	serine protease [[Eubacterium] siraeum] 
gi|491498267|ref|WP_005355973.1|	RNA methyltransferase [[Eubacterium] siraeum] 
gi|491498268|ref|WP_005355974.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498269|ref|WP_005355975.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498272|ref|WP_005355978.1|	ATPase [[Eubacterium] siraeum] 
gi|491498274|ref|WP_005355980.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498275|ref|WP_005355981.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498278|ref|WP_005355984.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498281|ref|WP_005355987.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498284|ref|WP_005355990.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498287|ref|WP_005355993.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498290|ref|WP_005355996.1|	multidrug transporter MatE [[Eubacterium] siraeum] 
gi|491498291|ref|WP_005355997.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498292|ref|WP_005355998.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498293|ref|WP_005355999.1|	metallophosphoesterase [[Eubacterium] siraeum] 
gi|491498294|ref|WP_005356000.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498305|ref|WP_005356011.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498307|ref|WP_005356013.1|	cell dividion protein FtsZ [[Eubacterium] siraeum] 
gi|491498309|ref|WP_005356015.1|	molecular chaperone [[Eubacterium] siraeum] 
gi|491498315|ref|WP_005356021.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498312|ref|WP_005356018.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498318|ref|WP_005356024.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498320|ref|WP_005356026.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498323|ref|WP_005356029.1|	glycosyltransferase [[Eubacterium] siraeum] 
gi|491498326|ref|WP_005356032.1|	glutamine synthetase [[Eubacterium] siraeum] 
gi|491498328|ref|WP_005356034.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498329|ref|WP_005356035.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498330|ref|WP_005356036.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498331|ref|WP_005356037.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498333|ref|WP_005356039.1|	MULTISPECIES: 50S ribosomal protein L34 [Clostridiales] 
gi|491498335|ref|WP_005356041.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498347|ref|WP_005356053.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498349|ref|WP_005356055.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498350|ref|WP_005356056.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498352|ref|WP_005356058.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498351|ref|WP_005356057.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498353|ref|WP_005356059.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498354|ref|WP_005356060.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498356|ref|WP_005356061.1|	iron transporter FeoB [[Eubacterium] siraeum] 
gi|491498362|ref|WP_005356067.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498363|ref|WP_005356068.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498364|ref|WP_005356069.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498367|ref|WP_005356072.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498368|ref|WP_005356073.1|	6-phosphofructokinase [[Eubacterium] siraeum] 
gi|491498369|ref|WP_005356074.1|	DNA polymerase III subunit alpha [[Eubacterium] siraeum] 
gi|491498370|ref|WP_005356075.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498371|ref|WP_005356076.1|	glmZ(sRNA)-inactivating NTPase [[Eubacterium] siraeum] 
gi|491498372|ref|WP_005356077.1|	UDP-N-acetylenolpyruvoylglucosamine reductase [[Eubacterium] siraeum] 
gi|491498373|ref|WP_005356078.1|	MULTISPECIES: glucokinase [Clostridiales] 
gi|491498374|ref|WP_005356079.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498376|ref|WP_005356081.1|	MULTISPECIES: HPr kinase [Clostridiales] 
gi|491498378|ref|WP_005356083.1|	rubrerythrin [[Eubacterium] siraeum] 
gi|491498380|ref|WP_005356085.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498382|ref|WP_005356087.1|	membrane protein [[Eubacterium] siraeum] 
gi|491498383|ref|WP_005356088.1|	hydrolase [[Eubacterium] siraeum] 
gi|491498385|ref|WP_005356090.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498388|ref|WP_005356093.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498389|ref|WP_005356094.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498390|ref|WP_005356095.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498391|ref|WP_005356096.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498392|ref|WP_005356097.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498393|ref|WP_005356098.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498394|ref|WP_005356099.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498399|ref|WP_005356104.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498401|ref|WP_005356106.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498400|ref|WP_005356105.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498402|ref|WP_005356107.1|	MULTISPECIES: XRE family transcriptional regulator [Clostridiales] 
gi|491498403|ref|WP_005356108.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498406|ref|WP_005356111.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498408|ref|WP_005356113.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498417|ref|WP_005356122.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498420|ref|WP_005356125.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498422|ref|WP_005356127.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498435|ref|WP_005356140.1|	hypothetical protein partial [[Eubacterium] siraeum] 
gi|491498439|ref|WP_005356144.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498442|ref|WP_005356147.1|	heme ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|491498446|ref|WP_005356151.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498449|ref|WP_005356154.1|	twitching motility protein PilT [[Eubacterium] siraeum] 
gi|491498452|ref|WP_005356157.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498455|ref|WP_005356160.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498458|ref|WP_005356163.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498462|ref|WP_005356167.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498464|ref|WP_005356169.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498466|ref|WP_005356171.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498468|ref|WP_005356173.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498471|ref|WP_005356176.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498469|ref|WP_005356174.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498472|ref|WP_005356177.1|	dimethyladenosine transferase [[Eubacterium] siraeum] 
gi|491498474|ref|WP_005356179.1|	DNA repair protein RadA [[Eubacterium] siraeum] 
gi|491498476|ref|WP_005356181.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498478|ref|WP_005356183.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498479|ref|WP_005356184.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498481|ref|WP_005356185.1|	ABC transporter substrate-binding protein [[Eubacterium] siraeum] 
gi|491498482|ref|WP_005356186.1|	ABC transporter permease [[Eubacterium] siraeum] 
gi|491498487|ref|WP_005356191.1|	sugar ABC transporter permease [[Eubacterium] siraeum] 
gi|491498488|ref|WP_005356192.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498489|ref|WP_005356193.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498491|ref|WP_005356195.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498493|ref|WP_005356197.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498495|ref|WP_005356199.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498497|ref|WP_005356201.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498499|ref|WP_005356203.1|	glycyl-tRNA synthetase [[Eubacterium] siraeum] 
gi|491498500|ref|WP_005356204.1|	branched-chain amino acid aminotransferase [[Eubacterium] siraeum] 
gi|491498502|ref|WP_005356206.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498503|ref|WP_005356207.1|	MULTISPECIES: alpha/beta hydrolase [Clostridiales] 
gi|491498505|ref|WP_005356209.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498506|ref|WP_005356210.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498507|ref|WP_005356211.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498508|ref|WP_005356212.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498509|ref|WP_005356213.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498510|ref|WP_005356214.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498512|ref|WP_005356216.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498513|ref|WP_005356217.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498514|ref|WP_005356218.1|	AraC family transcriptional regulator [[Eubacterium] siraeum] 
gi|491498515|ref|WP_005356219.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498516|ref|WP_005356220.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498517|ref|WP_005356221.1|	polar amino acid ABC transporter permease [[Eubacterium] siraeum] 
gi|491498518|ref|WP_005356222.1|	arginine ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|491498519|ref|WP_005356223.1|	MULTISPECIES: glycosyl transferase family 1 [Clostridiales] 
gi|491498520|ref|WP_005356224.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498521|ref|WP_005356225.1|	MULTISPECIES: cytidine deaminase [Clostridiales] 
gi|491498522|ref|WP_005356226.1|	Na/Pi cotransporter [[Eubacterium] siraeum] 
gi|491498523|ref|WP_005356227.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498524|ref|WP_005356228.1|	response regulator receiver [[Eubacterium] siraeum] 
