gi|493550569|ref|WP_006504245.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551389|ref|WP_006505039.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551390|ref|WP_006505040.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551391|ref|WP_006505041.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551392|ref|WP_006505042.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493551393|ref|WP_006505043.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551394|ref|WP_006505044.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551395|ref|WP_006505045.1|	heat shock protein Hsp20 [Catenibacterium mitsuokai] 
gi|493551396|ref|WP_006505046.1|	heat shock protein Hsp20 [Catenibacterium mitsuokai] 
gi|493551397|ref|WP_006505047.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551398|ref|WP_006505048.1|	MULTISPECIES: nitrogen-fixing protein NifU [Catenibacterium] 
gi|493551399|ref|WP_006505049.1|	MULTISPECIES: hypothetical protein [Catenibacterium] 
gi|493551400|ref|WP_006505050.1|	nucleotide pyrophosphohydrolase [Catenibacterium mitsuokai] 
gi|493551401|ref|WP_006505051.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551402|ref|WP_006505052.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551403|ref|WP_006505053.1|	peptidase [Catenibacterium mitsuokai] 
gi|493551404|ref|WP_006505054.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551405|ref|WP_006505055.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551406|ref|WP_006505056.1|	cell wall anchor protein [Catenibacterium mitsuokai] 
gi|493551408|ref|WP_006505057.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551409|ref|WP_006505058.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551410|ref|WP_006505059.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551411|ref|WP_006505060.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551412|ref|WP_006505061.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551413|ref|WP_006505062.1|	UDP-glucose 6-dehydrogenase [Catenibacterium mitsuokai] 
gi|493551414|ref|WP_006505063.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551415|ref|WP_006505064.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551416|ref|WP_006505065.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551417|ref|WP_006505066.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551418|ref|WP_006505067.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551419|ref|WP_006505068.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551420|ref|WP_006505069.1|	heme ABC transporter ATP-binding protein [Catenibacterium mitsuokai] 
gi|493551421|ref|WP_006505070.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551422|ref|WP_006505071.1|	prevent-host-death protein [Catenibacterium mitsuokai] 
gi|493551423|ref|WP_006505072.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551424|ref|WP_006505073.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551425|ref|WP_006505074.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551426|ref|WP_006505075.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551427|ref|WP_006505076.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493551428|ref|WP_006505077.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493551429|ref|WP_006505078.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551430|ref|WP_006505079.1|	MULTISPECIES: MerR family transcriptional regulator [Catenibacterium] 
gi|493551431|ref|WP_006505080.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551432|ref|WP_006505081.1|	multidrug transporter MatE [Catenibacterium mitsuokai] 
gi|493551433|ref|WP_006505082.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551434|ref|WP_006505083.1|	MarR family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493551435|ref|WP_006505084.1|	transporter [Catenibacterium mitsuokai] 
gi|493551436|ref|WP_006505085.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551437|ref|WP_006505086.1|	6-phosphogluconolactonase [Catenibacterium mitsuokai] 
gi|493551438|ref|WP_006505087.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551439|ref|WP_006505088.1|	chromosome partitioning protein ParB [Catenibacterium mitsuokai] 
gi|493551440|ref|WP_006505089.1|	16S rRNA methyltransferase [Catenibacterium mitsuokai] 
gi|493551441|ref|WP_006505090.1|	tRNA uridine 5-carboxymethylaminomethyl modification protein [Catenibacterium mitsuokai] 
gi|493551442|ref|WP_006505091.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551443|ref|WP_006505092.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551444|ref|WP_006505093.1|	ABC transporter ATP-binding protein [Catenibacterium mitsuokai] 
gi|493551445|ref|WP_006505094.1|	ABC transporter permease [Catenibacterium mitsuokai] 
gi|493551446|ref|WP_006505095.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493551448|ref|WP_006505096.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493551449|ref|WP_006505097.1|	3'-5' exoribonuclease [Catenibacterium mitsuokai] 
gi|493551450|ref|WP_006505098.1|	cell division protein SepF [Catenibacterium mitsuokai] 
gi|493551451|ref|WP_006505099.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551452|ref|WP_006505100.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551453|ref|WP_006505101.1|	isoleucyl-tRNA synthetase [Catenibacterium mitsuokai] 
gi|493551454|ref|WP_006505102.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551455|ref|WP_006505103.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551456|ref|WP_006505104.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551457|ref|WP_006505105.1|	mannose-6-phosphate isomerase [Catenibacterium mitsuokai] 
gi|493551458|ref|WP_006505106.1|	malate dehydrogenase [Catenibacterium mitsuokai] 
gi|493551459|ref|WP_006505107.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551460|ref|WP_006505108.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551461|ref|WP_006505109.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551462|ref|WP_006505110.1|	ABC transporter permease [Catenibacterium mitsuokai] 
gi|493551463|ref|WP_006505111.1|	branched-chain amino acid ABC transporter permease [Catenibacterium mitsuokai] 
gi|493551464|ref|WP_006505112.1|	MULTISPECIES: branched-chain amino acid ABC transporter ATP-binding protein [Catenibacterium] 
gi|493551465|ref|WP_006505113.1|	amino acid ABC transporter ATPase [Catenibacterium mitsuokai] 
gi|493551466|ref|WP_006505114.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551467|ref|WP_006505115.1|	XRE family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493551468|ref|WP_006505116.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551469|ref|WP_006505117.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551470|ref|WP_006505118.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551471|ref|WP_006505119.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551472|ref|WP_006505120.1|	guanylate kinase [Catenibacterium mitsuokai] 
gi|493551473|ref|WP_006505121.1|	primosomal protein [Catenibacterium mitsuokai] 
gi|493551474|ref|WP_006505122.1|	16S rRNA methyltransferase [Catenibacterium mitsuokai] 
gi|493551475|ref|WP_006505123.1|	23S rRNA methyltransferase [Catenibacterium mitsuokai] 
gi|493551476|ref|WP_006505124.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551477|ref|WP_006505125.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551478|ref|WP_006505126.1|	GTPase A [Catenibacterium mitsuokai] 
gi|493551479|ref|WP_006505127.1|	ribulose-phosphate 3-epimerase [Catenibacterium mitsuokai] 
gi|493551480|ref|WP_006505128.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551481|ref|WP_006505129.1|	multidrug transporter MatE [Catenibacterium mitsuokai] 
gi|493551482|ref|WP_006505130.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551483|ref|WP_006505131.1|	RNA helicase [Catenibacterium mitsuokai] 
gi|493551484|ref|WP_006505132.1|	transglutaminase [Catenibacterium mitsuokai] 
gi|493551485|ref|WP_006505133.1|	ATPase [Catenibacterium mitsuokai] 
gi|493551486|ref|WP_006505134.1|	ATP-dependent Clp protease ATP-binding protein [Catenibacterium mitsuokai] 
gi|493551487|ref|WP_006505135.1|	rRNA methyltransferase [Catenibacterium mitsuokai] 
gi|493551488|ref|WP_006505136.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551489|ref|WP_006505137.1|	30S ribosomal protein S12 methylthiotransferase [Catenibacterium mitsuokai] 
gi|493551490|ref|WP_006505138.1|	UDP-N-acetylmuramyl peptide synthase [Catenibacterium mitsuokai] 
gi|493551491|ref|WP_006505139.1|	MULTISPECIES: 30S ribosomal protein S21 [Catenibacterium] 
gi|493551492|ref|WP_006505140.1|	phosphate starvation protein PhoH [Catenibacterium mitsuokai] 
gi|493551493|ref|WP_006505141.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551494|ref|WP_006505142.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551495|ref|WP_006505143.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551496|ref|WP_006505144.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551497|ref|WP_006505145.1|	pyruvate phosphate dikinase [Catenibacterium mitsuokai] 
gi|493551498|ref|WP_006505146.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551499|ref|WP_006505147.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551500|ref|WP_006505148.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551501|ref|WP_006505149.1|	peptide deformylase [Catenibacterium mitsuokai] 
gi|493551502|ref|WP_006505150.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493551503|ref|WP_006505151.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551504|ref|WP_006505152.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493551505|ref|WP_006505153.1|	histidinol-phosphate aminotransferase [Catenibacterium mitsuokai] 
gi|493551506|ref|WP_006505154.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551507|ref|WP_006505155.1|	thioredoxin reductase [Catenibacterium mitsuokai] 
gi|493551508|ref|WP_006505156.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551509|ref|WP_006505157.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551510|ref|WP_006505158.1|	XRE family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493551511|ref|WP_006505159.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551512|ref|WP_006505160.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551513|ref|WP_006505161.1|	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [Catenibacterium mitsuokai] 
gi|493551514|ref|WP_006505162.1|	D-alanine--D-alanine ligase [Catenibacterium mitsuokai] 
gi|493551515|ref|WP_006505163.1|	2-isopropylmalate synthase [Catenibacterium mitsuokai] 
gi|493551516|ref|WP_006505164.1|	acetolactate synthase [Catenibacterium mitsuokai] 
gi|493551517|ref|WP_006505165.1|	MULTISPECIES: ketol-acid reductoisomerase [Catenibacterium] 
gi|493551518|ref|WP_006505166.1|	3-isopropylmalate dehydratase large subunit [Catenibacterium mitsuokai] 
gi|493551519|ref|WP_006505167.1|	MULTISPECIES: 3-isopropylmalate dehydratase small subunit [Catenibacterium] 
gi|493551520|ref|WP_006505168.1|	3-isopropylmalate dehydrogenase [Catenibacterium mitsuokai] 
gi|493551521|ref|WP_006505169.1|	dihydroxy-acid dehydratase [Catenibacterium mitsuokai] 
gi|493551522|ref|WP_006505170.1|	acetolactate synthase [Catenibacterium mitsuokai] 
gi|493551524|ref|WP_006505171.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551525|ref|WP_006505172.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551526|ref|WP_006505173.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551527|ref|WP_006505174.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551528|ref|WP_006505175.1|	multidrug ABC transporter ATP-binding protein [Catenibacterium mitsuokai] 
gi|493551529|ref|WP_006505176.1|	5-aminoimidazole-4-carboxamide ribonucleotide transformylase [Catenibacterium mitsuokai] 
gi|493551530|ref|WP_006505177.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551531|ref|WP_006505178.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551532|ref|WP_006505179.1|	LacI family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493551533|ref|WP_006505180.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551534|ref|WP_006505181.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493551535|ref|WP_006505182.1|	pantothenate kinase [Catenibacterium mitsuokai] 
gi|493551536|ref|WP_006505183.1|	phosphopantothenoylcysteine decarboxylase [Catenibacterium mitsuokai] 
gi|493551537|ref|WP_006505184.1|	membrane protein [Catenibacterium mitsuokai] 
gi|493551538|ref|WP_006505185.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551539|ref|WP_006505186.1|	beta-glucosidase [Catenibacterium mitsuokai] 
gi|493551540|ref|WP_006505187.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493551541|ref|WP_006505188.1|	phage-shock protein [Catenibacterium mitsuokai] 
gi|493551542|ref|WP_006505189.1|	glycosyl transferase family 2 [Catenibacterium mitsuokai] 
gi|493551543|ref|WP_006505190.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551544|ref|WP_006505191.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551545|ref|WP_006505192.1|	PhoB family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493551546|ref|WP_006505193.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551548|ref|WP_006505194.1|	aryl-phospho-beta-D-glucosidase [Catenibacterium mitsuokai] 
gi|493551549|ref|WP_006505195.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551550|ref|WP_006505196.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551551|ref|WP_006505197.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551552|ref|WP_006505198.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551553|ref|WP_006505199.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551554|ref|WP_006505200.1|	homoserine kinase [Catenibacterium mitsuokai] 
gi|493551555|ref|WP_006505201.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551556|ref|WP_006505202.1|	asparagine synthase [Catenibacterium mitsuokai] 
gi|493551557|ref|WP_006505203.1|	NAD synthetase [Catenibacterium mitsuokai] 
gi|493551558|ref|WP_006505204.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551559|ref|WP_006505205.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551560|ref|WP_006505206.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551561|ref|WP_006505207.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551562|ref|WP_006505208.1|	MULTISPECIES: hypothetical protein [Catenibacterium] 
gi|493551563|ref|WP_006505209.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551564|ref|WP_006505210.1|	transcriptional regulator [Catenibacterium mitsuokai] 
gi|493551565|ref|WP_006505211.1|	phosphoglucomutase [Catenibacterium mitsuokai] 
gi|493551566|ref|WP_006505212.1|	MULTISPECIES: hypothetical protein [Catenibacterium] 
gi|493551567|ref|WP_006505213.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551568|ref|WP_006505214.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551569|ref|WP_006505215.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551570|ref|WP_006505216.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551571|ref|WP_006505217.1|	phosphocarrier protein HPr [Catenibacterium mitsuokai] 
gi|493551572|ref|WP_006505218.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551573|ref|WP_006505219.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551574|ref|WP_006505220.1|	cardiolipin synthase [Catenibacterium mitsuokai] 
gi|493551575|ref|WP_006505221.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551576|ref|WP_006505222.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551577|ref|WP_006505223.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551578|ref|WP_006505224.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551579|ref|WP_006505225.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551580|ref|WP_006505226.1|	GTP-binding protein [Catenibacterium mitsuokai] 
gi|493551581|ref|WP_006505227.1|	alpha/beta hydrolase [Catenibacterium mitsuokai] 
gi|493551582|ref|WP_006505228.1|	copper homeostasis protein CutC [Catenibacterium mitsuokai] 
gi|493551584|ref|WP_006505230.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551583|ref|WP_006505229.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551585|ref|WP_006505231.1|	MULTISPECIES: hypothetical protein [Catenibacterium] 
gi|493551586|ref|WP_006505232.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551587|ref|WP_006505233.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551588|ref|WP_006505234.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551589|ref|WP_006505235.1|	integration host factor [Catenibacterium mitsuokai] 
gi|493551591|ref|WP_006505236.1|	zinc metallopeptidase [Catenibacterium mitsuokai] 
gi|493551592|ref|WP_006505237.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551593|ref|WP_006505238.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551594|ref|WP_006505239.1|	endonuclease III [Catenibacterium mitsuokai] 
gi|493551595|ref|WP_006505240.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551596|ref|WP_006505241.1|	recombinase RecU [Catenibacterium mitsuokai] 
gi|493551597|ref|WP_006505242.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551598|ref|WP_006505243.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551599|ref|WP_006505244.1|	L-lactate dehydrogenase [Catenibacterium mitsuokai] 
gi|493551600|ref|WP_006505245.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551601|ref|WP_006505246.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551602|ref|WP_006505247.1|	potassium transporter Trk [Catenibacterium mitsuokai] 
gi|493551603|ref|WP_006505248.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551604|ref|WP_006505249.1|	prolyl-tRNA synthetase [Catenibacterium mitsuokai] 
gi|493551605|ref|WP_006505250.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551606|ref|WP_006505251.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551607|ref|WP_006505252.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551608|ref|WP_006505253.1|	radical SAM protein [Catenibacterium mitsuokai] 
gi|493551609|ref|WP_006505254.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551610|ref|WP_006505255.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551611|ref|WP_006505256.1|	acyl carrier protein [Catenibacterium mitsuokai] 
gi|493551612|ref|WP_006505257.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551613|ref|WP_006505258.1|	orotidine 5'-phosphate decarboxylase [Catenibacterium mitsuokai] 
gi|493551614|ref|WP_006505259.1|	orotate phosphoribosyltransferase [Catenibacterium mitsuokai] 
gi|493551615|ref|WP_006505260.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551616|ref|WP_006505261.1|	teichoic acid ABC transporter ATP-binding protein [Catenibacterium mitsuokai] 
gi|493551617|ref|WP_006505262.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551618|ref|WP_006505263.1|	teichoic acid biosynthesis protein F [Catenibacterium mitsuokai] 
gi|493551619|ref|WP_006505264.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551620|ref|WP_006505265.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551621|ref|WP_006505266.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551622|ref|WP_006505267.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493551623|ref|WP_006505268.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551624|ref|WP_006505269.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551625|ref|WP_006505270.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551626|ref|WP_006505271.1|	metallo-beta-lactamase [Catenibacterium mitsuokai] 
gi|493551627|ref|WP_006505272.1|	cell division protein FtsK [Catenibacterium mitsuokai] 
gi|493551628|ref|WP_006505273.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551629|ref|WP_006505274.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551630|ref|WP_006505275.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551631|ref|WP_006505276.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551632|ref|WP_006505277.1|	diguanylate cyclase [Catenibacterium mitsuokai] 
gi|493551633|ref|WP_006505278.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551634|ref|WP_006505279.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551635|ref|WP_006505280.1|	phosphoglycerate mutase [Catenibacterium mitsuokai] 
gi|493551636|ref|WP_006505281.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551637|ref|WP_006505282.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551638|ref|WP_006505283.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551639|ref|WP_006505284.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551640|ref|WP_006505285.1|	antirepressor [Catenibacterium mitsuokai] 
gi|493551641|ref|WP_006505286.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551642|ref|WP_006505287.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551643|ref|WP_006505288.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551644|ref|WP_006505289.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551645|ref|WP_006505290.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551646|ref|WP_006505291.1|	chromosome segregation protein SMC [Catenibacterium mitsuokai] 
gi|493551647|ref|WP_006505292.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551648|ref|WP_006505293.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551649|ref|WP_006505294.1|	DEAD/DEAH box helicase [Catenibacterium mitsuokai] 
gi|493551650|ref|WP_006505295.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551651|ref|WP_006505296.1|	endodeoxyribonuclease RusA [Catenibacterium mitsuokai] 
gi|493551652|ref|WP_006505297.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551653|ref|WP_006505298.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551655|ref|WP_006505299.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551656|ref|WP_006505300.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551657|ref|WP_006505301.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551658|ref|WP_006505302.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551659|ref|WP_006505303.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551660|ref|WP_006505304.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551661|ref|WP_006505305.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551662|ref|WP_006505306.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551663|ref|WP_006505307.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551664|ref|WP_006505308.1|	terminase [Catenibacterium mitsuokai] 
gi|493551665|ref|WP_006505309.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551666|ref|WP_006505310.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551667|ref|WP_006505311.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551668|ref|WP_006505312.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551669|ref|WP_006505313.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551670|ref|WP_006505314.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551671|ref|WP_006505315.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551672|ref|WP_006505316.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551673|ref|WP_006505317.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551674|ref|WP_006505318.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551675|ref|WP_006505319.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551676|ref|WP_006505320.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551677|ref|WP_006505321.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551678|ref|WP_006505322.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551679|ref|WP_006505323.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551680|ref|WP_006505324.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551681|ref|WP_006505325.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551682|ref|WP_006505326.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551683|ref|WP_006505327.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551684|ref|WP_006505328.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551685|ref|WP_006505329.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551686|ref|WP_006505330.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551687|ref|WP_006505331.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551688|ref|WP_006505332.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551689|ref|WP_006505333.1|	holin [Catenibacterium mitsuokai] 
gi|493551690|ref|WP_006505334.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551691|ref|WP_006505335.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551692|ref|WP_006505336.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551693|ref|WP_006505337.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551694|ref|WP_006505338.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551695|ref|WP_006505339.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493551697|ref|WP_006505340.1|	PTS cellobiose transporter subunit IIB [Catenibacterium mitsuokai] 
gi|493551698|ref|WP_006505341.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551699|ref|WP_006505342.1|	hypothetical protein [Catenibacterium mitsuokai] 
