gi|493928256|ref|WP_006872959.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929250|ref|WP_006873882.1|	amino acid oxidase [Anaerotruncus colihominis] 
gi|493929251|ref|WP_006873883.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929252|ref|WP_006873884.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929253|ref|WP_006873885.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929254|ref|WP_006873886.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929255|ref|WP_006873887.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929257|ref|WP_006873888.1|	UDP-galactopyranose mutase [Anaerotruncus colihominis] 
gi|493929258|ref|WP_006873889.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929259|ref|WP_006873890.1|	teichoic acid ABC transporter ATP-binding protein [Anaerotruncus colihominis] 
gi|493929260|ref|WP_006873891.1|	ABC transporter [Anaerotruncus colihominis] 
gi|493929261|ref|WP_006873892.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929262|ref|WP_006873893.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929263|ref|WP_006873894.1|	MULTISPECIES: exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase [Clostridiales] 
gi|493929264|ref|WP_006873895.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929265|ref|WP_006873896.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929266|ref|WP_006873897.1|	cytidine deaminase [Anaerotruncus colihominis] 
gi|493929267|ref|WP_006873898.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929268|ref|WP_006873899.1|	dimethyladenosine transferase [Anaerotruncus colihominis] 
gi|493929269|ref|WP_006873900.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929270|ref|WP_006873901.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929271|ref|WP_006873902.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929272|ref|WP_006873903.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929273|ref|WP_006873904.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929274|ref|WP_006873905.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929276|ref|WP_006873906.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929277|ref|WP_006873907.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929278|ref|WP_006873908.1|	MULTISPECIES: pyruvate kinase [Clostridiales] 
gi|493929279|ref|WP_006873909.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929280|ref|WP_006873910.1|	transcriptional regulator [Anaerotruncus colihominis] 
gi|493929281|ref|WP_006873911.1|	ABC transporter [Anaerotruncus colihominis] 
gi|493929282|ref|WP_006873912.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929283|ref|WP_006873913.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929284|ref|WP_006873914.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929285|ref|WP_006873915.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929286|ref|WP_006873916.1|	MULTISPECIES: MR-MLE family protein [Clostridiales] 
gi|493929287|ref|WP_006873917.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929289|ref|WP_006873918.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929290|ref|WP_006873919.1|	mandelate racemase [Anaerotruncus colihominis] 
gi|493929291|ref|WP_006873920.1|	mandelate racemase [Anaerotruncus colihominis] 
gi|493929292|ref|WP_006873921.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929293|ref|WP_006873922.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929294|ref|WP_006873923.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929295|ref|WP_006873924.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929296|ref|WP_006873925.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929297|ref|WP_006873926.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929298|ref|WP_006873927.1|	MerR family transcriptional regulator [Anaerotruncus colihominis] 
gi|493929299|ref|WP_006873928.1|	DNA transposition protein [Anaerotruncus colihominis] 
gi|493929300|ref|WP_006873929.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929301|ref|WP_006873930.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929302|ref|WP_006873931.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929303|ref|WP_006873932.1|	AbrB family transcriptional regulator [Anaerotruncus colihominis] 
gi|493929304|ref|WP_006873933.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929305|ref|WP_006873934.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929306|ref|WP_006873935.1|	DNA-binding protein [Anaerotruncus colihominis] 
gi|493929307|ref|WP_006873936.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929308|ref|WP_006873937.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929309|ref|WP_006873938.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929310|ref|WP_006873939.1|	transcription antitermination protein NusG [Anaerotruncus colihominis] 
gi|493929311|ref|WP_006873940.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929312|ref|WP_006873941.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929313|ref|WP_006873942.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929314|ref|WP_006873943.1|	phage portal protein [Anaerotruncus colihominis] 
gi|493929315|ref|WP_006873944.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929316|ref|WP_006873945.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929317|ref|WP_006873946.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929318|ref|WP_006873947.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929319|ref|WP_006873948.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929321|ref|WP_006873949.1|	translation initiation factor 2 [Anaerotruncus colihominis] 
gi|493929322|ref|WP_006873950.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929323|ref|WP_006873951.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929324|ref|WP_006873952.1|	translation initiation factor 2 [Anaerotruncus colihominis] 
gi|493929325|ref|WP_006873953.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929326|ref|WP_006873954.1|	terminase [Anaerotruncus colihominis] 
gi|493929327|ref|WP_006873955.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929328|ref|WP_006873956.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929329|ref|WP_006873957.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929330|ref|WP_006873958.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929331|ref|WP_006873959.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929332|ref|WP_006873960.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929333|ref|WP_006873961.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929334|ref|WP_006873962.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929335|ref|WP_006873963.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929336|ref|WP_006873964.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929337|ref|WP_006873965.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929338|ref|WP_006873966.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929339|ref|WP_006873967.1|	holin [Anaerotruncus colihominis] 
gi|493929340|ref|WP_006873968.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929341|ref|WP_006873969.1|	DNA methylase [Anaerotruncus colihominis] 
gi|493929342|ref|WP_006873970.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929343|ref|WP_006873971.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929344|ref|WP_006873972.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929345|ref|WP_006873973.1|	sodium-dependent tryptophan transporter [Anaerotruncus colihominis] 
gi|493929346|ref|WP_006873974.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929347|ref|WP_006873975.1|	PhoB family transcriptional regulator [Anaerotruncus colihominis] 
gi|493929348|ref|WP_006873976.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929349|ref|WP_006873977.1|	propanediol utilization phosphotransacylase [Anaerotruncus colihominis] 
gi|493929350|ref|WP_006873978.1|	MULTISPECIES: DNA polymerase [Clostridiales] 
gi|493929351|ref|WP_006873979.1|	dihydrolipoamide dehydrogenase [Anaerotruncus colihominis] 
gi|493929352|ref|WP_006873980.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929353|ref|WP_006873981.1|	MULTISPECIES: UDP-galactose-4-epimerase [Clostridiales] 
gi|493929354|ref|WP_006873982.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929355|ref|WP_006873983.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929356|ref|WP_006873984.1|	resolvase [Anaerotruncus colihominis] 
gi|493929357|ref|WP_006873985.1|	sirohydrochlorin cobaltochelatase [Anaerotruncus colihominis] 
gi|493929358|ref|WP_006873986.1|	precorrin-3B C17-methyltransferase [Anaerotruncus colihominis] 
gi|493929359|ref|WP_006873987.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929360|ref|WP_006873988.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929361|ref|WP_006873989.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929362|ref|WP_006873990.1|	MULTISPECIES: iron transporter FeoB [Clostridiales] 
gi|493929363|ref|WP_006873991.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929364|ref|WP_006873992.1|	MULTISPECIES: iron transporter FeoA [Clostridiales] 
gi|493929365|ref|WP_006873993.1|	MULTISPECIES: iron transporter FeoA [Clostridiales] 
gi|493929366|ref|WP_006873994.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929367|ref|WP_006873995.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929368|ref|WP_006873996.1|	flavodoxin [Anaerotruncus colihominis] 
gi|493929369|ref|WP_006873997.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929370|ref|WP_006873998.1|	enolase [Anaerotruncus colihominis] 
gi|493929371|ref|WP_006873999.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929372|ref|WP_006874000.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929374|ref|WP_006874001.1|	hypothetical protein partial [Anaerotruncus colihominis] 
gi|493929375|ref|WP_006874002.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929376|ref|WP_006874003.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929377|ref|WP_006874004.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929378|ref|WP_006874005.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929379|ref|WP_006874006.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929380|ref|WP_006874007.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929381|ref|WP_006874008.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929382|ref|WP_006874009.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929383|ref|WP_006874010.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929384|ref|WP_006874011.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929385|ref|WP_006874012.1|	MULTISPECIES: secretion protein F [Clostridiales] 
gi|493929386|ref|WP_006874013.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929387|ref|WP_006874014.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|493929388|ref|WP_006874015.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929389|ref|WP_006874016.1|	MULTISPECIES: ATPase AAA [Clostridiales] 
gi|493929390|ref|WP_006874017.1|	MULTISPECIES: pilus assembly protein CpaB [Clostridiales] 
gi|493929391|ref|WP_006874018.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929392|ref|WP_006874019.1|	MULTISPECIES: peptidase A24 [Clostridiales] 
gi|493929393|ref|WP_006874020.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929394|ref|WP_006874021.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929395|ref|WP_006874022.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929396|ref|WP_006874023.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929397|ref|WP_006874024.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929398|ref|WP_006874025.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929399|ref|WP_006874026.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929400|ref|WP_006874027.1|	MULTISPECIES: DNA methyltransferase [Clostridiales] 
gi|493929401|ref|WP_006874028.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929402|ref|WP_006874029.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929403|ref|WP_006874030.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929404|ref|WP_006874031.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929405|ref|WP_006874032.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929406|ref|WP_006874033.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929407|ref|WP_006874034.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929408|ref|WP_006874035.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929409|ref|WP_006874036.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929410|ref|WP_006874037.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929411|ref|WP_006874038.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929412|ref|WP_006874039.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929413|ref|WP_006874040.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929414|ref|WP_006874041.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929415|ref|WP_006874042.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929416|ref|WP_006874043.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929417|ref|WP_006874044.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929418|ref|WP_006874045.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929419|ref|WP_006874046.1|	acetate kinase [Anaerotruncus colihominis] 
gi|493929420|ref|WP_006874047.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929421|ref|WP_006874048.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929422|ref|WP_006874049.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929423|ref|WP_006874050.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929424|ref|WP_006874051.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929425|ref|WP_006874052.1|	acyltransferase [Anaerotruncus colihominis] 
gi|493929426|ref|WP_006874053.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929427|ref|WP_006874054.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929428|ref|WP_006874055.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929429|ref|WP_006874056.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929430|ref|WP_006874057.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929431|ref|WP_006874058.1|	pantothenate kinase [Anaerotruncus colihominis] 
gi|493929432|ref|WP_006874059.1|	flavodoxin [Anaerotruncus colihominis] 
gi|493929433|ref|WP_006874060.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929434|ref|WP_006874061.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929435|ref|WP_006874062.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929436|ref|WP_006874063.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929437|ref|WP_006874064.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929438|ref|WP_006874065.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929439|ref|WP_006874066.1|	hydrolase [Anaerotruncus colihominis] 
gi|493929440|ref|WP_006874067.1|	multidrug transporter MatE [Anaerotruncus colihominis] 
gi|493929441|ref|WP_006874068.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929442|ref|WP_006874069.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929443|ref|WP_006874070.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929444|ref|WP_006874071.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929445|ref|WP_006874072.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929446|ref|WP_006874073.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929447|ref|WP_006874074.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929448|ref|WP_006874075.1|	fibronectin-binding protein [Anaerotruncus colihominis] 
gi|493929449|ref|WP_006874076.1|	aminotransferase [Anaerotruncus colihominis] 
gi|493929450|ref|WP_006874077.1|	MULTISPECIES: AsnC family transcriptional regulator [Clostridiales] 
gi|493929451|ref|WP_006874078.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929452|ref|WP_006874079.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929453|ref|WP_006874080.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929454|ref|WP_006874081.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929456|ref|WP_006874083.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929457|ref|WP_006874084.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929458|ref|WP_006874085.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929459|ref|WP_006874086.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929460|ref|WP_006874087.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929461|ref|WP_006874088.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929462|ref|WP_006874089.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929463|ref|WP_006874090.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929464|ref|WP_006874091.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929465|ref|WP_006874092.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929466|ref|WP_006874093.1|	inorganic pyrophosphatase [Anaerotruncus colihominis] 
gi|493929467|ref|WP_006874094.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929468|ref|WP_006874095.1|	MULTISPECIES: murein hydrolase transporter LrgA [Clostridiales] 
gi|493929469|ref|WP_006874096.1|	membrane protein [Anaerotruncus colihominis] 
gi|493929470|ref|WP_006874097.1|	ribonuclease [Anaerotruncus colihominis] 
gi|493929471|ref|WP_006874098.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929472|ref|WP_006874099.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929473|ref|WP_006874100.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929474|ref|WP_006874101.1|	threonyl-tRNA synthetase [Anaerotruncus colihominis] 
gi|493929475|ref|WP_006874102.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929476|ref|WP_006874103.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929477|ref|WP_006874104.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929478|ref|WP_006874105.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929479|ref|WP_006874106.1|	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Anaerotruncus colihominis] 
gi|493929480|ref|WP_006874107.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929481|ref|WP_006874108.1|	MULTISPECIES: 50S rRNA methyltransferase [Clostridiales] 
gi|493929482|ref|WP_006874109.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929483|ref|WP_006874110.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929484|ref|WP_006874111.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929485|ref|WP_006874112.1|	DEAD/DEAH box helicase [Anaerotruncus colihominis] 
gi|493929486|ref|WP_006874113.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929487|ref|WP_006874114.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929488|ref|WP_006874115.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929489|ref|WP_006874116.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929490|ref|WP_006874117.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929491|ref|WP_006874118.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929492|ref|WP_006874119.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929493|ref|WP_006874120.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929494|ref|WP_006874121.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929496|ref|WP_006874122.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929497|ref|WP_006874123.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929498|ref|WP_006874124.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929499|ref|WP_006874125.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929500|ref|WP_006874126.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929501|ref|WP_006874127.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929502|ref|WP_006874128.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929503|ref|WP_006874129.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929504|ref|WP_006874130.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929505|ref|WP_006874131.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929506|ref|WP_006874132.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929507|ref|WP_006874133.1|	MULTISPECIES: ferredoxin-NADP(+) reductase subunit alpha [Clostridiales] 
gi|493929508|ref|WP_006874134.1|	MULTISPECIES: dihydropyrimidine dehydrogenase subunit A [Clostridiales] 
gi|493929509|ref|WP_006874135.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929510|ref|WP_006874136.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929511|ref|WP_006874137.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929512|ref|WP_006874138.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929513|ref|WP_006874139.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929514|ref|WP_006874140.1|	Fe-S oxidoreductase [Anaerotruncus colihominis] 
gi|493929515|ref|WP_006874141.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929516|ref|WP_006874142.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929517|ref|WP_006874143.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929518|ref|WP_006874144.1|	MULTISPECIES: 50S ribosomal protein L19 [Clostridiales] 
gi|493929519|ref|WP_006874145.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929520|ref|WP_006874146.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929521|ref|WP_006874147.1|	GTPase YlqF [Anaerotruncus colihominis] 
gi|493929522|ref|WP_006874148.1|	ribonuclease HII [Anaerotruncus colihominis] 
gi|493929523|ref|WP_006874149.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929524|ref|WP_006874150.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929525|ref|WP_006874151.1|	ser/threonine protein phosphatase [Anaerotruncus colihominis] 
gi|493929526|ref|WP_006874152.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929527|ref|WP_006874153.1|	trigger factor [Anaerotruncus colihominis] 
gi|493929528|ref|WP_006874154.1|	ATP-dependent Clp protease proteolytic subunit [Anaerotruncus colihominis] 
gi|493929529|ref|WP_006874155.1|	ATP-dependent protease [Anaerotruncus colihominis] 
gi|493929530|ref|WP_006874156.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929531|ref|WP_006874157.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929532|ref|WP_006874158.1|	peptidase [Anaerotruncus colihominis] 
gi|493929533|ref|WP_006874159.1|	GTP-binding protein [Anaerotruncus colihominis] 
gi|493929534|ref|WP_006874160.1|	diaminopimelate decarboxylase [Anaerotruncus colihominis] 
gi|493929535|ref|WP_006874161.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929537|ref|WP_006874162.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929538|ref|WP_006874163.1|	molecular chaperone Hsp33 [Anaerotruncus colihominis] 
gi|493929539|ref|WP_006874164.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929540|ref|WP_006874165.1|	endonuclease III [Anaerotruncus colihominis] 
gi|493929541|ref|WP_006874166.1|	MULTISPECIES: chromate transporter [Clostridiales] 
gi|493929542|ref|WP_006874167.1|	chromate transporter [Anaerotruncus colihominis] 
gi|493929544|ref|WP_006874168.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929545|ref|WP_006874169.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929546|ref|WP_006874170.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|493929547|ref|WP_006874171.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929548|ref|WP_006874172.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929549|ref|WP_006874173.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929550|ref|WP_006874174.1|	MarR family transcriptional regulator [Anaerotruncus colihominis] 
gi|493929551|ref|WP_006874175.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929552|ref|WP_006874176.1|	multidrug ABC transporter ATP-binding protein [Anaerotruncus colihominis] 
gi|493929553|ref|WP_006874177.1|	multidrug ABC transporter ATP-binding protein [Anaerotruncus colihominis] 
gi|493929554|ref|WP_006874178.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929555|ref|WP_006874179.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929556|ref|WP_006874180.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929557|ref|WP_006874181.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929558|ref|WP_006874182.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929559|ref|WP_006874183.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929560|ref|WP_006874184.1|	MULTISPECIES: RNA polymerase sigma 70 [Clostridiales] 
gi|493929562|ref|WP_006874185.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929563|ref|WP_006874186.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|493929564|ref|WP_006874187.1|	MULTISPECIES: 6-phosphofructokinase [Clostridiales] 
gi|493929565|ref|WP_006874188.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929566|ref|WP_006874189.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929567|ref|WP_006874190.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929568|ref|WP_006874191.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493929569|ref|WP_006874192.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929570|ref|WP_006874193.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493929571|ref|WP_006874194.1|	hypothetical protein [Anaerotruncus colihominis] 
