gi|495390983|ref|WP_008115684.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495392572|ref|WP_008117273.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392574|ref|WP_008117275.1|	MULTISPECIES: asparaginase [Bacteria] 
gi|495392576|ref|WP_008117277.1|	antiporter [[Bacteroides] pectinophilus] 
gi|495392578|ref|WP_008117279.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392580|ref|WP_008117281.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392582|ref|WP_008117283.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392584|ref|WP_008117285.1|	transporter [[Bacteroides] pectinophilus] 
gi|495392586|ref|WP_008117287.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392588|ref|WP_008117289.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495392590|ref|WP_008117291.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392592|ref|WP_008117293.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392595|ref|WP_008117296.1|	MULTISPECIES: carbon starvation protein CstA [Bacteria] 
gi|495392597|ref|WP_008117298.1|	MULTISPECIES: K+-dependent Na+/Ca+ exchanger [Bacteria] 
gi|495392599|ref|WP_008117300.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392601|ref|WP_008117302.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392602|ref|WP_008117303.1|	chemotaxis protein [[Bacteroides] pectinophilus] 
gi|495392604|ref|WP_008117305.1|	cyclic diguanylate phosphodiesterase [[Bacteroides] pectinophilus] 
gi|495392606|ref|WP_008117307.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392609|ref|WP_008117310.1|	hisitidine kinase [[Bacteroides] pectinophilus] 
gi|495392610|ref|WP_008117311.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392613|ref|WP_008117314.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392615|ref|WP_008117316.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392617|ref|WP_008117318.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392619|ref|WP_008117320.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392621|ref|WP_008117322.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392623|ref|WP_008117324.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392625|ref|WP_008117326.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392626|ref|WP_008117327.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392627|ref|WP_008117328.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392629|ref|WP_008117330.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392631|ref|WP_008117332.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392633|ref|WP_008117334.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392635|ref|WP_008117336.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392637|ref|WP_008117338.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392639|ref|WP_008117340.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392641|ref|WP_008117342.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392643|ref|WP_008117344.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392647|ref|WP_008117348.1|	MULTISPECIES: Cro/Cl family transcriptional regulator [Clostridiales] 
gi|495392649|ref|WP_008117350.1|	DNA methyltransferase [[Bacteroides] pectinophilus] 
gi|495392650|ref|WP_008117351.1|	type II restriction endonuclease Eco47II [[Bacteroides] pectinophilus] 
gi|495392652|ref|WP_008117353.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392653|ref|WP_008117354.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392654|ref|WP_008117355.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392656|ref|WP_008117357.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392658|ref|WP_008117359.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392659|ref|WP_008117360.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392662|ref|WP_008117363.1|	transposase [[Bacteroides] pectinophilus] 
gi|495392665|ref|WP_008117366.1|	transposase [[Bacteroides] pectinophilus] 
gi|495392667|ref|WP_008117368.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392670|ref|WP_008117371.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392672|ref|WP_008117373.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392673|ref|WP_008117374.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392674|ref|WP_008117375.1|	transposase [[Bacteroides] pectinophilus] 
gi|495392675|ref|WP_008117376.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392677|ref|WP_008117378.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392692|ref|WP_008117393.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392693|ref|WP_008117394.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|490749212|ref|WP_004611520.1|	MULTISPECIES: ATP-binding protein [Clostridiales] 
gi|490749213|ref|WP_004611521.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495392694|ref|WP_008117395.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392706|ref|WP_008117407.1|	cell wall anchor protein [[Bacteroides] pectinophilus] 
gi|495392710|ref|WP_008117411.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392712|ref|WP_008117413.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392715|ref|WP_008117416.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392716|ref|WP_008117417.1|	topoisomerase [[Bacteroides] pectinophilus] 
gi|495392718|ref|WP_008117419.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392720|ref|WP_008117421.1|	integrase [[Bacteroides] pectinophilus] 
gi|495392722|ref|WP_008117423.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392723|ref|WP_008117424.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392725|ref|WP_008117426.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392727|ref|WP_008117428.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392729|ref|WP_008117430.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392731|ref|WP_008117432.1|	MULTISPECIES: 30S ribosomal protein S9 [Bacteria] 
gi|495392733|ref|WP_008117434.1|	MULTISPECIES: 50S ribosomal protein L13 [Bacteria] 
gi|495392735|ref|WP_008117436.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392737|ref|WP_008117438.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392739|ref|WP_008117440.1|	transporter [[Bacteroides] pectinophilus] 
gi|495392741|ref|WP_008117442.1|	ABC transporter [[Bacteroides] pectinophilus] 
gi|495392742|ref|WP_008117443.1|	cobalt ABC transporter ATP-binding protein [[Bacteroides] pectinophilus] 
gi|495392744|ref|WP_008117445.1|	MULTISPECIES: 50S ribosomal protein L17 [Bacteria] 
gi|495392746|ref|WP_008117447.1|	MULTISPECIES: DNA-directed RNA polymerase subunit alpha [Bacteria] 
gi|495392748|ref|WP_008117449.1|	MULTISPECIES: 30S ribosomal protein S4 [Bacteria] 
gi|495392750|ref|WP_008117451.1|	30S ribosomal protein S11 [[Bacteroides] pectinophilus] 
gi|495392758|ref|WP_008117459.1|	MULTISPECIES: 30S ribosomal protein S13 [Bacteria] 
gi|495392761|ref|WP_008117462.1|	MULTISPECIES: translation initiation factor IF-1 [Bacteria] 
gi|495392762|ref|WP_008117463.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392764|ref|WP_008117465.1|	methionine aminopeptidase [[Bacteroides] pectinophilus] 
gi|495392766|ref|WP_008117467.1|	MULTISPECIES: adenylate kinase [Bacteria] 
gi|495392773|ref|WP_008117474.1|	MULTISPECIES: preprotein translocase subunit SecY [Bacteria] 
gi|495392778|ref|WP_008117479.1|	MULTISPECIES: 50S ribosomal protein L15 [Bacteria] 
gi|495392780|ref|WP_008117481.1|	MULTISPECIES: 50S ribosomal protein L30 [Bacteria] 
gi|495392782|ref|WP_008117483.1|	MULTISPECIES: 30S ribosomal protein S5 [Bacteria] 
gi|495392784|ref|WP_008117485.1|	MULTISPECIES: 50S ribosomal protein L18 [Bacteria] 
gi|495392790|ref|WP_008117491.1|	50S ribosomal protein L6 [[Bacteroides] pectinophilus] 
gi|495392791|ref|WP_008117492.1|	MULTISPECIES: 30S ribosomal protein S8 [Bacteria] 
gi|495392792|ref|WP_008117493.1|	MULTISPECIES: 30S ribosomal protein S14 [Bacteria] 
gi|495392793|ref|WP_008117494.1|	MULTISPECIES: 50S ribosomal protein L5 [Bacteria] 
gi|495392794|ref|WP_008117495.1|	MULTISPECIES: 50S ribosomal protein L24 [Bacteria] 
gi|495392795|ref|WP_008117496.1|	MULTISPECIES: 50S ribosomal protein L14 [Bacteria] 
gi|495392796|ref|WP_008117497.1|	MULTISPECIES: 30S ribosomal protein S17 [Bacteria] 
gi|495392797|ref|WP_008117498.1|	MULTISPECIES: 50S ribosomal protein L29 [Bacteria] 
gi|495392798|ref|WP_008117499.1|	MULTISPECIES: 50S ribosomal protein L16 [Bacteria] 
gi|495392799|ref|WP_008117500.1|	MULTISPECIES: 30S ribosomal protein S3 [Bacteria] 
gi|495392801|ref|WP_008117502.1|	MULTISPECIES: 50S ribosomal protein L22 [Bacteria] 
gi|495392803|ref|WP_008117504.1|	MULTISPECIES: 30S ribosomal protein S19 [Bacteria] 
gi|495392805|ref|WP_008117506.1|	50S ribosomal protein L2 [[Bacteroides] pectinophilus] 
gi|495392806|ref|WP_008117507.1|	MULTISPECIES: 50S ribosomal protein L23 [Bacteria] 
gi|495392807|ref|WP_008117508.1|	MULTISPECIES: 50S ribosomal protein L4 [Bacteria] 
gi|495392808|ref|WP_008117509.1|	MULTISPECIES: 50S ribosomal protein L3 [Bacteria] 
gi|495392809|ref|WP_008117510.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392810|ref|WP_008117511.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392812|ref|WP_008117513.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495392814|ref|WP_008117515.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392820|ref|WP_008117521.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392822|ref|WP_008117523.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392824|ref|WP_008117525.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392825|ref|WP_008117526.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392827|ref|WP_008117528.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392829|ref|WP_008117530.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392831|ref|WP_008117532.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392833|ref|WP_008117534.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392835|ref|WP_008117536.1|	TDP-4-oxo-6-deoxy-D-glucose aminotransferase [[Bacteroides] pectinophilus] 
gi|495392837|ref|WP_008117538.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392839|ref|WP_008117540.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392840|ref|WP_008117541.1|	N-acetylneuraminate synthase [[Bacteroides] pectinophilus] 
gi|495392842|ref|WP_008117543.1|	CMP-N-acetylneuraminic acid synthetase [[Bacteroides] pectinophilus] 
gi|495392844|ref|WP_008117545.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392845|ref|WP_008117546.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392846|ref|WP_008117547.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392847|ref|WP_008117548.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392848|ref|WP_008117549.1|	flagellin [[Bacteroides] pectinophilus] 
gi|495392849|ref|WP_008117550.1|	flagellin [[Bacteroides] pectinophilus] 
gi|495392850|ref|WP_008117551.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392851|ref|WP_008117552.1|	MULTISPECIES: flagellar biosynthesis protein FliS [Bacteria] 
gi|495392854|ref|WP_008117555.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392856|ref|WP_008117557.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392858|ref|WP_008117559.1|	carbon storage regulator [[Bacteroides] pectinophilus] 
gi|495392860|ref|WP_008117561.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392862|ref|WP_008117563.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392864|ref|WP_008117565.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392865|ref|WP_008117566.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392868|ref|WP_008117569.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392870|ref|WP_008117571.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392873|ref|WP_008117574.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495392875|ref|WP_008117576.1|	negative regulator of flagellin synthesis FlgM [[Bacteroides] pectinophilus] 
gi|495392876|ref|WP_008117577.1|	flagellar protein [[Bacteroides] pectinophilus] 
gi|495392877|ref|WP_008117578.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392878|ref|WP_008117579.1|	MULTISPECIES: ATPase AAA [Bacteria] 
gi|495392879|ref|WP_008117580.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392880|ref|WP_008117581.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392881|ref|WP_008117582.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495392882|ref|WP_008117583.1|	MULTISPECIES: rod shape-determining protein Mbl [Bacteria] 
gi|495392883|ref|WP_008117584.1|	S-adenosylmethionine synthetase [[Bacteroides] pectinophilus] 
gi|495392884|ref|WP_008117585.1|	transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495392885|ref|WP_008117586.1|	MULTISPECIES: stage III sporulation protein D [Bacteria] 
gi|495392886|ref|WP_008117587.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495392887|ref|WP_008117588.1|	MULTISPECIES: pyruvate formate lyase-activating protein [Bacteria] 
gi|495392888|ref|WP_008117589.1|	dihydroxy-acid dehydratase [[Bacteroides] pectinophilus] 
gi|495392889|ref|WP_008117590.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392891|ref|WP_008117592.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392893|ref|WP_008117594.1|	GntR family transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495392895|ref|WP_008117596.1|	dioxygenase [[Bacteroides] pectinophilus] 
gi|495392897|ref|WP_008117598.1|	formate acetyltransferase [[Bacteroides] pectinophilus] 
gi|495392899|ref|WP_008117600.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392901|ref|WP_008117602.1|	MULTISPECIES: ferredoxin [Bacteria] 
gi|495392903|ref|WP_008117604.1|	DNA helicase [[Bacteroides] pectinophilus] 
gi|495392904|ref|WP_008117605.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392905|ref|WP_008117606.1|	50S ribosomal protein L9 [[Bacteroides] pectinophilus] 
gi|495392906|ref|WP_008117607.1|	DHH family phosphoesterase [[Bacteroides] pectinophilus] 
gi|495392907|ref|WP_008117608.1|	MULTISPECIES: 30S ribosomal protein S18 [Bacteria] 
gi|495392908|ref|WP_008117609.1|	MULTISPECIES: single-stranded DNA-binding protein [Bacteria] 
gi|495392909|ref|WP_008117610.1|	MULTISPECIES: 30S ribosomal protein S6 [Bacteria] 
gi|495392910|ref|WP_008117611.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495392911|ref|WP_008117612.1|	NAD-dependent deacetylase [[Bacteroides] pectinophilus] 
gi|495392913|ref|WP_008117614.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392915|ref|WP_008117616.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392917|ref|WP_008117618.1|	nucleotidyltransferase [[Bacteroides] pectinophilus] 
gi|495392918|ref|WP_008117619.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392920|ref|WP_008117621.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392923|ref|WP_008117624.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392925|ref|WP_008117626.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392927|ref|WP_008117628.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392929|ref|WP_008117630.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392931|ref|WP_008117632.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392933|ref|WP_008117634.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392936|ref|WP_008117637.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392938|ref|WP_008117639.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495392940|ref|WP_008117641.1|	MULTISPECIES: UDP-galactose-4-epimerase [Bacteria] 
gi|495392942|ref|WP_008117643.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392944|ref|WP_008117645.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392946|ref|WP_008117647.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392948|ref|WP_008117649.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392949|ref|WP_008117650.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392951|ref|WP_008117652.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392953|ref|WP_008117654.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392956|ref|WP_008117657.1|	MULTISPECIES: F0F1 ATP synthase subunit epsilon [Bacteria] 
gi|495392957|ref|WP_008117658.1|	MULTISPECIES: F0F1 ATP synthase subunit beta [Bacteria] 
gi|495392959|ref|WP_008117660.1|	ATP synthase F1 subunit gamma [[Bacteroides] pectinophilus] 
gi|495392960|ref|WP_008117661.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392962|ref|WP_008117663.1|	MULTISPECIES: F0F1 ATP synthase subunit alpha [Bacteria] 
gi|495392963|ref|WP_008117664.1|	ATP synthase subunit delta [[Bacteroides] pectinophilus] 
gi|495392965|ref|WP_008117666.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495392967|ref|WP_008117668.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392968|ref|WP_008117669.1|	MULTISPECIES: F0F1 ATP synthase subunit C [Bacteria] 
gi|495392970|ref|WP_008117671.1|	ATP synthase F0 subunit A [[Bacteroides] pectinophilus] 
gi|495392971|ref|WP_008117672.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392972|ref|WP_008117673.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495392973|ref|WP_008117674.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392974|ref|WP_008117675.1|	MULTISPECIES: cytidine deaminase [Bacteria] 
gi|495392975|ref|WP_008117676.1|	MULTISPECIES: ribose 5-phosphate isomerase [Bacteria] 
gi|495392976|ref|WP_008117677.1|	protein-tyrosine phosphatase [[Bacteroides] pectinophilus] 
gi|495392977|ref|WP_008117678.1|	tRNA threonylcarbamoyladenosine biosynthesis protein [[Bacteroides] pectinophilus] 
gi|495392978|ref|WP_008117679.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392979|ref|WP_008117680.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392980|ref|WP_008117681.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495392981|ref|WP_008117682.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392983|ref|WP_008117684.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495392985|ref|WP_008117686.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495392988|ref|WP_008117689.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495392990|ref|WP_008117691.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393005|ref|WP_008117706.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393007|ref|WP_008117708.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393008|ref|WP_008117709.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393009|ref|WP_008117710.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393010|ref|WP_008117711.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393011|ref|WP_008117712.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393012|ref|WP_008117713.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393013|ref|WP_008117714.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393014|ref|WP_008117715.1|	XRE family transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495393015|ref|WP_008117716.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393016|ref|WP_008117717.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393018|ref|WP_008117719.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393019|ref|WP_008117720.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393021|ref|WP_008117722.1|	DEAD/DEAH box helicase [[Bacteroides] pectinophilus] 
gi|495393023|ref|WP_008117724.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393025|ref|WP_008117726.1|	growth inhibitor PemK [[Bacteroides] pectinophilus] 
gi|495393027|ref|WP_008117728.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393029|ref|WP_008117730.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393032|ref|WP_008117733.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393034|ref|WP_008117735.1|	HNH endonuclease [[Bacteroides] pectinophilus] 
gi|490981512|ref|WP_004843272.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495393045|ref|WP_008117746.1|	lactate dehydrogenase [[Bacteroides] pectinophilus] 
gi|495393048|ref|WP_008117749.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393049|ref|WP_008117750.1|	DNA methyltransferase [[Bacteroides] pectinophilus] 
gi|495393051|ref|WP_008117752.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393053|ref|WP_008117754.1|	methyltransferase [[Bacteroides] pectinophilus] 
gi|495393054|ref|WP_008117755.1|	alpha-L-fucosidase [[Bacteroides] pectinophilus] 
gi|495393057|ref|WP_008117758.1|	gamma-glutamyl cyclotransferase [[Bacteroides] pectinophilus] 
gi|495393058|ref|WP_008117759.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393060|ref|WP_008117761.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393062|ref|WP_008117763.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393063|ref|WP_008117764.1|	terminase [[Bacteroides] pectinophilus] 
gi|495393065|ref|WP_008117766.1|	terminase [[Bacteroides] pectinophilus] 
gi|495393066|ref|WP_008117767.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393068|ref|WP_008117769.1|	portal protein [[Bacteroides] pectinophilus] 
gi|495393069|ref|WP_008117770.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393071|ref|WP_008117772.1|	capsid protein [[Bacteroides] pectinophilus] 
gi|495393073|ref|WP_008117774.1|	AraC family transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495393075|ref|WP_008117776.1|	phage head-tail adapter protein [[Bacteroides] pectinophilus] 
gi|495393076|ref|WP_008117777.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393078|ref|WP_008117779.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393080|ref|WP_008117781.1|	tail protein [[Bacteroides] pectinophilus] 
gi|495393083|ref|WP_008117784.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393084|ref|WP_008117785.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393086|ref|WP_008117787.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393088|ref|WP_008117789.1|	phage tail tape measure protein [[Bacteroides] pectinophilus] 
gi|495393089|ref|WP_008117790.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393090|ref|WP_008117791.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393091|ref|WP_008117792.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393092|ref|WP_008117793.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393093|ref|WP_008117794.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393094|ref|WP_008117795.1|	peptidoglycan-binding protein [[Bacteroides] pectinophilus] 
gi|495393095|ref|WP_008117796.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393096|ref|WP_008117797.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393097|ref|WP_008117798.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393098|ref|WP_008117799.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393100|ref|WP_008117801.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393101|ref|WP_008117802.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393103|ref|WP_008117804.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393104|ref|WP_008117805.1|	integrase [[Bacteroides] pectinophilus] 
gi|495393106|ref|WP_008117807.1|	resolvase [[Bacteroides] pectinophilus] 
gi|495393109|ref|WP_008117810.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393111|ref|WP_008117812.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495393114|ref|WP_008117815.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393116|ref|WP_008117817.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393117|ref|WP_008117818.1|	ABC transporter permease [[Bacteroides] pectinophilus] 
gi|495393120|ref|WP_008117821.1|	MULTISPECIES: spermidine/putrescine ABC transporter ATP-binding protein [Bacteria] 
gi|495393122|ref|WP_008117823.1|	MULTISPECIES: phenylalanyl-tRNA synthase subunit alpha [Bacteria] 
gi|495393124|ref|WP_008117825.1|	phenylalanyl-tRNA synthetase subunit beta [[Bacteroides] pectinophilus] 
gi|495393126|ref|WP_008117827.1|	S-adenosylmethionine tRNA ribosyltransferase [[Bacteroides] pectinophilus] 
gi|495393128|ref|WP_008117829.1|	S-adenosylmethionine tRNA ribosyltransferase [[Bacteroides] pectinophilus] 
gi|495393130|ref|WP_008117831.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393135|ref|WP_008117836.1|	aspartate carbamoyltransferase [[Bacteroides] pectinophilus] 
gi|495393136|ref|WP_008117837.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393138|ref|WP_008117839.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495393140|ref|WP_008117841.1|	MULTISPECIES: GTP-binding protein YchF [Bacteria] 
gi|495393141|ref|WP_008117842.1|	MFS transporter [[Bacteroides] pectinophilus] 
